31/05/2022	19:31

Si\Ta3\(Co90Tb10)150nm\Pt3-20220531_APEJ5

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
5861.61	3.9	4.091237	-0.577342	0.000571	0	5.1E-5	-0.212787	0.091689	4.001589E+9
5493.71	3.6	4.092858	-0.577732	-0.000831	0	-0.000506	-0.212787	0.093083	4.00159E+9
5108.01	3.3	4.097101	-0.578649	-0.000292	0	-0.000705	-0.212787	0.092742	4.001591E+9
4705.98	3	4.09625	-0.577333	-0.001967	0	-0.000865	-0.212787	0.092966	4.001592E+9
4568.59	2.9	4.097169	-0.578181	0.00019	0	-0.000713	-0.212787	0.092769	4.001593E+9
4429.62	2.8	4.096594	-0.577716	-0.001433	0	-0.001752	-0.212787	0.092531	4.001594E+9
4289.09	2.7	4.097559	-0.57809	-0.001511	0	-0.000371	-0.212787	0.092561	4.001595E+9
4147.09	2.6	4.097393	-0.577671	-0.001467	0	-0.001138	-0.212787	0.093309	4.001596E+9
4003.65	2.5	4.098644	-0.576884	-0.001732	0	-0.000625	-0.212787	0.092712	4.001597E+9
3858.83	2.4	4.099031	-0.577368	-0.001191	0	-0.001547	-0.212787	0.091868	4.001598E+9
3712.69	2.3	4.098183	-0.578213	-0.001064	0	-0.001575	-0.212787	0.092741	4.001599E+9
3565.29	2.2	4.099609	-0.576439	-0.001512	0	-0.000813	-0.212787	0.092706	4.0016E+9
3416.67	2.1	4.098823	-0.578642	-0.001721	0	-0.000678	-0.212787	0.09266	4.001601E+9
3266.89	2	4.100197	-0.578668	-0.000318	0	-0.000857	-0.212787	0.091705	4.001602E+9
3116	1.9	4.100548	-0.578288	-0.000898	0	-0.001259	-0.212787	0.092487	4.001603E+9
2964.07	1.8	4.09981	-0.57745	-0.001485	0	-0.001485	-0.212787	0.093249	4.001604E+9
2811.14	1.7	4.100642	-0.578168	-0.001591	0	-0.000782	-0.212787	0.093051	4.001605E+9
2657.27	1.6	4.099421	-0.578392	-0.000729	0	-0.000654	-0.212787	0.092339	4.001606E+9
2502.52	1.5	4.100837	-0.577326	-0.000688	0	-0.000802	-0.212787	0.092971	4.001607E+9
2346.93	1.4	4.100194	-0.57886	-0.002062	0	-0.000905	-0.212787	0.092669	4.001608E+9
2190.57	1.3	4.099713	-0.576927	-0.001764	0	-0.001312	-0.212787	0.092634	4.001609E+9
2033.48	1.2	4.100921	-0.576371	-0.001873	0	-0.001536	-0.212787	0.093332	4.00161E+9
1875.73	1.1	4.100506	-0.577528	-0.001432	0	-0.000627	-0.212787	0.093481	4.001611E+9
1717.37	1	4.101428	-0.57694	-0.00105	0	-0.001284	-0.212787	0.092072	4.001612E+9
1558.44	0.9	4.100584	-0.575588	-0.001556	0	-0.001125	-0.212787	0.093013	4.001613E+9
1399.02	0.8	4.100603	-0.577037	-0.000876	0	-0.001112	-0.212787	0.092538	4.001614E+9
1239.14	0.7	4.100938	-0.577001	-0.002377	0	-0.000395	-0.212787	0.091823	4.001615E+9
1078.87	0.6	4.102676	-0.577411	-0.001212	0	-0.000638	-0.212787	0.0918	4.001616E+9
918.26	0.5	4.101243	-0.577931	-0.00115	0	-0.000532	-0.212787	0.091782	4.001617E+9
757.37	0.4	4.10096	-0.577882	-0.001513	0	-0.000669	-0.212787	0.093416	4.001618E+9
596.24	0.3	4.100538	-0.577057	-0.001301	0	-0.000807	-0.212787	0.092415	4.001619E+9
434.94	0.2	4.099615	-0.575682	-0.002038	0	-0.001093	-0.212787	0.093231	4.00162E+9
273.52	0.1	4.097585	-0.577515	-0.001096	0	-0.001548	-0.212787	0.093378	4.001621E+9
112.03	0	4.095736	-0.575305	-0.001293	0	-0.000215	-0.212787	0.092117	4.001622E+9
-49.47	-0.1	4.095359	-0.57527	-0.001687	0	-0.000574	-0.212787	0.092189	4.001623E+9
-210.93	-0.2	4.088898	-0.575621	-0.000491	0	-0.000586	-0.212787	0.0918	4.001624E+9
-372.3	-0.3	1.557341	-0.192899	-0.00412	0	-0.003814	-0.212787	0.091832	4.001625E+9
-533.51	-0.4	0.373685	-0.015752	-0.0045	0	-0.005233	-0.212787	0.091906	4.001626E+9
-694.51	-0.5	-0.335856	0.092508	-0.005755	0	-0.006449	-0.212787	0.092086	4.001627E+9
-855.25	-0.6	-0.858396	0.170271	-0.006894	0	-0.007545	-0.212787	0.091812	4.001628E+9
-1015.68	-0.7	-1.308092	0.239022	-0.006693	0	-0.008137	-0.212787	0.091851	4.001629E+9
-1175.74	-0.8	-1.700313	0.297897	-0.007822	0	-0.008069	-0.212787	0.093494	4.00163E+9
-1335.37	-0.9	-2.041762	0.350268	-0.008081	0	-0.008488	-0.212787	0.092004	4.001631E+9
-1494.53	-1	-2.355119	0.395478	-0.008895	0	-0.008651	-0.212787	0.091927	4.001632E+9
-1653.15	-1.1	-2.635419	0.438323	-0.009116	0	-0.008852	-0.212787	0.093286	4.001633E+9
-1811.18	-1.2	-2.891987	0.475954	-0.009216	0	-0.009495	-0.212787	0.092643	4.001634E+9
-1968.57	-1.3	-3.120472	0.510902	-0.009563	0	-0.009091	-0.212787	0.09246	4.001635E+9
-2125.26	-1.4	-3.323236	0.541827	-0.009271	0	-0.009175	-0.212787	0.093457	4.001636E+9
-2281.19	-1.5	-3.491768	0.565173	-0.009475	0	-0.009599	-0.212787	0.091987	4.001637E+9
-2436.33	-1.6	-3.630716	0.58616	-0.009809	0	-0.010151	-0.212787	0.093146	4.001638E+9
-2590.6	-1.7	-3.745893	0.60383	-0.010074	0	-0.010089	-0.212787	0.091914	4.001639E+9
-2743.95	-1.8	-3.832295	0.615308	-0.010167	0	-0.010123	-0.212787	0.093151	4.00164E+9
-2896.33	-1.9	-3.903577	0.628118	-0.009889	0	-0.009713	-0.212787	0.092353	4.001641E+9
-3047.69	-2	-3.970279	0.637017	-0.010126	0	-0.010783	-0.212787	0.093595	4.001642E+9
-3197.97	-2.1	-4.033241	0.646516	-0.010425	0	-0.010625	-0.212787	0.092355	4.001643E+9
-3347.11	-2.2	-4.109071	0.65828	-0.010386	0	-0.01017	-0.212787	0.092839	4.001644E+9
-3495.06	-2.3	-4.16587	0.665301	-0.009413	0	-0.010333	-0.212787	0.092823	4.001645E+9
-3641.77	-2.4	-4.201649	0.671435	-0.009995	0	-0.010671	-0.212787	0.092655	4.001646E+9
-3787.18	-2.5	-4.216285	0.673208	-0.010024	0	-0.010178	-0.212787	0.091925	4.001647E+9
-3931.24	-2.6	-4.220707	0.67327	-0.010084	0	-0.010177	-0.212787	0.093443	4.001648E+9
-4073.89	-2.7	-4.223998	0.674524	-0.009982	0	-0.0103	-0.212787	0.093614	4.001649E+9
-4215.08	-2.8	-4.22623	0.674956	-0.009527	0	-0.010831	-0.212787	0.092878	4.00165E+9
-4354.75	-2.9	-4.227588	0.675778	-0.009694	0	-0.010288	-0.212787	0.092703	4.001651E+9
-4492.85	-3	-4.228806	0.675047	-0.009802	0	-0.010319	-0.212787	0.092868	4.001652E+9
-4897.18	-3.3	-4.231941	0.675697	-0.009545	0	-0.010324	-0.212787	0.092764	4.001653E+9
-5285.39	-3.6	-4.234579	0.674924	-0.009668	0	-0.010346	-0.212787	0.092535	4.001654E+9
-5656.02	-3.9	-4.238081	0.678098	-0.009645	0	-0.01008	-0.212787	0.092892	4.001655E+9
-5285.39	-3.6	-4.242896	0.676847	-0.009721	0	-0.010152	-0.212787	0.092021	4.001656E+9
-4897.18	-3.3	-4.243802	0.677266	-0.009714	0	-0.010555	-0.212787	0.09326	4.001657E+9
-4492.85	-3	-4.247737	0.678611	-0.010651	0	-0.010237	-0.212787	0.093127	4.001658E+9
-4354.75	-2.9	-4.246518	0.677636	-0.00958	0	-0.010285	-0.212787	0.092268	4.001659E+9
-4215.08	-2.8	-4.247366	0.676337	-0.010319	0	-0.010478	-0.212787	0.093098	4.00166E+9
-4073.89	-2.7	-4.24827	0.676259	-0.010214	0	-0.010173	-0.212787	0.093116	4.001661E+9
-3931.24	-2.6	-4.249137	0.678173	-0.010221	0	-0.010792	-0.212787	0.092351	4.001662E+9
-3787.18	-2.5	-4.249345	0.675024	-0.010779	0	-0.010095	-0.212787	0.092562	4.001663E+9
-3641.77	-2.4	-4.248149	0.677175	-0.010245	0	-0.010613	-0.212787	0.093288	4.001664E+9
-3495.06	-2.3	-4.248633	0.677724	-0.010311	0	-0.010681	-0.212787	0.092798	4.001665E+9
-3347.11	-2.2	-4.24914	0.677705	-0.010237	0	-0.010648	-0.212787	0.093537	4.001666E+9
-3197.97	-2.1	-4.248624	0.678121	-0.010345	0	-0.01095	-0.212787	0.093199	4.001667E+9
-3047.69	-2	-4.248767	0.677636	-0.009858	0	-0.010289	-0.212787	0.093584	4.001668E+9
-2896.33	-1.9	-4.249501	0.677269	-0.00994	0	-0.01054	-0.212787	0.092878	4.001669E+9
-2743.95	-1.8	-4.247711	0.675931	-0.009756	0	-0.010506	-0.212787	0.091885	4.00167E+9
-2590.6	-1.7	-4.249712	0.675876	-0.009921	0	-0.010617	-0.212787	0.092239	4.001671E+9
-2436.33	-1.6	-4.247422	0.675447	-0.010183	0	-0.010334	-0.212787	0.09266	4.001672E+9
-2281.19	-1.5	-4.249085	0.676399	-0.009849	0	-0.010166	-0.212787	0.093633	4.001673E+9
-2125.26	-1.4	-4.249066	0.677276	-0.010379	0	-0.009984	-0.212787	0.09352	4.001674E+9
-1968.57	-1.3	-4.248604	0.676782	-0.010371	0	-0.010757	-0.212787	0.092242	4.001675E+9
-1811.18	-1.2	-4.248679	0.676834	-0.010632	0	-0.010657	-0.212787	0.093586	4.001676E+9
-1653.15	-1.1	-4.249105	0.676779	-0.010385	0	-0.010504	-0.212787	0.093624	4.001677E+9
-1494.53	-1	-4.248237	0.676301	-0.010262	0	-0.010564	-0.212787	0.093605	4.001678E+9
-1335.37	-0.9	-4.24686	0.676314	-0.010002	0	-0.010524	-0.212787	0.091863	4.001679E+9
-1175.74	-0.8	-4.247253	0.67584	-0.010149	0	-0.010895	-0.212787	0.091906	4.00168E+9
-1015.68	-0.7	-4.243744	0.675963	-0.010637	0	-0.01106	-0.212787	0.09193	4.001681E+9
-855.25	-0.6	-4.245079	0.675902	-0.010967	0	-0.010607	-0.212787	0.093308	4.001682E+9
-694.51	-0.5	-4.245102	0.675457	-0.010772	0	-0.010707	-0.212787	0.093453	4.001683E+9
-533.51	-0.4	-4.243747	0.674053	-0.010218	0	-0.010737	-0.212787	0.093361	4.001684E+9
-372.3	-0.3	-4.221187	0.671451	-0.010009	0	-0.010683	-0.212787	0.092214	4.001685E+9
-210.93	-0.2	-2.321136	0.384302	-0.008233	0	-0.008043	-0.212787	0.092314	4.001686E+9
-49.47	-0.1	-0.906881	0.174085	-0.00689	0	-0.006714	-0.212787	0.091881	4.001687E+9
112.03	0	-0.065091	0.049747	-0.005395	0	-0.005659	-0.212787	0.092547	4.001688E+9
273.52	0.1	0.527275	-0.041739	-0.005097	0	-0.005436	-0.212787	0.093108	4.001689E+9
434.94	0.2	1.005194	-0.112527	-0.004655	0	-0.00468	-0.212787	0.093518	4.00169E+9
596.24	0.3	1.410491	-0.174855	-0.0039	0	-0.004417	-0.212787	0.09284	4.001691E+9
757.37	0.4	1.780303	-0.227889	-0.003395	0	-0.002904	-0.212787	0.091824	4.001692E+9
918.26	0.5	2.102029	-0.275659	-0.003212	0	-0.003641	-0.212787	0.091765	4.001693E+9
1078.87	0.6	2.397702	-0.321067	-0.002801	0	-0.003067	-0.212787	0.092995	4.001694E+9
1239.14	0.7	2.655096	-0.359296	-0.002677	0	-0.002131	-0.212787	0.092703	4.001695E+9
1399.02	0.8	2.895722	-0.393941	-0.002122	0	-0.001988	-0.212787	0.091908	4.001696E+9
1558.44	0.9	3.105602	-0.427872	-0.002094	0	-0.001612	-0.212787	0.091761	4.001697E+9
1717.37	1	3.285979	-0.453307	-0.001697	0	-0.002018	-0.212787	0.093245	4.001698E+9
1875.73	1.1	3.44379	-0.477695	-0.002207	0	-0.00215	-0.212787	0.093204	4.001699E+9
2033.48	1.2	3.564542	-0.495713	-0.001747	0	-0.001785	-0.212787	0.093476	4.0017E+9
2190.57	1.3	3.663663	-0.509784	-0.002247	0	-0.001745	-0.212787	0.093307	4.001701E+9
2346.93	1.4	3.73976	-0.520605	-0.000484	0	-0.001292	-0.212787	0.09344	4.001702E+9
2502.52	1.5	3.809399	-0.529315	-0.00056	0	-0.001392	-0.212787	0.09232	4.001703E+9
2657.27	1.6	3.874781	-0.539647	-0.000738	0	-0.001569	-0.212787	0.091824	4.001704E+9
2811.14	1.7	3.94747	-0.552499	-0.001196	0	-0.00092	-0.212787	0.093484	4.001705E+9
2964.07	1.8	4.011803	-0.562102	-0.001949	0	-0.00119	-0.212787	0.092703	4.001706E+9
3116	1.9	4.048658	-0.566914	-0.000805	0	-0.001081	-0.212787	0.093452	4.001707E+9
3266.89	2	4.067348	-0.569006	-0.000493	0	-0.001649	-0.212787	0.093266	4.001708E+9
3416.67	2.1	4.07265	-0.570419	-0.000499	0	-0.000647	-0.212787	0.091834	4.001709E+9
3565.29	2.2	4.076162	-0.572615	-0.000486	0	-0.000238	-0.212787	0.093308	4.00171E+9
3712.69	2.3	4.079668	-0.571274	-0.001364	0	0.000113	-0.212787	0.092639	4.001711E+9
3858.83	2.4	4.080987	-0.569026	-0.000837	0	-0.001234	-0.212787	0.091747	4.001712E+9
4003.65	2.5	4.082225	-0.571365	-0.000761	0	-0.000456	-0.212787	0.091776	4.001713E+9
4147.09	2.6	4.081448	-0.570429	-0.001181	0	-0.001107	-0.212787	0.093256	4.001714E+9
4289.09	2.7	4.082657	-0.570468	-0.000851	0	-0.000971	-0.212787	0.09195	4.001715E+9
4429.62	2.8	4.084911	-0.570864	-0.001349	0	-1.8E-5	-0.212787	0.092094	4.001716E+9
4568.59	2.9	4.084378	-0.571599	-0.000514	0	-0.000932	-0.212787	0.092346	4.001717E+9
4705.98	3	4.086214	-0.571238	-0.000786	0	-0.001455	-0.212787	0.091793	4.001718E+9
5108.01	3.3	4.087107	-0.570851	-0.000626	0	-0.001066	-0.212787	0.092819	4.001719E+9
5493.71	3.6	4.089261	-0.572112	-0.001249	0	0.000141	-0.212787	0.093322	4.00172E+9
5861.61	3.9	4.087468	-0.570747	-0.000218	0	-0.00011	-0.212787	0.09296	4.001721E+9
