30/05/2022	19:10

Si\Ta3\(Co85Tb15)75\Pt3-20220525_APEJ2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-6.059248	0.378172	-0.008478	0	-0.008345	-0.212787	0.017002	3.913891E+9
8204.61	6.8	-6.359853	0.424363	-0.008472	0	-0.008229	-0.212787	0.016816	3.913892E+9
8128.37	6.6	-6.453412	0.520401	-0.008893	0	-0.008542	-0.212787	0.01693	3.913893E+9
8037.67	6.4	-6.224623	0.218909	-0.008536	0	-0.008327	-0.212787	0.016924	3.913894E+9
7932.95	6.2	-6.195049	0.212811	-0.008618	0	-0.008593	-0.212787	0.016971	3.913895E+9
7814.63	6	-5.980799	0.357224	-0.008461	0	-0.008805	-0.212787	0.016977	3.913896E+9
7683.15	5.8	-5.939409	0.447566	-0.009363	0	-0.00819	-0.212787	0.016918	3.913897E+9
7538.96	5.6	-5.686651	0.104577	-0.009016	0	-0.008649	-0.212787	0.016921	3.913898E+9
7382.49	5.4	-5.841616	0.256956	-0.008604	0	-0.008637	-0.212787	0.016976	3.913899E+9
7214.18	5.2	-5.676514	-0.027181	-0.008544	0	-0.008437	-0.212787	0.016872	3.9139E+9
7034.46	5	-5.831925	0.202191	-0.007662	0	-0.00845	-0.212787	0.016949	3.913901E+9
6843.76	4.8	-5.395871	0.268837	-0.007973	0	-0.008389	-0.212787	0.016981	3.913902E+9
6642.54	4.6	-5.449483	0.218263	-0.008078	0	-0.008312	-0.212787	0.016937	3.913903E+9
6431.22	4.4	-5.52956	0.066092	-0.008465	0	-0.008495	-0.212787	0.017003	3.913904E+9
6210.24	4.2	-5.635881	0.309775	-0.008319	0	-0.008522	-0.212787	0.017012	3.913905E+9
5980.04	4	-5.556792	-0.003536	-0.008543	0	-0.008064	-0.212787	0.016821	3.913906E+9
5741.05	3.8	-5.132019	0.096731	-0.008564	0	-0.008602	-0.212787	0.01683	3.913907E+9
5493.71	3.6	-5.173116	-0.018643	-0.008319	0	-0.008396	-0.212787	0.016973	3.913908E+9
5238.46	3.4	-5.079898	-0.147936	-0.008178	0	-0.008531	-0.212787	0.016988	3.913909E+9
4975.74	3.2	-5.064034	0.049562	-0.008158	0	-0.008382	-0.212787	0.017016	3.91391E+9
4705.98	3	-5.018563	0.018331	-0.008225	0	-0.008147	-0.212787	0.016857	3.913911E+9
4429.62	2.8	-5.049642	0.095546	-0.008769	0	-0.008249	-0.212787	0.016841	3.913912E+9
4147.09	2.6	-4.925582	-0.071056	-0.008074	0	-0.008474	-0.212787	0.01695	3.913913E+9
3858.83	2.4	-4.796354	-0.056164	-0.008555	0	-0.008292	-0.212787	0.016964	3.913914E+9
3565.29	2.2	-4.934231	-0.163095	-0.008603	0	-0.008295	-0.212787	0.016857	3.913915E+9
3266.89	2	-4.648507	-0.022798	-0.00811	0	-0.008501	-0.212787	0.016898	3.913916E+9
2964.07	1.8	-4.600184	-0.058772	-0.008589	0	-0.008426	-0.212787	0.016844	3.913917E+9
2657.27	1.6	-4.731631	-0.161525	-0.008841	0	-0.008324	-0.212787	0.016825	3.913918E+9
2346.93	1.4	-4.964497	-0.255669	-0.008983	0	-0.0083	-0.212787	0.016763	3.913919E+9
2033.48	1.2	-4.596383	-0.132689	-0.008614	0	-0.008505	-0.212787	0.01684	3.91392E+9
1717.37	1	-4.527664	-0.180758	-0.008778	0	-0.008351	-0.212787	0.016923	3.913921E+9
1399.02	0.8	-4.466323	-0.16508	-0.00885	0	-0.008511	-0.212787	0.016956	3.913922E+9
1078.87	0.6	-4.402773	-0.34594	-0.008641	0	-0.008361	-0.212787	0.016855	3.913923E+9
757.37	0.4	-4.25913	-0.240413	-0.008606	0	-0.008367	-0.212787	0.016868	3.913924E+9
434.94	0.2	-4.252259	-0.119379	-0.008479	0	-0.008437	-0.212787	0.01682	3.913925E+9
112.03	0	-4.202585	-0.313433	-0.008152	0	-0.008098	-0.212787	0.01682	3.913926E+9
-210.93	-0.2	-4.135204	-0.275877	-0.008298	0	-0.008243	-0.212787	0.01695	3.913927E+9
-533.51	-0.4	-3.967361	-0.301461	-0.008183	0	-0.008516	-0.212787	0.016934	3.913928E+9
-855.25	-0.6	-4.021392	-0.438466	-0.008551	0	-0.008541	-0.212787	0.016906	3.913929E+9
-1175.74	-0.8	-3.959853	-0.181557	-0.0087	0	-0.008189	-0.212787	0.01693	3.91393E+9
-1494.53	-1	-3.483506	-0.198516	-0.008601	0	-0.008207	-0.212787	0.016907	3.913931E+9
-1811.18	-1.2	-3.548681	-0.391846	-0.008472	0	-0.008148	-0.212787	0.017011	3.913932E+9
-2125.26	-1.4	-3.43493	-0.466809	-0.008452	0	-0.008123	-0.212787	0.016844	3.913933E+9
-2436.33	-1.6	-3.193537	-0.342454	-0.008135	0	-0.008328	-0.212787	0.017009	3.913934E+9
