31/05/2022	18:51

Si\Ta3\(Co90Tb10)50nm\Pt3-20220531_APEJ2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
6096.26	4.1	3.055577	-0.614681	0.004417	0	0.004522	-0.212787	0.098301	3.999192E+9
5741.05	3.8	3.061038	-0.617631	0.004712	0	0.003471	-0.212787	0.098619	3.999193E+9
5367.05	3.5	3.063552	-0.619129	0.004522	0	0.003701	-0.212787	0.09863	3.999194E+9
4975.74	3.2	3.064306	-0.617228	0.004555	0	0.004152	-0.212787	0.098721	3.999195E+9
4568.59	2.9	3.06607	-0.618359	0.003715	0	0.003962	-0.212787	0.098598	3.999196E+9
4147.09	2.6	3.068926	-0.619674	0.003694	0	0.004685	-0.212787	0.098628	3.999197E+9
3712.69	2.3	3.068851	-0.619557	0.004221	0	0.004248	-0.212787	0.098359	3.999198E+9
3266.89	2	3.069709	-0.618674	0.00461	0	0.003916	-0.212787	0.098309	3.999199E+9
3116	1.9	3.071395	-0.618225	0.00355	0	0.00372	-0.212787	0.098355	3.9992E+9
2964.07	1.8	3.07108	-0.617433	0.004732	0	0.003905	-0.212787	0.098486	3.999201E+9
2811.14	1.7	3.071535	-0.61792	0.004213	0	0.004197	-0.212787	0.09861	3.999202E+9
2657.27	1.6	3.072431	-0.620165	0.004085	0	0.004191	-0.212787	0.098273	3.999203E+9
2502.52	1.5	3.071476	-0.618794	0.004372	0	0.004024	-0.212787	0.098275	3.999204E+9
2346.93	1.4	3.074267	-0.618742	0.003955	0	0.003853	-0.212787	0.098343	3.999205E+9
2190.57	1.3	3.071444	-0.618778	0.003921	0	0.00337	-0.212787	0.098344	3.999206E+9
2033.48	1.2	3.073422	-0.620642	0.003957	0	0.003549	-0.212787	0.098325	3.999207E+9
1875.73	1.1	3.072454	-0.618333	0.003385	0	0.004491	-0.212787	0.098689	3.999208E+9
1717.37	1	3.072841	-0.619148	0.004474	0	0.004122	-0.212787	0.098312	3.999209E+9
1558.44	0.9	3.073296	-0.617475	0.004313	0	0.004105	-0.212787	0.098634	3.99921E+9
1399.02	0.8	3.072987	-0.617085	0.00439	0	0.005009	-0.212787	0.098613	3.999211E+9
1239.14	0.7	3.072454	-0.616305	0.003662	0	0.00376	-0.212787	0.098611	3.999212E+9
1078.87	0.6	3.072441	-0.618453	0.003311	0	0.00425	-0.212787	0.098309	3.999213E+9
918.26	0.5	3.072896	-0.617186	0.003578	0	0.003736	-0.212787	0.098296	3.999214E+9
757.37	0.4	3.073344	-0.61791	0.003816	0	0.004254	-0.212787	0.098333	3.999215E+9
596.24	0.3	3.073315	-0.617943	0.004111	0	0.004018	-0.212787	0.098381	3.999216E+9
434.94	0.2	3.072841	-0.617088	0.004833	0	0.003323	-0.212787	0.098377	3.999217E+9
273.52	0.1	3.075092	-0.620155	0.004719	0	0.00324	-0.212787	0.098604	3.999218E+9
112.03	0	3.072389	-0.617114	0.003462	0	0.004161	-0.212787	0.098442	3.999219E+9
-49.47	-0.1	3.072048	-0.619226	0.003953	0	0.0039	-0.212787	0.098336	3.99922E+9
-210.93	-0.2	3.069839	-0.615812	0.004088	0	0.003941	-0.212787	0.098328	3.999221E+9
-372.3	-0.3	3.052857	-0.61383	0.004762	0	0.003305	-0.212787	0.098348	3.999222E+9
-533.51	-0.4	0.983557	-0.173647	0.001883	0	0.001455	-0.212787	0.098553	3.999223E+9
-694.51	-0.5	-0.253297	0.084253	0.000134	0	-0.000123	-0.212787	0.098786	3.999224E+9
-855.25	-0.6	-0.901677	0.219159	-0.000328	0	-0.001144	-0.212787	0.098357	3.999225E+9
-1015.68	-0.7	-1.367415	0.317085	-0.001351	0	-0.000652	-0.212787	0.098382	3.999226E+9
-1175.74	-0.8	-1.753187	0.399835	-0.003178	0	-0.001201	-0.212787	0.098384	3.999227E+9
-1335.37	-0.9	-2.077479	0.465701	-0.001932	0	-0.002332	-0.212787	0.098479	3.999228E+9
-1494.53	-1	-2.340067	0.518803	-0.001471	0	-0.002643	-0.212787	0.098837	3.999229E+9
-1653.15	-1.1	-2.53596	0.559923	-0.002753	0	-0.002879	-0.212787	0.0986	3.99923E+9
-1811.18	-1.2	-2.683725	0.590257	-0.00307	0	-0.002666	-0.212787	0.098474	3.999231E+9
-1968.57	-1.3	-2.783246	0.612508	-0.002539	0	-0.002856	-0.212787	0.098805	3.999232E+9
-2125.26	-1.4	-2.845126	0.623534	-0.004011	0	-0.003103	-0.212787	0.098803	3.999233E+9
-2281.19	-1.5	-2.886681	0.632202	-0.003416	0	-0.002908	-0.212787	0.098868	3.999234E+9
-2436.33	-1.6	-2.917587	0.6396	-0.003356	0	-0.003192	-0.212787	0.098472	3.999235E+9
-2590.6	-1.7	-2.949344	0.645467	-0.002849	0	-0.002819	-0.212787	0.098426	3.999236E+9
-2743.95	-1.8	-2.980955	0.654651	-0.003882	0	-0.003123	-0.212787	0.098386	3.999237E+9
-2896.33	-1.9	-3.011695	0.659446	-0.003076	0	-0.00303	-0.212787	0.098529	3.999238E+9
