31/05/2022	19:06

Si\Ta3\(Co90Tb1075nm\Pt3-20220531_APEJ3

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
6096.26	4.1	3.91866	-0.670544	-0.000327	0	-9.4E-5	-0.212787	0.095308	4.000101E+9
5741.05	3.8	3.921964	-0.67274	-6.7E-5	0	0.000355	-0.212787	0.095344	4.000102E+9
5367.05	3.5	3.924105	-0.673114	0.000482	0	0.00023	-0.212787	0.09556	4.000103E+9
4975.74	3.2	3.926629	-0.673117	0.000636	0	-0.000261	-0.212787	0.095316	4.000104E+9
4568.59	2.9	3.928429	-0.672643	-0.000109	0	-0.000945	-0.212787	0.095662	4.000105E+9
4147.09	2.6	3.929228	-0.673163	-0.000864	0	-0.000571	-0.212787	0.095617	4.000106E+9
3712.69	2.3	3.931073	-0.673741	-0.000167	0	8.8E-5	-0.212787	0.096032	4.000107E+9
3266.89	2	3.932415	-0.67263	-0.000509	0	-0.000115	-0.212787	0.095543	4.000108E+9
3116	1.9	3.932672	-0.673072	0.000359	0	0.000177	-0.212787	0.096148	4.000109E+9
2964.07	1.8	3.930989	-0.671756	0.000584	0	-0.000889	-0.212787	0.095309	4.00011E+9
2811.14	1.7	3.932097	-0.67171	0.000373	0	-0.000334	-0.212787	0.095375	4.000111E+9
2657.27	1.6	3.933643	-0.67238	-0.001114	0	-0.000939	-0.212787	0.09532	4.000112E+9
2502.52	1.5	3.932633	-0.671122	-0.000661	0	-4E-5	-0.212787	0.095458	4.000113E+9
2346.93	1.4	3.93338	-0.672438	-0.000961	0	0.000125	-0.212787	0.096201	4.000114E+9
2190.57	1.3	3.933117	-0.672877	2.7E-5	0	-0.00089	-0.212787	0.095389	4.000115E+9
2033.48	1.2	3.933195	-0.672406	0.000279	0	0.000557	-0.212787	0.096262	4.000116E+9
1875.73	1.1	3.934907	-0.671402	-0.000251	0	0.000129	-0.212787	0.095337	4.000117E+9
1717.37	1	3.934013	-0.671983	-0.000278	0	-0.000142	-0.212787	0.095275	4.000118E+9
1558.44	0.9	3.933503	-0.67097	-0.000918	0	0.000305	-0.212787	0.095301	4.000119E+9
1399.02	0.8	3.933744	-0.671759	-0.000885	0	-0.000136	-0.212787	0.095334	4.00012E+9
1239.14	0.7	3.933832	-0.673738	0.000416	0	-0.000683	-0.212787	0.095847	4.000121E+9
1078.87	0.6	3.934491	-0.672912	-0.000258	0	0.000446	-0.212787	0.096284	4.000122E+9
918.26	0.5	3.933578	-0.671038	-0.000541	0	-0.000783	-0.212787	0.095996	4.000123E+9
757.37	0.4	3.93516	-0.672471	-0.000618	0	-0.00056	-0.212787	0.09537	4.000124E+9
596.24	0.3	3.933854	-0.671411	-0.000352	0	-0.000466	-0.212787	0.095601	4.000125E+9
434.94	0.2	3.932867	-0.672042	-0.000155	0	-0.000496	-0.212787	0.095367	4.000126E+9
273.52	0.1	3.935368	-0.671899	-0.000742	0	0.000356	-0.212787	0.095333	4.000127E+9
112.03	0	3.933611	-0.671376	1.6E-5	0	-0.000433	-0.212787	0.096203	4.000128E+9
-49.47	-0.1	3.935021	-0.671353	0.00069	0	-0.000623	-0.212787	0.09532	4.000129E+9
-210.93	-0.2	3.934969	-0.671463	9.7E-5	0	0.000381	-0.212787	0.095902	4.00013E+9
-372.3	-0.3	3.933672	-0.671896	0.000582	0	-0.000198	-0.212787	0.095387	4.000131E+9
-533.51	-0.4	2.051221	-0.325989	-0.002528	0	-0.002512	-0.212787	0.096245	4.000132E+9
-694.51	-0.5	-0.234825	0.084279	-0.005609	0	-0.004281	-0.212787	0.09556	4.000133E+9
-855.25	-0.6	-1.129697	0.243938	-0.005421	0	-0.006321	-0.212787	0.096313	4.000134E+9
-1015.68	-0.7	-1.760383	0.359894	-0.006195	0	-0.006898	-0.212787	0.096369	4.000135E+9
-1175.74	-0.8	-2.27002	0.451127	-0.006831	0	-0.007373	-0.212787	0.095537	4.000136E+9
