24/05/2022	09:28

Si\Ta3\(Co88Tb12)20\Pt3-20220523_APEJ1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
5980.04	4	3.968376	-0.354381	-0.000949	0	-0.001285	-0.212787	0.024005	3.361337E+9
5679.98	3.75	3.96783	-0.356232	-0.001054	0	-0.001166	-0.212787	0.024048	3.361337E+9
5367.05	3.5	3.969975	-0.357493	-0.001428	0	-0.001171	-0.212787	0.02399	3.361338E+9
5042.1	3.25	3.97208	-0.354212	-0.001655	0	-0.001038	-0.212787	0.023968	3.361339E+9
4705.98	3	3.978889	-0.358451	-0.001038	0	-0.001317	-0.212787	0.024049	3.36134E+9
4359.54	2.75	3.979643	-0.358071	-0.001661	0	-0.001146	-0.212787	0.023983	3.361341E+9
4003.65	2.5	3.977889	-0.358994	-0.00137	0	-0.001017	-0.212787	0.023943	3.361342E+9
3639.15	2.25	3.981407	-0.359416	-0.00105	0	-0.001041	-0.212787	0.024018	3.361343E+9
3266.89	2	3.982135	-0.359962	-0.001576	0	-0.00114	-0.212787	0.024008	3.361344E+9
3191.58	1.95	3.979156	-0.360566	-0.001424	0	-0.000823	-0.212787	0.02404	3.361345E+9
3116	1.9	3.982193	-0.358266	-0.001138	0	-0.000976	-0.212787	0.023996	3.361346E+9
3040.16	1.85	3.982723	-0.358133	-0.001111	0	-0.001133	-0.212787	0.024024	3.361347E+9
2964.07	1.8	3.982375	-0.35773	-0.000904	0	-0.001027	-0.212787	0.024039	3.361348E+9
2887.73	1.75	3.984692	-0.360829	-0.001121	0	-0.00104	-0.212787	0.02399	3.361349E+9
2811.14	1.7	3.983815	-0.359189	-0.001157	0	-0.001122	-0.212787	0.023998	3.36135E+9
2734.32	1.65	3.986466	-0.357776	-0.001073	0	-0.000957	-0.212787	0.024025	3.361351E+9
2657.27	1.6	3.982645	-0.35903	-0.001219	0	-0.001043	-0.212787	0.024019	3.361352E+9
2580	1.55	3.984165	-0.358204	-0.001088	0	-0.000916	-0.212787	0.024013	3.361353E+9
2502.52	1.5	3.988412	-0.357665	-0.00099	0	-0.00094	-0.212787	0.024023	3.361354E+9
2424.82	1.45	3.989432	-0.359585	-0.000806	0	-0.001164	-0.212787	0.023998	3.361355E+9
2346.93	1.4	3.988824	-0.358282	-0.001078	0	-0.001151	-0.212787	0.024039	3.361356E+9
2268.84	1.35	3.989727	-0.362054	-0.001181	0	-0.000896	-0.212787	0.02409	3.361357E+9
2190.57	1.3	3.99155	-0.3607	-0.001143	0	-0.001303	-0.212787	0.024051	3.361358E+9
2112.11	1.25	3.994896	-0.358997	-0.0016	0	-0.001157	-0.212787	0.024072	3.361359E+9
2033.48	1.2	3.991933	-0.359806	-0.000961	0	-0.001157	-0.212787	0.024032	3.36136E+9
1954.69	1.15	3.992752	-0.360277	-0.001057	0	-0.001281	-0.212787	0.024083	3.361361E+9
1875.73	1.1	3.993905	-0.361369	-0.001182	0	-0.001059	-0.212787	0.024028	3.361362E+9
1796.62	1.05	3.995176	-0.359497	-0.001286	0	-0.001347	-0.212787	0.024022	3.361363E+9
1717.37	1	3.989568	-0.359533	-0.001188	0	-0.000912	-0.212787	0.024037	3.361364E+9
1637.97	0.95	3.993532	-0.359712	-0.001256	0	-0.001092	-0.212787	0.024035	3.361365E+9
