25/05/2022	20:30

Si\Ta3\(Co88Tb12)75\Pt3-20220525_APEJ1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7814.63	6	4.951128	-0.496785	-0.010714	0	-0.011214	-0.212787	0.087924	3.486776E+9
7717.23	5.85	4.952493	-0.494251	-0.010122	0	-0.011106	-0.212787	0.087955	3.486776E+9
7612.62	5.7	4.954845	-0.495531	-0.01058	0	-0.011729	-0.212787	0.088317	3.486776E+9
7500.98	5.55	4.95569	-0.495534	-0.011203	0	-0.010375	-0.212787	0.088058	3.486777E+9
7382.49	5.4	4.96004	-0.495216	-0.00967	0	-0.010402	-0.212787	0.087949	3.486777E+9
7257.34	5.25	4.96119	-0.492477	-0.010808	0	-0.010621	-0.212787	0.088531	3.486777E+9
7125.71	5.1	4.96095	-0.496041	-0.010198	0	-0.010893	-0.212787	0.088003	3.486778E+9
6987.79	4.95	4.961668	-0.493	-0.011193	0	-0.011425	-0.212787	0.087877	3.486778E+9
6843.76	4.8	4.966385	-0.498111	-0.010194	0	-0.011499	-0.212787	0.088316	3.486779E+9
6693.81	4.65	4.965381	-0.497789	-0.010869	0	-0.010848	-0.212787	0.088649	3.486779E+9
6538.11	4.5	4.964163	-0.495525	-0.01061	0	-0.011578	-0.212787	0.088063	3.486779E+9
6376.86	4.35	4.967645	-0.496269	-0.009932	0	-0.011135	-0.212787	0.088011	3.48678E+9
6210.24	4.2	4.963367	-0.498787	-0.01231	0	-0.010703	-0.212787	0.08863	3.48678E+9
6038.43	4.05	4.969734	-0.496428	-0.011031	0	-0.010772	-0.212787	0.087836	3.486781E+9
5861.61	3.9	4.967009	-0.493322	-0.009901	0	-0.011426	-0.212787	0.088125	3.486781E+9
5679.98	3.75	4.969881	-0.498504	-0.010986	0	-0.011491	-0.212787	0.08853	3.486781E+9
5493.71	3.6	4.972158	-0.492429	-0.010935	0	-0.010606	-0.212787	0.088597	3.486782E+9
5302.99	3.45	4.973269	-0.497409	-0.010332	0	-0.011249	-0.212787	0.088059	3.486782E+9
5108.01	3.3	4.971001	-0.500171	-0.011544	0	-0.011015	-0.212787	0.088566	3.486783E+9
4908.94	3.15	4.974491	-0.496899	-0.011977	0	-0.010814	-0.212787	0.088581	3.486783E+9
4705.98	3	4.976914	-0.495011	-0.010535	0	-0.011995	-0.212787	0.088495	3.486783E+9
4499.3	2.85	4.975546	-0.497367	-0.011117	0	-0.010925	-0.212787	0.088222	3.486784E+9
4289.09	2.7	4.976726	-0.495236	-0.012418	0	-0.010952	-0.212787	0.088416	3.486784E+9
4075.54	2.55	4.980559	-0.49329	-0.010927	0	-0.01115	-0.212787	0.088663	3.486785E+9
3858.83	2.4	4.981677	-0.496493	-0.011259	0	-0.010612	-0.212787	0.088575	3.486785E+9
3639.15	2.25	4.979042	-0.499128	-0.012645	0	-0.010586	-0.212787	0.088479	3.486785E+9
3416.67	2.1	4.979893	-0.496434	-0.010668	0	-0.012167	-0.212787	0.088284	3.486786E+9
3191.58	1.95	4.981749	-0.497721	-0.010446	0	-0.010565	-0.212787	0.088383	3.486786E+9
2964.07	1.8	4.981979	-0.499462	-0.011294	0	-0.010851	-0.212787	0.088431	3.486787E+9
2734.32	1.65	4.980738	-0.499492	-0.011502	0	-0.012427	-0.212787	0.088067	3.486787E+9
2502.52	1.5	4.983126	-0.497055	-0.010605	0	-0.011369	-0.212787	0.088006	3.486787E+9
2268.84	1.35	4.985114	-0.499956	-0.0117	0	-0.011569	-0.212787	0.088567	3.486788E+9
