25/05/2022	21:02

Si\Ta3\(Co90Tb10)75\Pt3-20220525_APEJ1 ETHANOL

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7814.63	6	4.682317	-0.443414	0.010328	0	0.011747	-0.212787	0.082718	3.48861E+9
7683.15	5.8	4.713204	-0.44345	0.011028	0	0.011123	-0.212787	0.08227	3.488611E+9
7538.96	5.6	4.713919	-0.444944	0.011321	0	0.011482	-0.212787	0.082443	3.488612E+9
7382.49	5.4	4.716651	-0.447251	0.011214	0	0.011346	-0.212787	0.082696	3.488613E+9
7214.18	5.2	4.718438	-0.448147	0.010801	0	0.01232	-0.212787	0.082754	3.488614E+9
7034.46	5	4.720221	-0.447969	0.011591	0	0.011331	-0.212787	0.082404	3.488615E+9
6843.76	4.8	4.721885	-0.446305	0.010727	0	0.0126	-0.212787	0.082719	3.488616E+9
6642.54	4.6	4.723993	-0.448112	0.011436	0	0.011499	-0.212787	0.082701	3.488617E+9
6431.22	4.4	4.726709	-0.446283	0.012139	0	0.011619	-0.212787	0.082372	3.488618E+9
6210.24	4.2	4.726293	-0.446286	0.010994	0	0.012415	-0.212787	0.082695	3.488619E+9
5980.04	4	4.726768	-0.448001	0.011851	0	0.011929	-0.212787	0.08222	3.48862E+9
5741.05	3.8	4.729377	-0.447085	0.011499	0	0.011919	-0.212787	0.082755	3.488621E+9
5493.71	3.6	4.732567	-0.449691	0.01169	0	0.011652	-0.212787	0.082241	3.488622E+9
5238.46	3.4	4.734506	-0.4497	0.011479	0	0.011801	-0.212787	0.082455	3.488623E+9
4975.74	3.2	4.734471	-0.448024	0.010795	0	0.011481	-0.212787	0.082675	3.488624E+9
4705.98	3	4.737294	-0.447491	0.011005	0	0.012267	-0.212787	0.082677	3.488625E+9
4429.62	2.8	4.737453	-0.450457	0.011348	0	0.011501	-0.212787	0.082691	3.488626E+9
4147.09	2.6	4.738658	-0.4488	0.012128	0	0.012562	-0.212787	0.082507	3.488627E+9
3858.83	2.4	4.74143	-0.451006	0.012098	0	0.012158	-0.212787	0.082299	3.488628E+9
3565.29	2.2	4.743204	-0.451406	0.011635	0	0.011775	-0.212787	0.082215	3.488629E+9
3266.89	2	4.741894	-0.45101	0.01128	0	0.011774	-0.212787	0.082491	3.48863E+9
2964.07	1.8	4.744295	-0.450392	0.011426	0	0.011968	-0.212787	0.082311	3.488631E+9
2657.27	1.6	4.745029	-0.45253	0.012084	0	0.012329	-0.212787	0.082337	3.488632E+9
2346.93	1.4	4.745777	-0.449697	0.011689	0	0.011494	-0.212787	0.082784	3.488633E+9
2033.48	1.2	4.74539	-0.451442	0.012071	0	0.012078	-0.212787	0.082794	3.488634E+9
1717.37	1	4.746218	-0.450876	0.01124	0	0.011808	-0.212787	0.082422	3.488635E+9
1399.02	0.8	4.746066	-0.450116	0.011289	0	0.011676	-0.212787	0.082219	3.488636E+9
1078.87	0.6	4.74975	-0.448921	0.011784	0	0.011516	-0.212787	0.082517	3.488637E+9
757.37	0.4	4.75078	-0.449203	0.01229	0	0.011563	-0.212787	0.082254	3.488638E+9
434.94	0.2	4.751719	-0.449359	0.011346	0	0.012207	-0.212787	0.082267	3.488639E+9
112.03	0	4.755007	-0.451565	0.011761	0	0.011603	-0.212787	0.082704	3.48864E+9
-210.93	-0.2	4.754035	-0.45305	0.011639	0	0.011814	-0.212787	0.08277	3.488641E+9
-533.51	-0.4	4.754743	-0.451958	0.012112	0	0.012103	-0.212787	0.082581	3.488642E+9
-855.25	-0.6	4.757843	-0.454567	0.011886	0	0.011518	-0.212787	0.082507	3.488643E+9
-1175.74	-0.8	4.758596	-0.450714	0.012053	0	0.01176	-0.212787	0.082351	3.488644E+9
-1494.53	-1	4.758086	-0.450155	0.011596	0	0.012302	-0.212787	0.082647	3.488645E+9
-1811.18	-1.2	4.760169	-0.450932	0.012026	0	0.011851	-0.212787	0.082268	3.488646E+9
-2125.26	-1.4	4.760582	-0.453209	0.012267	0	0.012524	-0.212787	0.082223	3.488647E+9
-2436.33	-1.6	4.762294	-0.451581	0.012074	0	0.0118	-0.212787	0.082614	3.488648E+9
-2743.95	-1.8	4.762794	-0.453774	0.01205	0	0.012709	-0.212787	0.082352	3.488649E+9
-3047.69	-2	4.763801	-0.450334	0.011669	0	0.012403	-0.212787	0.082384	3.48865E+9
-3347.11	-2.2	4.766982	-0.455071	0.012274	0	0.011864	-0.212787	0.082737	3.488651E+9
-3641.77	-2.4	4.765341	-0.450253	0.01172	0	0.01226	-0.212787	0.082359	3.488652E+9
-3931.24	-2.6	4.769054	-0.452845	0.011859	0	0.012039	-0.212787	0.082729	3.488653E+9
-4215.08	-2.8	4.769422	-0.454255	0.012536	0	0.01254	-0.212787	0.082313	3.488654E+9
-4492.85	-3	4.76873	-0.455142	0.012465	0	0.01193	-0.212787	0.082703	3.488655E+9
-4764.12	-3.2	4.668143	-0.443762	0.012597	0	0.011734	-0.212787	0.082399	3.488656E+9
-5028.44	-3.4	-2.809396	0.309261	0.002692	0	0.003263	-0.212787	0.082356	3.488657E+9
-5285.39	-3.6	-3.857353	0.409584	0.002636	0	0.001651	-0.212787	0.082371	3.488658E+9
-5534.53	-3.8	-4.052857	0.428473	0.001863	0	0.00166	-0.212787	0.082675	3.488659E+9
-5775.41	-4	-4.176617	0.441413	0.001457	0	0.001795	-0.212787	0.08266	3.48866E+9
-6007.6	-4.2	-4.213147	0.443603	0.001444	0	0.001928	-0.212787	0.082888	3.488661E+9
-6230.67	-4.4	-4.224472	0.44497	0.001857	0	0.00185	-0.212787	0.082707	3.488662E+9
-6444.17	-4.6	-4.244579	0.448872	0.002499	0	0.001658	-0.212787	0.082373	3.488663E+9
-6647.68	-4.8	-4.247698	0.447719	0.002212	0	0.002046	-0.212787	0.082361	3.488664E+9
