25/05/2022	20:29

Si\Ta3\(Co88Tb12)75\Pt3-20220525_APEJ1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7814.63	6	4.956674	-0.495437	-0.010926	0	-0.010762	-0.212787	0.088408	3.486711E+9
7717.23	5.85	4.958815	-0.493985	-0.01008	0	-0.011114	-0.212787	0.088609	3.486711E+9
7612.62	5.7	4.961268	-0.49864	-0.01091	0	-0.011242	-0.212787	0.087985	3.486712E+9
7500.98	5.55	4.958753	-0.503312	-0.010805	0	-0.009971	-0.212787	0.087994	3.486712E+9
7382.49	5.4	4.965901	-0.499781	-0.011507	0	-0.010642	-0.212787	0.088438	3.486713E+9
7257.34	5.25	4.964942	-0.500261	-0.010067	0	-0.010117	-0.212787	0.087999	3.486713E+9
7125.71	5.1	4.966187	-0.497851	-0.011537	0	-0.011524	-0.212787	0.087961	3.486713E+9
6987.79	4.95	4.966784	-0.50109	-0.011424	0	-0.010845	-0.212787	0.088536	3.486714E+9
6843.76	4.8	4.974582	-0.501665	-0.010964	0	-0.010665	-0.212787	0.088061	3.486714E+9
6693.81	4.65	4.969432	-0.503686	-0.010316	0	-0.011536	-0.212787	0.088257	3.486715E+9
6538.11	4.5	4.973432	-0.500333	-0.011879	0	-0.010667	-0.212787	0.088553	3.486715E+9
6376.86	4.35	4.970358	-0.494641	-0.010382	0	-0.00994	-0.212787	0.088018	3.486715E+9
6210.24	4.2	4.970394	-0.495239	-0.010871	0	-0.011114	-0.212787	0.088049	3.486716E+9
6038.43	4.05	4.972229	-0.497325	-0.011044	0	-0.011108	-0.212787	0.088318	3.486716E+9
5861.61	3.9	4.973656	-0.498085	-0.011276	0	-0.011658	-0.212787	0.088511	3.486717E+9
5679.98	3.75	4.976609	-0.502078	-0.010562	0	-0.011476	-0.212787	0.08839	3.486717E+9
5493.71	3.6	4.977398	-0.499313	-0.010461	0	-0.011071	-0.212787	0.087973	3.486717E+9
5302.99	3.45	4.982541	-0.500372	-0.011572	0	-0.011551	-0.212787	0.088628	3.486718E+9
5108.01	3.3	4.981463	-0.499085	-0.010723	0	-0.011656	-0.212787	0.087981	3.486718E+9
4908.94	3.15	4.979465	-0.500076	-0.011362	0	-0.011774	-0.212787	0.088375	3.486719E+9
4705.98	3	4.987411	-0.503842	-0.011625	0	-0.010652	-0.212787	0.088229	3.486719E+9
4499.3	2.85	4.987424	-0.497208	-0.011528	0	-0.011444	-0.212787	0.088629	3.486719E+9
4289.09	2.7	4.984156	-0.501889	-0.010888	0	-0.011561	-0.212787	0.08834	3.48672E+9
4075.54	2.55	4.990553	-0.502013	-0.010184	0	-0.011456	-0.212787	0.088071	3.48672E+9
3858.83	2.4	4.987047	-0.493124	-0.011182	0	-0.0116	-0.212787	0.088645	3.486721E+9
3639.15	2.25	4.985615	-0.49904	-0.011653	0	-0.010534	-0.212787	0.088482	3.486721E+9
3416.67	2.1	4.989594	-0.50097	-0.010751	0	-0.011394	-0.212787	0.088417	3.486721E+9
3191.58	1.95	4.988649	-0.500989	-0.012023	0	-0.010682	-0.212787	0.08862	3.486722E+9
2964.07	1.8	4.988246	-0.503507	-0.011724	0	-0.011743	-0.212787	0.08847	3.486722E+9
2734.32	1.65	4.988597	-0.497718	-0.011335	0	-0.009895	-0.212787	0.088487	3.486723E+9
2502.52	1.5	4.991674	-0.497289	-0.010777	0	-0.011276	-0.212787	0.088084	3.486723E+9
2268.84	1.35	4.992106	-0.49839	-0.010954	0	-0.010866	-0.212787	0.088019	3.486723E+9
2033.48	1.2	4.990173	-0.500261	-0.011746	0	-0.011852	-0.212787	0.088208	3.486724E+9
1796.62	1.05	4.99092	-0.49713	-0.011557	0	-0.010851	-0.212787	0.088675	3.486724E+9
1558.44	0.9	4.991151	-0.498088	-0.012078	0	-0.011191	-0.212787	0.088227	3.486725E+9
1319.13	0.75	4.989731	-0.498429	-0.011718	0	-0.011885	-0.212787	0.088329	3.486725E+9
1078.87	0.6	4.990686	-0.501938	-0.011025	0	-0.01125	-0.212787	0.088125	3.486725E+9
837.85	0.45	4.994848	-0.505284	-0.011281	0	-0.010454	-0.212787	0.088612	3.486726E+9
596.24	0.3	4.990377	-0.500031	-0.011417	0	-0.010514	-0.212787	0.088695	3.486726E+9
354.24	0.15	4.995156	-0.501545	-0.012184	0	-0.011179	-0.212787	0.088612	3.486727E+9
112.03	0	4.993558	-0.503052	-0.010878	0	-0.010643	-0.212787	0.088417	3.486727E+9
-130.21	-0.15	4.994611	-0.498601	-0.010696	0	-0.011144	-0.212787	0.088623	3.486727E+9
-372.3	-0.3	4.998974	-0.500749	-0.011502	0	-0.011967	-0.212787	0.08827	3.486728E+9
