25/05/2022	21:04

Si\Ta3\(Co90Tb10)75\Pt3-20220525_APEJ1 ETHANOL

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7814.63	6	4.726466	-0.447329	0.015335	0	0.014627	-0.212787	0.082273	3.488731E+9
7683.15	5.8	4.729425	-0.451757	0.015354	0	0.014544	-0.212787	0.082436	3.488732E+9
7538.96	5.6	4.73166	-0.44881	0.014818	0	0.015051	-0.212787	0.082743	3.488733E+9
7382.49	5.4	4.732151	-0.448375	0.015017	0	0.014272	-0.212787	0.082652	3.488734E+9
7214.18	5.2	4.73603	-0.447855	0.014818	0	0.015016	-0.212787	0.082198	3.488735E+9
7034.46	5	4.73861	-0.449112	0.015603	0	0.014151	-0.212787	0.08265	3.488736E+9
6843.76	4.8	4.74166	-0.44829	0.014404	0	0.015192	-0.212787	0.082707	3.488737E+9
6642.54	4.6	4.740387	-0.450539	0.014953	0	0.014704	-0.212787	0.082498	3.488738E+9
6431.22	4.4	4.744194	-0.450808	0.015436	0	0.01475	-0.212787	0.082748	3.488739E+9
6210.24	4.2	4.744305	-0.447826	0.014694	0	0.014468	-0.212787	0.082198	3.48874E+9
5980.04	4	4.745998	-0.45137	0.014801	0	0.014996	-0.212787	0.082808	3.488741E+9
5741.05	3.8	4.747447	-0.45137	0.014349	0	0.01461	-0.212787	0.082316	3.488742E+9
5493.71	3.6	4.748382	-0.447569	0.015564	0	0.015515	-0.212787	0.08276	3.488743E+9
5238.46	3.4	4.752248	-0.449096	0.015092	0	0.014373	-0.212787	0.082468	3.488744E+9
4975.74	3.2	4.751482	-0.450084	0.015168	0	0.014566	-0.212787	0.082555	3.488745E+9
4705.98	3	4.754919	-0.449951	0.015132	0	0.015257	-0.212787	0.082764	3.488746E+9
4429.62	2.8	4.75588	-0.453677	0.014969	0	0.015329	-0.212787	0.082682	3.488747E+9
4147.09	2.6	4.755383	-0.451351	0.01535	0	0.01488	-0.212787	0.082335	3.488748E+9
3858.83	2.4	4.756241	-0.451383	0.015277	0	0.014682	-0.212787	0.082675	3.488749E+9
3565.29	2.2	4.758405	-0.45227	0.01514	0	0.01515	-0.212787	0.082756	3.48875E+9
3266.89	2	4.759747	-0.449138	0.015319	0	0.015074	-0.212787	0.082253	3.488751E+9
2964.07	1.8	4.760023	-0.45011	0.014825	0	0.015383	-0.212787	0.08276	3.488752E+9
2657.27	1.6	4.76012	-0.452345	0.015647	0	0.015082	-0.212787	0.082801	3.488753E+9
2346.93	1.4	4.761881	-0.454557	0.015	0	0.015032	-0.212787	0.082603	3.488754E+9
2033.48	1.2	4.761871	-0.454132	0.014662	0	0.014745	-0.212787	0.082341	3.488755E+9
1717.37	1	4.763863	-0.452754	0.014888	0	0.014699	-0.212787	0.082231	3.488756E+9
1399.02	0.8	4.764678	-0.450909	0.014846	0	0.015051	-0.212787	0.082601	3.488757E+9
1078.87	0.6	4.764831	-0.452335	0.014542	0	0.014533	-0.212787	0.082365	3.488758E+9
757.37	0.4	4.766491	-0.451542	0.01501	0	0.0147	-0.212787	0.082302	3.488759E+9
434.94	0.2	4.769035	-0.452732	0.014698	0	0.014235	-0.212787	0.082315	3.48876E+9
112.03	0	4.768278	-0.455655	0.014419	0	0.014614	-0.212787	0.08253	3.488761E+9
-210.93	-0.2	4.7696	-0.452364	0.014501	0	0.015323	-0.212787	0.082546	3.488762E+9
-533.51	-0.4	4.770529	-0.454262	0.014796	0	0.014796	-0.212787	0.082359	3.488763E+9
-855.25	-0.6	4.77293	-0.453885	0.015132	0	0.015171	-0.212787	0.082568	3.488764E+9
-1175.74	-0.8	4.775344	-0.453797	0.014522	0	0.014878	-0.212787	0.082295	3.488765E+9
-1494.53	-1	4.774347	-0.453508	0.014337	0	0.014702	-0.212787	0.082288	3.488766E+9
-1811.18	-1.2	4.777839	-0.453024	0.01452	0	0.015559	-0.212787	0.08279	3.488767E+9
-2125.26	-1.4	4.777375	-0.451757	0.015008	0	0.014788	-0.212787	0.082678	3.488768E+9
-2436.33	-1.6	4.780107	-0.454093	0.015446	0	0.015424	-0.212787	0.082827	3.488769E+9
-2743.95	-1.8	4.78103	-0.454018	0.016018	0	0.014634	-0.212787	0.082865	3.48877E+9
-3047.69	-2	4.782784	-0.45457	0.015675	0	0.015385	-0.212787	0.082761	3.488771E+9
-3347.11	-2.2	4.78192	-0.454138	0.015805	0	0.014683	-0.212787	0.082476	3.488772E+9
-3641.77	-2.4	4.786234	-0.454587	0.014663	0	0.015538	-0.212787	0.082246	3.488773E+9
-3931.24	-2.6	4.78641	-0.454151	0.015632	0	0.015995	-0.212787	0.082832	3.488774E+9
-4215.08	-2.8	4.788424	-0.454856	0.01503	0	0.015516	-0.212787	0.082781	3.488775E+9
-4492.85	-3	4.78923	-0.453173	0.014488	0	0.01547	-0.212787	0.082253	3.488776E+9
-4764.12	-3.2	4.75925	-0.451874	0.014425	0	0.014937	-0.212787	0.082552	3.488777E+9
-5028.44	-3.4	-2.777314	0.30562	0.006423	0	0.006547	-0.212787	0.082525	3.488778E+9
-5285.39	-3.6	-3.881684	0.411345	0.004647	0	0.005836	-0.212787	0.082459	3.488779E+9
-5534.53	-3.8	-4.085004	0.432423	0.004575	0	0.005192	-0.212787	0.082868	3.48878E+9
-5775.41	-4	-4.159515	0.436647	0.005332	0	0.004765	-0.212787	0.082928	3.488781E+9
-6007.6	-4.2	-4.21073	0.44103	0.00419	0	0.005289	-0.212787	0.082622	3.488782E+9
-6230.67	-4.4	-4.221158	0.4423	0.00448	0	0.004974	-0.212787	0.08244	3.488783E+9
-6444.17	-4.6	-4.232302	0.443232	0.00429	0	0.004552	-0.212787	0.082997	3.488784E+9
-6647.68	-4.8	-4.239917	0.445734	0.004986	0	0.005527	-0.212787	0.08298	3.488785E+9
-6840.75	-5	-4.246655	0.448778	0.005072	0	0.00529	-0.212787	0.082882	3.488786E+9
-7022.95	-5.2	-4.249056	0.445344	0.005028	0	0.006028	-0.212787	0.082585	3.488787E+9
-7193.84	-5.4	-4.252659	0.444954	0.005172	0	0.005536	-0.212787	0.082761	3.488788E+9
-7352.98	-5.6	-4.254744	0.445848	0.005408	0	0.005817	-0.212787	0.082477	3.488789E+9
-7499.94	-5.8	-4.255268	0.445393	0.005298	0	0.006147	-0.212787	0.082757	3.48879E+9
-7634.28	-6	-4.257149	0.446247	0.005579	0	0.00549	-0.212787	0.082985	3.488791E+9
-7499.94	-5.8	-4.262324	0.446686	0.005685	0	0.005543	-0.212787	0.082968	3.488792E+9
-7352.98	-5.6	-4.264059	0.448742	0.005466	0	0.005806	-0.212787	0.082911	3.488793E+9
-7193.84	-5.4	-4.264121	0.448801	0.005131	0	0.005492	-0.212787	0.082827	3.488794E+9
-7022.95	-5.2	-4.268039	0.4496	0.005603	0	0.005324	-0.212787	0.082877	3.488795E+9
-6840.75	-5	-4.269783	0.446198	0.004998	0	0.005573	-0.212787	0.082442	3.488796E+9
-6647.68	-4.8	-4.270245	0.448862	0.004644	0	0.005453	-0.212787	0.082545	3.488797E+9
-6444.17	-4.6	-4.273328	0.449684	0.004752	0	0.00596	-0.212787	0.082688	3.488798E+9
-6230.67	-4.4	-4.274715	0.447063	0.005321	0	0.005131	-0.212787	0.082812	3.488799E+9
-6007.6	-4.2	-4.274098	0.450042	0.005196	0	0.005156	-0.212787	0.08287	3.4888E+9
-5775.41	-4	-4.277103	0.449642	0.005273	0	0.005496	-0.212787	0.082783	3.488801E+9
-5534.53	-3.8	-4.278867	0.450513	0.005406	0	0.005759	-0.212787	0.082956	3.488802E+9
