19/05/2022	16:09

Si\Pt3\(Co88Tb12)75\Pt3-20220518_APEJ6

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	3.841588	-0.112075	0.003564	0	0.001972	-0.212787	0.064601	2.953454E+9
8204.61	6.8	3.914066	-0.116767	0.002656	0	0.002408	-0.212787	0.064395	2.953454E+9
8128.37	6.6	3.917185	-0.114678	0.002885	0	0.002903	-0.212787	0.064508	2.953455E+9
8037.67	6.4	3.920316	-0.12035	0.002392	0	0.002649	-0.212787	0.064494	2.953456E+9
7932.95	6.2	3.918565	-0.125935	0.002142	0	0.001983	-0.212787	0.064583	2.953457E+9
7814.63	6	3.919384	-0.122488	0.003045	0	0.001716	-0.212787	0.064621	2.953458E+9
7683.15	5.8	3.914134	-0.116276	0.003093	0	0.001945	-0.212787	0.064454	2.953459E+9
7538.96	5.6	3.91403	-0.112748	0.003117	0	0.002879	-0.212787	0.06451	2.95346E+9
7382.49	5.4	3.912406	-0.119109	0.002516	0	0.00291	-0.212787	0.064405	2.953461E+9
7214.18	5.2	3.91145	-0.118813	0.003246	0	0.002404	-0.212787	0.064336	2.953462E+9
7034.46	5	3.909605	-0.125616	0.002417	0	0.002088	-0.212787	0.064399	2.953463E+9
6843.76	4.8	3.91017	-0.118108	0.001991	0	0.001842	-0.212787	0.064547	2.953464E+9
6642.54	4.6	3.905356	-0.121594	0.003444	0	0.002618	-0.212787	0.06446	2.953465E+9
6431.22	4.4	3.909761	-0.119886	0.002163	0	0.001758	-0.212787	0.064312	2.953466E+9
6210.24	4.2	3.908016	-0.121185	0.002088	0	0.001742	-0.212787	0.064399	2.953467E+9
5980.04	4	3.900853	-0.125538	0.001659	0	0.002304	-0.212787	0.064186	2.953468E+9
5741.05	3.8	3.905317	-0.119353	0.001236	0	0.002336	-0.212787	0.064567	2.953469E+9
5493.71	3.6	3.9039	-0.119837	0.002484	0	0.001446	-0.212787	0.064366	2.95347E+9
5238.46	3.4	3.898247	-0.121698	0.001057	0	0.002472	-0.212787	0.064432	2.953471E+9
4975.74	3.2	3.898267	-0.115402	0.001884	0	0.001058	-0.212787	0.064295	2.953472E+9
4705.98	3	3.900898	-0.11754	0.002236	0	0.001115	-0.212787	0.064425	2.953473E+9
4429.62	2.8	3.900749	-0.119996	0.00205	0	0.001289	-0.212787	0.064487	2.953474E+9
4147.09	2.6	3.900382	-0.121507	0.001595	0	0.001238	-0.212787	0.064331	2.953475E+9
3858.83	2.4	3.897753	-0.116374	-0.000224	0	0.00091	-0.212787	0.064342	2.953476E+9
3565.29	2.2	3.901704	-0.114632	0.001075	0	0.000888	-0.212787	0.064281	2.953477E+9
3266.89	2	3.902978	-0.115402	0.001727	0	0.001444	-0.212787	0.06443	2.953478E+9
2964.07	1.8	3.900915	-0.121162	0.000821	0	0.00126	-0.212787	0.064424	2.953479E+9
2657.27	1.6	3.902045	-0.115438	0.001544	0	0.000469	-0.212787	0.064491	2.95348E+9
2346.93	1.4	3.903475	-0.116344	0.000628	0	0.002664	-0.212787	0.064546	2.953481E+9
