24/05/2022	10:05

Si\Ta3\(Co88Tb12)75\Pt3-20220523_APEJ3

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
5980.04	4	5.644055	-0.485746	0.002367	0	0.002672	-0.212787	0.022583	3.363582E+9
5861.61	3.9	5.646777	-0.479268	0.003186	0	0.002841	-0.212787	0.022483	3.363583E+9
5741.05	3.8	5.648152	-0.487477	0.003025	0	0.002654	-0.212787	0.022502	3.363584E+9
5618.4	3.7	5.646862	-0.481977	0.003269	0	0.002734	-0.212787	0.022571	3.363585E+9
5493.71	3.6	5.649575	-0.481077	0.003515	0	0.002688	-0.212787	0.022506	3.363586E+9
5367.05	3.5	5.64642	-0.478114	0.002969	0	0.002943	-0.212787	0.022482	3.363587E+9
5238.46	3.4	5.649831	-0.475805	0.002852	0	0.002751	-0.212787	0.022821	3.363588E+9
5108.01	3.3	5.649961	-0.48137	0.002887	0	0.002762	-0.212787	0.022635	3.363589E+9
4975.74	3.2	5.659555	-0.476864	0.002929	0	0.002709	-0.212787	0.022399	3.36359E+9
4841.71	3.1	5.654893	-0.482312	0.00294	0	0.002696	-0.212787	0.02244	3.363591E+9
4705.98	3	5.65397	-0.483049	0.003082	0	0.002736	-0.212787	0.022488	3.363592E+9
4568.59	2.9	5.655718	-0.489138	0.002989	0	0.002663	-0.212787	0.022874	3.363593E+9
4429.62	2.8	5.659636	-0.482507	0.003325	0	0.002755	-0.212787	0.022821	3.363594E+9
4289.09	2.7	5.660101	-0.479882	0.003308	0	0.002697	-0.212787	0.02286	3.363595E+9
4147.09	2.6	5.659522	-0.475886	0.00342	0	0.002755	-0.212787	0.022881	3.363596E+9
4003.65	2.5	5.660474	-0.481714	0.00234	0	0.002676	-0.212787	0.022791	3.363597E+9
3858.83	2.4	5.66373	-0.479541	0.002186	0	0.002954	-0.212787	0.022795	3.363598E+9
3712.69	2.3	5.666842	-0.480993	0.002617	0	0.002866	-0.212787	0.022731	3.363599E+9
3565.29	2.2	5.66168	-0.48275	0.002865	0	0.002599	-0.212787	0.022502	3.3636E+9
3416.67	2.1	5.670198	-0.487107	0.002383	0	0.002868	-0.212787	0.022416	3.363601E+9
3266.89	2	5.662372	-0.486136	0.00256	0	0.002677	-0.212787	0.022682	3.363602E+9
3116	1.9	5.661121	-0.479658	0.00264	0	0.002744	-0.212787	0.022674	3.363603E+9
2964.07	1.8	5.667628	-0.48021	0.00278	0	0.002671	-0.212787	0.022805	3.363604E+9
2811.14	1.7	5.662219	-0.483485	0.00255	0	0.002904	-0.212787	0.022822	3.363605E+9
2657.27	1.6	5.661904	-0.480804	0.002675	0	0.002673	-0.212787	0.022448	3.363606E+9
2502.52	1.5	5.664055	-0.486142	0.002436	0	0.002689	-0.212787	0.022819	3.363607E+9
2346.93	1.4	5.664344	-0.481129	0.002415	0	0.002683	-0.212787	0.022823	3.363608E+9
2190.57	1.3	5.665643	-0.483592	0.00251	0	0.002669	-0.212787	0.022845	3.363609E+9
2033.48	1.2	5.662979	-0.486613	0.00201	0	0.00281	-0.212787	0.022766	3.36361E+9
1875.73	1.1	5.666517	-0.480934	0.002603	0	0.00262	-0.212787	0.022825	3.363611E+9
1717.37	1	5.669743	-0.480138	0.002789	0	0.00262	-0.212787	0.022509	3.363612E+9
1558.44	0.9	5.672563	-0.480574	0.003153	0	0.002627	-0.212787	0.022566	3.363613E+9
1399.02	0.8	5.668314	-0.486149	0.003188	0	0.002888	-0.212787	0.022467	3.363614E+9
1239.14	0.7	5.667758	-0.482088	0.003211	0	0.002787	-0.212787	0.02293	3.363615E+9
1078.87	0.6	5.668135	-0.480756	0.003343	0	0.002797	-0.212787	0.022814	3.363616E+9
918.26	0.5	5.672082	-0.47993	0.003077	0	0.002842	-0.212787	0.022885	3.363617E+9
757.37	0.4	5.669552	-0.48342	0.002884	0	0.002696	-0.212787	0.022435	3.363618E+9
596.24	0.3	5.662924	-0.483413	0.00279	0	0.002802	-0.212787	0.022468	3.363619E+9
434.94	0.2	5.665185	-0.481227	0.002974	0	0.002573	-0.212787	0.022823	3.36362E+9
273.52	0.1	5.671335	-0.482123	0.002878	0	0.00257	-0.212787	0.022461	3.363621E+9
112.03	0	5.671504	-0.481792	0.002926	0	0.002787	-0.212787	0.022835	3.363622E+9
-49.47	-0.1	5.672817	-0.480418	0.002855	0	0.002715	-0.212787	0.022851	3.363623E+9
-210.93	-0.2	5.676429	-0.485194	0.002955	0	0.002938	-0.212787	0.022501	3.363624E+9
-372.3	-0.3	5.67512	-0.48302	0.002737	0	0.002953	-0.212787	0.022805	3.363625E+9
-533.51	-0.4	5.676455	-0.484787	0.002974	0	0.002738	-0.212787	0.022708	3.363626E+9
-694.51	-0.5	5.676221	-0.485609	0.002842	0	0.002831	-0.212787	0.022881	3.363627E+9
-855.25	-0.6	5.679964	-0.485574	0.002961	0	0.002696	-0.212787	0.022796	3.363628E+9
-1015.68	-0.7	5.669571	-0.483066	0.002569	0	0.002783	-0.212787	0.022782	3.363629E+9
-1175.74	-0.8	5.676465	-0.482708	0.002727	0	0.002767	-0.212787	0.022647	3.36363E+9
-1335.37	-0.9	5.675107	-0.483111	0.002214	0	0.00265	-0.212787	0.022404	3.363631E+9
-1494.53	-1	5.675887	-0.487403	0.00261	0	0.002864	-0.212787	0.022835	3.363632E+9
-1653.15	-1.1	5.669526	-0.484784	0.002835	0	0.002667	-0.212787	0.022776	3.363633E+9
-1811.18	-1.2	5.669123	-0.484609	0.002688	0	0.002726	-0.212787	0.022601	3.363634E+9
-1968.57	-1.3	5.673697	-0.482432	0.002593	0	0.002805	-0.212787	0.022512	3.363635E+9
-2125.26	-1.4	5.675045	-0.486772	0.002737	0	0.002823	-0.212787	0.022459	3.363636E+9
-2281.19	-1.5	5.673856	-0.481279	0.002664	0	0.002879	-0.212787	0.022796	3.363637E+9
-2436.33	-1.6	5.678658	-0.480821	0.002688	0	0.003037	-0.212787	0.022824	3.363638E+9
-2590.6	-1.7	5.679516	-0.479047	0.002762	0	0.002883	-0.212787	0.022532	3.363639E+9
-2743.95	-1.8	5.673093	-0.484417	0.002684	0	0.002656	-0.212787	0.022449	3.36364E+9
-2896.33	-1.9	5.671969	-0.478868	0.002372	0	0.002695	-0.212787	0.022468	3.363641E+9
-3047.69	-2	5.67051	-0.482692	0.002505	0	0.002667	-0.212787	0.022849	3.363642E+9
-3197.97	-2.1	4.862478	-0.399968	0.002077	0	0.002359	-0.212787	0.022776	3.363643E+9
-3347.11	-2.2	-1.69068	0.213968	-0.000107	0	0.000704	-0.212787	0.022632	3.363644E+9
-3495.06	-2.3	-4.382881	0.46151	-0.000529	0	-8E-5	-0.212787	0.022743	3.363645E+9
-3641.77	-2.4	-5.300928	0.547675	-0.001018	0	-0.00057	-0.212787	0.022785	3.363646E+9
-3787.18	-2.5	-5.647288	0.582846	-0.000719	0	-0.000759	-0.212787	0.022651	3.363647E+9
-3931.24	-2.6	-5.801649	0.593746	-0.000451	0	-0.000578	-0.212787	0.022562	3.363648E+9
-4073.89	-2.7	-5.872529	0.603278	-0.001024	0	-0.000619	-0.212787	0.022576	3.363649E+9
-4215.08	-2.8	-5.895748	0.607761	-0.000265	0	-0.000738	-0.212787	0.022769	3.36365E+9
-4354.75	-2.9	-5.915049	0.605575	-0.000143	0	-0.000704	-0.212787	0.022865	3.363651E+9
-4492.85	-3	-5.920806	0.606549	-0.000441	0	-0.000749	-0.212787	0.022549	3.363652E+9
-4629.32	-3.1	-5.923837	0.608343	-0.000296	0	-0.000667	-0.212787	0.022527	3.363653E+9
-4764.12	-3.2	-5.922161	0.607553	-0.000401	0	-0.000699	-0.212787	0.02287	3.363654E+9
-4897.18	-3.3	-5.931173	0.60179	-0.000582	0	-0.000681	-0.212787	0.02249	3.363655E+9
-5028.44	-3.4	-5.930202	0.606104	-0.000482	0	-0.000709	-0.212787	0.022698	3.363656E+9
-5157.87	-3.5	-5.931115	0.609896	-0.000436	0	-0.00053	-0.212787	0.022578	3.363657E+9
-5285.39	-3.6	-5.929253	0.602943	-0.000533	0	-0.000707	-0.212787	0.02263	3.363658E+9
-5410.96	-3.7	-5.934666	0.604214	-0.000735	0	-0.000643	-0.212787	0.022436	3.363659E+9
-5534.53	-3.8	-5.936667	0.605572	-0.000596	0	-0.000588	-0.212787	0.022822	3.36366E+9
-5656.02	-3.9	-5.939269	0.605351	-0.000619	0	-0.000548	-0.212787	0.022564	3.363661E+9
-5775.41	-4	-5.940653	0.607537	-0.000726	0	-0.000722	-0.212787	0.022586	3.363662E+9
-5656.02	-3.9	-5.939799	0.605607	-0.000457	0	-0.000624	-0.212787	0.022778	3.363663E+9
-5534.53	-3.8	-5.946582	0.608759	-0.000151	0	-0.000531	-0.212787	0.022792	3.363664E+9
-5410.96	-3.7	-5.945371	0.603038	-5.3E-5	0	-0.000491	-0.212787	0.0229	3.363665E+9
-5285.39	-3.6	-5.945754	0.608333	-0.00025	0	-0.00057	-0.212787	0.022789	3.363666E+9
-5157.87	-3.5	-5.946173	0.60653	-0.000351	0	-0.000776	-0.212787	0.022922	3.363667E+9
-5028.44	-3.4	-5.947083	0.607868	-0.000125	0	-0.000661	-0.212787	0.022538	3.363668E+9
-4897.18	-3.3	-5.94836	0.609564	-0.00059	0	-0.000556	-0.212787	0.022546	3.363669E+9
-4764.12	-3.2	-5.955822	0.604366	-0.00087	0	-0.000655	-0.212787	0.022664	3.36367E+9
-4629.32	-3.1	-5.96127	0.612245	-0.000818	0	-0.000546	-0.212787	0.022489	3.363671E+9
-4492.85	-3	-5.960237	0.610497	-0.000782	0	-0.000571	-0.212787	0.022744	3.363672E+9
-4354.75	-2.9	-5.961871	0.607732	-0.001202	0	-0.000636	-0.212787	0.022609	3.363673E+9
-4215.08	-2.8	-5.964574	0.607768	-0.00043	0	-0.000566	-0.212787	0.022496	3.363674E+9
-4073.89	-2.7	-5.963775	0.6142	-0.000572	0	-0.00052	-0.212787	0.022608	3.363675E+9
-3931.24	-2.6	-5.965036	0.609002	-0.000704	0	-0.000805	-0.212787	0.022812	3.363676E+9
-3787.18	-2.5	-5.966972	0.606312	-0.000646	0	-0.000705	-0.212787	0.022889	3.363677E+9
-3641.77	-2.4	-5.967846	0.612846	-0.00071	0	-0.00056	-0.212787	0.022918	3.363678E+9
-3495.06	-2.3	-5.963294	0.609499	-0.000837	0	-0.000568	-0.212787	0.022891	3.363679E+9
-3347.11	-2.2	-5.967216	0.602986	-0.000775	0	-0.000698	-0.212787	0.022858	3.36368E+9
-3197.97	-2.1	-5.965997	0.608086	-0.000708	0	-0.000832	-0.212787	0.022527	3.363681E+9
-3047.69	-2	-5.96385	0.603807	-0.000669	0	-0.000716	-0.212787	0.022827	3.363682E+9
-2896.33	-1.9	-5.963415	0.608174	-0.001025	0	-0.000771	-0.212787	0.022471	3.363683E+9
-2743.95	-1.8	-5.963447	0.607397	-0.001132	0	-0.000524	-0.212787	0.022572	3.363684E+9
-2590.6	-1.7	-5.963441	0.607768	-0.001265	0	-0.000649	-0.212787	0.022483	3.363685E+9
-2436.33	-1.6	-5.962615	0.604181	-0.001168	0	-0.000557	-0.212787	0.022603	3.363686E+9
-2281.19	-1.5	-5.959951	0.607121	-0.001064	0	-0.000865	-0.212787	0.022836	3.363687E+9
-2125.26	-1.4	-5.95615	0.607284	-0.001221	0	-0.0008	-0.212787	0.022824	3.363688E+9
-1968.57	-1.3	-5.961917	0.613843	-0.000453	0	-0.000852	-0.212787	0.022472	3.363689E+9
-1811.18	-1.2	-5.962723	0.60911	-0.000114	0	-0.000517	-0.212787	0.022875	3.36369E+9
-1653.15	-1.1	-5.962193	0.61217	-0.000447	0	-0.000692	-0.212787	0.022787	3.363691E+9
-1494.53	-1	-5.959172	0.605217	-0.001268	0	-0.000685	-0.212787	0.022828	3.363692E+9
-1335.37	-0.9	-5.961014	0.604305	-0.000201	0	-0.000578	-0.212787	0.022645	3.363693E+9
-1175.74	-0.8	-5.962843	0.608268	-0.000589	0	-0.000626	-0.212787	0.022918	3.363694E+9
-1015.68	-0.7	-5.963912	0.607816	-0.00038	0	-0.000402	-0.212787	0.022692	3.363695E+9
-855.25	-0.6	-5.96947	0.609763	-0.000431	0	-0.00081	-0.212787	0.022872	3.363696E+9
-694.51	-0.5	-5.968661	0.608736	-0.000612	0	-0.000438	-0.212787	0.022502	3.363697E+9
-533.51	-0.4	-5.968551	0.610295	-0.000525	0	-0.000692	-0.212787	0.022438	3.363698E+9
-372.3	-0.3	-5.968554	0.608648	-0.000692	0	-0.00068	-0.212787	0.022553	3.363699E+9
-210.93	-0.2	-5.976819	0.611705	-0.000679	0	-0.000723	-0.212787	0.022544	3.3637E+9
-49.47	-0.1	-5.971598	0.606046	-0.000551	0	-0.000625	-0.212787	0.022786	3.363701E+9
112.03	0	-5.972511	0.610864	-0.000525	0	-0.000728	-0.212787	0.022888	3.363702E+9
273.52	0.1	-5.974678	0.604181	-0.000701	0	-0.000552	-0.212787	0.022753	3.363703E+9
434.94	0.2	-5.972768	0.608184	-0.00034	0	-0.000664	-0.212787	0.022839	3.363704E+9
596.24	0.3	-5.973086	0.610536	-0.00061	0	-0.000655	-0.212787	0.0227	3.363705E+9
757.37	0.4	-5.967745	0.607797	-0.000187	0	-0.000703	-0.212787	0.022517	3.363706E+9
918.26	0.5	-5.973388	0.607888	-0.000657	0	-0.000886	-0.212787	0.022808	3.363707E+9
1078.87	0.6	-5.970039	0.601728	-0.000762	0	-0.000505	-0.212787	0.022521	3.363708E+9
1239.14	0.7	-5.966017	0.606475	-0.001029	0	-0.00072	-0.212787	0.022426	3.363709E+9
1399.02	0.8	-5.966277	0.615149	-0.001163	0	-0.00086	-0.212787	0.022441	3.36371E+9
1558.44	0.9	-5.973996	0.608681	-0.001013	0	-0.000758	-0.212787	0.022451	3.363711E+9
1717.37	1	-5.969282	0.608573	-0.000683	0	-0.00071	-0.212787	0.022581	3.363712E+9
1875.73	1.1	-5.971066	0.601449	-0.001199	0	-0.000606	-0.212787	0.022831	3.363713E+9
2033.48	1.2	-5.970393	0.60613	-0.000949	0	-0.000758	-0.212787	0.022672	3.363714E+9
2190.57	1.3	-5.968119	0.608924	-0.000845	0	-0.000661	-0.212787	0.022817	3.363715E+9
2346.93	1.4	-5.961884	0.611163	-0.000818	0	-0.0007	-0.212787	0.022478	3.363716E+9
2502.52	1.5	-5.963655	0.607537	-0.000818	0	-0.000697	-0.212787	0.022581	3.363717E+9
2657.27	1.6	-5.577672	0.576397	-0.000487	0	-0.000602	-0.212787	0.0225	3.363718E+9
2811.14	1.7	0.107693	0.034098	0.001551	0	0.001379	-0.212787	0.022677	3.363719E+9
2964.07	1.8	3.687994	-0.301575	0.002098	0	0.002344	-0.212787	0.022821	3.36372E+9
3116	1.9	4.84956	-0.403031	0.002593	0	0.002408	-0.212787	0.022742	3.363721E+9
3266.89	2	5.298041	-0.449359	0.002569	0	0.002804	-0.212787	0.02239	3.363722E+9
3416.67	2.1	5.479183	-0.465204	0.002619	0	0.002703	-0.212787	0.022786	3.363723E+9
3565.29	2.2	5.549553	-0.46996	0.002789	0	0.002732	-0.212787	0.022689	3.363724E+9
3712.69	2.3	5.579358	-0.470798	0.002535	0	0.00289	-0.212787	0.022375	3.363725E+9
3858.83	2.4	5.591732	-0.4765	0.002521	0	0.002675	-0.212787	0.022724	3.363726E+9
4003.65	2.5	5.60081	-0.469265	0.002615	0	0.003047	-0.212787	0.022634	3.363727E+9
4147.09	2.6	5.603925	-0.47149	0.002506	0	0.002838	-0.212787	0.022394	3.363728E+9
4289.09	2.7	5.60823	-0.478264	0.002363	0	0.002822	-0.212787	0.022714	3.363729E+9
4429.62	2.8	5.609539	-0.471753	0.002309	0	0.0029	-0.212787	0.022684	3.36373E+9
4568.59	2.9	5.611346	-0.473433	0.002536	0	0.002688	-0.212787	0.022684	3.363731E+9
4705.98	3	5.614806	-0.480525	0.002636	0	0.002968	-0.212787	0.022761	3.363732E+9
4841.71	3.1	5.610511	-0.477491	0.002631	0	0.00289	-0.212787	0.022763	3.363733E+9
4975.74	3.2	5.621901	-0.475691	0.002878	0	0.002935	-0.212787	0.022735	3.363734E+9
5108.01	3.3	5.619328	-0.483995	0.002486	0	0.002989	-0.212787	0.022351	3.363735E+9
5238.46	3.4	5.630848	-0.47789	0.003247	0	0.002614	-0.212787	0.022377	3.363736E+9
5367.05	3.5	5.624627	-0.477023	0.003253	0	0.002866	-0.212787	0.022732	3.363737E+9
5493.71	3.6	5.630309	-0.471942	0.002519	0	0.002863	-0.212787	0.022357	3.363738E+9
5618.4	3.7	5.621319	-0.473569	0.002994	0	0.003041	-0.212787	0.022525	3.363739E+9
5741.05	3.8	5.621232	-0.473914	0.003462	0	0.002596	-0.212787	0.022801	3.36374E+9
5861.61	3.9	5.625007	-0.477487	0.003386	0	0.00304	-0.212787	0.022462	3.363741E+9
5980.04	4	5.623291	-0.477679	0.00331	0	0.002842	-0.212787	0.022457	3.363742E+9
