25/05/2022	20:49

Si\Ta3\(Co90Tb10)75\Pt3-20220525_APEJ3

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7814.63	6	5.624929	-0.55246	-0.000928	0	-0.000944	-0.212787	0.092825	3.487946E+9
7612.62	5.7	5.632833	-0.555777	-0.001328	0	-0.001606	-0.212787	0.093136	3.487946E+9
7382.49	5.4	5.63783	-0.554438	-0.001052	0	-0.001501	-0.212787	0.092891	3.487946E+9
7125.71	5.1	5.640728	-0.557957	-0.001189	0	-0.00166	-0.212787	0.092939	3.487947E+9
6843.76	4.8	5.646586	-0.556703	-0.001509	0	-0.000755	-0.212787	0.093367	3.487947E+9
6538.11	4.5	5.646595	-0.558675	-6.4E-5	0	-0.001922	-0.212787	0.093147	3.487948E+9
6210.24	4.2	5.646365	-0.558925	-0.001777	0	-0.001339	-0.212787	0.093266	3.487948E+9
5861.61	3.9	5.650825	-0.558876	-0.000998	0	-0.001185	-0.212787	0.093307	3.487948E+9
5493.71	3.6	5.656261	-0.555348	-0.00048	0	-0.000371	-0.212787	0.0928	3.487949E+9
5108.01	3.3	5.656056	-0.557089	-0.00096	0	-0.001682	-0.212787	0.093404	3.487949E+9
4705.98	3	5.661715	-0.559974	-0.001694	0	-0.001285	-0.212787	0.093125	3.48795E+9
4568.59	2.9	5.661439	-0.560325	1.3E-5	0	-0.001516	-0.212787	0.092902	3.48795E+9
4429.62	2.8	5.659315	-0.557746	-0.001352	0	-0.001777	-0.212787	0.093249	3.48795E+9
4289.09	2.7	5.66178	-0.556063	-0.001068	0	-0.001785	-0.212787	0.092931	3.487951E+9
4147.09	2.6	5.658353	-0.558841	-0.000723	0	-0.000721	-0.212787	0.093079	3.487951E+9
4003.65	2.5	5.660302	-0.554338	-0.001283	0	-0.001916	-0.212787	0.093465	3.487952E+9
3858.83	2.4	5.664789	-0.552155	-0.001834	0	-0.001175	-0.212787	0.093356	3.487952E+9
3712.69	2.3	5.661261	-0.555488	-0.00138	0	-0.000413	-0.212787	0.093197	3.487952E+9
3565.29	2.2	5.661793	-0.559513	-0.000138	0	-0.001729	-0.212787	0.092949	3.487953E+9
3416.67	2.1	5.659243	-0.559055	-0.001392	0	-0.001299	-0.212787	0.093122	3.487953E+9
3266.89	2	5.662459	-0.557314	-0.000901	0	-0.001781	-0.212787	0.092764	3.487954E+9
3116	1.9	5.662284	-0.562421	-0.002596	0	-0.001714	-0.212787	0.092943	3.487954E+9
2964.07	1.8	5.662342	-0.559474	-0.001793	0	-0.001638	-0.212787	0.093281	3.487954E+9
2811.14	1.7	5.66412	-0.559107	-0.000793	0	-0.000728	-0.212787	0.093255	3.487955E+9
2657.27	1.6	5.66412	-0.560504	-0.001806	0	-0.001259	-0.212787	0.093173	3.487955E+9
2502.52	1.5	5.663993	-0.560007	-0.001421	0	-0.000845	-0.212787	0.093085	3.487956E+9
2346.93	1.4	5.664211	-0.555641	-0.001512	0	-0.000521	-0.212787	0.093215	3.487956E+9
2190.57	1.3	5.660114	-0.54976	-0.001161	0	-0.000601	-0.212787	0.093283	3.487956E+9
2033.48	1.2	5.666384	-0.556316	-0.001687	0	-0.001392	-0.212787	0.093083	3.487957E+9
1875.73	1.1	5.665273	-0.558441	-0.000749	0	-0.001641	-0.212787	0.092851	3.487957E+9
1717.37	1	5.668008	-0.555975	-0.001306	0	-0.000894	-0.212787	0.093207	3.487958E+9
1558.44	0.9	5.666287	-0.561943	-0.00123	0	-0.000756	-0.212787	0.09329	3.487958E+9
1399.02	0.8	5.668324	-0.560462	-0.001408	0	-0.001464	-0.212787	0.093029	3.487958E+9
1239.14	0.7	5.6646	-0.565017	-0.001784	0	-0.001026	-0.212787	0.093302	3.487959E+9
1078.87	0.6	5.668135	-0.559039	-0.001411	0	-0.00136	-0.212787	0.093174	3.487959E+9
918.26	0.5	5.668925	-0.55593	-0.001494	0	-0.00157	-0.212787	0.092851	3.48796E+9
757.37	0.4	5.670659	-0.559653	-0.001526	0	-0.001514	-0.212787	0.093085	3.48796E+9
596.24	0.3	5.669428	-0.559685	-0.001086	0	-0.001887	-0.212787	0.093191	3.48796E+9
434.94	0.2	5.670711	-0.557171	-0.001119	0	-0.000715	-0.212787	0.093212	3.487961E+9
273.52	0.1	5.670179	-0.561628	-0.000796	0	-0.001177	-0.212787	0.092799	3.487961E+9
112.03	0	5.667242	-0.560689	-0.001611	0	-0.000806	-0.212787	0.093333	3.487962E+9
-49.47	-0.1	5.669789	-0.562544	-0.001548	0	-0.002249	-0.212787	0.093031	3.487962E+9
-210.93	-0.2	5.67257	-0.56285	-0.00202	0	-0.000866	-0.212787	0.093111	3.487962E+9
-372.3	-0.3	5.672069	-0.56243	-0.001208	0	-0.001246	-0.212787	0.09308	3.487963E+9
-533.51	-0.4	5.677683	-0.558301	-0.000943	0	-0.00198	-0.212787	0.093291	3.487963E+9
-694.51	-0.5	5.675045	-0.564513	-0.001472	0	-0.001644	-0.212787	0.093289	3.487964E+9
-855.25	-0.6	5.676247	-0.563288	-0.001087	0	-0.001832	-0.212787	0.092891	3.487964E+9
-1015.68	-0.7	5.672021	-0.561482	-0.002001	0	-0.001151	-0.212787	0.09326	3.487964E+9
