19/05/2022	17:35

Si\Pt3\(Co88Tb12)75\Pt3-20220426_APRD1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	0.79882	0.089003	-0.003813	0	-0.005123	-0.212787	0.043874	2.9586E+9
8204.61	6.8	0.800483	0.09897	-0.005469	0	-0.004799	-0.212787	0.043857	2.958601E+9
8128.37	6.6	0.799291	0.087615	-0.004447	0	-0.003881	-0.212787	0.043849	2.958602E+9
8037.67	6.4	0.797849	0.083678	-0.004472	0	-0.005176	-0.212787	0.043881	2.958603E+9
7932.95	6.2	0.794895	0.088405	-0.00532	0	-0.003878	-0.212787	0.043852	2.958604E+9
7814.63	6	0.7801	0.08896	-0.005091	0	-0.00408	-0.212787	0.04388	2.958605E+9
7683.15	5.8	0.773115	0.083288	-0.003383	0	-0.005372	-0.212787	0.043871	2.958606E+9
7538.96	5.6	0.763817	0.098255	-0.003575	0	-0.004003	-0.212787	0.043929	2.958607E+9
7382.49	5.4	0.755332	0.08527	-0.003429	0	-0.004265	-0.212787	0.043915	2.958608E+9
7214.18	5.2	0.748454	0.100039	-0.003254	0	-0.004789	-0.212787	0.043925	2.958609E+9
7034.46	5	0.737395	0.089415	-0.004644	0	-0.003995	-0.212787	0.043904	2.958611E+9
6843.76	4.8	0.71157	0.099649	-0.003541	0	-0.004045	-0.212787	0.043897	2.958611E+9
6642.54	4.6	0.707753	0.090075	-0.004211	0	-0.00537	-0.212787	0.043872	2.958612E+9
6431.22	4.4	0.689836	0.089094	-0.003552	0	-0.004267	-0.212787	0.043826	2.958613E+9
6210.24	4.2	0.684491	0.089974	-0.00455	0	-0.003702	-0.212787	0.043831	2.958614E+9
5980.04	4	0.652228	0.094396	-0.004455	0	-0.004166	-0.212787	0.043855	2.958615E+9
5741.05	3.8	0.634349	0.100104	-0.003658	0	-0.004186	-0.212787	0.043901	2.958616E+9
5493.71	3.6	0.601485	0.093515	-0.003908	0	-0.004263	-0.212787	0.043921	2.958617E+9
5238.46	3.4	0.557223	0.1019	-0.003691	0	-0.004103	-0.212787	0.043917	2.958618E+9
4975.74	3.2	0.508657	0.100146	-0.004071	0	-0.003742	-0.212787	0.043903	2.958619E+9
4705.98	3	0.462273	0.095318	-0.004214	0	-0.004052	-0.212787	0.043898	2.95862E+9
4429.62	2.8	0.409016	0.102339	-0.004588	0	-0.003884	-0.212787	0.043894	2.958621E+9
4147.09	2.6	0.358679	0.099681	-0.003776	0	-0.00484	-0.212787	0.043857	2.958622E+9
3858.83	2.4	0.304642	0.111442	-0.004588	0	-0.005092	-0.212787	0.043859	2.958623E+9
3565.29	2.2	0.268983	0.106228	-0.005488	0	-0.004763	-0.212787	0.043822	2.958624E+9
3266.89	2	0.219981	0.117979	-0.0047	0	-0.004426	-0.212787	0.043815	2.958625E+9
2964.07	1.8	0.170249	0.100029	-0.005046	0	-0.004467	-0.212787	0.043832	2.958626E+9
2657.27	1.6	0.130906	0.116861	-0.004252	0	-0.004652	-0.212787	0.043877	2.958627E+9
2346.93	1.4	0.098879	0.10961	-0.004563	0	-0.005458	-0.212787	0.043819	2.958628E+9
2033.48	1.2	0.069409	0.120721	-0.004824	0	-0.005253	-0.212787	0.043923	2.958629E+9
1717.37	1	0.016837	0.11906	-0.004179	0	-0.003593	-0.212787	0.043923	2.95863E+9
1399.02	0.8	-0.044422	0.110899	-0.004429	0	-0.004916	-0.212787	0.043887	2.958631E+9
1078.87	0.6	-0.08216	0.121367	-0.004355	0	-0.00377	-0.212787	0.043894	2.958632E+9
757.37	0.4	-0.129115	0.120055	-0.004121	0	-0.003912	-0.212787	0.043893	2.958633E+9
434.94	0.2	-0.172568	0.12152	-0.004444	0	-0.005512	-0.212787	0.043849	2.958634E+9
112.03	0	-0.207009	0.117732	-0.004608	0	-0.004328	-0.212787	0.04386	2.958635E+9
-210.93	-0.2	-0.244152	0.115152	-0.004518	0	-0.003463	-0.212787	0.043862	2.958636E+9
-533.51	-0.4	-0.288277	0.115964	-0.003951	0	-0.004356	-0.212787	0.043902	2.958637E+9
-855.25	-0.6	-0.339069	0.122615	-0.005367	0	-0.003838	-0.212787	0.043867	2.958638E+9
