19/05/2022	17:21

Si\Pt3\(Co88Tb12)75\Pt3-20220426_APRD1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	5.189154	-0.120067	0.039255	0	0.039915	-0.212787	0.075036	2.957778E+9
8204.61	6.8	5.194176	-0.118086	0.040444	0	0.040747	-0.212787	0.075189	2.957779E+9
8128.37	6.6	5.187519	-0.118151	0.04024	0	0.04	-0.212787	0.075138	2.95778E+9
8037.67	6.4	5.187688	-0.122429	0.040933	0	0.039397	-0.212787	0.075218	2.957781E+9
7932.95	6.2	5.195174	-0.119119	0.040376	0	0.040023	-0.212787	0.074929	2.957782E+9
7814.63	6	5.192646	-0.12216	0.04074	0	0.039897	-0.212787	0.075305	2.957783E+9
7683.15	5.8	5.198604	-0.11881	0.040668	0	0.040425	-0.212787	0.074938	2.957784E+9
7538.96	5.6	5.195203	-0.121302	0.038946	0	0.03968	-0.212787	0.075127	2.957785E+9
7382.49	5.4	5.195603	-0.122043	0.04039	0	0.041436	-0.212787	0.075057	2.957786E+9
7214.18	5.2	5.199319	-0.121276	0.040955	0	0.039283	-0.212787	0.075183	2.957787E+9
7034.46	5	5.203192	-0.115301	0.039329	0	0.040853	-0.212787	0.075111	2.957788E+9
6843.76	4.8	5.197471	-0.122644	0.039731	0	0.039678	-0.212787	0.075177	2.957789E+9
6642.54	4.6	5.204387	-0.119463	0.039814	0	0.040011	-0.212787	0.075215	2.95779E+9
6431.22	4.4	5.20568	-0.120837	0.040504	0	0.039905	-0.212787	0.075302	2.957791E+9
6210.24	4.2	5.209657	-0.115571	0.040165	0	0.040566	-0.212787	0.074986	2.957792E+9
5980.04	4	5.207935	-0.119882	0.040891	0	0.040249	-0.212787	0.074821	2.957793E+9
5741.05	3.8	5.204517	-0.118105	0.040318	0	0.040066	-0.212787	0.07504	2.957794E+9
5493.71	3.6	5.210599	-0.123914	0.040531	0	0.039906	-0.212787	0.075323	2.957795E+9
5238.46	3.4	5.206636	-0.118644	0.040066	0	0.04005	-0.212787	0.075202	2.957796E+9
4975.74	3.2	5.212877	-0.115896	0.040655	0	0.041494	-0.212787	0.075183	2.957797E+9
4705.98	3	5.213627	-0.118937	0.040361	0	0.041002	-0.212787	0.075155	2.957798E+9
4429.62	2.8	5.215424	-0.116845	0.040399	0	0.040081	-0.212787	0.074956	2.957799E+9
4147.09	2.6	5.212734	-0.125594	0.041458	0	0.040345	-0.212787	0.075163	2.9578E+9
3858.83	2.4	5.209215	-0.118138	0.040092	0	0.039971	-0.212787	0.075002	2.957801E+9
3565.29	2.2	5.213221	-0.119336	0.040097	0	0.04045	-0.212787	0.075284	2.957802E+9
3266.89	2	5.210563	-0.115948	0.041029	0	0.039775	-0.212787	0.075228	2.957803E+9
2964.07	1.8	5.209157	-0.122985	0.04106	0	0.040279	-0.212787	0.074914	2.957804E+9
2657.27	1.6	5.209553	-0.122104	0.039743	0	0.040908	-0.212787	0.075099	2.957805E+9
2346.93	1.4	5.210424	-0.119853	0.040783	0	0.041111	-0.212787	0.075203	2.957806E+9
2033.48	1.2	5.213075	-0.12214	0.040233	0	0.040867	-0.212787	0.075352	2.957807E+9
1717.37	1	5.207383	-0.119099	0.040211	0	0.039792	-0.212787	0.074942	2.957808E+9
1399.02	0.8	5.20737	-0.11599	0.040223	0	0.039863	-0.212787	0.074846	2.957809E+9
1078.87	0.6	5.209004	-0.122085	0.040824	0	0.040653	-0.212787	0.07515	2.95781E+9
757.37	0.4	5.207178	-0.119184	0.039619	0	0.040902	-0.212787	0.074931	2.957811E+9
434.94	0.2	5.20467	-0.120064	0.040914	0	0.040666	-0.212787	0.075146	2.957812E+9
112.03	0	5.20248	-0.122543	0.039949	0	0.040513	-0.212787	0.074953	2.957813E+9
-210.93	-0.2	5.200719	-0.118352	0.040911	0	0.040664	-0.212787	0.075246	2.957814E+9
-533.51	-0.4	5.198494	-0.123524	0.040429	0	0.041021	-0.212787	0.0753	2.957815E+9
-855.25	-0.6	5.200557	-0.121325	0.04119	0	0.040885	-0.212787	0.075314	2.957816E+9
-1175.74	-0.8	5.197211	-0.121643	0.039968	0	0.040438	-0.212787	0.074919	2.957817E+9
-1494.53	-1	5.195622	-0.112943	0.039912	0	0.041618	-0.212787	0.075171	2.957818E+9
-1811.18	-1.2	5.182529	-0.122533	0.041034	0	0.040359	-0.212787	0.074985	2.957819E+9
-2125.26	-1.4	0.101507	0.021168	0.034388	0	0.034081	-0.212787	0.07514	2.95782E+9
-2436.33	-1.6	-2.675668	0.08602	0.030823	0	0.031937	-0.212787	0.075458	2.957821E+9
-2743.95	-1.8	-4.181253	0.132806	0.029327	0	0.029159	-0.212787	0.075332	2.957822E+9
-3047.69	-2	-5.055749	0.152435	0.027529	0	0.028374	-0.212787	0.075311	2.957823E+9
-3347.11	-2.2	-5.237937	0.157611	0.027866	0	0.027921	-0.212787	0.075368	2.957824E+9
-3641.77	-2.4	-5.265106	0.157832	0.028541	0	0.027366	-0.212787	0.075059	2.957825E+9
-3931.24	-2.6	-5.276182	0.157757	0.02739	0	0.027725	-0.212787	0.075362	2.957826E+9
-4215.08	-2.8	-5.275512	0.161214	0.02801	0	0.028781	-0.212787	0.075443	2.957827E+9
-4492.85	-3	-5.277088	0.15852	0.028532	0	0.02875	-0.212787	0.075426	2.957828E+9
-4764.12	-3.2	-5.27239	0.159391	0.028463	0	0.028806	-0.212787	0.075051	2.957829E+9
-5028.44	-3.4	-5.277481	0.159856	0.02856	0	0.028744	-0.212787	0.075312	2.95783E+9
-5285.39	-3.6	-5.274395	0.161116	0.028456	0	0.029272	-0.212787	0.075231	2.957831E+9
-5534.53	-3.8	-5.276877	0.157682	0.028916	0	0.02857	-0.212787	0.075017	2.957832E+9
-5775.41	-4	-5.280243	0.15663	0.029309	0	0.02898	-0.212787	0.075306	2.957833E+9
-6007.6	-4.2	-5.278654	0.159316	0.02915	0	0.028799	-0.212787	0.075379	2.957834E+9
-6230.67	-4.4	-5.275905	0.159378	0.028886	0	0.029365	-0.212787	0.075383	2.957835E+9
-6444.17	-4.6	-5.277306	0.158975	0.029086	0	0.029056	-0.212787	0.07537	2.957836E+9
-6647.68	-4.8	-5.274148	0.158079	0.029335	0	0.029457	-0.212787	0.075235	2.957837E+9
-6840.75	-5	-5.269184	0.156285	0.029505	0	0.029135	-0.212787	0.075259	2.957838E+9
-7022.95	-5.2	-5.273966	0.160155	0.029522	0	0.029652	-0.212787	0.075409	2.957839E+9
-7193.84	-5.4	-5.27216	0.158423	0.029735	0	0.02908	-0.212787	0.075301	2.95784E+9
-7352.98	-5.6	-5.274021	0.152793	0.028667	0	0.029617	-0.212787	0.075326	2.957841E+9
-7499.94	-5.8	-5.274817	0.154563	0.028671	0	0.030244	-0.212787	0.075002	2.957842E+9
-7634.28	-6	-5.272088	0.160681	0.029016	0	0.029463	-0.212787	0.075049	2.957843E+9
-7755.56	-6.2	-5.265555	0.16432	0.028715	0	0.029522	-0.212787	0.074868	2.957844E+9
-7863.34	-6.4	-5.269554	0.162949	0.028801	0	0.030033	-0.212787	0.075199	2.957845E+9
-7957.2	-6.6	-5.270818	0.158527	0.029707	0	0.029941	-0.212787	0.07532	2.957846E+9
-8036.69	-6.8	-5.267361	0.155441	0.029537	0	0.029495	-0.212787	0.075229	2.957847E+9
-8101.38	-7	-5.266887	0.158413	0.030381	0	0.02947	-0.212787	0.075017	2.957848E+9
-8036.69	-6.8	-5.268618	0.16161	0.030587	0	0.029651	-0.212787	0.075138	2.957849E+9
-7957.2	-6.6	-5.263703	0.159901	0.030193	0	0.029572	-0.212787	0.075379	2.95785E+9
-7863.34	-6.4	-5.268209	0.161116	0.029517	0	0.029934	-0.212787	0.075328	2.957851E+9
-7755.56	-6.2	-5.276009	0.154693	0.030034	0	0.030105	-0.212787	0.075312	2.957852E+9
-7634.28	-6	-5.274648	0.158082	0.030211	0	0.030477	-0.212787	0.075094	2.957853E+9
-7499.94	-5.8	-5.278076	0.158917	0.030009	0	0.029933	-0.212787	0.075313	2.957854E+9
-7352.98	-5.6	-5.274733	0.156711	0.03041	0	0.029709	-0.212787	0.075438	2.957855E+9
-7193.84	-5.4	-5.277276	0.158027	0.031141	0	0.029568	-0.212787	0.075427	2.957856E+9
-7022.95	-5.2	-5.278459	0.155093	0.030291	0	0.029994	-0.212787	0.075193	2.957857E+9
-6840.75	-5	-5.281815	0.159839	0.029616	0	0.030615	-0.212787	0.075004	2.957858E+9
-6647.68	-4.8	-5.2815	0.164774	0.030469	0	0.030261	-0.212787	0.075368	2.957859E+9
-6444.17	-4.6	-5.284719	0.158868	0.031026	0	0.029531	-0.212787	0.075034	2.95786E+9
-6230.67	-4.4	-5.285002	0.159862	0.030176	0	0.029966	-0.212787	0.07521	2.957861E+9
-6007.6	-4.2	-5.286341	0.162539	0.030988	0	0.029587	-0.212787	0.075248	2.957862E+9
-5775.41	-4	-5.284395	0.156753	0.029991	0	0.029997	-0.212787	0.075321	2.957863E+9
-5534.53	-3.8	-5.288755	0.158033	0.030864	0	0.029563	-0.212787	0.075113	2.957864E+9
-5285.39	-3.6	-5.283628	0.160635	0.030657	0	0.029131	-0.212787	0.07521	2.957865E+9
-5028.44	-3.4	-5.283602	0.158926	0.030339	0	0.029364	-0.212787	0.075103	2.957866E+9
-4764.12	-3.2	-5.281523	0.154606	0.029789	0	0.029143	-0.212787	0.075054	2.957867E+9
-4492.85	-3	-5.286912	0.159771	0.029984	0	0.029895	-0.212787	0.075172	2.957868E+9
-4215.08	-2.8	-5.287371	0.159713	0.029381	0	0.030433	-0.212787	0.074998	2.957869E+9
-3931.24	-2.6	-5.287474	0.153748	0.029991	0	0.030316	-0.212787	0.075218	2.95787E+9
-3641.77	-2.4	-5.287426	0.160993	0.030617	0	0.03026	-0.212787	0.075286	2.957871E+9
