20/05/2022	14:36

CoTb

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7034.46	5	4.596168	-0.238148	0.020361	0	0.020953	-0.212787	0.075175	3.034359E+9
6940.45	4.9	4.613264	-0.240738	0.021488	0	0.021599	-0.212787	0.075149	3.034359E+9
6843.76	4.8	4.626717	-0.242154	0.02085	0	0.02083	-0.212787	0.075081	3.03436E+9
6744.44	4.7	4.629339	-0.242226	0.021127	0	0.020964	-0.212787	0.075137	3.03436E+9
6642.54	4.6	4.629072	-0.24577	0.021188	0	0.021745	-0.212787	0.075122	3.03436E+9
6538.11	4.5	4.632357	-0.246446	0.021119	0	0.021185	-0.212787	0.075195	3.034361E+9
6431.22	4.4	4.630278	-0.242524	0.02091	0	0.021393	-0.212787	0.075161	3.034361E+9
6321.91	4.3	4.63159	-0.246153	0.021693	0	0.021174	-0.212787	0.075202	3.034361E+9
6210.24	4.2	4.62633	-0.240448	0.021044	0	0.021051	-0.212787	0.075168	3.034362E+9
6096.26	4.1	4.6321	-0.244428	0.020701	0	0.02201	-0.212787	0.075164	3.034362E+9
5980.04	4	4.632513	-0.242658	0.021542	0	0.020771	-0.212787	0.07513	3.034362E+9
5861.61	3.9	4.626473	-0.245734	0.021648	0	0.022368	-0.212787	0.075147	3.034362E+9
5741.05	3.8	4.629115	-0.243964	0.020931	0	0.020762	-0.212787	0.075086	3.034363E+9
5618.4	3.7	4.630447	-0.243541	0.021492	0	0.020976	-0.212787	0.075149	3.034363E+9
5493.71	3.6	4.633546	-0.242752	0.021214	0	0.021123	-0.212787	0.075093	3.034363E+9
5367.05	3.5	4.630385	-0.238353	0.021626	0	0.02104	-0.212787	0.075244	3.034364E+9
5238.46	3.4	4.630599	-0.242583	0.021525	0	0.021131	-0.212787	0.07523	3.034364E+9
5108.01	3.3	4.632419	-0.243457	0.021442	0	0.02146	-0.212787	0.075122	3.034364E+9
4975.74	3.2	4.630671	-0.248294	0.021283	0	0.021149	-0.212787	0.075143	3.034365E+9
4841.71	3.1	4.631701	-0.242667	0.021161	0	0.020998	-0.212787	0.075229	3.034365E+9
4705.98	3	4.628598	-0.23374	0.021172	0	0.021506	-0.212787	0.075121	3.034365E+9
4568.59	2.9	4.625944	-0.243515	0.021558	0	0.020708	-0.212787	0.075088	3.034365E+9
