27/04/2022	11:15

Co88Tb12

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7814.63	6	-3.446792	0.139989	0.005177	0	0.00472	-0.212787	0.083595	1.035054E+9
7750.51	5.9	-3.456376	0.132904	0.005315	0	0.005908	-0.212787	0.083766	1.035055E+9
7683.15	5.8	-3.460063	0.142221	0.005816	0	0.005604	-0.212787	0.083826	1.035055E+9
7612.62	5.7	-3.460797	0.125711	0.005709	0	0.005111	-0.212787	0.083597	1.035056E+9
7538.96	5.6	-3.457678	0.134674	0.005348	0	0.004951	-0.212787	0.083679	1.035056E+9
7462.23	5.5	-3.450836	0.129083	0.005395	0	0.005192	-0.212787	0.083588	1.035057E+9
7382.49	5.4	-3.445885	0.134379	0.005781	0	0.004888	-0.212787	0.083823	1.035057E+9
7299.79	5.3	-3.458712	0.137839	0.00584	0	0.005004	-0.212787	0.08375	1.035058E+9
7214.18	5.2	-3.4562	0.133781	0.005629	0	0.005923	-0.212787	0.083608	1.035058E+9
7125.71	5.1	-3.467126	0.116016	0.005006	0	0.005782	-0.212787	0.083598	1.035059E+9
7034.46	5	-3.459345	0.124967	0.005518	0	0.005834	-0.212787	0.083691	1.035059E+9
6940.45	4.9	-3.452454	0.134853	0.006875	0	0.00574	-0.212787	0.083609	1.03506E+9
6843.76	4.8	-3.471206	0.133212	0.006795	0	0.00592	-0.212787	0.083605	1.03506E+9
6744.44	4.7	-3.463513	0.140174	0.005426	0	0.006208	-0.212787	0.083606	1.035061E+9
6642.54	4.6	-3.461441	0.14278	0.005738	0	0.006759	-0.212787	0.083681	1.035061E+9
6538.11	4.5	-3.471937	0.128394	0.005963	0	0.006073	-0.212787	0.083601	1.035062E+9
6431.22	4.4	-3.451798	0.14471	0.005894	0	0.006911	-0.212787	0.083763	1.035062E+9
6321.91	4.3	-3.463162	0.124444	0.005515	0	0.00549	-0.212787	0.083489	1.035063E+9
6210.24	4.2	-3.468334	0.127163	0.005997	0	0.005483	-0.212787	0.083798	1.035063E+9
6096.26	4.1	-3.46236	0.132459	0.00549	0	0.006263	-0.212787	0.083543	1.035064E+9
5980.04	4	-3.466258	0.123992	0.005802	0	0.006825	-0.212787	0.083568	1.035064E+9
5861.61	3.9	-3.479013	0.146165	0.006131	0	0.007486	-0.212787	0.083617	1.035065E+9
5741.05	3.8	-3.475735	0.133271	0.004792	0	0.006767	-0.212787	0.083513	1.035065E+9
5618.4	3.7	-3.480787	0.135974	0.00521	0	0.00596	-0.212787	0.083554	1.035066E+9
5493.71	3.6	-3.489809	0.138381	0.006658	0	0.006636	-0.212787	0.083738	1.035066E+9
5367.05	3.5	-3.49133	0.126461	0.006804	0	0.006233	-0.212787	0.08354	1.035067E+9
5238.46	3.4	-3.482538	0.124499	0.005675	0	0.006052	-0.212787	0.083734	1.035067E+9
5108.01	3.3	-3.488607	0.142059	0.006114	0	0.007028	-0.212787	0.083514	1.035068E+9
4975.74	3.2	-3.486918	0.13982	0.006421	0	0.006402	-0.212787	0.083541	1.035068E+9
4841.71	3.1	-3.485118	0.142439	0.005923	0	0.006141	-0.212787	0.083586	1.035069E+9
4705.98	3	-3.486986	0.131075	0.006448	0	0.006783	-0.212787	0.083608	1.035069E+9
4568.59	2.9	-3.480349	0.150285	0.007142	0	0.007348	-0.212787	0.083606	1.03507E+9
4429.62	2.8	-3.492509	0.125344	0.006535	0	0.006706	-0.212787	0.083469	1.03507E+9
4289.09	2.7	-3.489803	0.13177	0.006321	0	0.007575	-0.212787	0.083664	1.035071E+9
4147.09	2.6	-3.507515	0.13279	0.006372	0	0.008139	-0.212787	0.083754	1.035071E+9
4003.65	2.5	-3.485638	0.137202	0.005878	0	0.007108	-0.212787	0.083486	1.035072E+9
3858.83	2.4	-3.493529	0.127498	0.007956	0	0.007757	-0.212787	0.083568	1.035072E+9
3712.69	2.3	-3.485277	0.132878	0.006982	0	0.008064	-0.212787	0.083592	1.035073E+9
3565.29	2.2	-3.482473	0.127764	0.007233	0	0.006859	-0.212787	0.083498	1.035073E+9
3416.67	2.1	-3.49041	0.119623	0.007345	0	0.007746	-0.212787	0.083679	1.035074E+9
3266.89	2	-3.490456	0.118807	0.007538	0	0.00688	-0.212787	0.083622	1.035074E+9
3116	1.9	-3.491768	0.133365	0.008084	0	0.007902	-0.212787	0.083794	1.035075E+9
2964.07	1.8	-3.489513	0.130532	0.006419	0	0.007848	-0.212787	0.08371	1.035075E+9
2811.14	1.7	-3.497717	0.140321	0.007495	0	0.008088	-0.212787	0.083631	1.035076E+9
2657.27	1.6	-3.489445	0.13459	0.007271	0	0.007512	-0.212787	0.083743	1.035076E+9
2502.52	1.5	-3.487463	0.13777	0.007301	0	0.007317	-0.212787	0.083501	1.035077E+9
2346.93	1.4	-3.499276	0.12563	0.007688	0	0.007542	-0.212787	0.083754	1.035077E+9
2190.57	1.3	-3.500413	0.13165	0.007267	0	0.00779	-0.212787	0.083576	1.035078E+9
2033.48	1.2	-3.486872	0.141724	0.008417	0	0.007088	-0.212787	0.0835	1.035078E+9
1875.73	1.1	-3.496407	0.130646	0.007394	0	0.007466	-0.212787	0.083588	1.035079E+9
1717.37	1	-3.497574	0.122803	0.006742	0	0.007345	-0.212787	0.083503	1.035079E+9
1558.44	0.9	-3.501011	0.123521	0.007371	0	0.00825	-0.212787	0.083765	1.03508E+9
1399.02	0.8	-3.499491	0.131136	0.007984	0	0.007615	-0.212787	0.083555	1.03508E+9
1239.14	0.7	-3.491576	0.129772	0.008105	0	0.00765	-0.212787	0.083599	1.035081E+9
1078.87	0.6	-3.485985	0.131955	0.008078	0	0.007863	-0.212787	0.083516	1.035081E+9
918.26	0.5	-3.506294	0.128089	0.007343	0	0.008075	-0.212787	0.083665	1.035082E+9
757.37	0.4	-3.497155	0.1406	0.007701	0	0.007675	-0.212787	0.083542	1.035082E+9
596.24	0.3	-3.491018	0.129973	0.007241	0	0.006793	-0.212787	0.083545	1.035083E+9
434.94	0.2	-3.483997	0.140295	0.007421	0	0.007248	-0.212787	0.083553	1.035083E+9
273.52	0.1	-3.484553	0.129064	0.007729	0	0.008239	-0.212787	0.083573	1.035084E+9
112.03	0	-3.488107	0.128628	0.007679	0	0.009046	-0.212787	0.083564	1.035084E+9
-49.47	-0.1	-3.478286	0.139843	0.00816	0	0.00839	-0.212787	0.083678	1.035085E+9
