20/05/2022	14:59

CoTb

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	6.190281	-0.317315	0.003329	0	0.004012	-0.212787	0.058957	3.035649E+9
8311.94	7.2	6.199053	-0.319508	0.004109	0	0.004088	-0.212787	0.059033	3.03565E+9
8265.94	7	6.203972	-0.320424	0.004913	0	0.003945	-0.212787	0.059003	3.035651E+9
8204.61	6.8	6.20534	-0.316142	0.003774	0	0.003843	-0.212787	0.058834	3.035652E+9
8128.37	6.6	6.206747	-0.317903	0.00368	0	0.004135	-0.212787	0.058838	3.035653E+9
8037.67	6.4	6.21365	-0.320476	0.00375	0	0.004327	-0.212787	0.058894	3.035654E+9
7932.95	6.2	6.214911	-0.318618	0.00446	0	0.003979	-0.212787	0.058998	3.035655E+9
7814.63	6	6.217045	-0.316893	0.003853	0	0.003846	-0.212787	0.058925	3.035656E+9
7683.15	5.8	6.220743	-0.319618	0.005004	0	0.004203	-0.212787	0.058855	3.035657E+9
7538.96	5.6	6.222458	-0.32046	0.004129	0	0.003752	-0.212787	0.058909	3.035658E+9
7382.49	5.4	6.226707	-0.319157	0.004148	0	0.003894	-0.212787	0.058873	3.035659E+9
7214.18	5.2	6.229742	-0.320496	0.004242	0	0.00455	-0.212787	0.058856	3.03566E+9
7034.46	5	6.230431	-0.322179	0.004988	0	0.003629	-0.212787	0.058956	3.035661E+9
6843.76	4.8	6.235574	-0.320096	0.004588	0	0.003928	-0.212787	0.058816	3.035662E+9
6642.54	4.6	6.240385	-0.320889	0.003816	0	0.004476	-0.212787	0.058885	3.035663E+9
6431.22	4.4	6.242224	-0.320937	0.00425	0	0.003663	-0.212787	0.058881	3.035664E+9
6210.24	4.2	6.247068	-0.32172	0.004308	0	0.004277	-0.212787	0.058957	3.035665E+9
5980.04	4	6.247487	-0.321311	0.00435	0	0.003853	-0.212787	0.058949	3.035666E+9
5741.05	3.8	6.247961	-0.321389	0.004492	0	0.004576	-0.212787	0.058856	3.035667E+9
5493.71	3.6	6.246418	-0.319553	0.004573	0	0.004001	-0.212787	0.058848	3.035668E+9
5238.46	3.4	6.24341	-0.320808	0.004504	0	0.003911	-0.212787	0.058928	3.035669E+9
4975.74	3.2	6.242669	-0.319979	0.004444	0	0.004262	-0.212787	0.058923	3.03567E+9
4705.98	3	6.241308	-0.321214	0.004415	0	0.004386	-0.212787	0.058851	3.035671E+9
4429.62	2.8	6.241629	-0.319586	0.004562	0	0.00354	-0.212787	0.058956	3.035672E+9
4147.09	2.6	6.2412	-0.320765	0.004373	0	0.003706	-0.212787	0.058892	3.035673E+9
3858.83	2.4	6.239066	-0.320034	0.004343	0	0.004015	-0.212787	0.05891	3.035674E+9
3565.29	2.2	6.23992	-0.319924	0.004765	0	0.004302	-0.212787	0.058963	3.035675E+9
3266.89	2	6.236041	-0.319947	0.004531	0	0.003697	-0.212787	0.058822	3.035676E+9
2964.07	1.8	6.229781	-0.320067	0.003688	0	0.00357	-0.212787	0.05891	3.035677E+9
2657.27	1.6	6.227227	-0.320382	0.004127	0	0.004255	-0.212787	0.058898	3.035678E+9
2346.93	1.4	6.221097	-0.316422	0.004098	0	0.004243	-0.212787	0.059017	3.035679E+9
2033.48	1.2	6.212757	-0.317874	0.004881	0	0.003296	-0.212787	0.05905	3.03568E+9
1717.37	1	6.204658	-0.317286	0.003829	0	0.003701	-0.212787	0.058902	3.035681E+9
