19/05/2022	11:32

Si\Pt3\(Co88Tb12)75\Pt3-20220518_APEJ1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	3.970494	0.039302	0.007815	0	0.008166	-0.212787	0.066801	2.936866E+9
8204.61	6.8	3.967866	0.040277	0.008031	0	0.008473	-0.212787	0.066862	2.936867E+9
8128.37	6.6	3.96975	0.037467	0.008364	0	0.007933	-0.212787	0.066816	2.936868E+9
8037.67	6.4	3.973886	0.036967	0.008646	0	0.007936	-0.212787	0.066935	2.936869E+9
7932.95	6.2	3.977405	0.036281	0.007967	0	0.007638	-0.212787	0.066764	2.93687E+9
7814.63	6	3.976196	0.036619	0.008046	0	0.008938	-0.212787	0.066743	2.936871E+9
7683.15	5.8	3.977798	0.036521	0.008104	0	0.008315	-0.212787	0.066919	2.936872E+9
7538.96	5.6	3.981362	0.032691	0.008216	0	0.008187	-0.212787	0.066837	2.936873E+9
7382.49	5.4	3.979315	0.03659	0.008058	0	0.007779	-0.212787	0.066814	2.936874E+9
7214.18	5.2	3.979799	0.041141	0.008759	0	0.008251	-0.212787	0.066839	2.936875E+9
7034.46	5	3.981436	0.039302	0.008029	0	0.007478	-0.212787	0.066773	2.936876E+9
6843.76	4.8	3.986206	0.037041	0.007761	0	0.008463	-0.212787	0.066852	2.936877E+9
6642.54	4.6	3.984734	0.038961	0.007406	0	0.008094	-0.212787	0.066829	2.936878E+9
6431.22	4.4	3.982703	0.041067	0.007576	0	0.007708	-0.212787	0.06681	2.936879E+9
6210.24	4.2	3.985312	0.039273	0.007877	0	0.008224	-0.212787	0.0668	2.93688E+9
5980.04	4	3.986807	0.036794	0.007896	0	0.007693	-0.212787	0.066854	2.936881E+9
5741.05	3.8	3.986235	0.040326	0.007857	0	0.007556	-0.212787	0.066882	2.936882E+9
5493.71	3.6	3.986176	0.03823	0.007454	0	0.007463	-0.212787	0.066868	2.936883E+9
5238.46	3.4	3.994753	0.03992	0.007228	0	0.008419	-0.212787	0.06671	2.936884E+9
4975.74	3.2	3.988714	0.041651	0.007289	0	0.007661	-0.212787	0.066837	2.936885E+9
4705.98	3	3.991712	0.035693	0.008602	0	0.007563	-0.212787	0.066909	2.936886E+9
4429.62	2.8	3.992164	0.039481	0.007485	0	0.007971	-0.212787	0.066816	2.936887E+9
4147.09	2.6	3.990978	0.039478	0.007979	0	0.008366	-0.212787	0.066907	2.936888E+9
