20/05/2022	14:51

CoTb

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	4.218519	-0.214851	0.002706	0	0.003067	-0.212787	0.061638	3.035196E+9
8311.94	7.2	4.222096	-0.21312	0.003515	0	0.003786	-0.212787	0.061773	3.035197E+9
8265.94	7	4.220267	-0.211794	0.003812	0	0.003376	-0.212787	0.061752	3.035198E+9
8204.61	6.8	4.221963	-0.214097	0.003334	0	0.00354	-0.212787	0.061761	3.035199E+9
8128.37	6.6	4.224247	-0.211339	0.00298	0	0.003094	-0.212787	0.061799	3.0352E+9
8037.67	6.4	4.225455	-0.210384	0.003542	0	0.003328	-0.212787	0.06185	3.035201E+9
7932.95	6.2	4.228213	-0.212291	0.004231	0	0.003432	-0.212787	0.061595	3.035202E+9
7814.63	6	4.229503	-0.212873	0.00315	0	0.003264	-0.212787	0.061818	3.035203E+9
7683.15	5.8	4.22951	-0.212769	0.003606	0	0.003847	-0.212787	0.061733	3.035204E+9
7538.96	5.6	4.231498	-0.214023	0.003532	0	0.003131	-0.212787	0.061811	3.035205E+9
7382.49	5.4	4.231368	-0.214893	0.003457	0	0.003831	-0.212787	0.061739	3.035206E+9
7214.18	5.2	4.233074	-0.214825	0.003136	0	0.003595	-0.212787	0.06168	3.035207E+9
7034.46	5	4.232167	-0.213912	0.002931	0	0.003135	-0.212787	0.061771	3.035208E+9
6843.76	4.8	4.231147	-0.214513	0.003365	0	0.003067	-0.212787	0.061751	3.035209E+9
6642.54	4.6	4.2341	-0.212015	0.003259	0	0.003656	-0.212787	0.061757	3.03521E+9
6431.22	4.4	4.2341	-0.213548	0.003886	0	0.003603	-0.212787	0.061699	3.035211E+9
6210.24	4.2	4.236053	-0.213682	0.003467	0	0.002668	-0.212787	0.061824	3.035212E+9
5980.04	4	4.238054	-0.214627	0.003217	0	0.003007	-0.212787	0.061709	3.035213E+9
5741.05	3.8	4.239337	-0.212337	0.002942	0	0.003807	-0.212787	0.06161	3.035214E+9
5493.71	3.6	4.238356	-0.215153	0.003145	0	0.002967	-0.212787	0.061888	3.035215E+9
5238.46	3.4	4.240166	-0.214893	0.00366	0	0.002759	-0.212787	0.061804	3.035216E+9
4975.74	3.2	4.23693	-0.216346	0.003341	0	0.003313	-0.212787	0.061776	3.035217E+9
4705.98	3	4.24079	-0.214984	0.003153	0	0.003211	-0.212787	0.061759	3.035218E+9
4429.62	2.8	4.239246	-0.214149	0.003788	0	0.003185	-0.212787	0.061751	3.035219E+9
4147.09	2.6	4.239074	-0.213301	0.003293	0	0.00277	-0.212787	0.061711	3.03522E+9
3858.83	2.4	4.240903	-0.21322	0.002562	0	0.002953	-0.212787	0.061714	3.035221E+9
3565.29	2.2	4.237638	-0.21195	0.003033	0	0.003369	-0.212787	0.061698	3.035222E+9
3266.89	2	4.239006	-0.213821	0.002778	0	0.002992	-0.212787	0.061725	3.035223E+9
2964.07	1.8	4.237645	-0.213301	0.002988	0	0.002514	-0.212787	0.061764	3.035224E+9
2657.27	1.6	4.240669	-0.21427	0.002238	0	0.002728	-0.212787	0.06174	3.035225E+9
2346.93	1.4	4.237131	-0.21424	0.002283	0	0.003253	-0.212787	0.061681	3.035226E+9
2033.48	1.2	4.239006	-0.214598	0.002801	0	0.002808	-0.212787	0.061667	3.035227E+9
1717.37	1	4.23666	-0.212506	0.00266	0	0.002415	-0.212787	0.061723	3.035228E+9
1399.02	0.8	4.235702	-0.215485	0.002358	0	0.002606	-0.212787	0.061659	3.035229E+9
1078.87	0.6	4.235364	-0.212863	0.002156	0	0.003557	-0.212787	0.061736	3.03523E+9
757.37	0.4	4.231524	-0.213012	0.00284	0	0.002795	-0.212787	0.06167	3.035231E+9
434.94	0.2	4.222086	-0.212512	0.002955	0	0.002429	-0.212787	0.061744	3.035232E+9
