20/05/2022	15:16

Co/Pt x6

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	4.281221	-0.208155	0.003056	0	0.002123	-0.212787	0.064378	3.036689E+9
8311.94	7.2	4.29611	-0.208581	0.00198	0	0.002401	-0.212787	0.064637	3.036689E+9
8265.94	7	4.298966	-0.208025	0.00197	0	0.00279	-0.212787	0.064555	3.03669E+9
8204.61	6.8	4.302537	-0.208172	0.001811	0	0.001838	-0.212787	0.064348	3.036691E+9
8128.37	6.6	4.304938	-0.206066	0.002545	0	0.002445	-0.212787	0.06463	3.036692E+9
8037.67	6.4	4.305971	-0.20658	0.002125	0	0.002221	-0.212787	0.064601	3.036693E+9
7932.95	6.2	4.304278	-0.203461	0.002044	0	0.002288	-0.212787	0.064509	3.036694E+9
7814.63	6	4.307371	-0.206131	0.002392	0	0.002339	-0.212787	0.064587	3.036695E+9
7683.15	5.8	4.306003	-0.204894	0.001785	0	0.002244	-0.212787	0.06449	3.036696E+9
7538.96	5.6	4.30868	-0.208399	0.002216	0	0.00217	-0.212787	0.064426	3.036697E+9
7382.49	5.4	4.309515	-0.203604	0.002466	0	0.002287	-0.212787	0.064419	3.036698E+9
7214.18	5.2	4.3051	-0.204582	0.002147	0	0.002453	-0.212787	0.064476	3.036699E+9
7034.46	5	4.306559	-0.202252	0.002183	0	0.003048	-0.212787	0.064418	3.0367E+9
6843.76	4.8	4.303966	-0.206248	0.003064	0	0.002711	-0.212787	0.064557	3.036701E+9
6642.54	4.6	4.307745	-0.205469	0.002996	0	0.00284	-0.212787	0.064579	3.036702E+9
6431.22	4.4	4.306039	-0.204962	0.003241	0	0.00286	-0.212787	0.064611	3.036703E+9
6210.24	4.2	4.307683	-0.20644	0.002996	0	0.002934	-0.212787	0.064608	3.036704E+9
5980.04	4	4.303976	-0.204484	0.003511	0	0.003026	-0.212787	0.064651	3.036705E+9
5741.05	3.8	4.30255	-0.205413	0.0031	0	0.00295	-0.212787	0.064497	3.036706E+9
5493.71	3.6	4.30382	-0.204494	0.002366	0	0.003394	-0.212787	0.06453	3.036707E+9
5238.46	3.4	4.303904	-0.20631	0.003616	0	0.003589	-0.212787	0.064426	3.036708E+9
4975.74	3.2	4.303791	-0.207207	0.003452	0	0.002776	-0.212787	0.064549	3.036709E+9
4705.98	3	4.300282	-0.204475	0.002756	0	0.002625	-0.212787	0.064557	3.03671E+9
4429.62	2.8	4.299434	-0.205755	0.002578	0	0.00324	-0.212787	0.064536	3.036711E+9
4147.09	2.6	4.299275	-0.206356	0.002428	0	0.003454	-0.212787	0.064578	3.036712E+9
3858.83	2.4	4.300591	-0.204991	0.003728	0	0.003095	-0.212787	0.064523	3.036713E+9
