20/05/2022	15:07

Co/Pt x6

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	3.909511	-0.195105	0.004352	0	0.002936	-0.212787	0.065793	3.036107E+9
8311.94	7.2	4.428766	-0.21437	0.003772	0	0.003324	-0.212787	0.065808	3.036107E+9
8265.94	7	4.435703	-0.215118	0.003915	0	0.003465	-0.212787	0.065712	3.036108E+9
8204.61	6.8	4.432103	-0.216073	0.002978	0	0.003412	-0.212787	0.065648	3.036109E+9
8128.37	6.6	4.433402	-0.215306	0.004008	0	0.003709	-0.212787	0.065827	3.03611E+9
8037.67	6.4	4.434007	-0.214169	0.003225	0	0.003797	-0.212787	0.065832	3.036111E+9
7932.95	6.2	4.4349	-0.216758	0.003236	0	0.003357	-0.212787	0.065845	3.036112E+9
7814.63	6	4.433964	-0.216437	0.003109	0	0.003426	-0.212787	0.065716	3.036113E+9
7683.15	5.8	4.431213	-0.214159	0.00265	0	0.003737	-0.212787	0.065772	3.036114E+9
7538.96	5.6	4.432987	-0.216921	0.002995	0	0.003924	-0.212787	0.06585	3.036115E+9
7382.49	5.4	4.432668	-0.214114	0.003095	0	0.003053	-0.212787	0.065912	3.036116E+9
7214.18	5.2	4.43261	-0.214107	0.003196	0	0.003307	-0.212787	0.065924	3.036117E+9
7034.46	5	4.4362	-0.217174	0.00364	0	0.003305	-0.212787	0.065879	3.036118E+9
6843.76	4.8	4.43312	-0.218113	0.002771	0	0.003257	-0.212787	0.065788	3.036119E+9
6642.54	4.6	4.432665	-0.215832	0.0038	0	0.003494	-0.212787	0.065867	3.03612E+9
6431.22	4.4	4.428279	-0.212626	0.003434	0	0.003645	-0.212787	0.065842	3.036121E+9
6210.24	4.2	4.431836	-0.217382	0.003068	0	0.003723	-0.212787	0.065791	3.036122E+9
5980.04	4	4.43132	-0.216518	0.003157	0	0.003223	-0.212787	0.065824	3.036123E+9
5741.05	3.8	4.427529	-0.217535	0.003457	0	0.00376	-0.212787	0.065699	3.036124E+9
5493.71	3.6	4.429413	-0.214543	0.003383	0	0.003568	-0.212787	0.065864	3.036125E+9
5238.46	3.4	4.426739	-0.215364	0.003193	0	0.003417	-0.212787	0.065731	3.036126E+9
4975.74	3.2	4.426492	-0.215062	0.003439	0	0.003684	-0.212787	0.065649	3.036127E+9
4705.98	3	4.427178	-0.215361	0.003291	0	0.003516	-0.212787	0.065886	3.036128E+9
4429.62	2.8	4.428575	-0.213786	0.003184	0	0.003671	-0.212787	0.065742	3.036129E+9
4147.09	2.6	4.428399	-0.21591	0.002999	0	0.003324	-0.212787	0.065646	3.03613E+9
3858.83	2.4	4.427109	-0.215212	0.003621	0	0.00371	-0.212787	0.065795	3.036131E+9
3565.29	2.2	4.427694	-0.216225	0.003339	0	0.003733	-0.212787	0.065916	3.036132E+9
3266.89	2	4.427223	-0.216157	0.003455	0	0.00363	-0.212787	0.065901	3.036133E+9
2964.07	1.8	4.425469	-0.214117	0.003421	0	0.003578	-0.212787	0.065747	3.036134E+9
2657.27	1.6	4.428588	-0.213847	0.003259	0	0.003179	-0.212787	0.065727	3.036135E+9
2346.93	1.4	4.42438	-0.215764	0.003795	0	0.00378	-0.212787	0.065794	3.036136E+9
2033.48	1.2	4.426018	-0.217158	0.003354	0	0.003558	-0.212787	0.065866	3.036137E+9
1717.37	1	4.424241	-0.215875	0.003488	0	0.003718	-0.212787	0.065912	3.036138E+9
1399.02	0.8	4.426729	-0.213743	0.003511	0	0.003182	-0.212787	0.065942	3.036139E+9
1078.87	0.6	4.425144	-0.216836	0.003412	0	0.004225	-0.212787	0.065667	3.03614E+9
757.37	0.4	4.424559	-0.216154	0.003382	0	0.003605	-0.212787	0.065733	3.036141E+9
434.94	0.2	4.422116	-0.21553	0.003236	0	0.003644	-0.212787	0.065716	3.036142E+9
112.03	0	4.419306	-0.211255	0.003177	0	0.003696	-0.212787	0.065899	3.036143E+9
-210.93	-0.2	4.413516	-0.218373	0.003726	0	0.00348	-0.212787	0.065852	3.036144E+9
-533.51	-0.4	4.409098	-0.212704	0.003658	0	0.003581	-0.212787	0.065836	3.036145E+9
-855.25	-0.6	4.396314	-0.213506	0.003316	0	0.003454	-0.212787	0.065813	3.036146E+9
-1175.74	-0.8	4.35674	-0.213055	0.003278	0	0.003562	-0.212787	0.065818	3.036147E+9
-1494.53	-1	4.217554	-0.205927	0.002885	0	0.003319	-0.212787	0.065873	3.036148E+9
-1811.18	-1.2	3.899823	-0.187821	0.00273	0	0.003029	-0.212787	0.065794	3.036149E+9
-2125.26	-1.4	3.422098	-0.15931	0.002405	0	0.001803	-0.212787	0.065827	3.03615E+9
-2436.33	-1.6	2.873153	-0.131896	0.001668	0	0.001858	-0.212787	0.065694	3.036151E+9
-2743.95	-1.8	2.316255	-0.102241	0.00103	0	0.001367	-0.212787	0.065829	3.036152E+9
-3047.69	-2	1.779494	-0.07052	0.000412	0	0.000272	-0.212787	0.065704	3.036153E+9
-3347.11	-2.2	1.27129	-0.046216	-0.000552	0	-0.000299	-0.212787	0.065888	3.036154E+9
-3641.77	-2.4	0.784389	-0.017561	-0.000719	0	-0.001259	-0.212787	0.065857	3.036155E+9
-3931.24	-2.6	0.314167	0.009985	-0.000876	0	-0.001153	-0.212787	0.065772	3.036156E+9
-4215.08	-2.8	-0.134586	0.034387	-0.00192	0	-0.001728	-0.212787	0.065987	3.036157E+9
-4492.85	-3	-0.567041	0.058626	-0.002551	0	-0.002249	-0.212787	0.065887	3.036158E+9
-4764.12	-3.2	-0.982279	0.07909	-0.002881	0	-0.002823	-0.212787	0.06604	3.036159E+9
-5028.44	-3.4	-1.352444	0.101839	-0.003664	0	-0.003369	-0.212787	0.065882	3.03616E+9
-5285.39	-3.6	-1.673413	0.118443	-0.003767	0	-0.003662	-0.212787	0.065834	3.036161E+9
-5534.53	-3.8	-1.913145	0.132228	-0.004561	0	-0.003796	-0.212787	0.065868	3.036162E+9
-5775.41	-4	-2.075969	0.137462	-0.004801	0	-0.004626	-0.212787	0.065921	3.036163E+9
-6007.6	-4.2	-2.186662	0.144161	-0.004504	0	-0.004346	-0.212787	0.065801	3.036164E+9
-6230.67	-4.4	-2.263717	0.146857	-0.004739	0	-0.004396	-0.212787	0.065863	3.036165E+9
-6444.17	-4.6	-2.340616	0.155213	-0.004994	0	-0.004688	-0.212787	0.065862	3.036166E+9
-6647.68	-4.8	-2.411229	0.157858	-0.004512	0	-0.004741	-0.212787	0.065924	3.036167E+9
-6840.75	-5	-2.490028	0.163839	-0.004567	0	-0.004885	-0.212787	0.065978	3.036168E+9
-7022.95	-5.2	-2.571222	0.168364	-0.005324	0	-0.004746	-0.212787	0.065967	3.036169E+9
-7193.84	-5.4	-2.660025	0.171012	-0.005015	0	-0.005707	-0.212787	0.065918	3.03617E+9
-7352.98	-5.6	-2.748887	0.176298	-0.005283	0	-0.005223	-0.212787	0.065859	3.036171E+9
-7499.94	-5.8	-2.837092	0.177003	-0.004882	0	-0.005093	-0.212787	0.065878	3.036172E+9
-7634.28	-6	-2.926258	0.183474	-0.00531	0	-0.005957	-0.212787	0.065873	3.036173E+9
-7755.56	-6.2	-3.012475	0.190209	-0.005531	0	-0.005435	-0.212787	0.066069	3.036174E+9
-7863.34	-6.4	-3.090238	0.196827	-0.005526	0	-0.005104	-0.212787	0.065954	3.036175E+9
-7957.2	-6.6	-3.170338	0.199527	-0.005957	0	-0.00541	-0.212787	0.065993	3.036176E+9
-8036.69	-6.8	-3.241246	0.201983	-0.005464	0	-0.005485	-0.212787	0.066024	3.036177E+9
-8101.38	-7	-3.299078	0.203841	-0.006025	0	-0.005608	-0.212787	0.066106	3.036178E+9
-8150.82	-7.2	-3.320104	0.20621	-0.006017	0	-0.005647	-0.212787	0.065966	3.036179E+9
-8184.58	-7.4	-3.329445	0.207801	-0.005949	0	-0.005924	-0.212787	0.065951	3.03618E+9
-8150.82	-7.2	-3.331768	0.209468	-0.00566	0	-0.005567	-0.212787	0.065992	3.036181E+9
-8101.38	-7	-3.331673	0.210891	-0.006103	0	-0.005289	-0.212787	0.065797	3.036182E+9
-8036.69	-6.8	-3.335348	0.208149	-0.005255	0	-0.00575	-0.212787	0.065962	3.036183E+9
-7957.2	-6.6	-3.331914	0.208045	-0.005998	0	-0.005638	-0.212787	0.066023	3.036184E+9
-7863.34	-6.4	-3.334844	0.20835	-0.005774	0	-0.005859	-0.212787	0.065828	3.036185E+9
-7755.56	-6.2	-3.333269	0.206859	-0.005599	0	-0.005683	-0.212787	0.065934	3.036186E+9
-7634.28	-6	-3.332349	0.207623	-0.005744	0	-0.005687	-0.212787	0.065845	3.036187E+9
-7499.94	-5.8	-3.332733	0.207905	-0.00623	0	-0.00552	-0.212787	0.065985	3.036188E+9
-7352.98	-5.6	-3.334156	0.207922	-0.005755	0	-0.005554	-0.212787	0.065953	3.036189E+9
-7193.84	-5.4	-3.332265	0.206391	-0.006123	0	-0.005595	-0.212787	0.065979	3.03619E+9
-7022.95	-5.2	-3.329809	0.20863	-0.005669	0	-0.006519	-0.212787	0.066069	3.036191E+9
-6840.75	-5	-3.331563	0.205141	-0.005915	0	-0.005784	-0.212787	0.065968	3.036192E+9
-6647.68	-4.8	-3.333753	0.206928	-0.006145	0	-0.005659	-0.212787	0.06589	3.036193E+9
-6444.17	-4.6	-3.330341	0.206044	-0.005848	0	-0.005288	-0.212787	0.065967	3.036194E+9
-6230.67	-4.4	-3.329442	0.205397	-0.006056	0	-0.006055	-0.212787	0.065932	3.036195E+9
-6007.6	-4.2	-3.330367	0.206791	-0.005589	0	-0.006104	-0.212787	0.066116	3.036196E+9
-5775.41	-4	-3.328977	0.206788	-0.006518	0	-0.005714	-0.212787	0.06605	3.036197E+9
-5534.53	-3.8	-3.329841	0.20645	-0.005381	0	-0.005398	-0.212787	0.066004	3.036198E+9
-5285.39	-3.6	-3.32503	0.206755	-0.006058	0	-0.00613	-0.212787	0.066014	3.036199E+9
-5028.44	-3.4	-3.327687	0.208679	-0.005623	0	-0.006033	-0.212787	0.066049	3.0362E+9
-4764.12	-3.2	-3.328535	0.207581	-0.005944	0	-0.005651	-0.212787	0.066093	3.036201E+9
-4492.85	-3	-3.327729	0.208594	-0.00567	0	-0.005886	-0.212787	0.066065	3.036202E+9
-4215.08	-2.8	-3.326313	0.206469	-0.005096	0	-0.005705	-0.212787	0.065886	3.036203E+9
-3931.24	-2.6	-3.327226	0.208074	-0.005546	0	-0.005506	-0.212787	0.065936	3.036204E+9
-3641.77	-2.4	-3.325527	0.205544	-0.005951	0	-0.0056	-0.212787	0.065963	3.036205E+9
-3347.11	-2.2	-3.326339	0.205872	-0.006512	0	-0.006043	-0.212787	0.066078	3.036206E+9
-3047.69	-2	-3.325816	0.208529	-0.005565	0	-0.00557	-0.212787	0.066034	3.036207E+9
-2743.95	-1.8	-3.32334	0.208191	-0.006349	0	-0.005532	-0.212787	0.066099	3.036208E+9
-2436.33	-1.6	-3.326063	0.206011	-0.005697	0	-0.005344	-0.212787	0.065823	3.036209E+9
-2125.26	-1.4	-3.321566	0.206492	-0.004996	0	-0.005716	-0.212787	0.065996	3.03621E+9
-1811.18	-1.2	-3.32503	0.207714	-0.005809	0	-0.005916	-0.212787	0.066127	3.036211E+9
-1494.53	-1	-3.323308	0.208909	-0.006379	0	-0.005764	-0.212787	0.066038	3.036212E+9
-1175.74	-0.8	-3.323356	0.205362	-0.006228	0	-0.00558	-0.212787	0.065736	3.036213E+9
-855.25	-0.6	-3.322505	0.206794	-0.005455	0	-0.006126	-0.212787	0.065888	3.036214E+9
-533.51	-0.4	-3.315364	0.206469	-0.006389	0	-0.005598	-0.212787	0.066012	3.036215E+9
-210.93	-0.2	-3.31271	0.202889	-0.00575	0	-0.005364	-0.212787	0.065948	3.036216E+9
112.03	0	-3.306531	0.205043	-0.006111	0	-0.005647	-0.212787	0.065951	3.036217E+9
434.94	0.2	-3.287724	0.205482	-0.005946	0	-0.005642	-0.212787	0.066012	3.036218E+9
757.37	0.4	-3.221714	0.200034	-0.005861	0	-0.0055	-0.212787	0.065846	3.036219E+9
1078.87	0.6	-3.042855	0.192383	-0.005884	0	-0.005036	-0.212787	0.066006	3.03622E+9
1399.02	0.8	-2.677406	0.172133	-0.005227	0	-0.005086	-0.212787	0.065859	3.036221E+9
1717.37	1	-2.17456	0.144242	-0.004735	0	-0.004388	-0.212787	0.065874	3.036222E+9
2033.48	1.2	-1.623706	0.113073	-0.003376	0	-0.003468	-0.212787	0.065879	3.036223E+9
2346.93	1.4	-1.070016	0.083428	-0.002577	0	-0.003017	-0.212787	0.065903	3.036224E+9
