31/05/2021	08:49

Si/Pt30/[co88Tb12]450/Pt30

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	-1.690043	-0.085153	0.011227	0	0.010873	-0.212787	0.075882	2.738358E+9
8311.94	7.2	-1.689494	-0.085666	0.011207	0	0.011067	-0.212787	0.075751	2.738359E+9
8265.94	7	-1.690073	-0.086221	0.011072	0	0.010669	-0.212787	0.075783	2.73836E+9
8204.61	6.8	-1.689605	-0.085387	0.010868	0	0.010696	-0.212787	0.075764	2.738361E+9
8128.37	6.6	-1.690118	-0.085406	0.011038	0	0.011109	-0.212787	0.075827	2.738362E+9
8037.67	6.4	-1.691739	-0.086335	0.011059	0	0.011293	-0.212787	0.075724	2.738363E+9
7932.95	6.2	-1.692217	-0.085822	0.010657	0	0.011152	-0.212787	0.075725	2.738364E+9
7814.63	6	-1.692106	-0.086624	0.010695	0	0.011047	-0.212787	0.075826	2.738365E+9
7683.15	5.8	-1.692344	-0.086218	0.010765	0	0.011062	-0.212787	0.075868	2.738366E+9
7538.96	5.6	-1.692558	-0.08655	0.011088	0	0.010707	-0.212787	0.075736	2.738367E+9
7382.49	5.4	-1.69337	-0.086394	0.011159	0	0.011222	-0.212787	0.075978	2.738368E+9
7214.18	5.2	-1.694257	-0.086429	0.011253	0	0.011236	-0.212787	0.075718	2.738369E+9
7034.46	5	-1.694085	-0.087677	0.010702	0	0.010788	-0.212787	0.075927	2.73837E+9
6843.76	4.8	-1.694309	-0.087703	0.010928	0	0.010988	-0.212787	0.075842	2.738371E+9
6642.54	4.6	-1.694095	-0.088161	0.010839	0	0.010826	-0.212787	0.075723	2.738372E+9
6431.22	4.4	-1.693929	-0.087596	0.010913	0	0.011039	-0.212787	0.075712	2.738373E+9
6210.24	4.2	-1.693942	-0.087885	0.011143	0	0.010893	-0.212787	0.075802	2.738374E+9
5980.04	4	-1.694569	-0.088151	0.011073	0	0.010682	-0.212787	0.075848	2.738375E+9
5741.05	3.8	-1.694774	-0.088054	0.010547	0	0.010662	-0.212787	0.075785	2.738376E+9
5493.71	3.6	-1.694501	-0.088177	0.010866	0	0.01039	-0.212787	0.075716	2.738377E+9
5238.46	3.4	-1.694465	-0.088463	0.011071	0	0.011055	-0.212787	0.075913	2.738378E+9
4975.74	3.2	-1.693874	-0.088356	0.010652	0	0.010437	-0.212787	0.075702	2.738379E+9
4705.98	3	-1.694533	-0.088038	0.010542	0	0.010388	-0.212787	0.075959	2.73838E+9
4429.62	2.8	-1.693718	-0.088242	0.010718	0	0.010513	-0.212787	0.075762	2.738381E+9
4147.09	2.6	-1.693042	-0.089035	0.010585	0	0.01088	-0.212787	0.075945	2.738382E+9
3858.83	2.4	-1.692594	-0.088772	0.01027	0	0.010818	-0.212787	0.075759	2.738383E+9
3565.29	2.2	-1.692467	-0.08833	0.010848	0	0.010155	-0.212787	0.075679	2.738384E+9
3266.89	2	-1.692409	-0.08821	0.010234	0	0.010689	-0.212787	0.07571	2.738385E+9
2964.07	1.8	-1.691596	-0.088733	0.010355	0	0.010515	-0.212787	0.075939	2.738386E+9
2657.27	1.6	-1.69056	-0.088466	0.01054	0	0.010359	-0.212787	0.075737	2.738387E+9
2346.93	1.4	-1.69031	-0.088492	0.010485	0	0.010231	-0.212787	0.075737	2.738388E+9
2033.48	1.2	-1.689936	-0.088531	0.010095	0	0.010322	-0.212787	0.075867	2.738389E+9
1717.37	1	-1.6894	-0.088258	0.010437	0	0.010327	-0.212787	0.075731	2.73839E+9
1399.02	0.8	-1.688494	-0.088268	0.010372	0	0.010412	-0.212787	0.075894	2.738391E+9
1078.87	0.6	-1.68712	-0.088655	0.010691	0	0.010394	-0.212787	0.075936	2.738392E+9
757.37	0.4	-1.687327	-0.089548	0.010567	0	0.010826	-0.212787	0.075737	2.738393E+9
434.94	0.2	-1.686418	-0.088937	0.010691	0	0.010729	-0.212787	0.07589	2.738394E+9
112.03	0	-1.685274	-0.088609	0.010299	0	0.010685	-0.212787	0.075831	2.738395E+9
-210.93	-0.2	-1.685105	-0.088775	0.011119	0	0.010746	-0.212787	0.075907	2.738396E+9
-533.51	-0.4	-1.683832	-0.088756	0.010887	0	0.010468	-0.212787	0.075742	2.738397E+9
-855.25	-0.6	-1.682591	-0.088791	0.010733	0	0.010316	-0.212787	0.075753	2.738398E+9
-1175.74	-0.8	-1.681307	-0.0886	0.011155	0	0.010134	-0.212787	0.075997	2.738399E+9
-1494.53	-1	-1.67943	-0.090354	0.010928	0	0.01092	-0.212787	0.075763	2.7384E+9
-1811.18	-1.2	-1.646536	-0.08755	0.01063	0	0.010293	-0.212787	0.075959	2.738401E+9
-2125.26	-1.4	0.932749	0.049279	0.002908	0	0.002656	-0.212787	0.075865	2.738402E+9
-2436.33	-1.6	1.610455	0.084175	0.001077	0	0.000951	-0.212787	0.076099	2.738403E+9
-2743.95	-1.8	2.083468	0.109152	-0.000557	0	-0.000223	-0.212787	0.075949	2.738404E+9
-3047.69	-2	2.512821	0.13098	-0.00186	0	-0.001736	-0.212787	0.076031	2.738405E+9
-3347.11	-2.2	2.923529	0.152299	-0.002779	0	-0.002755	-0.212787	0.075962	2.738406E+9
-3641.77	-2.4	3.152336	0.164268	-0.003626	0	-0.003497	-0.212787	0.076005	2.738407E+9
-3931.24	-2.6	3.206581	0.167974	-0.003635	0	-0.004023	-0.212787	0.076168	2.738408E+9
-4215.08	-2.8	3.215392	0.168796	-0.003411	0	-0.003636	-0.212787	0.076003	2.738409E+9
-4492.85	-3	3.219346	0.169345	-0.003841	0	-0.003877	-0.212787	0.076083	2.73841E+9
-4764.12	-3.2	3.220636	0.168163	-0.003614	0	-0.00388	-0.212787	0.076105	2.738411E+9
-5028.44	-3.4	3.222036	0.170174	-0.003998	0	-0.003653	-0.212787	0.075984	2.738412E+9
-5285.39	-3.6	3.223511	0.16929	-0.003808	0	-0.003578	-0.212787	0.075968	2.738413E+9
-5534.53	-3.8	3.224131	0.169755	-0.003654	0	-0.003631	-0.212787	0.076059	2.738414E+9
-5775.41	-4	3.224261	0.170265	-0.003534	0	-0.003637	-0.212787	0.076004	2.738415E+9
-6007.6	-4.2	3.224648	0.170567	-0.0036	0	-0.003842	-0.212787	0.076127	2.738416E+9
-6230.67	-4.4	3.224901	0.171122	-0.003639	0	-0.003775	-0.212787	0.076023	2.738417E+9
-6444.17	-4.6	3.225226	0.171158	-0.003649	0	-0.003953	-0.212787	0.075997	2.738418E+9
-6647.68	-4.8	3.224771	0.171538	-0.003611	0	-0.003886	-0.212787	0.076145	2.738419E+9
-6840.75	-5	3.224661	0.172191	-0.003773	0	-0.003666	-0.212787	0.076001	2.73842E+9
-7022.95	-5.2	3.225051	0.171918	-0.003893	0	-0.003826	-0.212787	0.076065	2.738421E+9
-7193.84	-5.4	3.225973	0.171594	-0.004009	0	-0.003819	-0.212787	0.075995	2.738422E+9
-7352.98	-5.6	3.225294	0.171343	-0.00353	0	-0.003914	-0.212787	0.075974	2.738423E+9
-7499.94	-5.8	3.224697	0.171779	-0.003863	0	-0.00407	-0.212787	0.076006	2.738424E+9
-7634.28	-6	3.225047	0.172256	-0.003604	0	-0.003517	-0.212787	0.076162	2.738425E+9
-7755.56	-6.2	3.224664	0.171886	-0.003684	0	-0.00358	-0.212787	0.075994	2.738426E+9
-7863.34	-6.4	3.224083	0.171581	-0.004123	0	-0.003834	-0.212787	0.076043	2.738427E+9
-7957.2	-6.6	3.223283	0.17159	-0.003519	0	-0.004021	-0.212787	0.076032	2.738428E+9
-8036.69	-6.8	3.223511	0.171876	-0.003768	0	-0.003734	-0.212787	0.076029	2.738429E+9
-8101.38	-7	3.223335	0.171642	-0.003742	0	-0.003504	-0.212787	0.076178	2.73843E+9
-8150.82	-7.2	3.2229	0.172338	-0.003404	0	-0.003448	-0.212787	0.07601	2.738431E+9
-8184.58	-7.4	3.223313	0.17211	-0.003799	0	-0.003301	-0.212787	0.07601	2.738432E+9
-8150.82	-7.2	3.222738	0.172783	-0.003305	0	-0.003479	-0.212787	0.076128	2.738433E+9
-8101.38	-7	3.224177	0.172757	-0.003466	0	-0.003325	-0.212787	0.075993	2.738434E+9
-8036.69	-6.8	3.225642	0.173026	-0.003345	0	-0.003593	-0.212787	0.07604	2.738435E+9
-7957.2	-6.6	3.225895	0.173471	-0.003654	0	-0.003341	-0.212787	0.076006	2.738436E+9
-7863.34	-6.4	3.227159	0.173374	-0.003692	0	-0.003663	-0.212787	0.07611	2.738437E+9
-7755.56	-6.2	3.227702	0.173793	-0.003589	0	-0.003521	-0.212787	0.076117	2.738438E+9
-7634.28	-6	3.229031	0.174498	-0.003733	0	-0.003966	-0.212787	0.076033	2.738439E+9
-7499.94	-5.8	3.229417	0.174917	-0.003708	0	-0.003368	-0.212787	0.076107	2.73844E+9
-7352.98	-5.6	3.230275	0.174995	-0.003516	0	-0.003227	-0.212787	0.076017	2.738441E+9
-7193.84	-5.4	3.232016	0.174742	-0.00329	0	-0.003642	-0.212787	0.076178	2.738442E+9
-7022.95	-5.2	3.232107	0.174638	-0.003552	0	-0.003447	-0.212787	0.076001	2.738443E+9
-6840.75	-5	3.232877	0.175862	-0.003666	0	-0.003999	-0.212787	0.076107	2.738444E+9
-6647.68	-4.8	3.233556	0.175573	-0.002911	0	-0.003644	-0.212787	0.075976	2.738445E+9
-6444.17	-4.6	3.234193	0.17608	-0.003407	0	-0.003444	-0.212787	0.076023	2.738446E+9
-6230.67	-4.4	3.2343	0.176779	-0.003577	0	-0.003762	-0.212787	0.07625	2.738447E+9
-6007.6	-4.2	3.234329	0.176587	-0.003325	0	-0.003784	-0.212787	0.076126	2.738448E+9
-5775.41	-4	3.234407	0.176779	-0.00372	0	-0.003562	-0.212787	0.076019	2.738449E+9
-5534.53	-3.8	3.234943	0.176814	-0.003348	0	-0.003614	-0.212787	0.076094	2.73845E+9
-5285.39	-3.6	3.235525	0.176749	-0.003694	0	-0.003674	-0.212787	0.075942	2.738451E+9
-5028.44	-3.4	3.235736	0.177766	-0.003288	0	-0.003875	-0.212787	0.076023	2.738452E+9
-4764.12	-3.2	3.236454	0.177211	-0.00329	0	-0.003907	-0.212787	0.076159	2.738453E+9
-4492.85	-3	3.236409	0.17776	-0.00399	0	-0.003923	-0.212787	0.075981	2.738454E+9
-4215.08	-2.8	3.236373	0.17774	-0.004185	0	-0.003737	-0.212787	0.075992	2.738455E+9
-3931.24	-2.6	3.235736	0.178146	-0.003515	0	-0.003799	-0.212787	0.076039	2.738456E+9
-3641.77	-2.4	3.235551	0.177607	-0.003506	0	-0.003633	-0.212787	0.076058	2.738457E+9
-3347.11	-2.2	3.235811	0.179014	-0.00357	0	-0.00374	-0.212787	0.076175	2.738458E+9
-3047.69	-2	3.235297	0.178085	-0.004193	0	-0.004036	-0.212787	0.075975	2.738459E+9
-2743.95	-1.8	3.235226	0.178003	-0.004285	0	-0.003764	-0.212787	0.076082	2.73846E+9
-2436.33	-1.6	3.23483	0.178176	-0.004344	0	-0.004104	-0.212787	0.076106	2.738461E+9
-2125.26	-1.4	3.233897	0.178172	-0.003559	0	-0.003974	-0.212787	0.076193	2.738462E+9
-1811.18	-1.2	3.234082	0.178598	-0.003521	0	-0.0038	-0.212787	0.075965	2.738463E+9
-1494.53	-1	3.233202	0.179433	-0.004104	0	-0.003792	-0.212787	0.076021	2.738464E+9
-1175.74	-0.8	3.233277	0.179059	-0.004615	0	-0.003894	-0.212787	0.075973	2.738465E+9
-855.25	-0.6	3.232679	0.179011	-0.004251	0	-0.003814	-0.212787	0.075963	2.738466E+9
-533.51	-0.4	3.232195	0.179465	-0.003863	0	-0.003835	-0.212787	0.075953	2.738467E+9
-210.93	-0.2	3.231298	0.179784	-0.004323	0	-0.003864	-0.212787	0.07601	2.738468E+9
112.03	0	3.230964	0.17955	-0.004332	0	-0.003765	-0.212787	0.075939	2.738469E+9
434.94	0.2	3.230008	0.179504	-0.004411	0	-0.003973	-0.212787	0.076021	2.73847E+9
757.37	0.4	3.229677	0.180278	-0.004118	0	-0.004119	-0.212787	0.07603	2.738471E+9
1078.87	0.6	3.226545	0.179868	-0.004177	0	-0.00396	-0.212787	0.076018	2.738472E+9
1399.02	0.8	2.122317	0.115568	-0.000344	0	0.000274	-0.212787	0.075903	2.738473E+9
1717.37	1	0.41026	0.022919	0.004223	0	0.004952	-0.212787	0.075899	2.738474E+9
2033.48	1.2	-0.188793	-0.012916	0.005708	0	0.006524	-0.212787	0.075795	2.738475E+9
2346.93	1.4	-0.641968	-0.037746	0.007785	0	0.007941	-0.212787	0.075925	2.738476E+9
2657.27	1.6	-1.073717	-0.062271	0.008527	0	0.009427	-0.212787	0.075818	2.738477E+9
2964.07	1.8	-1.455503	-0.083671	0.010041	0	0.01075	-0.212787	0.075798	2.738478E+9
3266.89	2	-1.622956	-0.093151	0.010439	0	0.010856	-0.212787	0.075756	2.738479E+9
3565.29	2.2	-1.656886	-0.094568	0.010486	0	0.010527	-0.212787	0.075831	2.73848E+9
3858.83	2.4	-1.663757	-0.095165	0.010608	0	0.01103	-0.212787	0.075785	2.738481E+9
4147.09	2.6	-1.665954	-0.095581	0.010558	0	0.010872	-0.212787	0.075803	2.738482E+9
4429.62	2.8	-1.667757	-0.095373	0.01071	0	0.010605	-0.212787	0.075907	2.738483E+9
4705.98	3	-1.668455	-0.095994	0.01056	0	0.011042	-0.212787	0.075963	2.738484E+9
4975.74	3.2	-1.66918	-0.095974	0.010587	0	0.010511	-0.212787	0.075899	2.738485E+9
5238.46	3.4	-1.670785	-0.096419	0.010636	0	0.010616	-0.212787	0.075875	2.738486E+9
5493.71	3.6	-1.670664	-0.096731	0.010886	0	0.01119	-0.212787	0.075918	2.738487E+9
5741.05	3.8	-1.671171	-0.096868	0.011434	0	0.011189	-0.212787	0.07581	2.738488E+9
5980.04	4	-1.671152	-0.096614	0.0109	0	0.010738	-0.212787	0.075859	2.738489E+9
6210.24	4.2	-1.670843	-0.09703	0.011037	0	0.010979	-0.212787	0.075799	2.73849E+9
6431.22	4.4	-1.670642	-0.096497	0.011158	0	0.010591	-0.212787	0.075907	2.738491E+9
6642.54	4.6	-1.670369	-0.096676	0.011316	0	0.010966	-0.212787	0.075772	2.738492E+9
6843.76	4.8	-1.670697	-0.097976	0.010872	0	0.010821	-0.212787	0.075765	2.738493E+9
7034.46	5	-1.670327	-0.097576	0.011256	0	0.01135	-0.212787	0.075851	2.738494E+9
7214.18	5.2	-1.670115	-0.097829	0.010524	0	0.010902	-0.212787	0.075775	2.738495E+9
7382.49	5.4	-1.670024	-0.097238	0.010694	0	0.010844	-0.212787	0.075791	2.738496E+9
7538.96	5.6	-1.670034	-0.097644	0.010821	0	0.011337	-0.212787	0.075749	2.738497E+9
7683.15	5.8	-1.668949	-0.097303	0.011035	0	0.010638	-0.212787	0.075923	2.738498E+9
7814.63	6	-1.669134	-0.096722	0.010963	0	0.010992	-0.212787	0.07574	2.738499E+9
7932.95	6.2	-1.668117	-0.096871	0.010737	0	0.010701	-0.212787	0.075829	2.7385E+9
8037.67	6.4	-1.66787	-0.097245	0.011607	0	0.011119	-0.212787	0.075952	2.738501E+9
8128.37	6.6	-1.667315	-0.097774	0.011522	0	0.011096	-0.212787	0.075918	2.738502E+9
8204.61	6.8	-1.667331	-0.097686	0.011449	0	0.011069	-0.212787	0.075939	2.738503E+9
8265.94	7	-1.667818	-0.097771	0.011882	0	0.011132	-0.212787	0.075834	2.738504E+9
8311.94	7.2	-1.667831	-0.098041	0.011787	0	0.011305	-0.212787	0.075872	2.738505E+9
8342.16	7.4	-1.66737	-0.097751	0.011747	0	0.011039	-0.212787	0.075926	2.738506E+9
