05/05/2022	11:24

Co88Tb12_20210526_CVEJ5

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
5980.04	4	-1.102384	-0.179283	-0.001281	0	-0.001392	-0.212787	0.072306	1.726806E+9
5679.98	3.75	-1.105948	-0.180947	-0.0012	0	-0.000906	-0.212787	0.071906	1.726807E+9
5367.05	3.5	-1.108193	-0.184878	-0.001092	0	-0.001336	-0.212787	0.072519	1.726808E+9
5042.1	3.25	-1.10945	-0.182402	-0.000919	0	-0.001387	-0.212787	0.072162	1.726809E+9
4705.98	3	-1.108031	-0.18209	-0.001542	0	-0.000794	-0.212787	0.072312	1.72681E+9
4359.54	2.75	-1.109941	-0.180625	-0.000796	0	-0.001566	-0.212787	0.072147	1.726811E+9
4003.65	2.5	-1.105149	-0.183305	-0.001477	0	-0.001073	-0.212787	0.072289	1.726812E+9
3639.15	2.25	-1.098541	-0.189322	-0.001434	0	-0.001113	-0.212787	0.072212	1.726813E+9
3266.89	2	-1.096322	-0.179719	-0.001192	0	-0.00136	-0.212787	0.071925	1.726814E+9
3116	1.9	-1.094408	-0.181129	-0.000906	0	-0.001269	-0.212787	0.071815	1.726815E+9
2964.07	1.8	-1.090971	-0.180619	-0.001971	0	-0.000793	-0.212787	0.072348	1.726816E+9
2811.14	1.7	-1.090633	-0.180641	-0.001725	0	-0.000775	-0.212787	0.072293	1.726817E+9
2657.27	1.6	-1.087372	-0.179322	-0.001311	0	-0.000982	-0.212787	0.071895	1.726818E+9
2502.52	1.5	-1.084548	-0.178192	-0.000643	0	-0.000828	-0.212787	0.071801	1.726819E+9
2346.93	1.4	-1.081878	-0.177704	-0.001592	0	-0.000936	-0.212787	0.07231	1.72682E+9
2190.57	1.3	-1.077317	-0.177558	-0.002015	0	-0.001437	-0.212787	0.072184	1.726821E+9
2033.48	1.2	-1.071141	-0.180765	-0.001091	0	-0.001418	-0.212787	0.071851	1.726822E+9
1875.73	1.1	-1.073772	-0.176171	-0.002112	0	-0.000865	-0.212787	0.072213	1.726823E+9
1717.37	1	-1.066427	-0.178439	-0.0021	0	-0.001898	-0.212787	0.072197	1.726824E+9
1558.44	0.9	-1.058272	-0.177496	-0.001893	0	-0.00107	-0.212787	0.071866	1.726825E+9
1399.02	0.8	-1.055761	-0.1744	-0.001224	0	-0.000902	-0.212787	0.072134	1.726826E+9
1239.14	0.7	-1.049429	-0.173523	-0.001882	0	-0.000644	-0.212787	0.072145	1.726827E+9
1078.87	0.6	-1.038789	-0.173907	-0.001368	0	-0.000945	-0.212787	0.071939	1.726828E+9
918.26	0.5	-1.030287	-0.172539	-0.000673	0	-0.001509	-0.212787	0.071838	1.726829E+9
757.37	0.4	-1.013721	-0.17174	-0.000786	0	-0.001055	-0.212787	0.071835	1.72683E+9
596.24	0.3	-0.99814	-0.169043	-0.001091	0	-0.000975	-0.212787	0.072098	1.726831E+9
434.94	0.2	-0.967631	-0.157237	-0.000225	0	-0.001366	-0.212787	0.071962	1.726832E+9
273.52	0.1	-0.931787	-0.156824	-0.001487	0	-0.001499	-0.212787	0.072237	1.726833E+9
112.03	0	-0.875599	-0.144537	-0.001617	0	-0.001462	-0.212787	0.072307	1.726834E+9
-49.47	-0.1	-0.780035	-0.130181	-0.001558	0	-0.001695	-0.212787	0.072321	1.726835E+9
-210.93	-0.2	-0.661162	-0.111764	-0.001193	0	-0.000941	-0.212787	0.07224	1.726836E+9
-372.3	-0.3	-0.50274	-0.089938	-0.001459	0	-0.001167	-0.212787	0.072059	1.726837E+9
-533.51	-0.4	-0.30714	-0.052421	-0.001464	0	-0.00096	-0.212787	0.072195	1.726838E+9
-694.51	-0.5	0.045238	0.003728	-0.001756	0	-0.001622	-0.212787	0.072163	1.726839E+9
-855.25	-0.6	0.566807	0.087368	-0.001542	0	-0.001707	-0.212787	0.071945	1.72684E+9
-1015.68	-0.7	1.42606	0.229214	-0.001781	0	-0.001986	-0.212787	0.072206	1.726841E+9
-1175.74	-0.8	3.357034	0.541245	-0.003837	0	-0.003734	-0.212787	0.072258	1.726842E+9
-1335.37	-0.9	7.231202	1.224306	-0.005613	0	-0.005521	-0.212787	0.072347	1.726843E+9
-1494.53	-1	9.947138	1.683225	-0.006774	0	-0.007393	-0.212787	0.071863	1.726844E+9
