28/05/2021	14:43

Si/Pt30[Co88Tb12]450/Pt30

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	-0.214192	-0.001626	0.015104	0	0.015653	-0.212787	0.088983	2.500395E+9
8311.94	7.2	-0.214224	-0.001619	0.015136	0	0.014938	-0.212787	0.089185	2.500396E+9
8265.94	7	-0.214153	-0.001571	0.014304	0	0.015272	-0.212787	0.089383	2.500397E+9
8204.61	6.8	-0.21413	-0.001431	0.015396	0	0.015602	-0.212787	0.088935	2.500398E+9
8128.37	6.6	-0.21452	-0.001545	0.014626	0	0.015247	-0.212787	0.089234	2.500399E+9
8037.67	6.4	-0.21437	-0.001496	0.014898	0	0.01512	-0.212787	0.088917	2.5004E+9
7932.95	6.2	-0.214526	-0.001502	0.014665	0	0.015204	-0.212787	0.089437	2.500401E+9
7814.63	6	-0.214341	-0.002107	0.015396	0	0.015494	-0.212787	0.088964	2.500402E+9
7683.15	5.8	-0.214309	-0.002217	0.01487	0	0.015308	-0.212787	0.089349	2.500403E+9
7538.96	5.6	-0.214621	-0.001837	0.015664	0	0.015233	-0.212787	0.088944	2.500404E+9
7382.49	5.4	-0.214939	-0.002094	0.01491	0	0.01535	-0.212787	0.089121	2.500405E+9
7214.18	5.2	-0.214861	-0.002214	0.015107	0	0.014884	-0.212787	0.089218	2.500406E+9
7034.46	5	-0.215559	-0.002081	0.014947	0	0.015338	-0.212787	0.089174	2.500407E+9
6843.76	4.8	-0.215849	-0.001977	0.015499	0	0.014528	-0.212787	0.088912	2.500408E+9
6642.54	4.6	-0.21581	-0.001658	0.014612	0	0.014762	-0.212787	0.089378	2.500409E+9
6431.22	4.4	-0.215836	-0.002019	0.014978	0	0.015593	-0.212787	0.089232	2.50041E+9
6210.24	4.2	-0.215881	-0.001847	0.015107	0	0.014746	-0.212787	0.088955	2.500411E+9
5980.04	4	-0.216082	-0.001892	0.014839	0	0.015302	-0.212787	0.089355	2.500412E+9
5741.05	3.8	-0.215891	-0.00197	0.015343	0	0.015237	-0.212787	0.088891	2.500413E+9
5493.71	3.6	-0.215806	-0.001902	0.01545	0	0.014999	-0.212787	0.089237	2.500414E+9
5238.46	3.4	-0.215745	-0.001918	0.016041	0	0.015834	-0.212787	0.089076	2.500415E+9
4975.74	3.2	-0.215933	-0.001883	0.015512	0	0.014634	-0.212787	0.088966	2.500416E+9
