04/05/2022	16:14

Co88Tb12_20210526_CVEJ2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-0.112189	-0.032983	-0.000488	0	-5.1E-5	-0.212787	0.002821	1.657779E+9
8204.61	6.8	-0.120288	-0.040936	-0.000199	0	7.3E-5	-0.212787	0.00287	1.65778E+9
8128.37	6.6	-0.125093	-0.043591	2.5E-5	0	-1.2E-5	-0.212787	0.002814	1.657781E+9
8037.67	6.4	-0.102491	-0.024439	-0.000346	0	0.000113	-0.212787	0.002824	1.657782E+9
7932.95	6.2	-0.105737	-0.030449	-0.00063	0	4.1E-5	-0.212787	0.002805	1.657783E+9
7814.63	6	-0.096605	-0.040199	-1.1E-5	0	8.1E-5	-0.212787	0.002785	1.657784E+9
7683.15	5.8	-0.119713	-0.03593	-0.000267	0	-7.4E-5	-0.212787	0.002757	1.657785E+9
7538.96	5.6	-0.094061	-0.034903	-5E-6	0	-2E-6	-0.212787	0.002806	1.657786E+9
7382.49	5.4	-0.102732	-0.04056	1.1E-5	0	-6E-6	-0.212787	0.002758	1.657787E+9
7214.18	5.2	-0.091459	-0.039319	-4.3E-5	0	-1.1E-5	-0.212787	0.002778	1.657788E+9
7034.46	5	-0.095188	-0.031554	-0.000137	0	-2.8E-5	-0.212787	0.002786	1.657789E+9
6843.76	4.8	-0.092826	-0.037454	-0.000132	0	6.5E-5	-0.212787	0.002748	1.65779E+9
6642.54	4.6	-0.086299	-0.03246	-0.000545	0	-5.7E-5	-0.212787	0.00271	1.657791E+9
6431.22	4.4	-0.101673	-0.029358	-3.6E-5	0	1E-6	-0.212787	0.002769	1.657792E+9
6210.24	4.2	-0.089951	-0.030953	-6.6E-5	0	-7.2E-5	-0.212787	0.002743	1.657793E+9
5980.04	4	-0.078278	-0.037252	-5.7E-5	0	8.2E-5	-0.212787	0.002711	1.657794E+9
5741.05	3.8	-0.068418	-0.033776	-8.4E-5	0	5E-6	-0.212787	0.00273	1.657795E+9
5493.71	3.6	-0.092157	-0.028019	-9.8E-5	0	6E-6	-0.212787	0.002772	1.657796E+9
5238.46	3.4	-0.084106	-0.024549	6E-6	0	-4.8E-5	-0.212787	0.002749	1.657797E+9
4975.74	3.2	-0.067005	-0.035475	-0.000122	0	-2E-5	-0.212787	0.002755	1.657798E+9
4705.98	3	-0.070699	-0.027847	-0.000197	0	3.2E-5	-0.212787	0.002739	1.657799E+9
4429.62	2.8	-0.062301	-0.040556	-0.000242	0	7.6E-5	-0.212787	0.00273	1.6578E+9
4147.09	2.6	-0.068327	-0.030225	-0.000294	0	0.000169	-0.212787	0.0027	1.657801E+9
3858.83	2.4	-0.060523	-0.027204	-0.000359	0	-9.6E-5	-0.212787	0.002668	1.657802E+9
3565.29	2.2	-0.058253	-0.030602	-5.3E-5	0	2.7E-5	-0.212787	0.00274	1.657803E+9
3266.89	2	-0.040404	-0.029653	-5.8E-5	0	8.2E-5	-0.212787	0.002718	1.657804E+9
2964.07	1.8	-0.061105	-0.035293	-0.000255	0	4.1E-5	-0.212787	0.0027	1.657805E+9
2657.27	1.6	-0.051459	-0.034497	-0.000478	0	-7.3E-5	-0.212787	0.002743	1.657806E+9
2346.93	1.4	-0.055631	-0.024	-0.000436	0	1.5E-5	-0.212787	0.002699	1.657807E+9
2033.48	1.2	-0.035371	-0.017425	0.000237	0	8.6E-5	-0.212787	0.002719	1.657808E+9
1717.37	1	-0.051414	-0.027785	-0.000493	0	5.5E-5	-0.212787	0.002726	1.657809E+9
1399.02	0.8	-0.053012	-0.023477	-5.3E-5	0	4.9E-5	-0.212787	0.002756	1.65781E+9
1078.87	0.6	-0.046385	-0.029942	0.000329	0	5.1E-5	-0.212787	0.002738	1.657811E+9
757.37	0.4	-0.034936	-0.019072	0.00036	0	0.000145	-0.212787	0.002728	1.657812E+9
434.94	0.2	-0.054182	-0.014351	0.000513	0	0.000136	-0.212787	0.00272	1.657813E+9
112.03	0	-0.0353	-0.025339	0.000353	0	0.0001	-0.212787	0.002732	1.657814E+9
