06/05/2022	11:40

Co88Tb12_35_20210602_CVMH6

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-7.47881	-1.476591	0.015722	0	0.016435	-0.212787	0.077577	1.814153E+9
8204.61	6.8	-7.555869	-1.485132	0.015712	0	0.016068	-0.212787	0.077709	1.814153E+9
8128.37	6.6	-7.560034	-1.484264	0.016527	0	0.016399	-0.212787	0.077281	1.814154E+9
8037.67	6.4	-7.561122	-1.486997	0.01577	0	0.016243	-0.212787	0.077316	1.814155E+9
7932.95	6.2	-7.561473	-1.488306	0.015625	0	0.01601	-0.212787	0.077517	1.814156E+9
7814.63	6	-7.56405	-1.487874	0.015864	0	0.016331	-0.212787	0.077283	1.814157E+9
7683.15	5.8	-7.568754	-1.488277	0.016084	0	0.015752	-0.212787	0.077365	1.814158E+9
7538.96	5.6	-7.56482	-1.488845	0.016786	0	0.01629	-0.212787	0.077261	1.814159E+9
7382.49	5.4	-7.573546	-1.487396	0.016075	0	0.016035	-0.212787	0.077711	1.81416E+9
7214.18	5.2	-7.5753	-1.486535	0.016198	0	0.016283	-0.212787	0.077385	1.814161E+9
7034.46	5	-7.575307	-1.489144	0.016769	0	0.015609	-0.212787	0.0778	1.814162E+9
6843.76	4.8	-7.574868	-1.490463	0.017174	0	0.01583	-0.212787	0.077786	1.814163E+9
6642.54	4.6	-7.579287	-1.492214	0.016475	0	0.015726	-0.212787	0.077295	1.814164E+9
6431.22	4.4	-7.577032	-1.488761	0.016373	0	0.016309	-0.212787	0.077348	1.814165E+9
6210.24	4.2	-7.576528	-1.490489	0.016796	0	0.016768	-0.212787	0.077531	1.814166E+9
5980.04	4	-7.580609	-1.495375	0.017059	0	0.016749	-0.212787	0.077576	1.814167E+9
5741.05	3.8	-7.575817	-1.49354	0.017486	0	0.015881	-0.212787	0.07762	1.814168E+9
5493.71	3.6	-7.573578	-1.491821	0.016534	0	0.016491	-0.212787	0.077511	1.814169E+9
5238.46	3.4	-7.574313	-1.487445	0.016371	0	0.016997	-0.212787	0.077782	1.81417E+9
4975.74	3.2	-7.567873	-1.486542	0.016346	0	0.016523	-0.212787	0.077802	1.814171E+9
