03/06/2021	17:58

Si/Pt30/[co88Tb12]450/Pt30

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	0.094405	0.002182	-0.000667	0	-0.000423	-0.212787	0.001834	3.03051E+9
8311.94	7.2	0.094425	0.002198	-0.00099	0	-0.000444	-0.212787	0.001791	3.030511E+9
8265.94	7	0.094431	0.001688	-0.001032	0	-0.000483	-0.212787	0.001814	3.030512E+9
8204.61	6.8	0.094503	0.002149	-0.000957	0	-0.000383	-0.212787	0.001769	3.030513E+9
8128.37	6.6	0.094409	0.002211	-0.001016	0	-0.000329	-0.212787	0.00182	3.030514E+9
8037.67	6.4	0.094444	0.002221	-0.000823	0	-0.000425	-0.212787	0.001806	3.030515E+9
7932.95	6.2	0.094376	0.001753	-0.000729	0	-0.000327	-0.212787	0.001843	3.030516E+9
7814.63	6	0.094529	0.002156	-0.000598	0	-0.000332	-0.212787	0.001798	3.030517E+9
7683.15	5.8	0.094539	0.002172	-0.000698	0	-0.000483	-0.212787	0.001853	3.030518E+9
7538.96	5.6	0.094496	0.00224	-0.000363	0	-0.000459	-0.212787	0.001877	3.030519E+9
7382.49	5.4	0.095344	0.001727	9.5E-5	0	-0.000369	-0.212787	0.001863	3.03052E+9
7214.18	5.2	0.095166	0.001733	-6.9E-5	0	-0.000399	-0.212787	0.001864	3.030521E+9
7034.46	5	0.095117	0.002201	-0.000101	0	-0.0004	-0.212787	0.001884	3.030522E+9
6843.76	4.8	0.095474	0.00223	-0.000656	0	-0.00041	-0.212787	0.001832	3.030523E+9
6642.54	4.6	0.095237	0.002227	-1.7E-5	0	-0.000381	-0.212787	0.001894	3.030524E+9
6431.22	4.4	0.095078	0.00173	-0.000209	0	-0.000458	-0.212787	0.001932	3.030525E+9
6210.24	4.2	0.09549	0.002302	-2E-5	0	-0.000416	-0.212787	0.001873	3.030526E+9
5980.04	4	0.095767	0.002191	-0.00035	0	-0.000511	-0.212787	0.001782	3.030527E+9
5741.05	3.8	0.095507	0.002406	-0.000436	0	-0.000419	-0.212787	0.001882	3.030528E+9
5493.71	3.6	0.094938	0.002266	-0.000543	0	-0.000348	-0.212787	0.001856	3.030529E+9
5238.46	3.4	0.094756	0.001821	-0.000906	0	-0.000425	-0.212787	0.00182	3.03053E+9
4975.74	3.2	0.094974	0.001759	-0.000859	0	-0.000428	-0.212787	0.001837	3.030531E+9
4705.98	3	0.095273	0.001785	-0.000469	0	-0.000424	-0.212787	0.00183	3.030532E+9
4429.62	2.8	0.095318	0.001808	-0.001004	0	-0.000357	-0.212787	0.001841	3.030533E+9
4147.09	2.6	0.095338	0.002422	-0.000903	0	-0.000246	-0.212787	0.001829	3.030534E+9
3858.83	2.4	0.095214	0.002234	-0.000571	0	-0.000344	-0.212787	0.001846	3.030535E+9
3565.29	2.2	0.095328	0.002139	-0.000439	0	-0.00042	-0.212787	0.001856	3.030536E+9
3266.89	2	0.095351	0.00149	-0.000345	0	-0.000395	-0.212787	0.001862	3.030537E+9
2964.07	1.8	0.095318	0.001854	-0.000484	0	-0.000403	-0.212787	0.001854	3.030538E+9
2657.27	1.6	0.095305	0.002084	-0.001017	0	-0.000256	-0.212787	0.00184	3.030539E+9
2346.93	1.4	0.095624	0.001584	-0.00036	0	-0.000398	-0.212787	0.001851	3.03054E+9
2033.48	1.2	0.095455	0.002273	-0.000596	0	-0.000417	-0.212787	0.001858	3.030541E+9
1717.37	1	0.095172	0.001642	-0.000437	0	-0.000318	-0.212787	0.001869	3.030542E+9
1399.02	0.8	0.095594	0.001672	-0.000497	0	-0.000429	-0.212787	0.001854	3.030543E+9
1078.87	0.6	0.095429	0.001574	-0.000422	0	-0.000408	-0.212787	0.001844	3.030544E+9
