06/05/2022	10:09

Co88Tb12_35_20210602_CVMH2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-4.985409	-1.039955	0.000732	0	0.001214	-0.212787	0.037492	1.808636E+9
8204.61	6.8	-4.967697	-1.032883	0.000963	0	0.001395	-0.212787	0.03743	1.808636E+9
8128.37	6.6	-4.993089	-1.055644	0.00128	0	0.002109	-0.212787	0.037517	1.808637E+9
8037.67	6.4	-5.021981	-1.032902	0.001409	0	0.001309	-0.212787	0.037535	1.808638E+9
7932.95	6.2	-5.030149	-1.068785	0.001147	0	0.001245	-0.212787	0.037536	1.808639E+9
7814.63	6	-5.035938	-1.047899	0.001928	0	0.002216	-0.212787	0.037465	1.80864E+9
7683.15	5.8	-5.071737	-1.059191	0.002015	0	0.001462	-0.212787	0.037546	1.808641E+9
7538.96	5.6	-5.075772	-1.050543	0.00191	0	0.001042	-0.212787	0.037537	1.808642E+9
7382.49	5.4	-5.107734	-1.066293	0.00164	0	0.001644	-0.212787	0.037512	1.808643E+9
7214.18	5.2	-5.092152	-1.069701	0.00234	0	0.00206	-0.212787	0.037549	1.808644E+9
7034.46	5	-5.11224	-1.063246	0.001111	0	0.002481	-0.212787	0.037529	1.808645E+9
6843.76	4.8	-5.103107	-1.065803	0.002068	0	0.001863	-0.212787	0.037555	1.808646E+9
6642.54	4.6	-5.080385	-1.058253	0.001984	0	0.001724	-0.212787	0.037525	1.808647E+9
6431.22	4.4	-5.079332	-1.05899	0.001728	0	0.001754	-0.212787	0.037519	1.808648E+9
6210.24	4.2	-5.072536	-1.069448	0.001943	0	0.00169	-0.212787	0.037549	1.808649E+9
5980.04	4	-5.05624	-1.071949	0.002198	0	0.002249	-0.212787	0.037545	1.80865E+9
5741.05	3.8	-5.059762	-1.075315	0.002037	0	0.00131	-0.212787	0.037582	1.808651E+9
5493.71	3.6	-5.064586	-1.049452	0.002226	0	0.002223	-0.212787	0.037541	1.808652E+9
5238.46	3.4	-5.062832	-1.071303	0.002026	0	0.002312	-0.212787	0.037577	1.808653E+9
4975.74	3.2	-5.066405	-1.059191	0.002372	0	0.001986	-0.212787	0.037567	1.808654E+9
4705.98	3	-5.058046	-1.037028	0.002624	0	0.001307	-0.212787	0.037558	1.808655E+9
4429.62	2.8	-5.046019	-1.028357	0.001559	0	0.002129	-0.212787	0.037516	1.808656E+9
4147.09	2.6	-5.043589	-1.050319	0.001462	0	0.002395	-0.212787	0.037542	1.808657E+9
3858.83	2.4	-5.015688	-1.045901	0.002355	0	0.00169	-0.212787	0.037611	1.808658E+9
3565.29	2.2	-5.012605	-1.051336	0.002306	0	0.001104	-0.212787	0.037556	1.808659E+9
3266.89	2	-4.972164	-1.050368	0.001792	0	0.001544	-0.212787	0.037607	1.80866E+9
2964.07	1.8	-4.933759	-1.038029	0.000567	0	0.001728	-0.212787	0.037573	1.808661E+9
2657.27	1.6	-4.889371	-1.045088	0.001837	0	0.001989	-0.212787	0.037619	1.808662E+9
2346.93	1.4	-4.830535	-1.029572	0.001786	0	0.001927	-0.212787	0.037653	1.808663E+9
2033.48	1.2	-4.762527	-1.009988	0.001714	0	0.001389	-0.212787	0.03763	1.808664E+9
1717.37	1	-4.663598	-0.99649	0.00141	0	0.00134	-0.212787	0.037585	1.808665E+9
1399.02	0.8	-4.565565	-0.985197	0.00125	0	0.001847	-0.212787	0.037586	1.808666E+9
1078.87	0.6	-4.462701	-0.980996	0.001771	0	0.001852	-0.212787	0.037538	1.808667E+9
757.37	0.4	-4.346712	-0.975788	0.002079	0	0.001723	-0.212787	0.037642	1.808668E+9
434.94	0.2	-4.223634	-0.952329	0.002246	0	0.000898	-0.212787	0.037611	1.808669E+9
112.03	0	-4.074887	-0.955798	0.001235	0	0.001342	-0.212787	0.037621	1.80867E+9
-210.93	-0.2	-3.910205	-0.915201	0.00164	0	0.002065	-0.212787	0.037564	1.808671E+9
-533.51	-0.4	-3.676359	-0.873997	0.002428	0	0.002049	-0.212787	0.037635	1.808672E+9
-855.25	-0.6	-3.330761	-0.839001	0.002763	0	0.001463	-0.212787	0.037621	1.808673E+9
-1175.74	-0.8	-3.078322	-0.820421	0.001715	0	0.001854	-0.212787	0.037626	1.808674E+9
-1494.53	-1	-2.88686	-0.775961	0.002144	0	0.00144	-0.212787	0.037564	1.808675E+9
-1811.18	-1.2	-2.727672	-0.766692	0.002234	0	0.002526	-0.212787	0.03755	1.808676E+9
-2125.26	-1.4	-2.598204	-0.744766	0.001942	0	0.001803	-0.212787	0.037501	1.808677E+9
-2436.33	-1.6	-2.459837	-0.712986	0.00231	0	0.00158	-0.212787	0.037494	1.808678E+9
-2743.95	-1.8	-2.347338	-0.712047	0.000483	0	0.001499	-0.212787	0.037581	1.808679E+9
-3047.69	-2	-2.237886	-0.698838	0.001463	0	0.001148	-0.212787	0.037565	1.80868E+9
-3347.11	-2.2	-2.152998	-0.673296	0.000468	0	0.002481	-0.212787	0.037488	1.808681E+9
-3641.77	-2.4	-2.090721	-0.667107	0.001468	0	0.001964	-0.212787	0.037564	1.808682E+9
-3931.24	-2.6	-2.007305	-0.678601	0.002027	0	0.001512	-0.212787	0.037499	1.808683E+9
-4215.08	-2.8	-1.990268	-0.674111	0.000681	0	0.002113	-0.212787	0.037444	1.808684E+9
-4492.85	-3	-1.955035	-0.667045	0.001319	0	0.001655	-0.212787	0.037541	1.808685E+9
-4764.12	-3.2	-1.936852	-0.655678	0.001798	0	0.0018	-0.212787	0.037562	1.808686E+9
-5028.44	-3.4	-1.914747	-0.660167	0.002331	0	0.001543	-0.212787	0.037578	1.808687E+9
-5285.39	-3.6	-1.899315	-0.663705	0.001705	0	0.001881	-0.212787	0.037448	1.808688E+9
-5534.53	-3.8	-1.896186	-0.648511	0.001629	0	0.002041	-0.212787	0.037491	1.808689E+9
