06/05/2022	10:12

Co88Tb12_35_20210602_CVMH2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-0.278342	3.35411	-0.00034	0	-2.9E-5	-0.212787	0.037523	1.808814E+9
8204.61	6.8	-0.29187	3.353619	0.00035	0	0.000204	-0.212787	0.037422	1.808815E+9
8128.37	6.6	-0.255036	3.35242	0.000696	0	0.000355	-0.212787	0.037456	1.808816E+9
8037.67	6.4	-0.254158	3.354087	0.000327	0	-0.000936	-0.212787	0.037441	1.808817E+9
7932.95	6.2	-0.269187	3.390568	-0.000873	0	-0.000835	-0.212787	0.037345	1.808818E+9
7814.63	6	-0.280607	3.385292	-0.000941	0	-0.000849	-0.212787	0.037519	1.808819E+9
7683.15	5.8	-0.308719	3.402611	-0.00102	0	-0.000275	-0.212787	0.037532	1.80882E+9
7538.96	5.6	-0.259162	3.416952	-0.000649	0	-0.000499	-0.212787	0.037526	1.808821E+9
7382.49	5.4	-0.260848	3.422543	0.000125	0	-0.000424	-0.212787	0.037354	1.808822E+9
7214.18	5.2	-0.247238	3.445327	-0.000657	0	-0.000238	-0.212787	0.037439	1.808823E+9
7034.46	5	-0.2309	3.455346	-0.000561	0	0.000478	-0.212787	0.037475	1.808824E+9
6843.76	4.8	-0.201541	3.471896	0.000835	0	8.8E-5	-0.212787	0.03748	1.808825E+9
6642.54	4.6	-0.194923	3.466217	0.000286	0	-0.001028	-0.212787	0.037395	1.808826E+9
6431.22	4.4	-0.17699	3.500053	-0.000835	0	-0.000209	-0.212787	0.037504	1.808827E+9
6210.24	4.2	-0.1393	3.48416	0.000253	0	0.000607	-0.212787	0.037529	1.808828E+9
5980.04	4	-0.152114	3.546118	0.000447	0	0.000126	-0.212787	0.037408	1.808829E+9
5741.05	3.8	-0.151837	3.555981	0.000539	0	-0.000303	-0.212787	0.037429	1.80883E+9
5493.71	3.6	-0.187662	3.521329	-0.000248	0	-0.000879	-0.212787	0.037475	1.808831E+9
5238.46	3.4	-0.151591	3.513467	-0.000508	0	0.000186	-0.212787	0.037514	1.808832E+9
4975.74	3.2	-0.196135	3.502197	0.000312	0	-0.000481	-0.212787	0.037345	1.808833E+9
4705.98	3	-0.183939	3.528006	-3E-5	0	-0.000317	-0.212787	0.037387	1.808834E+9
4429.62	2.8	-0.125802	3.556644	-3.6E-5	0	-0.000202	-0.212787	0.037512	1.808835E+9
4147.09	2.6	-0.137546	3.544643	-0.000533	0	-0.000207	-0.212787	0.037511	1.808836E+9
3858.83	2.4	-0.158546	3.53887	0.001056	0	-0.000324	-0.212787	0.037599	1.808837E+9
3565.29	2.2	-0.166499	3.539643	0.000202	0	0.000441	-0.212787	0.03745	1.808838E+9
3266.89	2	-0.154212	3.563876	0.000901	0	1.4E-5	-0.212787	0.037624	1.808839E+9
2964.07	1.8	-0.171379	3.552141	1.1E-5	0	-0.000455	-0.212787	0.037525	1.80884E+9
2657.27	1.6	-0.15944	3.557083	-0.000483	0	1.5E-5	-0.212787	0.037567	1.808841E+9
2346.93	1.4	-0.13662	3.573668	-0.000689	0	0.000753	-0.212787	0.037396	1.808842E+9
2033.48	1.2	-0.093473	3.594516	0.000417	0	-0.000315	-0.212787	0.037529	1.808843E+9
1717.37	1	-0.067154	3.639762	0.00052	0	-0.000826	-0.212787	0.037474	1.808844E+9
1399.02	0.8	-0.034634	3.685248	0.000362	0	0.000514	-0.212787	0.037583	1.808845E+9
1078.87	0.6	0.022763	3.716915	-8E-6	0	-0.000802	-0.212787	0.037574	1.808846E+9
757.37	0.4	0.098398	3.783785	-9.9E-5	0	0.000537	-0.212787	0.037477	1.808847E+9
434.94	0.2	0.168208	3.825799	0.000844	0	0.00024	-0.212787	0.037537	1.808848E+9
112.03	0	0.208815	3.878849	0.000658	0	-0.000449	-0.212787	0.037585	1.808849E+9
-210.93	-0.2	0.270575	3.949406	0.000173	0	-1.6E-5	-0.212787	0.037631	1.80885E+9
-533.51	-0.4	0.30624	3.992401	0.000118	0	0.000886	-0.212787	0.037618	1.808851E+9
-855.25	-0.6	0.329531	4.053222	7E-6	0	0.000758	-0.212787	0.037571	1.808852E+9
-1175.74	-0.8	0.419116	4.135388	0.000834	0	0.000497	-0.212787	0.037574	1.808853E+9
-1494.53	-1	0.466581	4.218873	0.001073	0	0.000388	-0.212787	0.037639	1.808854E+9
-1811.18	-1.2	0.500535	4.265429	0.00093	0	0.000303	-0.212787	0.037588	1.808855E+9
-2125.26	-1.4	0.532737	4.312199	0.000893	0	0.001269	-0.212787	0.037632	1.808856E+9
-2436.33	-1.6	0.547538	4.355392	0.001648	0	0.000856	-0.212787	0.037437	1.808858E+9
-2743.95	-1.8	0.598925	4.382013	0.001301	0	0.001542	-0.212787	0.037626	1.808858E+9
-3047.69	-2	0.629759	4.406401	0.001544	0	0.000625	-0.212787	0.037683	1.808859E+9
-3347.11	-2.2	0.627023	4.430144	0.00118	0	0.000921	-0.212787	0.037629	1.80886E+9
-3641.77	-2.4	0.636773	4.43195	0.000125	0	0.001217	-0.212787	0.037421	1.808861E+9
-3931.24	-2.6	0.666967	4.451485	0.000777	0	0.001356	-0.212787	0.037471	1.808862E+9
-4215.08	-2.8	0.656717	4.43593	0.001503	0	0.000722	-0.212787	0.03767	1.808863E+9
-4492.85	-3	0.683036	4.461644	0.001467	0	0.000762	-0.212787	0.037487	1.808864E+9
-4764.12	-3.2	0.702854	4.455631	0.001821	0	0.00084	-0.212787	0.037605	1.808865E+9
-5028.44	-3.4	0.67417	4.458844	0.001206	0	0.000727	-0.212787	0.037596	1.808866E+9
-5285.39	-3.6	0.671805	4.452528	0.001081	0	0.001483	-0.212787	0.037589	1.808867E+9
-5534.53	-3.8	0.674527	4.440345	0.00222	0	0.000786	-0.212787	0.037459	1.808868E+9
-5775.41	-4	0.654408	4.438071	0.001234	0	0.000443	-0.212787	0.037554	1.808869E+9
-6007.6	-4.2	0.666178	4.409978	0.000848	0	0.000972	-0.212787	0.037488	1.80887E+9
