26/04/2022	16:18

Co88Tb12

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7814.63	6	-2.491276	-0.040508	-0.011407	0	-0.011695	-0.212787	0.08238	9.668086E+8
7750.51	5.9	-2.515168	-0.044033	-0.012179	0	-0.011679	-0.212787	0.08196	9.668092E+8
7683.15	5.8	-2.505191	-0.035144	-0.011288	0	-0.011597	-0.212787	0.082587	9.668097E+8
7612.62	5.7	-2.511347	-0.053145	-0.012348	0	-0.011929	-0.212787	0.082507	9.668102E+8
7538.96	5.6	-2.50382	-0.041105	-0.01112	0	-0.011989	-0.212787	0.082024	9.668107E+8
7462.23	5.5	-2.512036	-0.03221	-0.011365	0	-0.011585	-0.212787	0.08265	9.668112E+8
7382.49	5.4	-2.526503	-0.054487	-0.010611	0	-0.011152	-0.212787	0.082469	9.668117E+8
7299.79	5.3	-2.529209	-0.030664	-0.011223	0	-0.010955	-0.212787	0.082032	9.668122E+8
7214.18	5.2	-2.524745	-0.0445	-0.010968	0	-0.011762	-0.212787	0.082084	9.668127E+8
7125.71	5.1	-2.51341	-0.039929	-0.012305	0	-0.011776	-0.212787	0.081929	9.668132E+8
7034.46	5	-2.527825	-0.046336	-0.012202	0	-0.012974	-0.212787	0.082057	9.668137E+8
6940.45	4.9	-2.515717	-0.040962	-0.012152	0	-0.012131	-0.212787	0.082028	9.668142E+8
6843.76	4.8	-2.52083	-0.051729	-0.011531	0	-0.011559	-0.212787	0.082062	9.668147E+8
6744.44	4.7	-2.530031	-0.036836	-0.013015	0	-0.012601	-0.212787	0.082172	9.668152E+8
6642.54	4.6	-2.517185	-0.046775	-0.011584	0	-0.011826	-0.212787	0.082453	9.668157E+8
6538.11	4.5	-2.528647	-0.047262	-0.011933	0	-0.012305	-0.212787	0.081985	9.668162E+8
6431.22	4.4	-2.537	-0.042002	-0.011746	0	-0.012002	-0.212787	0.081981	9.668167E+8
6321.91	4.3	-2.526545	-0.061498	-0.011704	0	-0.01183	-0.212787	0.082622	9.668172E+8
6210.24	4.2	-2.531363	-0.05516	-0.011112	0	-0.012049	-0.212787	0.081946	9.668177E+8
6096.26	4.1	-2.528988	-0.036388	-0.012025	0	-0.011934	-0.212787	0.081956	9.668182E+8
5980.04	4	-2.533644	-0.04798	-0.011827	0	-0.011924	-0.212787	0.081999	9.668187E+8
5861.61	3.9	-2.520164	-0.034107	-0.011812	0	-0.012114	-0.212787	0.082751	9.668192E+8
5741.05	3.8	-2.528754	-0.035807	-0.012072	0	-0.01257	-0.212787	0.082429	9.668197E+8
5618.4	3.7	-2.52571	-0.024689	-0.01201	0	-0.012486	-0.212787	0.082007	9.668202E+8
5493.71	3.6	-2.525684	-0.042249	-0.0119	0	-0.012148	-0.212787	0.082018	9.668207E+8
5367.05	3.5	-2.527893	-0.053844	-0.011131	0	-0.01159	-0.212787	0.08274	9.668212E+8
5238.46	3.4	-2.524375	-0.053555	-0.012311	0	-0.012034	-0.212787	0.082033	9.668217E+8
5108.01	3.3	-2.540213	-0.054104	-0.012866	0	-0.012676	-0.212787	0.082263	9.668222E+8
4975.74	3.2	-2.53444	-0.046677	-0.011983	0	-0.012422	-0.212787	0.082484	9.668227E+8
4841.71	3.1	-2.530239	-0.039085	-0.012782	0	-0.012749	-0.212787	0.082787	9.668232E+8
4705.98	3	-2.543819	-0.036177	-0.012581	0	-0.013287	-0.212787	0.082299	9.668237E+8
4568.59	2.9	-2.546343	-0.0449	-0.012103	0	-0.01239	-0.212787	0.082071	9.668242E+8
4429.62	2.8	-2.537396	-0.051999	-0.011651	0	-0.012328	-0.212787	0.082591	9.668249E+8
4289.09	2.7	-2.533036	-0.040215	-0.011989	0	-0.012152	-0.212787	0.082023	9.668252E+8
4147.09	2.6	-2.520437	-0.042886	-0.011479	0	-0.012234	-0.212787	0.082744	9.668257E+8
4003.65	2.5	-2.537172	-0.043409	-0.011885	0	-0.011973	-0.212787	0.082292	9.668262E+8
3858.83	2.4	-2.517828	-0.0567	-0.013265	0	-0.013118	-0.212787	0.082032	9.668267E+8
3712.69	2.3	-2.526847	-0.056394	-0.013432	0	-0.013167	-0.212787	0.082165	9.668272E+8
3565.29	2.2	-2.52175	-0.045111	-0.012204	0	-0.012551	-0.212787	0.082769	9.668277E+8
3416.67	2.1	-2.53673	-0.046294	-0.01198	0	-0.012492	-0.212787	0.082129	9.668282E+8
3266.89	2	-2.539703	-0.040641	-0.013147	0	-0.013997	-0.212787	0.082739	9.668287E+8
3116	1.9	-2.53098	-0.050286	-0.012551	0	-0.01277	-0.212787	0.082039	9.668292E+8
2964.07	1.8	-2.523978	-0.048984	-0.011989	0	-0.012845	-0.212787	0.08232	9.668297E+8
2811.14	1.7	-2.541398	-0.050514	-0.012794	0	-0.013163	-0.212787	0.082151	9.668302E+8
2657.27	1.6	-2.533335	-0.050875	-0.013532	0	-0.013776	-0.212787	0.082797	9.668307E+8
2502.52	1.5	-2.52738	-0.054257	-0.013115	0	-0.013736	-0.212787	0.082151	9.668312E+8
2346.93	1.4	-2.536343	-0.041492	-0.012991	0	-0.013724	-0.212787	0.082617	9.668317E+8
2190.57	1.3	-2.53341	-0.041248	-0.013594	0	-0.013426	-0.212787	0.082516	9.668322E+8
2033.48	1.2	-2.525606	-0.034208	-0.013039	0	-0.013532	-0.212787	0.082717	9.668327E+8
1875.73	1.1	-2.535261	-0.052775	-0.013278	0	-0.013876	-0.212787	0.08286	9.668332E+8
1717.37	1	-2.524199	-0.041879	-0.013311	0	-0.01332	-0.212787	0.082301	9.668337E+8
1558.44	0.9	-2.543624	-0.036749	-0.013493	0	-0.014386	-0.212787	0.082263	9.668342E+8
1399.02	0.8	-2.531772	-0.04014	-0.013972	0	-0.013325	-0.212787	0.082786	9.668347E+8
1239.14	0.7	-2.536418	-0.054367	-0.013986	0	-0.013802	-0.212787	0.082155	9.668352E+8
1078.87	0.6	-2.532542	-0.037093	-0.01359	0	-0.013919	-0.212787	0.082905	9.668357E+8
918.26	0.5	-2.541866	-0.04593	-0.013435	0	-0.013936	-0.212787	0.082819	9.668362E+8
757.37	0.4	-2.532727	-0.054929	-0.013538	0	-0.013656	-0.212787	0.082551	9.668367E+8
596.24	0.3	-2.541366	-0.051992	-0.013374	0	-0.013818	-0.212787	0.082473	9.668372E+8
434.94	0.2	-2.536922	-0.034871	-0.013834	0	-0.014139	-0.212787	0.082453	9.668377E+8
273.52	0.1	-2.534885	-0.036771	-0.013159	0	-0.013247	-0.212787	0.082439	9.668382E+8
112.03	0	-2.519583	-0.03465	-0.012945	0	-0.013329	-0.212787	0.082771	9.668387E+8
-49.47	-0.1	-2.545336	-0.055325	-0.012207	0	-0.012734	-0.212787	0.082162	9.668392E+8
-210.93	-0.2	-2.54582	-0.043172	-0.012814	0	-0.013511	-0.212787	0.082926	9.668397E+8
-372.3	-0.3	-2.526184	-0.042116	-0.012894	0	-0.013623	-0.212787	0.082833	9.668402E+8
-533.51	-0.4	-2.527445	-0.036843	-0.013671	0	-0.014204	-0.212787	0.082156	9.668407E+8
-694.51	-0.5	-2.532675	-0.03644	-0.013535	0	-0.013567	-0.212787	0.082805	9.668412E+8
-855.25	-0.6	-2.539634	-0.035706	-0.013338	0	-0.013876	-0.212787	0.08294	9.668417E+8
