19/05/2022	17:59

Si\Pt3\(Co88Tb12)100\Pt3-20220426_APRD2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	4.652149	-0.113814	0.003111	0	0.003077	-0.212787	0.070601	2.960053E+9
8204.61	6.8	4.652129	-0.113388	0.003551	0	0.002667	-0.212787	0.070717	2.960054E+9
8128.37	6.6	4.652142	-0.115513	0.002422	0	0.002316	-0.212787	0.070452	2.960055E+9
8037.67	6.4	4.653923	-0.115876	0.003027	0	0.002604	-0.212787	0.070549	2.960056E+9
7932.95	6.2	4.656648	-0.115077	0.002637	0	0.002935	-0.212787	0.070546	2.960057E+9
7814.63	6	4.658344	-0.116422	0.003375	0	0.002786	-0.212787	0.070608	2.960058E+9
7683.15	5.8	4.660463	-0.11511	0.002941	0	0.002525	-0.212787	0.070396	2.960059E+9
7538.96	5.6	4.66314	-0.114723	0.002669	0	0.002962	-0.212787	0.07061	2.96006E+9
7382.49	5.4	4.6653	-0.116195	0.003167	0	0.002367	-0.212787	0.070695	2.960061E+9
7214.18	5.2	4.667084	-0.11511	0.002003	0	0.002736	-0.212787	0.070501	2.960062E+9
7034.46	5	4.66864	-0.116	0.002151	0	0.00316	-0.212787	0.070625	2.960063E+9
6843.76	4.8	4.670544	-0.114674	0.002665	0	0.002131	-0.212787	0.07071	2.960064E+9
6642.54	4.6	4.672714	-0.115565	0.002815	0	0.002757	-0.212787	0.070392	2.960065E+9
6431.22	4.4	4.673198	-0.115857	0.002817	0	0.003085	-0.212787	0.070806	2.960066E+9
6210.24	4.2	4.676226	-0.115071	0.002225	0	0.002586	-0.212787	0.07061	2.960067E+9
5980.04	4	4.677444	-0.11371	0.002809	0	0.0024	-0.212787	0.070644	2.960068E+9
5741.05	3.8	4.679169	-0.115126	0.003031	0	0.00294	-0.212787	0.070691	2.960069E+9
5493.71	3.6	4.680163	-0.116052	0.002849	0	0.002669	-0.212787	0.070597	2.96007E+9
5238.46	3.4	4.681362	-0.115532	0.003074	0	0.002586	-0.212787	0.070609	2.960071E+9
