19/05/2022	18:23

Si\Pt3\(Co88Tb12)150\Pt3-20220426_APRD3

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-1.991201	0.635756	-0.002506	0	-0.003035	-0.212787	0.04452	2.961423E+9
8204.61	6.8	-2.067174	0.560088	-0.003311	0	-0.003265	-0.212787	0.04448	2.961424E+9
8128.37	6.6	-2.061401	0.666987	-0.002729	0	-0.002566	-0.212787	0.044523	2.961425E+9
8037.67	6.4	-2.157471	0.699618	-0.003421	0	-0.003558	-0.212787	0.044474	2.961426E+9
7932.95	6.2	-2.23786	0.690875	-0.002525	0	-0.003039	-0.212787	0.044494	2.961427E+9
7814.63	6	-2.253165	0.697444	-0.003618	0	-0.003119	-0.212787	0.044561	2.961428E+9
7683.15	5.8	-2.357627	0.648963	-0.003511	0	-0.003558	-0.212787	0.044547	2.961429E+9
7538.96	5.6	-2.417366	0.672919	-0.002831	0	-0.003422	-0.212787	0.044517	2.96143E+9
7382.49	5.4	-2.448129	0.670323	-0.002696	0	-0.002988	-0.212787	0.044463	2.961431E+9
7214.18	5.2	-2.578464	0.602186	-0.002604	0	-0.003234	-0.212787	0.044478	2.961432E+9
7034.46	5	-2.727799	0.618515	-0.002512	0	-0.001867	-0.212787	0.044459	2.961433E+9
6843.76	4.8	-2.763717	0.646107	-0.003089	0	-0.003202	-0.212787	0.044584	2.961434E+9
6642.54	4.6	-2.892344	0.649271	-0.003272	0	-0.00308	-0.212787	0.044539	2.961435E+9
6431.22	4.4	-2.927327	0.640162	-0.003713	0	-0.002718	-0.212787	0.044574	2.961436E+9
6210.24	4.2	-3.146108	0.665194	-0.003739	0	-0.002572	-0.212787	0.04448	2.961437E+9
5980.04	4	-3.247689	0.658205	-0.003137	0	-0.00262	-0.212787	0.044518	2.961438E+9
5741.05	3.8	-3.431256	0.678942	-0.003198	0	-0.002715	-0.212787	0.044499	2.961439E+9
5493.71	3.6	-3.569723	0.664212	-0.003653	0	-0.003276	-0.212787	0.044584	2.96144E+9
5238.46	3.4	-3.754369	0.752122	-0.003859	0	-0.003425	-0.212787	0.044567	2.961441E+9
4975.74	3.2	-3.858084	0.647075	-0.003331	0	-0.003129	-0.212787	0.044527	2.961442E+9
4705.98	3	-4.000086	0.732577	-0.003914	0	-0.003055	-0.212787	0.044549	2.961443E+9
4429.62	2.8	-4.166234	0.70144	-0.00331	0	-0.003455	-0.212787	0.044431	2.961444E+9
4147.09	2.6	-4.404791	0.669888	-0.003176	0	-0.003201	-0.212787	0.044539	2.961445E+9
3858.83	2.4	-4.485683	0.689098	-0.003591	0	-0.002548	-0.212787	0.044547	2.961446E+9
3565.29	2.2	-4.601266	0.756404	-0.003236	0	-0.002527	-0.212787	0.044485	2.961447E+9
3266.89	2	-4.755724	0.71722	-0.004034	0	-0.002671	-0.212787	0.044487	2.961448E+9
2964.07	1.8	-4.933376	0.767346	-0.003006	0	-0.004205	-0.212787	0.044453	2.961449E+9
2657.27	1.6	-5.030503	0.70223	-0.004099	0	-0.00341	-0.212787	0.044513	2.96145E+9
2346.93	1.4	-5.190939	0.723857	-0.003827	0	-0.003498	-0.212787	0.044504	2.961451E+9
2033.48	1.2	-5.372665	0.759263	-0.002166	0	-0.003733	-0.212787	0.044473	2.961452E+9
1717.37	1	-5.483206	0.784944	-0.003584	0	-0.003213	-0.212787	0.044536	2.961453E+9
1399.02	0.8	-5.733018	0.787732	-0.003218	0	-0.00398	-0.212787	0.044517	2.961454E+9
1078.87	0.6	-5.902944	0.717236	-0.003128	0	-0.003062	-0.212787	0.044572	2.961455E+9
757.37	0.4	-5.926914	0.775299	-0.00333	0	-0.00376	-0.212787	0.044603	2.961456E+9
434.94	0.2	-6.131444	0.777982	-0.002898	0	-0.004093	-0.212787	0.044586	2.961457E+9
112.03	0	-6.25307	0.770068	-0.002777	0	-0.003162	-0.212787	0.044534	2.961458E+9
-210.93	-0.2	-6.346039	0.820662	-0.002642	0	-0.003399	-0.212787	0.044568	2.961459E+9
-533.51	-0.4	-6.528876	0.695986	-0.00258	0	-0.004517	-0.212787	0.044628	2.96146E+9
-855.25	-0.6	-6.724651	0.804086	-0.003143	0	-0.003207	-0.212787	0.044614	2.961461E+9
-1175.74	-0.8	-6.862229	0.788278	-0.004065	0	-0.00298	-0.212787	0.044576	2.961462E+9
-1494.53	-1	-6.962141	0.813173	-0.00404	0	-0.003811	-0.212787	0.044601	2.961463E+9
-1811.18	-1.2	-7.033102	0.807267	-0.004145	0	-0.003529	-0.212787	0.044623	2.961464E+9
-2125.26	-1.4	-7.07339	0.824583	-0.004361	0	-0.003723	-0.212787	0.044547	2.961465E+9
-2436.33	-1.6	-7.186911	0.843387	-0.004039	0	-0.004164	-0.212787	0.044602	2.961466E+9
