19/05/2022	14:50

Si\Pt3\(Co88Tb12)75\Pt3-20220518_APEJ4

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-2.030593	0.953664	-0.028585	0	-0.026871	-0.212787	0.040103	2.94874E+9
8204.61	6.8	-2.035092	0.96202	-0.02843	0	-0.028562	-0.212787	0.040027	2.948741E+9
8128.37	6.6	-2.110058	0.976169	-0.029501	0	-0.027789	-0.212787	0.040113	2.948742E+9
8037.67	6.4	-2.189784	0.971273	-0.029548	0	-0.029038	-0.212787	0.040046	2.948743E+9
7932.95	6.2	-2.251859	1.046239	-0.028094	0	-0.028582	-0.212787	0.040113	2.948744E+9
7814.63	6	-2.313869	1.03799	-0.028634	0	-0.028108	-0.212787	0.040075	2.948745E+9
7683.15	5.8	-2.349755	1.066726	-0.029137	0	-0.028772	-0.212787	0.04002	2.948746E+9
7538.96	5.6	-2.389631	1.054572	-0.030105	0	-0.028641	-0.212787	0.040131	2.948747E+9
7382.49	5.4	-2.410621	1.076638	-0.028046	0	-0.029029	-0.212787	0.04013	2.948748E+9
7214.18	5.2	-2.496256	1.08129	-0.028774	0	-0.028738	-0.212787	0.040075	2.948749E+9
7034.46	5	-2.502052	1.13165	-0.029724	0	-0.029224	-0.212787	0.040144	2.94875E+9
6843.76	4.8	-2.569851	1.152738	-0.029679	0	-0.028049	-0.212787	0.04	2.948751E+9
6642.54	4.6	-2.579042	1.184937	-0.028157	0	-0.028294	-0.212787	0.040197	2.948752E+9
6431.22	4.4	-2.686984	1.180184	-0.028618	0	-0.028463	-0.212787	0.040079	2.948753E+9
6210.24	4.2	-2.76258	1.174456	-0.031027	0	-0.028335	-0.212787	0.039997	2.948754E+9
5980.04	4	-2.839164	1.223146	-0.028577	0	-0.028163	-0.212787	0.040047	2.948755E+9
5741.05	3.8	-2.95028	1.262544	-0.029044	0	-0.029169	-0.212787	0.040027	2.948756E+9
