19/05/2022	15:00

Si\Pt3\(Co88Tb12)75\Pt3-20220518_APEJ4

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	4.376239	-1.445003	0.005989	0	0.005782	-0.212787	0.066566	2.949315E+9
8204.61	6.8	4.379235	-1.44933	0.006064	0	0.006108	-0.212787	0.06642	2.949316E+9
8128.37	6.6	4.380021	-1.446569	0.005739	0	0.006831	-0.212787	0.066158	2.949317E+9
8037.67	6.4	4.3771	-1.445253	0.006126	0	0.006868	-0.212787	0.066192	2.949318E+9
7932.95	6.2	4.375378	-1.44522	0.006311	0	0.006715	-0.212787	0.066203	2.949319E+9
7814.63	6	4.373192	-1.441855	0.006273	0	0.007074	-0.212787	0.066288	2.94932E+9
7683.15	5.8	4.371187	-1.442677	0.006338	0	0.006815	-0.212787	0.066174	2.949321E+9
7538.96	5.6	4.367078	-1.442758	0.006497	0	0.006881	-0.212787	0.066093	2.949322E+9
7382.49	5.4	4.365989	-1.441803	0.006831	0	0.007642	-0.212787	0.066131	2.949323E+9
7214.18	5.2	4.363335	-1.439178	0.006454	0	0.007038	-0.212787	0.066326	2.949324E+9
7034.46	5	4.359401	-1.438547	0.006776	0	0.00642	-0.212787	0.066285	2.949325E+9
6843.76	4.8	4.355226	-1.436939	0.007041	0	0.006511	-0.212787	0.066478	2.949326E+9
6642.54	4.6	4.352403	-1.436484	0.006828	0	0.006814	-0.212787	0.066178	2.949327E+9
6431.22	4.4	4.348059	-1.43433	0.006347	0	0.006324	-0.212787	0.066201	2.949328E+9
6210.24	4.2	4.346405	-1.434633	0.006117	0	0.006164	-0.212787	0.066145	2.949329E+9
5980.04	4	4.338024	-1.433408	0.006079	0	0.005841	-0.212787	0.066519	2.94933E+9
5741.05	3.8	4.338839	-1.431319	0.006675	0	0.006739	-0.212787	0.066324	2.949331E+9
5493.71	3.6	4.333937	-1.431627	0.006384	0	0.006248	-0.212787	0.066579	2.949332E+9
5238.46	3.4	4.331084	-1.430263	0.006084	0	0.005979	-0.212787	0.066545	2.949333E+9
4975.74	3.2	4.329167	-1.430611	0.005722	0	0.006696	-0.212787	0.066494	2.949334E+9
4705.98	3	4.327949	-1.428996	0.005852	0	0.005941	-0.212787	0.066211	2.949335E+9
4429.62	2.8	4.323729	-1.425562	0.006015	0	0.006113	-0.212787	0.066218	2.949336E+9
4147.09	2.6	4.324365	-1.425393	0.006065	0	0.006305	-0.212787	0.066204	2.949337E+9
3858.83	2.4	4.321091	-1.424093	0.006654	0	0.006697	-0.212787	0.066339	2.949338E+9
3565.29	2.2	4.317475	-1.424483	0.006796	0	0.006296	-0.212787	0.066532	2.949339E+9
3266.89	2	4.313781	-1.424084	0.006757	0	0.00614	-0.212787	0.066245	2.94934E+9
2964.07	1.8	4.312845	-1.423567	0.007061	0	0.006637	-0.212787	0.066402	2.949341E+9
2657.27	1.6	4.309902	-1.421816	0.006623	0	0.006713	-0.212787	0.066189	2.949342E+9
2346.93	1.4	4.304951	-1.422687	0.007287	0	0.006421	-0.212787	0.066118	2.949343E+9
2033.48	1.2	4.303758	-1.41922	0.00688	0	0.00615	-0.212787	0.066448	2.949344E+9
1717.37	1	4.304187	-1.423307	0.006443	0	0.006894	-0.212787	0.066547	2.949345E+9
1399.02	0.8	4.300548	-1.420221	0.006808	0	0.006561	-0.212787	0.066245	2.949346E+9
1078.87	0.6	4.298212	-1.419301	0.006744	0	0.006616	-0.212787	0.066558	2.949347E+9
757.37	0.4	4.293456	-1.41795	0.007104	0	0.006216	-0.212787	0.066514	2.949348E+9
434.94	0.2	4.289873	-1.41719	0.006646	0	0.007197	-0.212787	0.066584	2.949349E+9
112.03	0	4.285078	-1.41617	0.006514	0	0.006565	-0.212787	0.066475	2.94935E+9
-210.93	-0.2	4.282098	-1.413509	0.006449	0	0.006732	-0.212787	0.066332	2.949351E+9
-533.51	-0.4	4.273749	-1.407437	0.006622	0	0.006765	-0.212787	0.066258	2.949352E+9
-855.25	-0.6	4.264626	-1.40643	0.006948	0	0.006579	-0.212787	0.066412	2.949353E+9
-1175.74	-0.8	4.255013	-1.402346	0.007243	0	0.006558	-0.212787	0.066289	2.949354E+9
-1494.53	-1	4.241205	-1.39886	0.0077	0	0.006371	-0.212787	0.066244	2.949355E+9
-1811.18	-1.2	4.21603	-1.389711	0.006166	0	0.006496	-0.212787	0.066387	2.949356E+9
-2125.26	-1.4	4.179624	-1.376541	0.007013	0	0.006818	-0.212787	0.066099	2.949357E+9
-2436.33	-1.6	4.110931	-1.354689	0.006922	0	0.006313	-0.212787	0.06631	2.949358E+9
-2743.95	-1.8	3.939069	-1.297592	0.006169	0	0.006098	-0.212787	0.066203	2.949359E+9
-3047.69	-2	3.508919	-1.154761	0.00515	0	0.00572	-0.212787	0.066253	2.94936E+9
-3347.11	-2.2	2.759694	-0.903665	0.004419	0	0.004326	-0.212787	0.066452	2.949361E+9
-3641.77	-2.4	1.808025	-0.586491	0.002729	0	0.002637	-0.212787	0.066731	2.949362E+9
-3931.24	-2.6	0.814258	-0.259097	0.001717	0	0.001905	-0.212787	0.066264	2.949363E+9
-4215.08	-2.8	-0.150791	0.067353	-9E-5	0	-3.7E-5	-0.212787	0.066621	2.949364E+9
-4492.85	-3	-1.070887	0.376054	-0.000891	0	-0.000631	-0.212787	0.066607	2.949365E+9
