19/05/2022	16:25

Si\Pt3\(Co88Tb12)75\Pt3-20220518_APEJ7

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	2.908847	-0.085734	0.001118	0	0.000518	-0.212787	0.047683	2.954452E+9
8204.61	6.8	2.908399	-0.085737	0.001707	0	0.000407	-0.212787	0.047521	2.954453E+9
8128.37	6.6	2.909146	-0.084376	0.000161	0	0.000614	-0.212787	0.047454	2.954454E+9
8037.67	6.4	2.909224	-0.084503	0.000511	0	0.000875	-0.212787	0.047594	2.954455E+9
7932.95	6.2	2.910088	-0.084854	-5.2E-5	0	-0.000264	-0.212787	0.047526	2.954456E+9
7814.63	6	2.910459	-0.085968	0.000337	0	0.000225	-0.212787	0.04736	2.954457E+9
7683.15	5.8	2.910751	-0.085819	0.000949	0	0.000555	-0.212787	0.047445	2.954458E+9
7538.96	5.6	2.910657	-0.08447	0.000358	0	0.000724	-0.212787	0.047521	2.954459E+9
7382.49	5.4	2.911703	-0.084779	-0.000231	0	0.001236	-0.212787	0.047354	2.95446E+9
7214.18	5.2	2.913103	-0.08423	0.000506	0	0.001615	-0.212787	0.047647	2.954461E+9
7034.46	5	2.911661	-0.084708	-0.000168	0	8.9E-5	-0.212787	0.04729	2.954462E+9
6843.76	4.8	2.913857	-0.084909	0.000823	0	0.000621	-0.212787	0.047413	2.954463E+9
6642.54	4.6	2.913811	-0.084568	0.001969	0	0.001043	-0.212787	0.047611	2.954464E+9
6431.22	4.4	2.912931	-0.084103	0.002075	0	0.000269	-0.212787	0.047517	2.954465E+9
6210.24	4.2	2.913668	-0.084142	0.000499	0	0.00051	-0.212787	0.047453	2.954466E+9
5980.04	4	2.914513	-0.084464	0.002743	0	0.00057	-0.212787	0.047629	2.954467E+9
5741.05	3.8	2.913308	-0.083837	0.001228	0	0.000914	-0.212787	0.047292	2.954468E+9
5493.71	3.6	2.913704	-0.084496	0.001165	0	0.002342	-0.212787	0.04727	2.954469E+9
5238.46	3.4	2.913357	-0.084649	0.002548	0	0.000633	-0.212787	0.047286	2.95447E+9
4975.74	3.2	2.913776	-0.085312	0.001207	0	0.00123	-0.212787	0.047386	2.954471E+9
4705.98	3	2.915478	-0.084071	0.000314	0	0.002593	-0.212787	0.047267	2.954472E+9
4429.62	2.8	2.915472	-0.084051	0.002851	0	0.001726	-0.212787	0.04742	2.954473E+9
4147.09	2.6	2.915926	-0.083213	0.002376	0	0.001118	-0.212787	0.047322	2.954474E+9
3858.83	2.4	2.915959	-0.084123	0.00309	0	0.001858	-0.212787	0.047329	2.954475E+9
3565.29	2.2	2.916878	-0.083821	0.003915	0	0.002498	-0.212787	0.047355	2.954476E+9
3266.89	2	2.918168	-0.084477	0.002459	0	0.002088	-0.212787	0.047262	2.954477E+9
2964.07	1.8	2.91811	-0.085328	0.002241	0	0.002539	-0.212787	0.047369	2.954478E+9
2657.27	1.6	2.919065	-0.084984	0.002858	0	0.002643	-0.212787	0.047327	2.954479E+9
2346.93	1.4	2.920264	-0.084132	0.002133	0	0.001252	-0.212787	0.047496	2.95448E+9
2033.48	1.2	2.921047	-0.084984	0.002973	0	0.003843	-0.212787	0.047257	2.954481E+9
1717.37	1	2.920907	-0.085403	0.004661	0	0.001785	-0.212787	0.047427	2.954482E+9
1399.02	0.8	2.923136	-0.08526	0.002003	0	0.001141	-0.212787	0.047235	2.954483E+9
1078.87	0.6	2.923243	-0.08408	0.002237	0	0.002105	-0.212787	0.047257	2.954484E+9
757.37	0.4	2.92257	-0.0841	0.00295	0	0.001512	-0.212787	0.047414	2.954485E+9
434.94	0.2	2.922141	-0.08486	0.002316	0	0.001804	-0.212787	0.047387	2.954486E+9
112.03	0	2.919539	-0.084061	0.002251	0	0.00277	-0.212787	0.047331	2.954487E+9
-210.93	-0.2	2.915254	-0.084415	0.002795	0	0.002984	-0.212787	0.047406	2.954488E+9
-533.51	-0.4	2.905953	-0.083951	0.002372	0	0.002624	-0.212787	0.04738	2.954489E+9
-855.25	-0.6	2.887993	-0.083538	0.005158	0	0.001684	-0.212787	0.047403	2.95449E+9
-1175.74	-0.8	2.856915	-0.0823	0.004848	0	0.004112	-0.212787	0.047496	2.954491E+9
