19/05/2022	15:43

Si\Pt3\(Co88Tb12)75\Pt3-20220518_APEJ5

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	1.1551	0.109126	-0.000741	0	-0.001658	-0.212787	0.037615	2.951898E+9
8204.61	6.8	1.154609	0.111325	-0.001438	0	-0.003254	-0.212787	0.037657	2.951899E+9
8128.37	6.6	1.156481	0.10654	-0.003166	0	-0.001969	-0.212787	0.037628	2.9519E+9
8037.67	6.4	1.151958	0.110925	-0.003069	0	-0.002348	-0.212787	0.037594	2.951901E+9
7932.95	6.2	1.139921	0.116068	-0.002976	0	-0.001972	-0.212787	0.03762	2.951902E+9
7814.63	6	1.123599	0.125331	-0.003202	0	-0.001822	-0.212787	0.037526	2.951903E+9
7683.15	5.8	1.125887	0.122719	-0.002054	0	-0.001928	-0.212787	0.037642	2.951904E+9
7538.96	5.6	1.119616	0.123583	-0.00053	0	-0.003074	-0.212787	0.037611	2.951905E+9
7382.49	5.4	1.096712	0.109256	-0.003412	0	-0.002175	-0.212787	0.037612	2.951906E+9
7214.18	5.2	1.104639	0.111	-0.003203	0	-0.002527	-0.212787	0.037637	2.951907E+9
7034.46	5	1.084182	0.119597	-0.002879	0	-0.002513	-0.212787	0.037678	2.951908E+9
6843.76	4.8	1.073948	0.111377	-0.002085	0	-0.00154	-0.212787	0.037609	2.951909E+9
6642.54	4.6	1.064328	0.110185	-0.001804	0	-0.002618	-0.212787	0.037656	2.95191E+9
6431.22	4.4	1.059283	0.115354	-0.002092	0	-0.00173	-0.212787	0.037692	2.951911E+9
6210.24	4.2	1.049598	0.115185	-0.003662	0	-0.003431	-0.212787	0.037582	2.951912E+9
5980.04	4	1.034361	0.125912	-0.003217	0	-0.002934	-0.212787	0.037581	2.951913E+9
5741.05	3.8	1.033007	0.107839	-0.002806	0	-0.002783	-0.212787	0.037562	2.951914E+9
5493.71	3.6	1.001877	0.117374	-0.002842	0	-0.002144	-0.212787	0.037556	2.951915E+9
5238.46	3.4	0.991929	0.117456	-0.003442	0	-0.002935	-0.212787	0.037645	2.951916E+9
4975.74	3.2	0.972072	0.117423	-0.002835	0	-0.002568	-0.212787	0.037615	2.951917E+9
4705.98	3	0.951403	0.122313	-0.002511	0	-0.00239	-0.212787	0.037684	2.951918E+9
4429.62	2.8	0.930448	0.12151	-0.002433	0	-0.001999	-0.212787	0.037576	2.951919E+9
4147.09	2.6	0.904546	0.125941	-0.002978	0	-0.003018	-0.212787	0.037662	2.95192E+9
3858.83	2.4	0.880225	0.118297	-0.003755	0	-0.002378	-0.212787	0.037646	2.951921E+9
3565.29	2.2	0.867633	0.129346	-0.002827	0	-0.002729	-0.212787	0.037609	2.951922E+9
3266.89	2	0.856577	0.117413	-0.001924	0	-0.001212	-0.212787	0.037584	2.951923E+9
2964.07	1.8	0.842412	0.128053	-0.002552	0	-0.003421	-0.212787	0.037661	2.951924E+9
2657.27	1.6	0.817705	0.131604	-0.003308	0	-0.002498	-0.212787	0.037609	2.951925E+9
2346.93	1.4	0.80778	0.124996	-0.002593	0	-0.00172	-0.212787	0.037648	2.951926E+9
2033.48	1.2	0.778703	0.13394	-0.001815	0	-0.002037	-0.212787	0.037618	2.951927E+9
1717.37	1	0.762027	0.117959	-0.003064	0	-0.002199	-0.212787	0.03767	2.951928E+9
1399.02	0.8	0.732957	0.131094	-0.002494	0	-0.001726	-0.212787	0.037699	2.951929E+9
1078.87	0.6	0.723724	0.129431	-0.001922	0	-0.001691	-0.212787	0.037657	2.95193E+9
757.37	0.4	0.675343	0.138212	-0.001775	0	-0.0032	-0.212787	0.037555	2.951931E+9
434.94	0.2	0.647877	0.133391	-0.003436	0	-0.00199	-0.212787	0.037701	2.951932E+9
112.03	0	0.620704	0.12792	-0.002086	0	-0.002954	-0.212787	0.037641	2.951933E+9
-210.93	-0.2	0.567652	0.135535	-0.002374	0	-0.003126	-0.212787	0.037607	2.951934E+9
-533.51	-0.4	0.538516	0.132511	-0.002543	0	-0.002155	-0.212787	0.037599	2.951935E+9
-855.25	-0.6	0.495255	0.131864	-0.002911	0	-0.002577	-0.212787	0.037585	2.951936E+9
-1175.74	-0.8	0.433531	0.140106	-0.002505	0	-0.00282	-0.212787	0.037615	2.951937E+9
-1494.53	-1	0.385849	0.142848	-0.003135	0	-0.003817	-0.212787	0.037722	2.951938E+9
-1811.18	-1.2	0.339917	0.142861	-0.003812	0	-0.002077	-0.212787	0.037704	2.951939E+9
-2125.26	-1.4	0.300974	0.145467	-0.003821	0	-0.004211	-0.212787	0.037634	2.95194E+9
-2436.33	-1.6	0.268957	0.146438	-0.003671	0	-0.002787	-0.212787	0.037705	2.951941E+9
-2743.95	-1.8	0.245816	0.136338	-0.0028	0	-0.002487	-0.212787	0.037678	2.951942E+9
-3047.69	-2	0.214169	0.13561	-0.001964	0	-0.003293	-0.212787	0.037707	2.951943E+9
-3347.11	-2.2	0.18031	0.147877	-0.002808	0	-0.002803	-0.212787	0.037621	2.951944E+9
-3641.77	-2.4	0.14766	0.153855	-0.003448	0	-0.003078	-0.212787	0.03764	2.951945E+9
-3931.24	-2.6	0.131442	0.144174	-0.003472	0	-0.00357	-0.212787	0.037688	2.951946E+9
-4215.08	-2.8	0.090581	0.142783	-0.004434	0	-0.003754	-0.212787	0.037661	2.951947E+9
-4492.85	-3	0.070533	0.145051	-0.004108	0	-0.003225	-0.212787	0.037626	2.951948E+9
-4764.12	-3.2	0.028666	0.152461	-0.004276	0	-0.003754	-0.212787	0.037688	2.951949E+9
-5028.44	-3.4	-0.001093	0.155246	-0.001681	0	-0.003654	-0.212787	0.037745	2.95195E+9
-5285.39	-3.6	-0.053694	0.144125	-0.002838	0	-0.003536	-0.212787	0.037609	2.951951E+9
-5534.53	-3.8	-0.08959	0.156763	-0.0027	0	-0.004283	-0.212787	0.037685	2.951952E+9
-5775.41	-4	-0.137946	0.15943	-0.002551	0	-0.003143	-0.212787	0.037697	2.951953E+9
-6007.6	-4.2	-0.190345	0.149836	-0.002956	0	-0.002998	-0.212787	0.037673	2.951954E+9
-6230.67	-4.4	-0.224685	0.159833	-0.002927	0	-0.002218	-0.212787	0.037712	2.951955E+9
-6444.17	-4.6	-0.276692	0.154788	-0.003679	0	-0.0039	-0.212787	0.037709	2.951956E+9
-6647.68	-4.8	-0.306357	0.165759	-0.003459	0	-0.003163	-0.212787	0.037635	2.951957E+9
-6840.75	-5	-0.334865	0.16917	-0.003109	0	-0.004096	-0.212787	0.037636	2.951958E+9
-7022.95	-5.2	-0.368373	0.173085	-0.003424	0	-0.004417	-0.212787	0.037709	2.951959E+9
