30/05/2022	18:32

Si\Ta3\(Co90Tb10)75\Pt3-20220525_APEJ3

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
6038.43	4.05	5.511597	-1.869741	0.002808	0	0.003271	-0.212787	0.095198	3.911666E+9
5861.61	3.9	5.513299	-1.8739	0.002573	0	0.00237	-0.212787	0.095337	3.911666E+9
5679.98	3.75	5.513656	-1.87298	0.003498	0	0.003888	-0.212787	0.095021	3.911667E+9
5493.71	3.6	5.516886	-1.873	0.003361	0	0.003199	-0.212787	0.095079	3.911668E+9
5302.99	3.45	5.518403	-1.870449	0.002561	0	0.003327	-0.212787	0.095149	3.911669E+9
5108.01	3.3	5.519264	-1.872561	0.003077	0	0.003116	-0.212787	0.095096	3.91167E+9
4908.94	3.15	5.521791	-1.870352	0.002027	0	0.002058	-0.212787	0.095251	3.911671E+9
4705.98	3	5.524066	-1.868702	0.001882	0	0.003422	-0.212787	0.09528	3.911672E+9
4499.3	2.85	5.524511	-1.871954	0.003395	0	0.002116	-0.212787	0.095263	3.911673E+9
4289.09	2.7	5.525758	-1.868406	0.00414	0	0.002202	-0.212787	0.095237	3.911674E+9
4075.54	2.55	5.525677	-1.871759	0.00254	0	0.00272	-0.212787	0.095412	3.911675E+9
3858.83	2.4	5.526002	-1.870677	0.002459	0	0.00241	-0.212787	0.095171	3.911676E+9
3639.15	2.25	5.527578	-1.871408	0.004026	0	0.003197	-0.212787	0.095227	3.911677E+9
3416.67	2.1	5.527724	-1.868513	0.002431	0	0.002515	-0.212787	0.095329	3.911678E+9
3191.58	1.95	5.528153	-1.869845	0.002785	0	0.002402	-0.212787	0.095218	3.911679E+9
2964.07	1.8	5.529472	-1.867551	0.003202	0	0.002409	-0.212787	0.095253	3.91168E+9
2734.32	1.65	5.532097	-1.866317	0.002769	0	0.002465	-0.212787	0.095194	3.911681E+9
2502.52	1.5	5.531983	-1.868019	0.002095	0	0.003006	-0.212787	0.095356	3.911682E+9
2268.84	1.35	5.531626	-1.867165	0.003105	0	0.002812	-0.212787	0.095226	3.911683E+9
2033.48	1.2	5.53209	-1.866632	0.002468	0	0.003263	-0.212787	0.095188	3.911684E+9
1796.62	1.05	5.532084	-1.86762	0.00279	0	0.002352	-0.212787	0.095181	3.911685E+9
1558.44	0.9	5.532522	-1.862675	0.002169	0	0.00334	-0.212787	0.095129	3.911686E+9
1319.13	0.75	5.535043	-1.865849	0.001306	0	0.002111	-0.212787	0.095134	3.911687E+9
1078.87	0.6	5.532925	-1.866083	0.002893	0	0.002226	-0.212787	0.095176	3.911688E+9
837.85	0.45	5.53542	-1.865277	0.001971	0	0.002708	-0.212787	0.095227	3.911689E+9
596.24	0.3	5.536798	-1.865203	0.001602	0	0.003322	-0.212787	0.095108	3.91169E+9
354.24	0.15	5.535716	-1.863949	0.002742	0	0.002255	-0.212787	0.095399	3.911691E+9
112.03	0	5.538156	-1.865833	0.003074	0	0.002457	-0.212787	0.095236	3.911692E+9
-130.21	-0.15	5.536798	-1.863923	0.002434	0	0.003228	-0.212787	0.09518	3.911693E+9
-372.3	-0.3	5.539608	-1.863711	0.002324	0	0.003352	-0.212787	0.095234	3.911694E+9
-614.04	-0.45	5.540121	-1.860547	0.002434	0	0.003179	-0.212787	0.095298	3.911695E+9
-855.25	-0.6	5.538568	-1.863023	0.003004	0	0.003282	-0.212787	0.095209	3.911696E+9
-1095.76	-0.75	1.333397	-0.312201	-0.003407	0	-0.003524	-0.212787	0.095387	3.911697E+9
-1335.37	-0.9	-4.566254	1.72622	-0.009623	0	-0.009787	-0.212787	0.095411	3.911698E+9
-1573.91	-1.05	-5.488983	2.049525	-0.010973	0	-0.010615	-0.212787	0.095328	3.911699E+9
-1811.18	-1.2	-5.852854	2.179847	-0.011953	0	-0.011277	-0.212787	0.095653	3.9117E+9
-2047	-1.35	-6.10749	2.268647	-0.011721	0	-0.01159	-0.212787	0.095431	3.911701E+9
-2281.19	-1.5	-6.233454	2.310628	-0.01165	0	-0.011635	-0.212787	0.095468	3.911702E+9
-2513.57	-1.65	-6.250611	2.315699	-0.011531	0	-0.01156	-0.212787	0.095544	3.911703E+9
-2743.95	-1.8	-6.249714	2.31426	-0.011465	0	-0.011521	-0.212787	0.095471	3.911704E+9
-2972.14	-1.95	-6.253486	2.31374	-0.011903	0	-0.011463	-0.212787	0.095443	3.911705E+9
-3197.97	-2.1	-6.251365	2.314315	-0.011484	0	-0.012023	-0.212787	0.09539	3.911706E+9
-3421.24	-2.25	-6.253795	2.313389	-0.011782	0	-0.011653	-0.212787	0.095516	3.911707E+9
-3641.77	-2.4	-6.25245	2.313285	-0.011718	0	-0.011501	-0.212787	0.095386	3.911708E+9
-3859.38	-2.55	-6.252953	2.312483	-0.011515	0	-0.01148	-0.212787	0.095519	3.911709E+9
-4073.89	-2.7	-6.252901	2.311674	-0.011668	0	-0.011476	-0.212787	0.095437	3.91171E+9
-4285.11	-2.85	-6.253853	2.310797	-0.011814	0	-0.011608	-0.212787	0.095429	3.911711E+9
-4492.85	-3	-6.253726	2.309166	-0.011564	0	-0.011317	-0.212787	0.095639	3.911712E+9
-4696.93	-3.15	-6.252947	2.310722	-0.011667	0	-0.011616	-0.212787	0.095547	3.911713E+9
-4897.18	-3.3	-6.252862	2.309315	-0.011493	0	-0.011528	-0.212787	0.095439	3.911714E+9
-5093.39	-3.45	-6.25255	2.308617	-0.011367	0	-0.011507	-0.212787	0.095445	3.911715E+9
-5285.39	-3.6	-6.252797	2.309078	-0.011434	0	-0.01169	-0.212787	0.095446	3.911716E+9
-5473	-3.75	-6.251897	2.305141	-0.011486	0	-0.011238	-0.212787	0.095451	3.911717E+9
-5656.02	-3.9	-6.251452	2.304777	-0.011333	0	-0.011256	-0.212787	0.095501	3.911718E+9
-5834.29	-4.05	-6.250621	2.302824	-0.011106	0	-0.011016	-0.212787	0.095505	3.911719E+9
-5656.02	-3.9	-6.254116	2.304299	-0.011354	0	-0.010822	-0.212787	0.095394	3.91172E+9
-5473	-3.75	-6.256455	2.30323	-0.011566	0	-0.010647	-0.212787	0.095691	3.911721E+9
-5285.39	-3.6	-6.257544	2.304621	-0.01149	0	-0.011081	-0.212787	0.095475	3.911722E+9
-5093.39	-3.45	-6.258479	2.304182	-0.011277	0	-0.010951	-0.212787	0.095386	3.911723E+9
-4897.18	-3.3	-6.261394	2.302564	-0.011577	0	-0.011348	-0.212787	0.095559	3.911724E+9
-4696.93	-3.15	-6.264724	2.306366	-0.011504	0	-0.011385	-0.212787	0.095673	3.911725E+9
-4492.85	-3	-6.265536	2.304007	-0.011298	0	-0.011174	-0.212787	0.09548	3.911726E+9
-4285.11	-2.85	-6.266348	2.303594	-0.011428	0	-0.011033	-0.212787	0.095636	3.911727E+9
-4073.89	-2.7	-6.267644	2.304566	-0.011434	0	-0.011045	-0.212787	0.095506	3.911728E+9
-3859.38	-2.55	-6.268145	2.304475	-0.011786	0	-0.011219	-0.212787	0.09571	3.911729E+9
-3641.77	-2.4	-6.270458	2.306067	-0.011424	0	-0.011099	-0.212787	0.095595	3.91173E+9
-3421.24	-2.25	-6.26988	2.304114	-0.011204	0	-0.011428	-0.212787	0.095452	3.911731E+9
-3197.97	-2.1	-6.271163	2.305024	-0.011255	0	-0.010935	-0.212787	0.095685	3.911732E+9
-2972.14	-1.95	-6.274402	2.30287	-0.011835	0	-0.011196	-0.212787	0.095726	3.911733E+9
-2743.95	-1.8	-6.273554	2.301288	-0.011829	0	-0.011224	-0.212787	0.0955	3.911734E+9
-2513.57	-1.65	-6.276874	2.301603	-0.011417	0	-0.011214	-0.212787	0.095624	3.911735E+9
-2281.19	-1.5	-6.276432	2.300391	-0.011346	0	-0.011282	-0.212787	0.095558	3.911736E+9
-2047	-1.35	-6.276897	2.302002	-0.011119	0	-0.011323	-0.212787	0.095532	3.911737E+9
-1811.18	-1.2	-6.276978	2.302756	-0.011449	0	-0.011088	-0.212787	0.095634	3.911738E+9
-1573.91	-1.05	-6.279883	2.303987	-0.011136	0	-0.010923	-0.212787	0.095561	3.911739E+9
-1335.37	-0.9	-6.277794	2.301486	-0.011615	0	-0.011204	-0.212787	0.095754	3.91174E+9
-1095.76	-0.75	-6.281621	2.300329	-0.01128	0	-0.011103	-0.212787	0.095536	3.911741E+9
-855.25	-0.6	-6.280734	2.302139	-0.011573	0	-0.01113	-0.212787	0.095744	3.911742E+9
-614.04	-0.45	-6.28281	2.300534	-0.011675	0	-0.011101	-0.212787	0.095582	3.911743E+9
-372.3	-0.3	-6.283918	2.299491	-0.011638	0	-0.011008	-0.212787	0.095699	3.911744E+9
-130.21	-0.15	-6.283119	2.298091	-0.011274	0	-0.011055	-0.212787	0.09558	3.911745E+9
112.03	0	-6.285195	2.296613	-0.011273	0	-0.011295	-0.212787	0.095516	3.911746E+9
354.24	0.15	-6.287063	2.296889	-0.011236	0	-0.011267	-0.212787	0.095563	3.911747E+9
596.24	0.3	0.078249	0.046794	-0.00309	0	-0.002961	-0.212787	0.095595	3.911748E+9
837.85	0.45	4.055724	-1.315772	0.001055	0	0.001745	-0.212787	0.095604	3.911749E+9
1078.87	0.6	4.837251	-1.587225	0.001816	0	0.00209	-0.212787	0.095372	3.91175E+9
1319.13	0.75	5.189043	-1.707165	0.003518	0	0.002706	-0.212787	0.095505	3.911751E+9
1558.44	0.9	5.445769	-1.798443	0.002538	0	0.003825	-0.212787	0.095356	3.911752E+9
1796.62	1.05	5.529836	-1.82341	0.003963	0	0.003129	-0.212787	0.095421	3.911753E+9
2033.48	1.2	5.536798	-1.825518	0.003253	0	0.003031	-0.212787	0.095351	3.911754E+9
2268.84	1.35	5.538071	-1.82788	0.003602	0	0.004053	-0.212787	0.0953	3.911755E+9
2502.52	1.5	5.537659	-1.827	0.003546	0	0.003328	-0.212787	0.09529	3.911756E+9
2734.32	1.65	5.539368	-1.8257	0.002885	0	0.003005	-0.212787	0.095533	3.911757E+9
2964.07	1.8	5.537249	-1.825177	0.003085	0	0.003482	-0.212787	0.0953	3.911758E+9
3191.58	1.95	5.539381	-1.824823	0.003564	0	0.003157	-0.212787	0.095354	3.911759E+9
3416.67	2.1	5.538936	-1.825194	0.003321	0	0.004212	-0.212787	0.095261	3.91176E+9
3639.15	2.25	5.538058	-1.823085	0.002328	0	0.004012	-0.212787	0.095468	3.911761E+9
3858.83	2.4	5.537565	-1.819914	0.002819	0	0.003552	-0.212787	0.095324	3.911762E+9
4075.54	2.55	5.538854	-1.820902	0.003492	0	0.004367	-0.212787	0.095291	3.911763E+9
4289.09	2.7	5.53709	-1.823624	0.002853	0	0.003628	-0.212787	0.095343	3.911764E+9
4499.3	2.85	5.536538	-1.820931	0.002527	0	0.003264	-0.212787	0.095387	3.911765E+9
4705.98	3	5.53711	-1.818745	0.00339	0	0.004265	-0.212787	0.095488	3.911766E+9
4908.94	3.15	5.537841	-1.81956	0.003079	0	0.003233	-0.212787	0.095357	3.911767E+9
5108.01	3.3	5.536431	-1.818797	0.004167	0	0.004077	-0.212787	0.095605	3.911768E+9
5302.99	3.45	5.535924	-1.817721	0.004518	0	0.003969	-0.212787	0.095341	3.911769E+9
5493.71	3.6	5.537324	-1.818248	0.004834	0	0.003768	-0.212787	0.095365	3.91177E+9
