30/05/2022	19:25

Si\Ta3\(Co85Tb15)75\Pt3-20220525_APEJ2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	0.929253	1.675207	-0.004896	0	-0.005323	-0.212787	0.059658	3.914802E+9
8204.61	6.8	0.757937	1.985643	-0.003407	0	-0.005308	-0.212787	0.059689	3.914803E+9
8128.37	6.6	0.833196	1.65165	-0.004393	0	-0.006019	-0.212787	0.059912	3.914804E+9
8037.67	6.4	0.805854	1.882949	-0.005068	0	-0.00468	-0.212787	0.05974	3.914805E+9
7932.95	6.2	0.941014	1.924488	-0.004423	0	-0.005979	-0.212787	0.059771	3.914806E+9
7814.63	6	0.884774	1.909267	-0.005246	0	-0.003026	-0.212787	0.059982	3.914807E+9
7683.15	5.8	1.087547	1.778009	-0.004712	0	-0.005623	-0.212787	0.059903	3.914808E+9
7538.96	5.6	1.17341	1.93721	-0.006132	0	-0.005515	-0.212787	0.059663	3.914809E+9
7382.49	5.4	0.950682	2.008531	-0.005815	0	-0.005603	-0.212787	0.059592	3.91481E+9
7214.18	5.2	0.960831	1.812388	-0.005145	0	-0.006066	-0.212787	0.059845	3.914811E+9
7034.46	5	1.116582	1.816501	-0.004251	0	-0.005914	-0.212787	0.059832	3.914812E+9
6843.76	4.8	1.158017	1.864125	-0.005073	0	-0.005592	-0.212787	0.059787	3.914813E+9
6642.54	4.6	1.215034	1.853404	-0.005237	0	-0.005564	-0.212787	0.059809	3.914814E+9
6431.22	4.4	0.959064	1.895151	-0.005699	0	-0.005378	-0.212787	0.059913	3.914815E+9
6210.24	4.2	1.166984	1.785049	-0.00575	0	-0.004997	-0.212787	0.060011	3.914816E+9
5980.04	4	1.15921	1.786086	-0.005859	0	-0.005739	-0.212787	0.059899	3.914817E+9
5741.05	3.8	1.130139	1.884271	-0.005454	0	-0.005029	-0.212787	0.059827	3.914818E+9
5493.71	3.6	0.961179	1.878095	-0.005462	0	-0.004232	-0.212787	0.059661	3.914819E+9
5238.46	3.4	1.007452	1.931976	-0.005242	0	-0.005098	-0.212787	0.059892	3.91482E+9
4975.74	3.2	0.967452	1.819649	-0.00429	0	-0.005903	-0.212787	0.059727	3.914821E+9
4705.98	3	0.826285	1.853722	-0.004971	0	-0.005526	-0.212787	0.059909	3.914822E+9
4429.62	2.8	0.983885	1.759618	-0.00579	0	-0.005463	-0.212787	0.059629	3.914823E+9
4147.09	2.6	0.871632	1.922938	-0.00532	0	-0.006221	-0.212787	0.05998	3.914824E+9
3858.83	2.4	0.781517	1.920391	-0.005316	0	-0.004987	-0.212787	0.059749	3.914825E+9
3565.29	2.2	0.703685	1.886578	-0.004864	0	-0.005208	-0.212787	0.059852	3.914826E+9
3266.89	2	0.778541	1.988502	-0.004773	0	-0.005673	-0.212787	0.059775	3.914827E+9
2964.07	1.8	0.900816	1.838918	-0.006459	0	-0.006093	-0.212787	0.059593	3.914828E+9
