30/05/2022	18:51

Si\Ta3\(Co85Tb15)75\Pt3-20220525_APEJ2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7814.63	6	-7.683243	0.944993	-0.001406	0	-0.001312	-0.212787	0.016291	3.91275E+9
7683.15	5.8	-7.912612	0.964837	-0.001562	0	-0.001486	-0.212787	0.016332	3.912751E+9
7538.96	5.6	-7.853197	1.078194	-0.001387	0	-0.001266	-0.212787	0.016273	3.912752E+9
7382.49	5.4	-7.852316	1.02174	-0.001324	0	-0.001333	-0.212787	0.016343	3.912753E+9
7214.18	5.2	-7.820153	1.020427	-0.0013	0	-0.001197	-0.212787	0.016293	3.912754E+9
7034.46	5	-7.911741	1.053601	-0.001323	0	-0.001052	-0.212787	0.016458	3.912755E+9
6843.76	4.8	-7.790829	1.105828	-0.001248	0	-0.001356	-0.212787	0.016375	3.912756E+9
6642.54	4.6	-7.859161	1.04157	-0.001425	0	-0.001319	-0.212787	0.016336	3.912757E+9
6431.22	4.4	-7.874542	1.031301	-0.001404	0	-0.001163	-0.212787	0.016346	3.912758E+9
6210.24	4.2	-7.804613	1.020398	-0.001272	0	-0.001415	-0.212787	0.016321	3.912759E+9
5980.04	4	-7.735407	1.07209	-0.001404	0	-0.001096	-0.212787	0.016368	3.91276E+9
5741.05	3.8	-7.720618	0.992877	-0.001629	0	-0.001103	-0.212787	0.016238	3.912761E+9
5493.71	3.6	-7.756894	0.960562	-0.001602	0	-0.001014	-0.212787	0.016314	3.912762E+9
5238.46	3.4	-7.725189	0.934604	-0.001229	0	-0.001333	-0.212787	0.016321	3.912763E+9
4975.74	3.2	-7.744152	0.961474	-0.000811	0	-0.001338	-0.212787	0.016329	3.912764E+9
4705.98	3	-7.699481	1.013884	-0.00153	0	-0.00128	-0.212787	0.016364	3.912765E+9
4429.62	2.8	-7.657967	0.963177	-0.001175	0	-0.001157	-0.212787	0.016319	3.912766E+9
4147.09	2.6	-7.69631	1.002533	-0.001105	0	-0.001241	-0.212787	0.016471	3.912767E+9
3858.83	2.4	-7.636993	1.076219	-0.001338	0	-0.001333	-0.212787	0.016414	3.912768E+9
3565.29	2.2	-7.76758	0.940884	-0.001138	0	-0.001332	-0.212787	0.016429	3.912769E+9
3266.89	2	-7.656443	0.958888	-0.000873	0	-0.001465	-0.212787	0.016388	3.91277E+9
2964.07	1.8	-7.635787	0.941384	-0.001121	0	-0.001217	-0.212787	0.016312	3.912771E+9
2657.27	1.6	-7.670638	0.964944	-0.001273	0	-0.001247	-0.212787	0.016436	3.912772E+9
2346.93	1.4	-7.731488	0.949457	-0.001353	0	-0.00141	-0.212787	0.016276	3.912773E+9
2033.48	1.2	-7.638325	0.947004	-0.001155	0	-0.001194	-0.212787	0.016484	3.912774E+9
1717.37	1	-7.632948	0.854556	-0.001229	0	-0.001231	-0.212787	0.016321	3.912775E+9
1399.02	0.8	-7.660144	0.920923	-0.001325	0	-0.001269	-0.212787	0.016378	3.912776E+9
1078.87	0.6	-7.696394	0.884007	-0.001164	0	-0.001358	-0.212787	0.016328	3.912777E+9
757.37	0.4	-7.692853	0.840989	-0.00121	0	-0.001393	-0.212787	0.016508	3.912778E+9
434.94	0.2	-7.555966	0.826042	-0.00136	0	-0.001336	-0.212787	0.016406	3.912779E+9
112.03	0	-7.317362	0.852887	-0.000786	0	-0.001382	-0.212787	0.016406	3.91278E+9
-210.93	-0.2	-7.60851	0.887223	-0.000952	0	-0.001342	-0.212787	0.01643	3.912781E+9
-533.51	-0.4	-7.541434	0.87454	-0.000843	0	-0.001375	-0.212787	0.016381	3.912782E+9
-855.25	-0.6	-7.467455	0.828884	-0.000822	0	-0.00134	-0.212787	0.016314	3.912783E+9
-1175.74	-0.8	-7.452968	0.868179	-0.001552	0	-0.001276	-0.212787	0.016358	3.912784E+9
-1494.53	-1	-7.384996	0.725573	-0.001843	0	-0.001307	-0.212787	0.016256	3.912785E+9
-1811.18	-1.2	-7.344275	0.751241	-0.001377	0	-0.001305	-0.212787	0.01631	3.912786E+9
-2125.26	-1.4	-7.281495	0.678452	-0.001376	0	-0.001122	-0.212787	0.016283	3.912787E+9
-2436.33	-1.6	-7.202044	0.771364	-0.001514	0	-0.001362	-0.212787	0.016409	3.912788E+9
-2743.95	-1.8	-7.153218	0.673657	-0.001883	0	-0.001321	-0.212787	0.016355	3.912789E+9
-3047.69	-2	-7.126548	0.612082	-0.001252	0	-0.001407	-0.212787	0.016378	3.91279E+9
-3347.11	-2.2	-6.952079	0.549013	-0.001528	0	-0.001546	-0.212787	0.01627	3.912791E+9
-3641.77	-2.4	-6.831814	0.540024	-0.001498	0	-0.001548	-0.212787	0.016288	3.912792E+9
-3931.24	-2.6	-6.827314	0.567892	-0.001848	0	-0.001503	-0.212787	0.016411	3.912793E+9
-4215.08	-2.8	-6.570244	0.65161	-0.001973	0	-0.001431	-0.212787	0.01621	3.912794E+9
-4492.85	-3	-6.430018	0.508166	-0.002003	0	-0.001678	-0.212787	0.016435	3.912795E+9
-4764.12	-3.2	-6.286848	0.488066	-0.001718	0	-0.001339	-0.212787	0.016216	3.912796E+9
-5028.44	-3.4	-6.12583	0.464395	-0.001997	0	-0.001574	-0.212787	0.016291	3.912797E+9
-5285.39	-3.6	-5.948402	0.402716	-0.002011	0	-0.001693	-0.212787	0.016247	3.912798E+9
