25/05/2022	20:41

Si\Ta3\(Co85Tb15)75\Pt3-20220525_APEJ2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7814.63	6	-0.106088	0.089376	-0.00625	0	-0.005305	-0.212787	0.090614	3.487448E+9
7717.23	5.85	-0.101013	0.090663	-0.005879	0	-0.005505	-0.212787	0.090123	3.487448E+9
7612.62	5.7	-0.098629	0.083619	-0.005559	0	-0.005794	-0.212787	0.090464	3.487448E+9
7500.98	5.55	-0.089113	0.082472	-0.005631	0	-0.005955	-0.212787	0.090495	3.487449E+9
7382.49	5.4	-0.079688	0.089496	-0.005733	0	-0.005417	-0.212787	0.090701	3.487449E+9
7257.34	5.25	-0.076784	0.08115	-0.005163	0	-0.005153	-0.212787	0.090061	3.487449E+9
7125.71	5.1	-0.079058	0.086628	-0.005456	0	-0.00566	-0.212787	0.090365	3.48745E+9
6987.79	4.95	-0.074484	0.088148	-0.005765	0	-0.005724	-0.212787	0.090186	3.48745E+9
6843.76	4.8	-0.066167	0.079942	-0.005902	0	-0.005763	-0.212787	0.090389	3.487451E+9
6693.81	4.65	-0.063568	0.086017	-0.005447	0	-0.005837	-0.212787	0.09007	3.487451E+9
6538.11	4.5	-0.054559	0.089899	-0.006175	0	-0.005677	-0.212787	0.090418	3.487452E+9
6376.86	4.35	-0.05347	0.079409	-0.006009	0	-0.00516	-0.212787	0.090328	3.487452E+9
6210.24	4.2	-0.047967	0.082459	-0.006575	0	-0.006219	-0.212787	0.090145	3.487452E+9
6038.43	4.05	-0.045732	0.087333	-0.00598	0	-0.0055	-0.212787	0.09074	3.487453E+9
5861.61	3.9	-0.040696	0.083424	-0.005138	0	-0.005481	-0.212787	0.090299	3.487453E+9
5679.98	3.75	-0.038562	0.083402	-0.004952	0	-0.005265	-0.212787	0.090664	3.487454E+9
5493.71	3.6	-0.04118	0.075419	-0.004928	0	-0.005544	-0.212787	0.090849	3.487454E+9
5302.99	3.45	-0.022886	0.076342	-0.005506	0	-0.005327	-0.212787	0.090595	3.487454E+9
5108.01	3.3	-0.027571	0.081897	-0.00478	0	-0.005558	-0.212787	0.090103	3.487455E+9
4908.94	3.15	-0.025794	0.082966	-0.004751	0	-0.005431	-0.212787	0.090656	3.487455E+9
4705.98	3	-0.02235	0.078983	-0.005117	0	-0.005156	-0.212787	0.09062	3.487456E+9
4499.3	2.85	-0.030108	0.087687	-0.005161	0	-0.005983	-0.212787	0.090131	3.487456E+9
4289.09	2.7	-0.025027	0.081725	-0.005266	0	-0.005142	-0.212787	0.090496	3.487456E+9
4075.54	2.55	-0.014449	0.081212	-0.005206	0	-0.005595	-0.212787	0.090118	3.487457E+9
3858.83	2.4	-0.018029	0.083022	-0.005015	0	-0.005609	-0.212787	0.090663	3.487457E+9
3639.15	2.25	-0.010174	0.082089	-0.006213	0	-0.005719	-0.212787	0.090645	3.487458E+9
3416.67	2.1	-0.015687	0.081277	-0.005609	0	-0.005737	-0.212787	0.090137	3.487458E+9
3191.58	1.95	-0.015735	0.084818	-0.005493	0	-0.0059	-0.212787	0.090353	3.487458E+9
2964.07	1.8	-0.018877	0.082219	-0.005478	0	-0.005608	-0.212787	0.090456	3.487459E+9
2734.32	1.65	-0.014491	0.074971	-0.005236	0	-0.005527	-0.212787	0.090767	3.487459E+9
2502.52	1.5	-0.019813	0.07666	-0.006022	0	-0.005841	-0.212787	0.09069	3.48746E+9
2268.84	1.35	-0.009238	0.081313	-0.005417	0	-0.005794	-0.212787	0.090221	3.48746E+9
2033.48	1.2	-0.013559	0.084688	-0.004995	0	-0.006331	-0.212787	0.090324	3.48746E+9
1796.62	1.05	-0.014797	0.080754	-0.005115	0	-0.00596	-0.212787	0.09019	3.487461E+9
1558.44	0.9	-0.020618	0.082401	-0.005428	0	-0.005792	-0.212787	0.090114	3.487461E+9
1319.13	0.75	-0.011343	0.078119	-0.005601	0	-0.005046	-0.212787	0.090473	3.487462E+9
1078.87	0.6	-0.034101	0.086121	-0.003258	0	-0.006089	-0.212787	0.090716	3.487462E+9
837.85	0.45	-0.050001	0.088525	-0.005357	0	-0.005153	-0.212787	0.090196	3.487462E+9
596.24	0.3	-0.048639	0.083489	-0.005056	0	-0.005827	-0.212787	0.090734	3.487463E+9
354.24	0.15	-0.044708	0.086702	-0.005374	0	-0.005595	-0.212787	0.090167	3.487463E+9
112.03	0	-0.053776	0.084812	-0.005251	0	-0.005765	-0.212787	0.090241	3.487464E+9
-130.21	-0.15	-0.043334	0.091689	-0.005268	0	-0.006005	-0.212787	0.090691	3.487464E+9
-372.3	-0.3	-0.04375	0.08128	-0.005856	0	-0.00635	-0.212787	0.090781	3.487464E+9
-614.04	-0.45	-0.048347	0.082498	-0.005202	0	-0.006068	-0.212787	0.090115	3.487465E+9
-855.25	-0.6	-0.039455	0.081969	-0.005993	0	-0.006023	-0.212787	0.090047	3.487465E+9
-1095.76	-0.75	-0.037626	0.078902	-0.005284	0	-0.005873	-0.212787	0.090153	3.487466E+9
-1335.37	-0.9	-0.041187	0.080228	-0.005674	0	-0.005975	-0.212787	0.090632	3.487466E+9
-1573.91	-1.05	-0.04207	0.083788	-0.00584	0	-0.005792	-0.212787	0.090129	3.487466E+9
-1811.18	-1.2	-0.038903	0.077177	-0.005694	0	-0.006192	-0.212787	0.090639	3.487467E+9
