24/05/2022	10:31

Si\Ta3\(Co88Tb12)100\Pt3-20220523_APEJ4

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
5980.04	4	5.434966	-0.446958	0.005936	0	0.005414	-0.212787	0.021679	3.365148E+9
5861.61	3.9	5.442403	-0.450902	0.005795	0	0.005713	-0.212787	0.02199	3.365149E+9
5741.05	3.8	5.441474	-0.440948	0.005909	0	0.00562	-0.212787	0.021625	3.36515E+9
5618.4	3.7	5.44111	-0.447797	0.005891	0	0.005729	-0.212787	0.021884	3.365151E+9
5493.71	3.6	5.43881	-0.449158	0.006207	0	0.005375	-0.212787	0.021972	3.365152E+9
5367.05	3.5	5.43174	-0.451344	0.005754	0	0.005691	-0.212787	0.021899	3.365153E+9
5238.46	3.4	5.448176	-0.451871	0.005202	0	0.005325	-0.212787	0.021964	3.365154E+9
5108.01	3.3	5.448478	-0.452702	0.00554	0	0.005603	-0.212787	0.021863	3.365155E+9
4975.74	3.2	5.452341	-0.448999	0.005705	0	0.005647	-0.212787	0.021679	3.365156E+9
4841.71	3.1	5.449323	-0.445431	0.005779	0	0.00537	-0.212787	0.021681	3.365157E+9
4705.98	3	5.446409	-0.451653	0.005779	0	0.00555	-0.212787	0.022026	3.365158E+9
4568.59	2.9	5.448781	-0.444873	0.005801	0	0.005605	-0.212787	0.021746	3.365159E+9
4429.62	2.8	5.452624	-0.45047	0.00582	0	0.005631	-0.212787	0.022026	3.36516E+9
4289.09	2.7	5.45457	-0.447036	0.005882	0	0.005569	-0.212787	0.022	3.365161E+9
4147.09	2.6	5.454996	-0.452238	0.00579	0	0.005441	-0.212787	0.021769	3.365162E+9
4003.65	2.5	5.450346	-0.448427	0.005357	0	0.005686	-0.212787	0.021591	3.365163E+9
3858.83	2.4	5.453134	-0.451575	0.005246	0	0.005517	-0.212787	0.021606	3.365164E+9
3712.69	2.3	5.448465	-0.444902	0.005404	0	0.005348	-0.212787	0.021631	3.365165E+9
3565.29	2.2	5.446844	-0.44842	0.005695	0	0.005442	-0.212787	0.02198	3.365166E+9
3416.67	2.1	5.449989	-0.448781	0.005387	0	0.00558	-0.212787	0.02162	3.365167E+9
3266.89	2	5.458569	-0.44985	0.00532	0	0.00562	-0.212787	0.021945	3.365168E+9
3116	1.9	5.450307	-0.451828	0.005092	0	0.00561	-0.212787	0.021624	3.365169E+9
2964.07	1.8	5.453316	-0.447527	0.005249	0	0.005849	-0.212787	0.021959	3.36517E+9
2811.14	1.7	5.451938	-0.444795	0.005135	0	0.005635	-0.212787	0.021819	3.365171E+9
2657.27	1.6	5.45291	-0.445623	0.005597	0	0.005677	-0.212787	0.021847	3.365172E+9
2502.52	1.5	5.454232	-0.448911	0.005516	0	0.005684	-0.212787	0.0216	3.365173E+9
2346.93	1.4	5.456682	-0.454411	0.005474	0	0.005761	-0.212787	0.021847	3.365174E+9
2190.57	1.3	5.456324	-0.451874	0.005425	0	0.005453	-0.212787	0.021839	3.365175E+9
2033.48	1.2	5.455522	-0.45304	0.005509	0	0.005551	-0.212787	0.021994	3.365176E+9
1875.73	1.1	5.457624	-0.453989	0.005176	0	0.005401	-0.212787	0.021743	3.365177E+9
1717.37	1	5.461123	-0.452208	0.005622	0	0.005535	-0.212787	0.021741	3.365178E+9
1558.44	0.9	5.461328	-0.451546	0.00542	0	0.005531	-0.212787	0.021796	3.365179E+9
1399.02	0.8	5.459589	-0.450016	0.005531	0	0.005739	-0.212787	0.021836	3.36518E+9
1239.14	0.7	5.451276	-0.451949	0.00545	0	0.005747	-0.212787	0.021682	3.365181E+9
1078.87	0.6	5.453904	-0.449125	0.005428	0	0.005512	-0.212787	0.021656	3.365182E+9
918.26	0.5	5.457481	-0.454535	0.005439	0	0.005658	-0.212787	0.021933	3.365183E+9
757.37	0.4	5.453332	-0.447066	0.005138	0	0.005763	-0.212787	0.021597	3.365184E+9
596.24	0.3	5.457754	-0.454057	0.005405	0	0.005634	-0.212787	0.02163	3.365185E+9
434.94	0.2	5.45609	-0.444678	0.005363	0	0.005549	-0.212787	0.021854	3.365186E+9
273.52	0.1	5.453605	-0.449184	0.005301	0	0.005597	-0.212787	0.021639	3.365187E+9
112.03	0	5.458637	-0.452186	0.005803	0	0.005678	-0.212787	0.021641	3.365188E+9
-49.47	-0.1	5.453264	-0.444928	0.005246	0	0.005692	-0.212787	0.021831	3.365189E+9
-210.93	-0.2	5.449382	-0.442121	0.00606	0	0.005796	-0.212787	0.021828	3.36519E+9
-372.3	-0.3	5.452962	-0.44562	0.006105	0	0.00557	-0.212787	0.021977	3.365191E+9
-533.51	-0.4	5.456029	-0.447797	0.005871	0	0.005784	-0.212787	0.021751	3.365192E+9
-694.51	-0.5	5.456438	-0.443856	0.006371	0	0.005566	-0.212787	0.021922	3.365193E+9
-855.25	-0.6	5.456961	-0.450022	0.006344	0	0.005984	-0.212787	0.021886	3.365194E+9
-1015.68	-0.7	5.457738	-0.445068	0.005791	0	0.005662	-0.212787	0.021991	3.365195E+9
-1175.74	-0.8	5.457279	-0.449603	0.005805	0	0.005472	-0.212787	0.021656	3.365196E+9
-1335.37	-0.9	5.459034	-0.448212	0.005743	0	0.005733	-0.212787	0.021698	3.365197E+9
-1494.53	-1	5.458572	-0.448693	0.005552	0	0.005754	-0.212787	0.021882	3.365198E+9
-1653.15	-1.1	5.46202	-0.452712	0.005609	0	0.005756	-0.212787	0.021708	3.365199E+9
-1811.18	-1.2	5.462114	-0.455831	0.006039	0	0.005678	-0.212787	0.022016	3.3652E+9
-1968.57	-1.3	5.461032	-0.450071	0.005929	0	0.005516	-0.212787	0.021748	3.365201E+9
-2125.26	-1.4	5.46714	-0.452153	0.005873	0	0.005687	-0.212787	0.021987	3.365202E+9
-2281.19	-1.5	5.456919	-0.453063	0.005788	0	0.005685	-0.212787	0.021861	3.365203E+9
-2436.33	-1.6	5.459368	-0.444294	0.006046	0	0.005331	-0.212787	0.021774	3.365204E+9
-2590.6	-1.7	5.457621	-0.443193	0.005679	0	0.005838	-0.212787	0.021972	3.365205E+9
-2743.95	-1.8	5.453192	-0.452329	0.005894	0	0.005721	-0.212787	0.021697	3.365206E+9
-2896.33	-1.9	5.45546	-0.451114	0.005877	0	0.005647	-0.212787	0.021744	3.365207E+9
-3047.69	-2	5.435542	-0.450048	0.005895	0	0.005523	-0.212787	0.022015	3.365208E+9
