16/05/2022	10:30

Si\Ta3\(Co88Tb12)63\Pt3-20220511_APEJ2 

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-0.300304	-0.075848	0.00126	0	0.00159	-0.212787	0.030984	2.673968E+9
8186.93	6.75	-0.307023	-0.077479	0.002219	0	0.001797	-0.212787	0.031135	2.673968E+9
8084.8	6.5	-0.303196	-0.076602	0.002088	0	0.001862	-0.212787	0.031199	2.673969E+9
7960.42	6.25	-0.300233	-0.074766	0.001653	0	0.00223	-0.212787	0.030965	2.67397E+9
7814.63	6	-0.295314	-0.074324	0.002266	0	0.001958	-0.212787	0.031172	2.673971E+9
7648.28	5.75	-0.292657	-0.074802	0.001391	0	0.001659	-0.212787	0.03104	2.673972E+9
7462.23	5.5	-0.284444	-0.072115	0.001823	0	0.002188	-0.212787	0.031132	2.673973E+9
7257.34	5.25	-0.280269	-0.071293	0.002522	0	0.002373	-0.212787	0.03108	2.673974E+9
7034.46	5	-0.275373	-0.07	0.001661	0	0.001734	-0.212787	0.030951	2.673975E+9
6794.43	4.75	-0.268836	-0.069529	0.001387	0	0.001714	-0.212787	0.031174	2.673976E+9
6538.11	4.5	-0.264938	-0.070078	0.001168	0	0.002109	-0.212787	0.030973	2.673977E+9
6266.37	4.25	-0.259919	-0.067008	0.001878	0	0.002334	-0.212787	0.031074	2.673978E+9
5980.04	4	-0.251592	-0.066563	0.002141	0	0.002022	-0.212787	0.031015	2.673979E+9
5679.98	3.75	-0.244246	-0.064776	0.002037	0	0.002598	-0.212787	0.031157	2.67398E+9
5367.05	3.5	-0.234623	-0.062947	0.001209	0	0.002831	-0.212787	0.03107	2.673981E+9
5042.1	3.25	-0.225913	-0.060845	0.001968	0	0.00279	-0.212787	0.031105	2.673982E+9
4705.98	3	-0.212811	-0.059026	0.001725	0	0.002504	-0.212787	0.03099	2.673983E+9
4359.54	2.75	-0.203984	-0.057301	0.001666	0	0.002255	-0.212787	0.031172	2.673984E+9
4003.65	2.5	-0.193367	-0.055257	0.001643	0	0.001979	-0.212787	0.031048	2.673985E+9
3639.15	2.25	-0.182038	-0.052603	0.002742	0	0.002535	-0.212787	0.031058	2.673986E+9
3266.89	2	-0.168887	-0.050845	0.001975	0	0.00243	-0.212787	0.03105	2.673987E+9
2887.73	1.75	-0.158933	-0.049065	0.00189	0	0.00226	-0.212787	0.031226	2.673988E+9
2502.52	1.5	-0.147906	-0.045956	0.001527	0	0.00225	-0.212787	0.031206	2.673989E+9
2112.11	1.25	-0.139921	-0.044861	0.001917	0	0.002081	-0.212787	0.031215	2.67399E+9
1717.37	1	-0.130964	-0.042366	0.001768	0	0.002754	-0.212787	0.031239	2.673991E+9
1319.13	0.75	-0.122049	-0.041349	0.001928	0	0.002472	-0.212787	0.031017	2.673992E+9
