16/05/2022	11:36

Si\Ta3\(Co88Tb12)88\Pt3-20220511_APEJ4 

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	2.499364	-0.232242	0.002233	0	0.003084	-0.212787	0.031197	2.677916E+9
8186.93	6.75	2.744282	-0.248489	0.003032	0	0.002012	-0.212787	0.031381	2.677916E+9
8084.8	6.5	2.688409	-0.222388	0.001825	0	0.001841	-0.212787	0.031299	2.677917E+9
7960.42	6.25	2.608456	-0.241436	0.002166	0	0.002178	-0.212787	0.031286	2.677918E+9
7814.63	6	2.511008	-0.24537	0.001931	0	0.002711	-0.212787	0.031168	2.677919E+9
7648.28	5.75	2.392959	-0.21016	0.00274	0	0.00195	-0.212787	0.031328	2.67792E+9
7462.23	5.5	2.308432	-0.224172	0.002197	0	0.002366	-0.212787	0.031187	2.677921E+9
7257.34	5.25	2.149672	-0.126107	0.002622	0	0.002902	-0.212787	0.031313	2.677922E+9
7034.46	5	1.969695	-0.110305	0.002194	0	0.001971	-0.212787	0.031126	2.677923E+9
6794.43	4.75	1.828382	-0.081842	0.002205	0	0.002136	-0.212787	0.031352	2.677924E+9
6538.11	4.5	1.623616	-0.052941	0.001845	0	0.002197	-0.212787	0.0313	2.677925E+9
6266.37	4.25	1.421596	-0.044712	0.002261	0	0.002397	-0.212787	0.031199	2.677926E+9
5980.04	4	1.225508	-0.019566	0.002494	0	0.001494	-0.212787	0.031278	2.677927E+9
5679.98	3.75	1.007221	0.029407	0.002231	0	0.002161	-0.212787	0.031316	2.677928E+9
5367.05	3.5	0.778856	0.058357	0.003152	0	0.002302	-0.212787	0.031395	2.677929E+9
5042.1	3.25	0.53736	0.095438	0.002175	0	0.002214	-0.212787	0.031365	2.67793E+9
4705.98	3	0.269142	0.156529	0.002745	0	0.001532	-0.212787	0.031359	2.677931E+9
4359.54	2.75	0.02084	0.216882	0.001552	0	0.002129	-0.212787	0.031391	2.677932E+9
4003.65	2.5	-0.249795	0.240663	0.002028	0	0.002526	-0.212787	0.03125	2.677933E+9
3639.15	2.25	-0.43998	0.262349	0.002795	0	0.002002	-0.212787	0.031405	2.677934E+9
3266.89	2	-0.651587	0.309408	0.002526	0	0.001416	-0.212787	0.031416	2.677935E+9
2887.73	1.75	-0.903801	0.332617	0.002245	0	0.002091	-0.212787	0.031395	2.677936E+9
2502.52	1.5	-1.064175	0.367496	0.001688	0	0.002858	-0.212787	0.031436	2.677937E+9
2112.11	1.25	-1.241001	0.38684	0.002741	0	0.001534	-0.212787	0.031411	2.677938E+9
1717.37	1	-1.41909	0.457498	0.00131	0	0.001972	-0.212787	0.031266	2.677939E+9
1319.13	0.75	-1.521434	0.461549	0.001677	0	0.001919	-0.212787	0.031463	2.67794E+9
918.26	0.5	-1.661191	0.460516	0.002075	0	0.002783	-0.212787	0.031328	2.677941E+9
515.61	0.25	-1.773827	0.481578	0.002529	0	0.001964	-0.212787	0.031381	2.677942E+9
112.03	0	-1.899887	0.52837	0.001983	0	0.001775	-0.212787	0.031445	2.677943E+9
-291.63	-0.25	-1.968709	0.51263	0.002198	0	0.003284	-0.212787	0.03137	2.677944E+9
-694.51	-0.5	-2.089705	0.546265	0.00314	0	0.00289	-0.212787	0.031344	2.677945E+9
-1095.76	-0.75	-2.165324	0.528474	0.001887	0	0.001512	-0.212787	0.031291	2.677946E+9
-1494.53	-1	-2.258337	0.57296	0.002302	0	0.001614	-0.212787	0.031378	2.677947E+9
-1889.96	-1.25	-2.299629	0.557262	0.002037	0	0.003142	-0.212787	0.031462	2.677948E+9
-2281.19	-1.5	-2.3652	0.54285	0.001943	0	0.003197	-0.212787	0.031382	2.677949E+9
-2667.39	-1.75	-2.318047	0.568474	0.003106	0	0.00122	-0.212787	0.031397	2.67795E+9
-3047.69	-2	-2.301598	0.543822	0.002487	0	0.001634	-0.212787	0.031289	2.677951E+9
-3421.24	-2.25	-2.238308	0.580517	0.001259	0	0.002843	-0.212787	0.031348	2.677952E+9
-3787.18	-2.5	-2.21428	0.547759	0.002343	0	0.002293	-0.212787	0.031408	2.677953E+9
-4144.67	-2.75	-2.137231	0.528926	0.001755	0	0.002167	-0.212787	0.031346	2.677954E+9
-4492.85	-3	-2.067717	0.533754	6E-6	0	0.002963	-0.212787	0.03139	2.677955E+9
-4830.87	-3.25	-1.960838	0.491792	0.000856	0	0.001191	-0.212787	0.031238	2.677956E+9
-5157.87	-3.5	-1.863845	0.47869	0.000238	0	0.002299	-0.212787	0.031195	2.677957E+9
-5473	-3.75	-1.727583	0.49354	0.002224	0	0.002141	-0.212787	0.031226	2.677958E+9
-5775.41	-4	-1.674245	0.447335	0.00218	0	0.001808	-0.212787	0.031397	2.677959E+9
-6064.24	-4.25	-1.533126	0.405943	0.002404	0	0.00057	-0.212787	0.031357	2.67796E+9
-6338.64	-4.5	-1.453365	0.376538	0.000838	0	0.001952	-0.212787	0.031324	2.677961E+9
-6597.76	-4.75	-1.34991	0.362006	0.002019	0	0.001015	-0.212787	0.031242	2.677962E+9
-6840.75	-5	-1.259298	0.359153	0.001085	0	0.002032	-0.212787	0.031186	2.677963E+9
-7066.75	-5.25	-1.166847	0.365086	0.001501	0	0.000714	-0.212787	0.031234	2.677964E+9
-7274.9	-5.5	-1.037798	0.368143	0.000984	0	0.001467	-0.212787	0.03129	2.677965E+9
-7464.36	-5.75	-0.956208	0.347295	0.002992	0	0.000801	-0.212787	0.031325	2.677966E+9
-7634.28	-6	-0.87133	0.310899	0.002807	0	0.00112	-0.212787	0.031267	2.677967E+9
-7783.79	-6.25	-0.765315	0.290558	0.002316	0	0.001544	-0.212787	0.031401	2.677968E+9
-7912.04	-6.5	-0.650411	0.268635	0.000339	0	0.001736	-0.212787	0.031162	2.677969E+9
-8018.19	-6.75	-0.565793	0.257619	0.002389	0	0.001523	-0.212787	0.031335	2.67797E+9
-8101.38	-7	-0.472991	0.25013	0.001759	0	0.001311	-0.212787	0.031253	2.677971E+9
-8018.19	-6.75	-0.513023	0.255702	0.001905	0	0.002124	-0.212787	0.031268	2.677972E+9
-7912.04	-6.5	-0.594025	0.249691	0.003434	0	0.001293	-0.212787	0.031345	2.677973E+9
-7783.79	-6.25	-0.658722	0.275169	0.001346	0	0.001678	-0.212787	0.031198	2.677974E+9
-7634.28	-6	-0.71118	0.288914	0.00216	0	0.000627	-0.212787	0.031213	2.677975E+9
-7464.36	-5.75	-0.779424	0.28665	0.001513	0	0.0027	-0.212787	0.031354	2.677976E+9
-7274.9	-5.5	-0.860641	0.324622	0.002426	0	0.002165	-0.212787	0.031355	2.677977E+9
-7066.75	-5.25	-0.925627	0.348432	0.000728	0	0.002648	-0.212787	0.031357	2.677978E+9
-6840.75	-5	-1.042135	0.339937	0.000927	0	0.002177	-0.212787	0.03133	2.677979E+9
-6597.76	-4.75	-1.133092	0.366687	0.001885	0	0.001628	-0.212787	0.031344	2.67798E+9
-6338.64	-4.5	-1.232453	0.358481	0.000725	0	0.002084	-0.212787	0.031249	2.677981E+9
-6064.24	-4.25	-1.337812	0.386947	0.001277	0	0.001599	-0.212787	0.031251	2.677982E+9
-5775.41	-4	-1.459993	0.410559	0.000595	0	0.002443	-0.212787	0.031383	2.677983E+9
-5473	-3.75	-1.603616	0.415819	0.001098	0	0.001053	-0.212787	0.031257	2.677984E+9
-5157.87	-3.5	-1.743587	0.445786	-0.000373	0	0.001824	-0.212787	0.031371	2.677985E+9
-4830.87	-3.25	-1.842042	0.471646	0.000901	0	0.001422	-0.212787	0.031298	2.677986E+9
-4492.85	-3	-1.946247	0.516415	0.000379	0	0.002114	-0.212787	0.031304	2.677987E+9
-4144.67	-2.75	-2.100932	0.510541	0.001104	0	0.001109	-0.212787	0.031356	2.677988E+9
-3787.18	-2.5	-2.179375	0.523253	0.000774	0	0.001172	-0.212787	0.031257	2.677989E+9
-3421.24	-2.25	-2.256446	0.556827	0.001459	0	0.002143	-0.212787	0.031379	2.67799E+9
-3047.69	-2	-2.291683	0.577765	0.001151	0	0.001049	-0.212787	0.031342	2.677991E+9
-2667.39	-1.75	-2.383	0.561878	0.000617	0	0.001479	-0.212787	0.031423	2.677992E+9
-2281.19	-1.5	-2.410797	0.581365	0.000921	0	0.001305	-0.212787	0.031447	2.677993E+9
-1889.96	-1.25	-2.451507	0.603174	0.001886	0	0.001448	-0.212787	0.031361	2.677994E+9
-1494.53	-1	-2.464129	0.586374	0.001773	0	0.000143	-0.212787	0.031448	2.677995E+9
-1095.76	-0.75	-2.466897	0.571521	0.000608	0	0.001159	-0.212787	0.031329	2.677996E+9
-694.51	-0.5	-2.435621	0.57951	0.001953	0	0.000858	-0.212787	0.031307	2.677997E+9
-291.63	-0.25	-2.386973	0.566895	0.002465	0	0.000649	-0.212787	0.031387	2.677998E+9
112.03	0	-2.340925	0.554208	0.003094	0	4.8E-5	-0.212787	0.031435	2.677999E+9
515.61	0.25	-2.259922	0.516347	0.002285	0	0.000512	-0.212787	0.031387	2.678E+9
918.26	0.5	-2.158716	0.50481	0.002237	0	0.001576	-0.212787	0.03126	2.678001E+9
1319.13	0.75	-2.05132	0.482221	0.002965	0	0.000365	-0.212787	0.0313	2.678002E+9
1717.37	1	-1.868065	0.471669	0.00228	0	0.000561	-0.212787	0.03138	2.678003E+9
2112.11	1.25	-1.695138	0.456348	0.002735	0	0.00152	-0.212787	0.031431	2.678004E+9
