16/05/2022	11:23

Si\Ta3\(Co88Tb12)88\Pt3-20220511_APEJ4

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	4.885616	-0.820613	-0.000218	0	1.2E-5	-0.212787	0.000807	2.677118E+9
8186.93	6.75	4.866513	-0.779021	-0.000401	0	0.000119	-0.212787	0.000797	2.677118E+9
8084.8	6.5	4.884735	-0.800938	-0.000436	0	4.7E-5	-0.212787	0.000802	2.677119E+9
7960.42	6.25	4.916138	-0.782085	-0.000503	0	0.000204	-0.212787	0.000807	2.67712E+9
7814.63	6	4.886486	-0.816633	8.4E-5	0	0.000125	-0.212787	0.000793	2.677121E+9
7648.28	5.75	4.887825	-0.796503	-4.1E-5	0	0.000114	-0.212787	0.000832	2.677122E+9
7462.23	5.5	4.886152	-0.78599	-0.00061	0	4.7E-5	-0.212787	0.000815	2.677123E+9
7257.34	5.25	4.873852	-0.813173	-0.000139	0	0.000138	-0.212787	0.000829	2.677124E+9
7034.46	5	4.904501	-0.816581	-0.000272	0	8.4E-5	-0.212787	0.000837	2.677125E+9
6794.43	4.75	4.884771	-0.798222	-0.00038	0	0.000105	-0.212787	0.000792	2.677126E+9
6538.11	4.5	4.900885	-0.784142	-0.000643	0	9.7E-5	-0.212787	0.000814	2.677127E+9
6266.37	4.25	4.900973	-0.816509	-0.000331	0	3.2E-5	-0.212787	0.000855	2.677128E+9
5980.04	4	4.873511	-0.822218	-0.000505	0	0.000134	-0.212787	0.000805	2.677129E+9
5679.98	3.75	4.879271	-0.773349	-0.000368	0	0.000132	-0.212787	0.000814	2.67713E+9
5367.05	3.5	4.894881	-0.789463	-0.000378	0	4.7E-5	-0.212787	0.000801	2.677131E+9
5042.1	3.25	4.887637	-0.813449	-0.000482	0	0.000116	-0.212787	0.000802	2.677132E+9
4705.98	3	4.909361	-0.785493	-0.00042	0	-3E-5	-0.212787	0.000837	2.677133E+9
4359.54	2.75	4.918939	-0.803498	-0.000373	0	0.000115	-0.212787	0.00081	2.677134E+9
4003.65	2.5	4.915573	-0.810671	-0.000536	0	0.000258	-0.212787	0.000827	2.677135E+9
3639.15	2.25	4.902646	-0.795259	-0.000616	0	9.5E-5	-0.212787	0.000791	2.677136E+9
3266.89	2	4.90761	-0.813069	-0.000488	0	0.000117	-0.212787	0.000815	2.677137E+9
2887.73	1.75	4.902003	-0.798703	-6.9E-5	0	4.7E-5	-0.212787	0.000825	2.677138E+9
2502.52	1.5	4.901844	-0.780204	0.000272	0	0.000137	-0.212787	0.000831	2.677139E+9
2112.11	1.25	4.885343	-0.80343	3.1E-5	0	8.8E-5	-0.212787	0.000815	2.67714E+9
1717.37	1	4.889173	-0.808166	-0.000161	0	5.8E-5	-0.212787	0.000837	2.677141E+9
1319.13	0.75	4.89275	-0.798631	0.000293	0	2.1E-5	-0.212787	0.000818	2.677142E+9
