16/05/2022	13:38

Si\Ta3\(Co88Tb12)100\Pt3-20220511_APEJ5

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-0.708276	-3.784109	0.00258	0	0.001302	-0.212787	0.033033	2.685203E+9
8186.93	6.75	-0.650275	-3.819384	0.00203	0	0.001543	-0.212787	0.033036	2.685203E+9
8084.8	6.5	-0.676876	-3.868259	0.002245	0	0.001854	-0.212787	0.033104	2.685204E+9
7960.42	6.25	-0.597375	-3.796639	0.002618	0	0.001773	-0.212787	0.033225	2.685205E+9
7814.63	6	-0.604766	-3.776084	0.001484	0	0.001852	-0.212787	0.03303	2.685206E+9
7648.28	5.75	-0.585224	-3.735763	0.002656	0	0.001722	-0.212787	0.033155	2.685207E+9
7462.23	5.5	-0.486405	-3.757761	0.002532	0	0.001861	-0.212787	0.033006	2.685208E+9
7257.34	5.25	-0.496948	-3.69797	0.002116	0	0.002141	-0.212787	0.033035	2.685209E+9
7034.46	5	-0.415562	-3.692957	0.002343	0	0.001676	-0.212787	0.033223	2.68521E+9
6794.43	4.75	-0.438619	-3.669306	0.002471	0	0.001812	-0.212787	0.033128	2.685211E+9
6538.11	4.5	-0.439265	-3.679926	0.00249	0	0.002095	-0.212787	0.033075	2.685212E+9
6266.37	4.25	-0.412479	-3.683097	0.002686	0	0.001656	-0.212787	0.03305	2.685213E+9
5980.04	4	-0.427414	-3.690374	0.002071	0	0.001514	-0.212787	0.033145	2.685214E+9
5679.98	3.75	-0.416888	-3.675959	0.001821	0	0.001359	-0.212787	0.03316	2.685215E+9
5367.05	3.5	-0.458186	-3.712232	0.001834	0	0.001482	-0.212787	0.033234	2.685216E+9
5042.1	3.25	-0.431182	-3.705221	0.00196	0	0.001682	-0.212787	0.033223	2.685217E+9
4705.98	3	-0.416927	-3.697996	0.002005	0	0.001602	-0.212787	0.033248	2.685218E+9
