16/05/2022	10:20

Si\Ta3\(Co88Tb12)63\Pt3-20220511_APEJ2 

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-7.875978	-1.421887	0.006097	0	0.005835	-0.212787	0.055381	2.673332E+9
8186.93	6.75	-7.883252	-1.418437	0.005995	0	0.005612	-0.212787	0.055294	2.673332E+9
8084.8	6.5	-7.888577	-1.418437	0.006215	0	0.005794	-0.212787	0.055193	2.673333E+9
7960.42	6.25	-7.889746	-1.418674	0.005715	0	0.00615	-0.212787	0.055145	2.673334E+9
7814.63	6	-7.891526	-1.415448	0.006595	0	0.006029	-0.212787	0.0553	2.673335E+9
7648.28	5.75	-7.895237	-1.419253	0.006222	0	0.005631	-0.212787	0.055229	2.673336E+9
7462.23	5.5	-7.897612	-1.422196	0.006036	0	0.005668	-0.212787	0.055232	2.673337E+9
7257.34	5.25	-7.90421	-1.418934	0.006035	0	0.005812	-0.212787	0.055216	2.673338E+9
7034.46	5	-7.904941	-1.423168	0.006019	0	0.006187	-0.212787	0.055354	2.673339E+9
6794.43	4.75	-7.90472	-1.42129	0.006065	0	0.006224	-0.212787	0.055303	2.67334E+9
6538.11	4.5	-7.907283	-1.421923	0.005707	0	0.005937	-0.212787	0.055356	2.673341E+9
6266.37	4.25	-7.909083	-1.424074	0.005905	0	0.005725	-0.212787	0.055136	2.673342E+9
5980.04	4	-7.91345	-1.426273	0.005931	0	0.005706	-0.212787	0.055336	2.673343E+9
5679.98	3.75	-7.914619	-1.426494	0.005678	0	0.005933	-0.212787	0.055431	2.673344E+9
5367.05	3.5	-7.917914	-1.422862	0.005771	0	0.006163	-0.212787	0.055363	2.673345E+9
5042.1	3.25	-7.920854	-1.423616	0.005774	0	0.005906	-0.212787	0.055425	2.673346E+9
4705.98	3	-7.922202	-1.42575	0.005803	0	0.005909	-0.212787	0.055196	2.673347E+9
4359.54	2.75	-7.924684	-1.425302	0.005818	0	0.005513	-0.212787	0.055357	2.673348E+9
4003.65	2.5	-7.923625	-1.426442	0.005915	0	0.00606	-0.212787	0.0553	2.673349E+9
3639.15	2.25	-7.925204	-1.426303	0.005907	0	0.005933	-0.212787	0.055208	2.67335E+9
3266.89	2	-7.928966	-1.425981	0.005965	0	0.005496	-0.212787	0.055341	2.673351E+9
