31/05/2022	19:22

Si\Ta3\(Co90Tb10)100nm\Pt3-20220531_APEJ4

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
6096.26	4.1	3.391539	-0.513552	0.005096	0	0.004083	-0.212787	0.099452	4.001075E+9
5741.05	3.8	3.396442	-0.513065	0.004479	0	0.004249	-0.212787	0.099884	4.001075E+9
5367.05	3.5	3.399301	-0.512932	0.004432	0	0.004135	-0.212787	0.100338	4.001076E+9
4975.74	3.2	3.400522	-0.513387	0.004417	0	0.003933	-0.212787	0.099369	4.001077E+9
4568.59	2.9	3.401042	-0.515229	0.004392	0	0.004492	-0.212787	0.100357	4.001078E+9
4147.09	2.6	3.403891	-0.51519	0.004528	0	0.004351	-0.212787	0.099666	4.001079E+9
3712.69	2.3	3.405162	-0.514862	0.003882	0	0.003583	-0.212787	0.099671	4.00108E+9
3266.89	2	3.406513	-0.514176	0.003093	0	0.004166	-0.212787	0.100219	4.001081E+9
3116	1.9	3.405175	-0.515492	0.004117	0	0.003863	-0.212787	0.099984	4.001082E+9
2964.07	1.8	3.406728	-0.515141	0.003734	0	0.00466	-0.212787	0.099852	4.001083E+9
2811.14	1.7	3.407475	-0.513107	0.004191	0	0.003805	-0.212787	0.100443	4.001084E+9
2657.27	1.6	3.407312	-0.514098	0.004518	0	0.004474	-0.212787	0.099298	4.001085E+9
2502.52	1.5	3.406448	-0.514163	0.003771	0	0.003921	-0.212787	0.099944	4.001086E+9
2346.93	1.4	3.408209	-0.51453	0.004538	0	0.004207	-0.212787	0.099872	4.001087E+9
2190.57	1.3	3.407104	-0.514533	0.003781	0	0.004314	-0.212787	0.099544	4.001088E+9
2033.48	1.2	3.406081	-0.516713	0.00362	0	0.004179	-0.212787	0.100173	4.001089E+9
1875.73	1.1	3.408157	-0.516431	0.003751	0	0.003713	-0.212787	0.100339	4.00109E+9
1717.37	1	3.408154	-0.515511	0.003763	0	0.004298	-0.212787	0.099361	4.001091E+9
1558.44	0.9	3.410834	-0.515508	0.003722	0	0.003883	-0.212787	0.100427	4.001092E+9
1399.02	0.8	3.409518	-0.516044	0.003623	0	0.003865	-0.212787	0.099632	4.001093E+9
1239.14	0.7	3.409772	-0.514764	0.004432	0	0.003686	-0.212787	0.100408	4.001094E+9
1078.87	0.6	3.409814	-0.515671	0.004019	0	0.003814	-0.212787	0.100051	4.001095E+9
918.26	0.5	3.410168	-0.515186	0.004389	0	0.004593	-0.212787	0.099571	4.001096E+9
757.37	0.4	3.410561	-0.513097	0.005107	0	0.00405	-0.212787	0.099842	4.001097E+9
596.24	0.3	3.411013	-0.515125	0.003637	0	0.003709	-0.212787	0.100002	4.001098E+9
434.94	0.2	3.4088	-0.513419	0.004403	0	0.004243	-0.212787	0.099328	4.001099E+9
273.52	0.1	3.411507	-0.51209	0.004546	0	0.004196	-0.212787	0.100504	4.0011E+9
112.03	0	3.412065	-0.514394	0.004501	0	0.003791	-0.212787	0.099553	4.001101E+9
-49.47	-0.1	3.410529	-0.512617	0.003912	0	0.004167	-0.212787	0.100464	4.001102E+9
-210.93	-0.2	3.411438	-0.514819	0.004304	0	0.00434	-0.212787	0.09949	4.001103E+9
-372.3	-0.3	3.411386	-0.513455	0.003402	0	0.004339	-0.212787	0.100448	4.001104E+9
-533.51	-0.4	3.411994	-0.515303	0.004467	0	0.00432	-0.212787	0.099493	4.001105E+9
-694.51	-0.5	3.409746	-0.514403	0.003667	0	0.003787	-0.212787	0.099309	4.001106E+9
-855.25	-0.6	-0.191138	0.05885	-0.000328	0	-0.000362	-0.212787	0.099562	4.001107E+9
-1015.68	-0.7	-1.002321	0.186395	-0.001445	0	-0.001565	-0.212787	0.099416	4.001108E+9
-1175.74	-0.8	-1.520047	0.266699	-0.002576	0	-0.002022	-0.212787	0.099806	4.001109E+9
-1335.37	-0.9	-1.895595	0.328481	-0.002147	0	-0.002376	-0.212787	0.100369	4.00111E+9
-1494.53	-1	-2.182753	0.373312	-0.003054	0	-0.002998	-0.212787	0.100505	4.001111E+9
-1653.15	-1.1	-2.418132	0.410657	-0.002633	0	-0.003381	-0.212787	0.099517	4.001112E+9
-1811.18	-1.2	-2.585858	0.436416	-0.002744	0	-0.003289	-0.212787	0.100539	4.001113E+9
-1968.57	-1.3	-2.714297	0.456591	-0.003536	0	-0.003503	-0.212787	0.100546	4.001114E+9
-2125.26	-1.4	-2.809129	0.471958	-0.002894	0	-0.003377	-0.212787	0.099485	4.001115E+9
-2281.19	-1.5	-2.875278	0.48151	-0.00329	0	-0.003584	-0.212787	0.099697	4.001116E+9
-2436.33	-1.6	-2.927308	0.489368	-0.003289	0	-0.003572	-0.212787	0.099814	4.001117E+9
-2590.6	-1.7	-2.971092	0.495541	-0.003287	0	-0.003472	-0.212787	0.099581	4.001118E+9
-2743.95	-1.8	-3.015464	0.503936	-0.003893	0	-0.003607	-0.212787	0.099705	4.001119E+9
-2896.33	-1.9	-3.058329	0.509531	-0.003187	0	-0.003476	-0.212787	0.100183	4.00112E+9
-3047.69	-2	-3.08326	0.5139	-0.003583	0	-0.00376	-0.212787	0.100148	4.001121E+9
-3495.06	-2.3	-3.097948	0.51569	-0.002708	0	-0.00381	-0.212787	0.100434	4.001122E+9
-3931.24	-2.6	-3.098247	0.516548	-0.003338	0	-0.003605	-0.212787	0.099744	4.001123E+9
-4354.75	-2.9	-3.099059	0.517795	-0.003222	0	-0.003795	-0.212787	0.099959	4.001124E+9
-4764.12	-3.2	-3.097337	0.516515	-0.003084	0	-0.003502	-0.212787	0.100438	4.001125E+9
-5157.87	-3.5	-3.099572	0.518289	-0.002974	0	-0.003578	-0.212787	0.099828	4.001126E+9
