31/05/2022	19:03

Si\Ta3\(Co90Tb1075nm\Pt3-20220531_APEJ3

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
6096.26	4.1	3.912721	-0.694507	0.000588	0	0.00018	-0.212787	0.095857	3.999884E+9
5741.05	3.8	3.914793	-0.694127	-2.6E-5	0	0.000966	-0.212787	0.095326	3.999884E+9
5367.05	3.5	3.917201	-0.694072	0.000687	0	0.000775	-0.212787	0.095966	3.999885E+9
4975.74	3.2	3.918458	-0.694527	0.000574	0	-4.8E-5	-0.212787	0.095441	3.999886E+9
4568.59	2.9	3.919852	-0.694156	0.000976	0	-2.3E-5	-0.212787	0.095211	3.999887E+9
4147.09	2.6	3.92212	-0.694881	0.000855	0	0.000888	-0.212787	0.095246	3.999888E+9
3712.69	2.3	3.92109	-0.69544	0.00101	0	0.000739	-0.212787	0.095213	3.999889E+9
3266.89	2	3.922526	-0.695024	0.00089	0	0.000765	-0.212787	0.095295	3.99989E+9
3116	1.9	3.922149	-0.694692	0.000327	0	0.000524	-0.212787	0.095133	3.999891E+9
2964.07	1.8	3.923406	-0.695118	0.000803	0	-0.00016	-0.212787	0.095426	3.999892E+9
2811.14	1.7	3.922873	-0.694238	0.000372	0	-0.000269	-0.212787	0.095271	3.999893E+9
2657.27	1.6	3.924923	-0.69454	0.000386	0	0.000155	-0.212787	0.095264	3.999894E+9
2502.52	1.5	3.923539	-0.693984	0.000743	0	0.00102	-0.212787	0.095287	3.999895E+9
2346.93	1.4	3.924449	-0.693685	0.000174	0	0.000704	-0.212787	0.096072	3.999896E+9
2190.57	1.3	3.925017	-0.693494	0.000656	0	0.000192	-0.212787	0.096013	3.999897E+9
2033.48	1.2	3.924725	-0.694614	6.7E-5	0	0.000281	-0.212787	0.095799	3.999898E+9
1875.73	1.1	3.925222	-0.693624	0.000905	0	0.000875	-0.212787	0.095283	3.999899E+9
1717.37	1	3.926291	-0.694059	-0.000456	0	0.000763	-0.212787	0.096019	3.9999E+9
1558.44	0.9	3.926626	-0.694101	0.000588	0	0.000525	-0.212787	0.095319	3.999901E+9
1399.02	0.8	3.926112	-0.692145	0.000561	0	-0.000262	-0.212787	0.095237	3.999902E+9
1239.14	0.7	3.925784	-0.692831	0.000132	0	0.000236	-0.212787	0.09578	3.999903E+9
1078.87	0.6	3.926112	-0.694322	0.000186	0	-0.00053	-0.212787	0.095904	3.999904E+9
918.26	0.5	3.925206	-0.69261	0.000776	0	0.001178	-0.212787	0.095979	3.999905E+9
757.37	0.4	3.925287	-0.693516	-0.000343	0	0.000712	-0.212787	0.095267	3.999906E+9
596.24	0.3	3.926067	-0.692246	0.000954	0	0.000127	-0.212787	0.095368	3.999907E+9
434.94	0.2	3.927704	-0.6935	0.000946	0	0.000429	-0.212787	0.095979	3.999908E+9
273.52	0.1	3.92801	-0.692262	0.00069	0	-0.000148	-0.212787	0.096109	3.999909E+9
112.03	0	3.928361	-0.693107	0.000482	0	0.000137	-0.212787	0.095255	3.99991E+9
-49.47	-0.1	3.927457	-0.693065	0.000114	0	0.000758	-0.212787	0.095305	3.999911E+9
-210.93	-0.2	3.926746	-0.692597	-7E-5	0	-0.0002	-0.212787	0.095904	3.999912E+9
-372.3	-0.3	3.926769	-0.69259	0.000263	0	0.000579	-0.212787	0.095178	3.999913E+9
-533.51	-0.4	2.20064	-0.361392	-0.002439	0	-0.002445	-0.212787	0.095282	3.999914E+9
-694.51	-0.5	-0.207473	0.080198	-0.004446	0	-0.00494	-0.212787	0.095691	3.999915E+9
-855.25	-0.6	-1.109603	0.246618	-0.006312	0	-0.005683	-0.212787	0.095278	3.999916E+9
-1015.68	-0.7	-1.738655	0.363335	-0.007303	0	-0.005947	-0.212787	0.095322	3.999917E+9
-1175.74	-0.8	-2.240962	0.456029	-0.007314	0	-0.007021	-0.212787	0.095707	3.999918E+9
-1335.37	-0.9	-2.649467	0.532266	-0.007584	0	-0.007513	-0.212787	0.095903	3.999919E+9
-1494.53	-1	-2.98743	0.595731	-0.008125	0	-0.008326	-0.212787	0.095521	3.99992E+9
-1653.15	-1.1	-3.252006	0.642468	-0.008631	0	-0.008509	-0.212787	0.095292	3.999921E+9
-1811.18	-1.2	-3.459378	0.682851	-0.009215	0	-0.008441	-0.212787	0.095989	3.999922E+9
-1968.57	-1.3	-3.612097	0.710726	-0.00886	0	-0.008624	-0.212787	0.095407	3.999923E+9
-2125.26	-1.4	-3.73011	0.732171	-0.009054	0	-0.008874	-0.212787	0.096053	3.999924E+9
-2281.19	-1.5	-3.804914	0.746404	-0.008853	0	-0.0091	-0.212787	0.09612	3.999925E+9
