05/05/2022	11:45

Co88Tb12_20210526_CVEJ5

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-2.305977	-0.48916	0.000272	0	0.000266	-0.212787	0.004129	1.727868E+9
8237.17	6.9	-2.316646	-0.463128	0.000243	0	0.000176	-0.212787	0.004048	1.727869E+9
8204.61	6.8	-2.33072	-0.485285	0.000294	0	0.000257	-0.212787	0.004029	1.72787E+9
8168.33	6.7	-2.336445	-0.477786	0.000172	0	0.0002	-0.212787	0.004091	1.727871E+9
8128.37	6.6	-2.32727	-0.469996	0.000801	0	0.000349	-0.212787	0.004057	1.727872E+9
8084.8	6.5	-2.316776	-0.460629	0.000535	0	0.000287	-0.212787	0.004037	1.727873E+9
8037.67	6.4	-2.303446	-0.479057	0.000116	0	0.000252	-0.212787	0.004083	1.727874E+9
7987.04	6.3	-2.307371	-0.465145	-0.000293	0	0.000225	-0.212787	0.004037	1.727875E+9
7932.95	6.2	-2.29394	-0.458004	0.000387	0	0.000359	-0.212787	0.004017	1.727876E+9
7875.46	6.1	-2.301845	-0.466861	-0.000153	0	0.000358	-0.212787	0.004036	1.727877E+9
7814.63	6	-2.30306	-0.468241	-0.000133	0	0.000261	-0.212787	0.004051	1.727878E+9
7750.51	5.9	-2.282982	-0.46687	-0.000273	0	0.000243	-0.212787	0.004044	1.727879E+9
7683.15	5.8	-2.299584	-0.464921	-0.000348	0	0.000411	-0.212787	0.004035	1.72788E+9
7612.62	5.7	-2.293102	-0.447598	0.0002	0	0.000311	-0.212787	0.004022	1.727881E+9
7538.96	5.6	-2.282768	-0.457601	0.000274	0	0.000393	-0.212787	0.004053	1.727882E+9
7462.23	5.5	-2.280516	-0.45819	0.00014	0	0.000192	-0.212787	0.004112	1.727883E+9
7382.49	5.4	-2.274074	-0.453592	0.000263	0	0.000301	-0.212787	0.004056	1.727884E+9
7299.79	5.3	-2.268379	-0.43396	0.000389	0	0.000277	-0.212787	0.004026	1.727885E+9
