04/05/2022	15:33

Co88Tb12_20210526_CVEJ1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
7034.46	5	0.011707	-0.008747	-0.014437	0	-0.014013	-0.212787	0.105945	1.655238E+9
6794.43	4.75	0.009241	-0.007792	-0.013012	0	-0.013387	-0.212787	0.10644	1.655239E+9
6538.11	4.5	0.007737	-0.009962	-0.014466	0	-0.013904	-0.212787	0.106522	1.65524E+9
6266.37	4.25	0.006837	-0.010089	-0.012997	0	-0.013862	-0.212787	0.105683	1.655241E+9
5980.04	4	0.00596	-0.009556	-0.013451	0	-0.013885	-0.212787	0.105866	1.655242E+9
5679.98	3.75	0.005538	-0.010083	-0.013762	0	-0.013301	-0.212787	0.105751	1.655243E+9
5367.05	3.5	0.004608	-0.00917	-0.014017	0	-0.014185	-0.212787	0.106374	1.655244E+9
5042.1	3.25	0.002383	-0.009469	-0.014064	0	-0.013602	-0.212787	0.106476	1.655245E+9
4705.98	3	0.001412	-0.010135	-0.014943	0	-0.013414	-0.212787	0.105866	1.655246E+9
4359.54	2.75	0.001688	-0.010014	-0.014311	0	-0.013845	-0.212787	0.106425	1.655247E+9
4003.65	2.5	0.000911	-0.010479	-0.014077	0	-0.014284	-0.212787	0.105937	1.655248E+9
3639.15	2.25	0.00057	-0.01057	-0.013756	0	-0.014648	-0.212787	0.106353	1.655249E+9
3266.89	2	-0.000921	-0.010534	-0.014248	0	-0.014388	-0.212787	0.106334	1.65525E+9
2887.73	1.75	-0.000885	-0.010625	-0.014634	0	-0.014559	-0.212787	0.106371	1.655251E+9
2502.52	1.5	-0.001431	-0.010849	-0.015116	0	-0.01452	-0.212787	0.105842	1.655252E+9
2424.82	1.45	-0.000694	-0.010947	-0.014349	0	-0.014642	-0.212787	0.105672	1.655253E+9
2346.93	1.4	-0.001837	-0.010589	-0.014935	0	-0.014412	-0.212787	0.106	1.655254E+9
2268.84	1.35	-0.000957	-0.010599	-0.014482	0	-0.013677	-0.212787	0.106427	1.655255E+9
2190.57	1.3	-0.001005	-0.013201	-0.014834	0	-0.01449	-0.212787	0.105862	1.655256E+9
2112.11	1.25	-0.00198	-0.010719	-0.014692	0	-0.014538	-0.212787	0.106347	1.655257E+9
2033.48	1.2	-0.001083	-0.010768	-0.014384	0	-0.014771	-0.212787	0.106323	1.655258E+9
1954.69	1.15	-0.001204	-0.01326	-0.015177	0	-0.014644	-0.212787	0.106194	1.655259E+9
1875.73	1.1	-0.000248	-0.011044	-0.014666	0	-0.014039	-0.212787	0.105875	1.65526E+9
1796.62	1.05	2.444167E-5	-0.011145	-0.014101	0	-0.014445	-0.212787	0.106139	1.655261E+9
1717.37	1	-0.001093	-0.009771	-0.014162	0	-0.015383	-0.212787	0.105943	1.655262E+9
