28/05/2021	16:05

Si/Pt30[Co88Tb12]450/Pt30

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	0.197834	0.004505	0.009026	0	0.009313	-0.212787	0.006731	2.505327E+9
8311.94	7.2	0.197753	0.004066	0.009023	0	0.009228	-0.212787	0.006754	2.505328E+9
8265.94	7	0.197376	0.004261	0.009191	0	0.009283	-0.212787	0.00675	2.505329E+9
8204.61	6.8	0.197314	0.004378	0.009114	0	0.009333	-0.212787	0.006766	2.50533E+9
8128.37	6.6	0.197525	0.004059	0.009146	0	0.009278	-0.212787	0.006738	2.505331E+9
8037.67	6.4	0.196226	0.00367	0.009243	0	0.009241	-0.212787	0.006783	2.505332E+9
7932.95	6.2	0.196047	0.003592	0.009219	0	0.009206	-0.212787	0.006711	2.505333E+9
7814.63	6	0.19608	0.003705	0.00915	0	0.00919	-0.212787	0.006757	2.505334E+9
7683.15	5.8	0.19609	0.004232	0.009321	0	0.009173	-0.212787	0.00673	2.505335E+9
7538.96	5.6	0.196245	0.003839	0.009213	0	0.009118	-0.212787	0.006715	2.505336E+9
7382.49	5.4	0.196859	0.003926	0.009427	0	0.00931	-0.212787	0.006732	2.505337E+9
7214.18	5.2	0.196648	0.00428	0.009531	0	0.009334	-0.212787	0.006685	2.505338E+9
7034.46	5	0.19647	0.003829	0.009281	0	0.009177	-0.212787	0.006709	2.505339E+9
6843.76	4.8	0.196596	0.003917	0.009928	0	0.009309	-0.212787	0.006769	2.50534E+9
6642.54	4.6	0.196158	0.003897	0.00987	0	0.009316	-0.212787	0.006682	2.505341E+9
6431.22	4.4	0.196112	0.004271	0.009664	0	0.00928	-0.212787	0.00668	2.505342E+9
6210.24	4.2	0.19606	0.003939	0.009297	0	0.009247	-0.212787	0.00672	2.505343E+9
5980.04	4	0.195732	0.004284	0.009314	0	0.00926	-0.212787	0.006707	2.505344E+9
5741.05	3.8	0.19568	0.003728	0.009344	0	0.009214	-0.212787	0.00668	2.505345E+9
5493.71	3.6	0.195433	0.00378	0.009319	0	0.009148	-0.212787	0.006701	2.505346E+9
5238.46	3.4	0.194965	0.003709	0.009197	0	0.009128	-0.212787	0.006645	2.505347E+9
4975.74	3.2	0.195115	0.004621	0.009331	0	0.009343	-0.212787	0.006632	2.505348E+9
4705.98	3	0.194969	0.00482	0.009159	0	0.009343	-0.212787	0.006671	2.505349E+9
4429.62	2.8	0.194598	0.00494	0.009239	0	0.009255	-0.212787	0.006686	2.50535E+9
4147.09	2.6	0.195108	0.004193	0.009329	0	0.009161	-0.212787	0.00663	2.505351E+9
3858.83	2.4	0.195761	0.004719	0.009199	0	0.009218	-0.212787	0.006629	2.505352E+9
3565.29	2.2	0.195209	0.004511	0.009243	0	0.009266	-0.212787	0.006638	2.505353E+9
3266.89	2	0.194784	0.004368	0.009316	0	0.009275	-0.212787	0.006585	2.505354E+9
2964.07	1.8	0.19529	0.004641	0.009221	0	0.009142	-0.212787	0.006668	2.505355E+9
2657.27	1.6	0.195294	0.004186	0.008604	0	0.009285	-0.212787	0.006589	2.505356E+9
2346.93	1.4	0.194673	0.004485	0.008729	0	0.009064	-0.212787	0.006608	2.505357E+9
2033.48	1.2	0.194969	0.004634	0.009411	0	0.009179	-0.212787	0.006637	2.505358E+9
1717.37	1	0.194582	0.003852	0.008506	0	0.009154	-0.212787	0.00661	2.505359E+9
1399.02	0.8	0.194452	0.004654	0.008846	0	0.009256	-0.212787	0.006582	2.50536E+9
1078.87	0.6	0.193978	0.004079	0.00875	0	0.009324	-0.212787	0.006502	2.505361E+9
757.37	0.4	0.193945	0.004544	0.008501	0	0.009169	-0.212787	0.006517	2.505362E+9
434.94	0.2	0.193919	0.004651	0.008953	0	0.009268	-0.212787	0.006599	2.505363E+9
112.03	0	0.194381	0.004703	0.008691	0	0.009263	-0.212787	0.006618	2.505364E+9
-210.93	-0.2	0.194014	0.004605	0.009056	0	0.00932	-0.212787	0.006583	2.505365E+9
-533.51	-0.4	0.193754	0.004176	0.009024	0	0.009219	-0.212787	0.006576	2.505366E+9
-855.25	-0.6	0.193312	0.004586	0.009158	0	0.009253	-0.212787	0.006536	2.505367E+9
-1175.74	-0.8	0.192815	0.004007	0.009174	0	0.009181	-0.212787	0.006551	2.505368E+9
-1494.53	-1	0.1925	0.003962	0.009281	0	0.009307	-0.212787	0.006573	2.505369E+9
-1811.18	-1.2	0.192464	0.004063	0.009908	0	0.009231	-0.212787	0.00655	2.50537E+9
-2125.26	-1.4	0.192178	0.004303	0.008916	0	0.009336	-0.212787	0.006583	2.505371E+9
-2436.33	-1.6	0.192123	0.004033	0.009066	0	0.00926	-0.212787	0.006464	2.505372E+9
