03/06/2021	18:08

Si/Pt30/[co88Tb12]450/Pt30

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	2.121258	-0.028575	0.009223	0	0.009394	-0.212787	0.049941	3.031145E+9
8311.94	7.2	2.119335	-0.028952	0.009383	0	0.009081	-0.212787	0.049951	3.031145E+9
8265.94	7	2.118932	-0.029338	0.008999	0	0.008787	-0.212787	0.049952	3.031146E+9
8204.61	6.8	2.119871	-0.028747	0.00889	0	0.008961	-0.212787	0.049963	3.031147E+9
8128.37	6.6	2.121249	-0.028477	0.008974	0	0.009114	-0.212787	0.049957	3.031148E+9
8037.67	6.4	2.121892	-0.029033	0.010004	0	0.008889	-0.212787	0.050042	3.031149E+9
7932.95	6.2	2.12246	-0.028916	0.00944	0	0.008769	-0.212787	0.050013	3.03115E+9
7814.63	6	2.122356	-0.029111	0.008919	0	0.008694	-0.212787	0.049973	3.031151E+9
7683.15	5.8	2.122649	-0.028533	0.008838	0	0.00918	-0.212787	0.049988	3.031152E+9
7538.96	5.6	2.123019	-0.029384	0.00927	0	0.009294	-0.212787	0.049949	3.031153E+9
7382.49	5.4	2.124	-0.028451	0.009087	0	0.009066	-0.212787	0.049997	3.031154E+9
7214.18	5.2	2.124416	-0.02863	0.009191	0	0.009071	-0.212787	0.049993	3.031155E+9
7034.46	5	2.125436	-0.028675	0.008405	0	0.008874	-0.212787	0.050007	3.031156E+9
6843.76	4.8	2.12531	-0.028705	0.008363	0	0.009004	-0.212787	0.050028	3.031157E+9
6642.54	4.6	2.125388	-0.028507	0.008929	0	0.008798	-0.212787	0.049918	3.031158E+9
6431.22	4.4	2.126778	-0.028695	0.008414	0	0.008698	-0.212787	0.050009	3.031159E+9
6210.24	4.2	2.127785	-0.028588	0.008603	0	0.008809	-0.212787	0.050022	3.03116E+9
5980.04	4	2.127298	-0.029231	0.00854	0	0.008145	-0.212787	0.050007	3.031161E+9
5741.05	3.8	2.12709	-0.028935	0.008467	0	0.008429	-0.212787	0.050064	3.031162E+9
5493.71	3.6	2.127561	-0.029163	0.008762	0	0.008809	-0.212787	0.04999	3.031163E+9
5238.46	3.4	2.127554	-0.028991	0.008246	0	0.008604	-0.212787	0.049942	3.031164E+9
4975.74	3.2	2.128045	-0.029078	0.008977	0	0.008439	-0.212787	0.050071	3.031165E+9
4705.98	3	2.12798	-0.029069	0.008059	0	0.008498	-0.212787	0.05003	3.031166E+9
4429.62	2.8	2.127961	-0.029052	0.008686	0	0.008761	-0.212787	0.050004	3.031167E+9
4147.09	2.6	2.127772	-0.02913	0.009087	0	0.008631	-0.212787	0.050021	3.031168E+9
3858.83	2.4	2.127886	-0.028536	0.008448	0	0.008367	-0.212787	0.050005	3.031169E+9
3565.29	2.2	2.127308	-0.028308	0.008226	0	0.008439	-0.212787	0.050067	3.03117E+9
3266.89	2	2.12811	-0.027974	0.008206	0	0.008635	-0.212787	0.050076	3.031171E+9
2964.07	1.8	2.128565	-0.02864	0.00863	0	0.008342	-0.212787	0.050087	3.031172E+9
2657.27	1.6	2.128461	-0.028675	0.008783	0	0.008202	-0.212787	0.050129	3.031173E+9
2346.93	1.4	2.128016	-0.028724	0.008395	0	0.008075	-0.212787	0.050045	3.031174E+9
2033.48	1.2	2.127561	-0.028266	0.007425	0	0.008075	-0.212787	0.050052	3.031175E+9
1717.37	1	2.127129	-0.028776	0.007745	0	0.008013	-0.212787	0.050036	3.031176E+9
