06/05/2022	10:37

Co88Tb12_35_20210602_CVMH3

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-9.455903	-1.507409	0.012502	0	0.011525	-0.212787	0.071943	1.810351E+9
8204.61	6.8	-9.45549	-1.504472	0.01247	0	0.011503	-0.212787	0.071935	1.810352E+9
8128.37	6.6	-9.462891	-1.501818	0.01175	0	0.011249	-0.212787	0.071943	1.810353E+9
8037.67	6.4	-9.461215	-1.501025	0.012433	0	0.011583	-0.212787	0.071925	1.810354E+9
7932.95	6.2	-9.462859	-1.505112	0.011807	0	0.011898	-0.212787	0.071888	1.810355E+9
7814.63	6	-9.467303	-1.502786	0.011689	0	0.011328	-0.212787	0.07185	1.810356E+9
7683.15	5.8	-9.464152	-1.508442	0.011702	0	0.011695	-0.212787	0.071944	1.810357E+9
7538.96	5.6	-9.467621	-1.503666	0.011218	0	0.011967	-0.212787	0.071966	1.810358E+9
7382.49	5.4	-9.469239	-1.508695	0.011871	0	0.011532	-0.212787	0.071994	1.810359E+9
7214.18	5.2	-9.464639	-1.508354	0.01163	0	0.011331	-0.212787	0.071956	1.81036E+9
7034.46	5	-9.469619	-1.517185	0.011866	0	0.011165	-0.212787	0.071784	1.810361E+9
6843.76	4.8	-9.465104	-1.511688	0.011516	0	0.011653	-0.212787	0.07183	1.810362E+9
6642.54	4.6	-9.473047	-1.512276	0.010822	0	0.011711	-0.212787	0.071937	1.810363E+9
6431.22	4.4	-9.477407	-1.509329	0.012371	0	0.011633	-0.212787	0.071801	1.810364E+9
6210.24	4.2	-9.473213	-1.508455	0.011792	0	0.01177	-0.212787	0.071868	1.810365E+9
5980.04	4	-9.473213	-1.506571	0.011783	0	0.011909	-0.212787	0.071872	1.810366E+9
5741.05	3.8	-9.476543	-1.510112	0.011514	0	0.011362	-0.212787	0.071843	1.810367E+9
5493.71	3.6	-9.474775	-1.510317	0.011699	0	0.011675	-0.212787	0.071903	1.810368E+9
5238.46	3.4	-9.47641	-1.507552	0.011536	0	0.011098	-0.212787	0.07186	1.810369E+9
4975.74	3.2	-9.479038	-1.503657	0.011103	0	0.011505	-0.212787	0.071846	1.81037E+9
4705.98	3	-9.479668	-1.508972	0.01172	0	0.011324	-0.212787	0.07181	1.810371E+9
4429.62	2.8	-9.476686	-1.504063	0.011199	0	0.011506	-0.212787	0.071809	1.810372E+9
4147.09	2.6	-9.476374	-1.50468	0.011665	0	0.011484	-0.212787	0.071919	1.810373E+9
3858.83	2.4	-9.476198	-1.503806	0.012011	0	0.011142	-0.212787	0.071894	1.810374E+9
3565.29	2.2	-9.475266	-1.505054	0.012019	0	0.011028	-0.212787	0.0719	1.810375E+9
3266.89	2	-9.474639	-1.510411	0.011047	0	0.011008	-0.212787	0.07201	1.810376E+9
2964.07	1.8	-9.471029	-1.511954	0.01211	0	0.01117	-0.212787	0.071946	1.810377E+9
2657.27	1.6	-9.464139	-1.50827	0.011521	0	0.011487	-0.212787	0.071809	1.810378E+9
2346.93	1.4	-9.446458	-1.506356	0.010887	0	0.011305	-0.212787	0.071875	1.810379E+9
2033.48	1.2	-9.415136	-1.493653	0.011301	0	0.011523	-0.212787	0.071872	1.81038E+9
1717.37	1	-9.350951	-1.480112	0.010289	0	0.011183	-0.212787	0.071836	1.810381E+9
1399.02	0.8	-9.11906	-1.422459	0.009632	0	0.010489	-0.212787	0.071906	1.810382E+9
1078.87	0.6	-8.658765	-1.322932	0.009776	0	0.010294	-0.212787	0.071878	1.810383E+9
757.37	0.4	-8.098329	-1.213438	0.008446	0	0.008701	-0.212787	0.072029	1.810384E+9
434.94	0.2	-7.486321	-1.110704	0.007638	0	0.008505	-0.212787	0.071979	1.810385E+9
112.03	0	-6.795079	-1.011843	0.007099	0	0.00747	-0.212787	0.071848	1.810386E+9
-210.93	-0.2	-5.941872	-0.934129	0.006948	0	0.007578	-0.212787	0.071984	1.810387E+9
-533.51	-0.4	-4.9089	-0.8239	0.006106	0	0.006181	-0.212787	0.071991	1.810388E+9
-855.25	-0.6	-3.786256	-0.651467	0.005041	0	0.005618	-0.212787	0.07194	1.810389E+9
-1175.74	-0.8	-2.653768	-0.472864	0.00422	0	0.005	-0.212787	0.071956	1.81039E+9
-1494.53	-1	-1.547545	-0.290655	0.004083	0	0.004138	-0.212787	0.072014	1.810391E+9
-1811.18	-1.2	-0.447222	-0.104948	0.003559	0	0.004396	-0.212787	0.072021	1.810392E+9
-2125.26	-1.4	0.656045	0.069815	0.002874	0	0.003094	-0.212787	0.072104	1.810393E+9
-2436.33	-1.6	1.747763	0.250146	0.002213	0	0.00257	-0.212787	0.07203	1.810394E+9
-2743.95	-1.8	2.847344	0.432001	0.00137	0	0.002231	-0.212787	0.072061	1.810395E+9
-3047.69	-2	3.939985	0.61074	0.001207	0	0.001056	-0.212787	0.07206	1.810396E+9
-3347.11	-2.2	5.050383	0.793541	0.000692	0	0.000645	-0.212787	0.071991	1.810397E+9
-3641.77	-2.4	6.155265	0.971299	0.000194	0	-0.000146	-0.212787	0.072103	1.810398E+9
-3931.24	-2.6	7.272202	1.147225	-0.001145	0	-0.001094	-0.212787	0.072146	1.810399E+9
-4215.08	-2.8	8.386528	1.332709	-0.00164	0	-0.001369	-0.212787	0.072104	1.8104E+9
-4492.85	-3	9.478791	1.503804	-0.002346	0	-0.00211	-0.212787	0.072119	1.810401E+9
-4764.12	-3.2	10.549727	1.679401	-0.002901	0	-0.002457	-0.212787	0.072155	1.810402E+9
-5028.44	-3.4	10.597161	1.832579	-0.003612	0	-0.003289	-0.212787	0.072157	1.810403E+9
-5285.39	-3.6	10.597161	1.958987	-0.004172	0	-0.003534	-0.212787	0.072139	1.810404E+9
-5534.53	-3.8	10.597161	2.052838	-0.004509	0	-0.003699	-0.212787	0.072151	1.810405E+9
-5775.41	-4	10.597161	2.114926	-0.004848	0	-0.004507	-0.212787	0.07221	1.810406E+9
-6007.6	-4.2	10.597161	2.142596	-0.00479	0	-0.004092	-0.212787	0.07215	1.810407E+9
-6230.67	-4.4	10.597161	2.152489	-0.00416	0	-0.004484	-0.212787	0.072256	1.810408E+9
-6444.17	-4.6	10.597161	2.159562	-0.004688	0	-0.004159	-0.212787	0.072105	1.810409E+9
-6647.68	-4.8	10.597161	2.163535	-0.004149	0	-0.004725	-0.212787	0.072216	1.81041E+9
-6840.75	-5	10.597161	2.163899	-0.00375	0	-0.004534	-0.212787	0.072197	1.810411E+9
-7022.95	-5.2	10.597161	2.164877	-0.00448	0	-0.00428	-0.212787	0.072151	1.810412E+9
-7193.84	-5.4	10.597161	2.155127	-0.004205	0	-0.004425	-0.212787	0.072098	1.810413E+9
-7352.98	-5.6	10.597161	2.163616	-0.003507	0	-0.004501	-0.212787	0.072152	1.810414E+9
-7499.94	-5.8	10.597161	2.169675	-0.003581	0	-0.004157	-0.212787	0.072252	1.810415E+9
-7634.28	-6	10.597161	2.163525	-0.003802	0	-0.004123	-0.212787	0.072289	1.810416E+9
-7755.56	-6.2	10.597161	2.165728	-0.004123	0	-0.004341	-0.212787	0.072252	1.810417E+9
-7863.34	-6.4	10.597161	2.161215	-0.003626	0	-0.004502	-0.212787	0.072219	1.810418E+9
-7957.2	-6.6	10.597161	2.163938	-0.003915	0	-0.004332	-0.212787	0.072233	1.810419E+9
-8036.69	-6.8	10.597161	2.158652	-0.004236	0	-0.004278	-0.212787	0.072225	1.81042E+9
-8101.38	-7	10.597161	2.167005	-0.003747	0	-0.004422	-0.212787	0.072172	1.810421E+9
-8036.69	-6.8	10.597161	2.160894	-0.004169	0	-0.004657	-0.212787	0.072166	1.810422E+9
-7957.2	-6.6	10.597161	2.16576	-0.004632	0	-0.004618	-0.212787	0.072098	1.810423E+9
-7863.34	-6.4	10.597161	2.164376	-0.004383	0	-0.004327	-0.212787	0.072191	1.810424E+9
-7755.56	-6.2	10.597161	2.165211	-0.004128	0	-0.00456	-0.212787	0.072253	1.810425E+9
-7634.28	-6	10.597161	2.167849	-0.00454	0	-0.004431	-0.212787	0.07223	1.810426E+9
-7499.94	-5.8	10.597161	2.169305	-0.004289	0	-0.004266	-0.212787	0.072232	1.810427E+9
-7352.98	-5.6	10.597161	2.165728	-0.004108	0	-0.004685	-0.212787	0.072168	1.810428E+9
-7193.84	-5.4	10.597161	2.169955	-0.00471	0	-0.004868	-0.212787	0.072233	1.810429E+9
-7022.95	-5.2	10.597161	2.16346	-0.004614	0	-0.004947	-0.212787	0.072188	1.81043E+9
-6840.75	-5	10.597161	2.17348	-0.00516	0	-0.004338	-0.212787	0.072128	1.810431E+9
-6647.68	-4.8	10.597161	2.16874	-0.004475	0	-0.004596	-0.212787	0.072013	1.810432E+9
-6444.17	-4.6	10.597161	2.163051	-0.004476	0	-0.005024	-0.212787	0.072238	1.810433E+9
-6230.67	-4.4	10.597161	2.167408	-0.004883	0	-0.004651	-0.212787	0.072169	1.810434E+9
-6007.6	-4.2	10.597161	2.165166	-0.004584	0	-0.004741	-0.212787	0.072178	1.810435E+9
-5775.41	-4	10.597161	2.164441	-0.004679	0	-0.004689	-0.212787	0.072147	1.810436E+9
-5534.53	-3.8	10.597161	2.16603	-0.004833	0	-0.004698	-0.212787	0.072122	1.810437E+9
-5285.39	-3.6	10.597161	2.170107	-0.00447	0	-0.004698	-0.212787	0.072089	1.810438E+9
-5028.44	-3.4	10.597161	2.172213	-0.004486	0	-0.004479	-0.212787	0.072072	1.810439E+9
-4764.12	-3.2	10.597161	2.163831	-0.004695	0	-0.004584	-0.212787	0.072025	1.81044E+9
-4492.85	-3	10.597161	2.161186	-0.004855	0	-0.004957	-0.212787	0.072085	1.810441E+9
-4215.08	-2.8	10.597161	2.163944	-0.004539	0	-0.004375	-0.212787	0.072222	1.810442E+9
-3931.24	-2.6	10.597161	2.165803	-0.004923	0	-0.004586	-0.212787	0.072079	1.810443E+9
-3641.77	-2.4	10.597161	2.162515	-0.00485	0	-0.004573	-0.212787	0.072089	1.810444E+9
-3347.11	-2.2	10.597161	2.161092	-0.004654	0	-0.00453	-0.212787	0.072064	1.810445E+9
-3047.69	-2	10.597161	2.148642	-0.004438	0	-0.0047	-0.212787	0.072132	1.810446E+9
-2743.95	-1.8	10.597161	2.14465	-0.004605	0	-0.004281	-0.212787	0.072022	1.810447E+9
-2436.33	-1.6	10.597161	2.129101	-0.004561	0	-0.004508	-0.212787	0.07205	1.810448E+9
-2125.26	-1.4	10.597161	2.10849	-0.004259	0	-0.004305	-0.212787	0.072133	1.810449E+9
-1811.18	-1.2	10.597161	2.00997	-0.003868	0	-0.003954	-0.212787	0.072179	1.81045E+9
-1494.53	-1	10.597161	1.836686	-0.003152	0	-0.0035	-0.212787	0.072224	1.810451E+9
-1175.74	-0.8	10.335982	1.642199	-0.002651	0	-0.002178	-0.212787	0.07212	1.810452E+9
-855.25	-0.6	9.061881	1.442992	-0.001433	0	-0.001688	-0.212787	0.072047	1.810453E+9
-533.51	-0.4	7.804066	1.242476	-0.000682	0	-0.001165	-0.212787	0.072047	1.810454E+9
-210.93	-0.2	6.59382	1.039394	8.2E-5	0	-0.000345	-0.212787	0.072127	1.810455E+9
112.03	0	5.431393	0.855645	0.000227	0	0.000824	-0.212787	0.071948	1.810456E+9
434.94	0.2	4.289694	0.675375	0.00143	0	0.001118	-0.212787	0.072112	1.810457E+9
757.37	0.4	3.166043	0.486295	0.00209	0	0.00164	-0.212787	0.07197	1.810458E+9
1078.87	0.6	2.063153	0.305649	0.002301	0	0.00226	-0.212787	0.071967	1.810459E+9
1399.02	0.8	0.956507	0.122179	0.002843	0	0.003257	-0.212787	0.072111	1.81046E+9
1717.37	1	-0.132819	-0.061859	0.004302	0	0.004181	-0.212787	0.071921	1.810461E+9
2033.48	1.2	-1.224354	-0.238665	0.004497	0	0.004493	-0.212787	0.071923	1.810462E+9
2346.93	1.4	-2.316068	-0.419477	0.005274	0	0.004931	-0.212787	0.071961	1.810463E+9
2657.27	1.6	-3.41891	-0.59806	0.00578	0	0.005194	-0.212787	0.072011	1.810464E+9
2964.07	1.8	-4.523785	-0.789206	0.00621	0	0.006395	-0.212787	0.071908	1.810465E+9
3266.89	2	-5.610037	-0.960496	0.007434	0	0.006641	-0.212787	0.071924	1.810466E+9
3565.29	2.2	-6.524961	-1.104645	0.007681	0	0.007315	-0.212787	0.072006	1.810467E+9
3858.83	2.4	-7.178789	-1.214513	0.008238	0	0.007808	-0.212787	0.071915	1.810468E+9
4147.09	2.6	-7.718457	-1.313777	0.0086	0	0.009303	-0.212787	0.072026	1.810469E+9
4429.62	2.8	-8.176116	-1.389903	0.009084	0	0.009576	-0.212787	0.071798	1.81047E+9
4705.98	3	-8.577918	-1.461344	0.010449	0	0.010574	-0.212787	0.071816	1.810471E+9
4975.74	3.2	-8.919064	-1.507922	0.010643	0	0.010483	-0.212787	0.071953	1.810472E+9
5238.46	3.4	-9.173966	-1.535576	0.011231	0	0.011133	-0.212787	0.071909	1.810473E+9
5493.71	3.6	-9.332105	-1.545888	0.011822	0	0.01089	-0.212787	0.071914	1.810474E+9
5741.05	3.8	-9.40666	-1.543032	0.011444	0	0.011225	-0.212787	0.071868	1.810475E+9
5980.04	4	-9.433797	-1.534624	0.012166	0	0.011453	-0.212787	0.071841	1.810476E+9
6210.24	4.2	-9.445776	-1.527392	0.011552	0	0.011419	-0.212787	0.071912	1.810477E+9
6431.22	4.4	-9.44997	-1.523309	0.011495	0	0.011825	-0.212787	0.071844	1.810478E+9
6642.54	4.6	-9.454681	-1.519787	0.012176	0	0.011371	-0.212787	0.071839	1.810479E+9
6843.76	4.8	-9.45318	-1.523	0.012023	0	0.011551	-0.212787	0.071844	1.81048E+9
7034.46	5	-9.451088	-1.516298	0.011867	0	0.011545	-0.212787	0.071943	1.810481E+9
7214.18	5.2	-9.449243	-1.51993	0.010962	0	0.011472	-0.212787	0.07183	1.810482E+9
7382.49	5.4	-9.444256	-1.519813	0.011857	0	0.011884	-0.212787	0.071868	1.810483E+9
7538.96	5.6	-9.445519	-1.523887	0.011821	0	0.011242	-0.212787	0.071979	1.810484E+9
7683.15	5.8	-9.451455	-1.525761	0.011426	0	0.010982	-0.212787	0.0718	1.810485E+9
7814.63	6	-9.447368	-1.526356	0.010756	0	0.011621	-0.212787	0.07189	1.810486E+9
7932.95	6.2	-9.445604	-1.525196	0.011465	0	0.011676	-0.212787	0.071798	1.810487E+9
8037.67	6.4	-9.444795	-1.527681	0.011165	0	0.011927	-0.212787	0.071945	1.810488E+9
8128.37	6.6	-9.443723	-1.526093	0.010758	0	0.011785	-0.212787	0.071856	1.810489E+9
8204.61	6.8	-9.446127	-1.525596	0.011189	0	0.011433	-0.212787	0.071975	1.81049E+9
8265.94	7	-9.446046	-1.520904	0.010961	0	0.011512	-0.212787	0.071931	1.810491E+9
