19/05/2022	17:23

Si\Pt3\(Co88Tb12)75\Pt3-20220426_APRD1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	5.163446	-0.113472	0.044437	0	0.044863	-0.212787	0.07473	2.957919E+9
8204.61	6.8	5.161344	-0.113547	0.044964	0	0.044617	-0.212787	0.074758	2.95792E+9
8128.37	6.6	5.162516	-0.125688	0.044343	0	0.044278	-0.212787	0.07488	2.957921E+9
8037.67	6.4	5.161974	-0.119564	0.044595	0	0.045513	-0.212787	0.074593	2.957922E+9
7932.95	6.2	5.1702	-0.118644	0.044185	0	0.045463	-0.212787	0.074723	2.957923E+9
7814.63	6	5.16968	-0.123492	0.045258	0	0.044647	-0.212787	0.074665	2.957924E+9
7683.15	5.8	5.167078	-0.116991	0.044937	0	0.045561	-0.212787	0.074631	2.957925E+9
7538.96	5.6	5.169358	-0.123216	0.044897	0	0.044208	-0.212787	0.07478	2.957926E+9
7382.49	5.4	5.180174	-0.122699	0.04391	0	0.045003	-0.212787	0.074732	2.957927E+9
7214.18	5.2	5.174332	-0.11702	0.045353	0	0.044017	-0.212787	0.074866	2.957928E+9
7034.46	5	5.173689	-0.115042	0.044198	0	0.044875	-0.212787	0.074898	2.957929E+9
6843.76	4.8	5.177126	-0.116806	0.044814	0	0.045732	-0.212787	0.074658	2.95793E+9
6642.54	4.6	5.176938	-0.117014	0.043963	0	0.045729	-0.212787	0.0749	2.957931E+9
6431.22	4.4	5.17774	-0.123102	0.045265	0	0.045632	-0.212787	0.074772	2.957932E+9
6210.24	4.2	5.176126	-0.116965	0.044931	0	0.046192	-0.212787	0.074806	2.957933E+9
5980.04	4	5.179355	-0.118635	0.045956	0	0.044968	-0.212787	0.074659	2.957934E+9
5741.05	3.8	5.184647	-0.120422	0.046165	0	0.044734	-0.212787	0.074853	2.957935E+9
5493.71	3.6	5.179173	-0.118784	0.045531	0	0.045202	-0.212787	0.074893	2.957936E+9
5238.46	3.4	5.184836	-0.121396	0.045975	0	0.045619	-0.212787	0.07465	2.957937E+9
4975.74	3.2	5.188868	-0.120597	0.045525	0	0.044699	-0.212787	0.074743	2.957938E+9
4705.98	3	5.188582	-0.119989	0.04441	0	0.044397	-0.212787	0.074606	2.957939E+9
4429.62	2.8	5.190008	-0.125847	0.04594	0	0.045481	-0.212787	0.074628	2.95794E+9
4147.09	2.6	5.183211	-0.122078	0.044888	0	0.045012	-0.212787	0.074739	2.957941E+9
3858.83	2.4	5.182139	-0.116055	0.044952	0	0.045086	-0.212787	0.074487	2.957942E+9
3565.29	2.2	5.186928	-0.122991	0.043818	0	0.045405	-0.212787	0.074631	2.957943E+9
3266.89	2	5.189202	-0.1151	0.045004	0	0.044922	-0.212787	0.074907	2.957944E+9
2964.07	1.8	5.187747	-0.122215	0.045117	0	0.045718	-0.212787	0.074855	2.957945E+9
2657.27	1.6	5.19095	-0.113924	0.044289	0	0.044692	-0.212787	0.074741	2.957946E+9
2346.93	1.4	5.189085	-0.120503	0.044884	0	0.044536	-0.212787	0.074868	2.957947E+9
2033.48	1.2	5.186779	-0.116019	0.045206	0	0.045558	-0.212787	0.07492	2.957948E+9
1717.37	1	5.185102	-0.119837	0.044867	0	0.045011	-0.212787	0.074786	2.957949E+9
1399.02	0.8	5.187227	-0.119103	0.044799	0	0.046031	-0.212787	0.074652	2.95795E+9
