20/05/2022	14:55

CoTb

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8342.16	7.4	4.348472	-0.215745	0.003086	0	0.002971	0.21298	0.061915	3.035445E+9
8311.94	7.2	4.351168	-0.218672	0.003002	0	0.003363	0.21298	0.061886	3.035446E+9
8265.94	7	4.351753	-0.21809	0.003159	0	0.003614	0.21298	0.061951	3.035447E+9
8204.61	6.8	4.351402	-0.220829	0.003746	0	0.003308	0.21298	0.06184	3.035448E+9
8128.37	6.6	4.354921	-0.216638	0.003105	0	0.003029	0.21298	0.061891	3.035449E+9
8037.67	6.4	4.353426	-0.214637	0.002962	0	0.003456	0.21298	0.061876	3.03545E+9
7932.95	6.2	4.353079	-0.218129	0.003224	0	0.003926	-0.036893	0.061829	3.035451E+9
7814.63	6	4.353459	-0.216826	0.003091	0	0.003484	-0.212787	0.061843	3.035452E+9
7683.15	5.8	4.355574	-0.216645	0.002684	0	0.003142	-0.212787	0.061929	3.035453E+9
7538.96	5.6	4.356158	-0.217996	0.003027	0	0.003257	-0.212787	0.061923	3.035454E+9
7382.49	5.4	4.356639	-0.215472	0.003049	0	0.003365	-0.212787	0.061846	3.035455E+9
7214.18	5.2	4.359255	-0.217587	0.002663	0	0.003442	-0.212787	0.061881	3.035456E+9
7034.46	5	4.359778	-0.215296	0.002979	0	0.002839	-0.212787	0.061929	3.035457E+9
6843.76	4.8	4.359758	-0.216586	0.003403	0	0.003371	-0.212787	0.062013	3.035458E+9
6642.54	4.6	4.358598	-0.217145	0.003567	0	0.003475	-0.212787	0.061852	3.035459E+9
6431.22	4.4	4.360814	-0.21451	0.004421	0	0.003076	-0.212787	0.061975	3.03546E+9
6210.24	4.2	4.358637	-0.216177	0.003156	0	0.003284	-0.212787	0.061901	3.035461E+9
5980.04	4	4.360853	-0.218818	0.003501	0	0.003639	-0.212787	0.061921	3.035462E+9
5741.05	3.8	4.360814	-0.215758	0.004179	0	0.003155	-0.212787	0.061997	3.035463E+9
5493.71	3.6	4.365005	-0.217509	0.003531	0	0.002629	-0.212787	0.061968	3.035464E+9
5238.46	3.4	4.36186	-0.219763	0.003707	0	0.00306	-0.212787	0.061963	3.035465E+9
4975.74	3.2	4.364115	-0.217531	0.003419	0	0.003711	-0.212787	0.061932	3.035466E+9
4705.98	3	4.366412	-0.219731	0.003644	0	0.002864	-0.212787	0.061945	3.035467E+9
4429.62	2.8	4.364882	-0.218074	0.003628	0	0.002688	-0.212787	0.061897	3.035468E+9
4147.09	2.6	4.366581	-0.218116	0.00296	0	0.002468	-0.212787	0.061936	3.035469E+9
3858.83	2.4	4.365102	-0.21797	0.002886	0	0.003097	-0.212787	0.061917	3.03547E+9
3565.29	2.2	4.366577	-0.216537	0.00287	0	0.003204	-0.212787	0.06187	3.035471E+9
3266.89	2	4.365684	-0.217054	0.003209	0	0.002945	-0.212787	0.06184	3.035472E+9
2964.07	1.8	4.362338	-0.216164	0.003353	0	0.003526	-0.212787	0.061917	3.035473E+9
2657.27	1.6	4.366379	-0.215348	0.002927	0	0.002878	-0.212787	0.062018	3.035474E+9
2346.93	1.4	4.368621	-0.218272	0.003487	0	0.003521	-0.212787	0.061941	3.035475E+9
2033.48	1.2	4.367835	-0.218376	0.003656	0	0.003486	-0.212787	0.06188	3.035476E+9
1717.37	1	4.36674	-0.2176	0.002983	0	0.002902	-0.212787	0.0619	3.035477E+9
1399.02	0.8	4.365119	-0.215845	0.003375	0	0.003262	-0.212787	0.061959	3.035478E+9
1078.87	0.6	4.362042	-0.218584	0.003672	0	0.003521	-0.212787	0.061921	3.035479E+9
757.37	0.4	4.350405	-0.214958	0.003804	0	0.002946	-0.212787	0.061961	3.03548E+9
434.94	0.2	4.326766	-0.216329	0.003445	0	0.003177	-0.212787	0.061898	3.035481E+9
112.03	0	4.261173	-0.211554	0.002932	0	0.003114	-0.212787	0.062039	3.035482E+9
-210.93	-0.2	4.107071	-0.203662	0.003331	0	0.003404	-0.212787	0.061776	3.035483E+9
-533.51	-0.4	3.823421	-0.189251	0.002833	0	0.002454	-0.212787	0.061839	3.035484E+9
-855.25	-0.6	3.424512	-0.165223	0.001669	0	0.001764	-0.212787	0.061828	3.035485E+9
-1175.74	-0.8	2.973677	-0.140632	0.000717	0	0.001371	-0.212787	0.061914	3.035486E+9
-1494.53	-1	2.514864	-0.117946	0.001034	0	0.000618	-0.212787	0.061892	3.035487E+9
-1811.18	-1.2	2.090827	-0.093476	0.000139	0	0.000335	-0.212787	0.061842	3.035488E+9
-2125.26	-1.4	1.695249	-0.070988	-0.001003	0	-0.00052	-0.212787	0.06185	3.035489E+9
-2436.33	-1.6	1.329788	-0.049812	-0.001391	0	-0.000598	-0.212787	0.061925	3.03549E+9
-2743.95	-1.8	0.986545	-0.031625	-0.000661	0	-0.001119	-0.212787	0.061922	3.035491E+9
-3047.69	-2	0.657016	-0.015573	-0.002008	0	-0.001188	-0.212787	0.061947	3.035492E+9
-3347.11	-2.2	0.329739	0.004979	-0.002451	0	-0.0023	-0.212787	0.061965	3.035493E+9
-3641.77	-2.4	0.009267	0.023374	-0.002855	0	-0.002321	-0.212787	0.062017	3.035494E+9
-3931.24	-2.6	-0.314053	0.041356	-0.002625	0	-0.002336	-0.212787	0.061924	3.035495E+9
-4215.08	-2.8	-0.632276	0.058366	-0.003276	0	-0.002742	-0.212787	0.061937	3.035496E+9
-4492.85	-3	-0.944652	0.077664	-0.004393	0	-0.003868	-0.212787	0.061907	3.035497E+9
-4764.12	-3.2	-1.23845	0.09231	-0.003033	0	-0.003181	-0.212787	0.062087	3.035498E+9
-5028.44	-3.4	-1.502325	0.104805	-0.004035	0	-0.003788	-0.212787	0.061993	3.035499E+9
-5285.39	-3.6	-1.745588	0.119515	-0.004333	0	-0.004194	-0.212787	0.06207	3.0355E+9
-5534.53	-3.8	-1.934353	0.128352	-0.005113	0	-0.004613	-0.212787	0.061992	3.035501E+9
-5775.41	-4	-2.077262	0.136874	-0.004951	0	-0.004535	-0.212787	0.062162	3.035502E+9
-6007.6	-4.2	-2.195401	0.142029	-0.004506	0	-0.004272	-0.212787	0.062063	3.035503E+9
-6230.67	-4.4	-2.306006	0.151188	-0.004971	0	-0.004706	-0.212787	0.062092	3.035504E+9
-6444.17	-4.6	-2.414117	0.155531	-0.004966	0	-0.005021	-0.212787	0.062165	3.035505E+9
-6647.68	-4.8	-2.523637	0.163439	-0.004785	0	-0.00504	-0.212787	0.062164	3.035506E+9
-6840.75	-5	-2.631819	0.167766	-0.004699	0	-0.004993	-0.212787	0.06205	3.035507E+9
-7022.95	-5.2	-2.736375	0.174089	-0.00543	0	-0.005303	-0.212787	0.062108	3.035508E+9
-7193.84	-5.4	-2.838232	0.180521	-0.005451	0	-0.004942	-0.212787	0.062169	3.035509E+9
-7352.98	-5.6	-2.935521	0.183984	-0.005357	0	-0.00545	-0.212787	0.062148	3.03551E+9
-7499.94	-5.8	-3.026832	0.189274	-0.005573	0	-0.00515	-0.212787	0.062124	3.035511E+9
-7634.28	-6	-3.111742	0.19414	-0.005452	0	-0.00576	-0.212787	0.062198	3.035512E+9
-7755.56	-6.2	-3.188135	0.200933	-0.006054	0	-0.005782	-0.212787	0.062053	3.035513E+9
-7863.34	-6.4	-3.257656	0.201898	-0.005612	0	-0.005305	-0.212787	0.062021	3.035514E+9
-7957.2	-6.6	-3.322567	0.204871	-0.005322	0	-0.005761	-0.212787	0.062129	3.035515E+9
-8036.69	-6.8	-3.374411	0.207233	-0.005794	0	-0.005999	-0.212787	0.062124	3.035516E+9
-8101.38	-7	-3.419622	0.210605	-0.006326	0	-0.005882	-0.212787	0.062154	3.035517E+9
-8150.82	-7.2	-3.457425	0.213493	-0.00622	0	-0.005815	-0.212787	0.062103	3.035518E+9
-8184.58	-7.4	-3.483711	0.215134	-0.005503	0	-0.005565	-0.212787	0.06197	3.035519E+9
-8150.82	-7.2	-3.489228	0.215257	-0.005071	0	-0.00612	-0.212787	0.062239	3.03552E+9
-8101.38	-7	-3.49183	0.215612	-0.00569	0	-0.005601	-0.212787	0.062019	3.035521E+9
-8036.69	-6.8	-3.489029	0.214371	-0.006132	0	-0.005659	-0.212787	0.062125	3.035522E+9
-7957.2	-6.6	-3.491401	0.213834	-0.005377	0	-0.005815	-0.212787	0.062081	3.035523E+9
-7863.34	-6.4	-3.491177	0.214757	-0.005398	0	-0.006207	-0.212787	0.062112	3.035524E+9
-7755.56	-6.2	-3.49168	0.213019	-0.006281	0	-0.005351	-0.212787	0.062072	3.035525E+9
-7634.28	-6	-3.494552	0.2149	-0.005521	0	-0.005564	-0.212787	0.062133	3.035526E+9
-7499.94	-5.8	-3.494887	0.213013	-0.006264	0	-0.005783	-0.212787	0.062117	3.035527E+9
-7352.98	-5.6	-3.496976	0.213552	-0.005394	0	-0.006268	-0.212787	0.062115	3.035528E+9
-7193.84	-5.4	-3.495368	0.213103	-0.006336	0	-0.00563	-0.212787	0.06206	3.035529E+9
