19/05/2022	12:01

Si\Pt3\(Co88Tb12)75\Pt3-20220518_APEJ1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	0.68379	0.148033	-0.005629	0	-0.006591	-0.212787	0.039613	2.938558E+9
8204.61	6.8	0.682825	0.143816	-0.008162	0	-0.005784	-0.212787	0.039671	2.938559E+9
8128.37	6.6	0.684615	0.150902	-0.005945	0	-0.006587	-0.212787	0.039717	2.93856E+9
8037.67	6.4	0.70543	0.151454	-0.006058	0	-0.006587	-0.212787	0.03961	2.938561E+9
7932.95	6.2	0.686486	0.153595	-0.00743	0	-0.007703	-0.212787	0.039697	2.938562E+9
7814.63	6	0.689595	0.142657	-0.005196	0	-0.005376	-0.212787	0.039768	2.938563E+9
7683.15	5.8	0.690888	0.140886	-0.006566	0	-0.006831	-0.212787	0.039618	2.938564E+9
7538.96	5.6	0.684186	0.147072	-0.006329	0	-0.005938	-0.212787	0.039636	2.938565E+9
7382.49	5.4	0.688322	0.147208	-0.006902	0	-0.006089	-0.212787	0.039587	2.938566E+9
7214.18	5.2	0.698819	0.151929	-0.005846	0	-0.007115	-0.212787	0.039736	2.938567E+9
7034.46	5	0.694092	0.149706	-0.006581	0	-0.005827	-0.212787	0.03971	2.938568E+9
6843.76	4.8	0.671652	0.149268	-0.006921	0	-0.004888	-0.212787	0.039692	2.938569E+9
6642.54	4.6	0.669924	0.147127	-0.005272	0	-0.004956	-0.212787	0.039662	2.93857E+9
6431.22	4.4	0.643241	0.149697	-0.00651	0	-0.006982	-0.212787	0.039707	2.938571E+9
6210.24	4.2	0.656311	0.14714	-0.005406	0	-0.007192	-0.212787	0.039762	2.938572E+9
5980.04	4	0.627001	0.149232	-0.004223	0	-0.005676	-0.212787	0.039738	2.938573E+9
5741.05	3.8	0.598606	0.143355	-0.006043	0	-0.007438	-0.212787	0.039639	2.938574E+9
5493.71	3.6	0.582843	0.136256	-0.006588	0	-0.005266	-0.212787	0.039758	2.938575E+9
5238.46	3.4	0.575793	0.143196	-0.00608	0	-0.00705	-0.212787	0.039694	2.938576E+9
4975.74	3.2	0.569032	0.141597	-0.004425	0	-0.008516	-0.212787	0.039736	2.938577E+9
4705.98	3	0.556057	0.142114	-0.006487	0	-0.007414	-0.212787	0.039672	2.938578E+9
4429.62	2.8	0.541957	0.153348	-0.006249	0	-0.004366	-0.212787	0.039749	2.938579E+9
4147.09	2.6	0.527262	0.146672	-0.005563	0	-0.007032	-0.212787	0.039654	2.93858E+9
3858.83	2.4	0.496223	0.131393	-0.006472	0	-0.005418	-0.212787	0.039646	2.938581E+9
3565.29	2.2	0.476932	0.139255	-0.005147	0	-0.006176	-0.212787	0.039788	2.938582E+9
3266.89	2	0.468667	0.133609	-0.005131	0	-0.006875	-0.212787	0.039807	2.938583E+9
2964.07	1.8	0.438275	0.136331	-0.006625	0	-0.007007	-0.212787	0.039674	2.938584E+9
2657.27	1.6	0.411306	0.144573	-0.006821	0	-0.006115	-0.212787	0.039732	2.938585E+9
2346.93	1.4	0.403369	0.145415	-0.005719	0	-0.006372	-0.212787	0.039713	2.938586E+9
2033.48	1.2	0.364887	0.139791	-0.006075	0	-0.007389	-0.212787	0.039659	2.938587E+9
1717.37	1	0.336447	0.13059	-0.006638	0	-0.00635	-0.212787	0.0398	2.938588E+9
1399.02	0.8	0.30175	0.139863	-0.005779	0	-0.006416	-0.212787	0.039772	2.938589E+9
1078.87	0.6	0.287722	0.14622	-0.005681	0	-0.007369	-0.212787	0.039748	2.93859E+9
757.37	0.4	0.24861	0.143998	-0.006434	0	-0.006347	-0.212787	0.039677	2.938591E+9
434.94	0.2	0.217779	0.148371	-0.005857	0	-0.007248	-0.212787	0.039748	2.938592E+9
112.03	0	0.192496	0.146123	-0.005286	0	-0.006573	-0.212787	0.039787	2.938593E+9
-210.93	-0.2	0.157429	0.144372	-0.007627	0	-0.007881	-0.212787	0.039752	2.938594E+9
-533.51	-0.4	0.119174	0.145717	-0.00577	0	-0.004217	-0.212787	0.039772	2.938595E+9
-855.25	-0.6	0.095221	0.144911	-0.005534	0	-0.007987	-0.212787	0.039643	2.938596E+9
-1175.74	-0.8	0.067918	0.146692	-0.005841	0	-0.006078	-0.212787	0.039771	2.938597E+9
-1494.53	-1	0.041421	0.141763	-0.00714	0	-0.006946	-0.212787	0.039696	2.938598E+9
-1811.18	-1.2	0.011382	0.147965	-0.006986	0	-0.00735	-0.212787	0.039715	2.938599E+9
-2125.26	-1.4	0.004342	0.151406	-0.007488	0	-0.006436	-0.212787	0.03965	2.9386E+9
-2436.33	-1.6	-0.013435	0.132355	-0.006852	0	-0.006852	-0.212787	0.039704	2.938601E+9
-2743.95	-1.8	-0.015622	0.138388	-0.005431	0	-0.006477	-0.212787	0.039688	2.938602E+9
-3047.69	-2	-0.03668	0.130967	-0.007384	0	-0.007285	-0.212787	0.039584	2.938603E+9
-3347.11	-2.2	-0.049172	0.152426	-0.007009	0	-0.006485	-0.212787	0.039685	2.938604E+9
-3641.77	-2.4	-0.059019	0.141542	-0.006227	0	-0.007117	-0.212787	0.039624	2.938605E+9
-3931.24	-2.6	-0.053217	0.135395	-0.006492	0	-0.008204	-0.212787	0.039709	2.938606E+9
-4215.08	-2.8	-0.056378	0.147192	-0.00631	0	-0.00568	-0.212787	0.039625	2.938607E+9
-4492.85	-3	-0.032691	0.137556	-0.007522	0	-0.008386	-0.212787	0.039616	2.938608E+9
-4764.12	-3.2	-0.014023	0.143755	-0.007062	0	-0.008021	-0.212787	0.039723	2.938609E+9
-5028.44	-3.4	0.005106	0.144502	-0.007408	0	-0.006367	-0.212787	0.039651	2.93861E+9
-5285.39	-3.6	0.012542	0.150798	-0.005969	0	-0.007564	-0.212787	0.039654	2.938611E+9
-5534.53	-3.8	0.046739	0.147549	-0.007834	0	-0.005483	-0.212787	0.039587	2.938612E+9
-5775.41	-4	0.055832	0.129232	-0.005904	0	-0.005826	-0.212787	0.039786	2.938613E+9
-6007.6	-4.2	0.063551	0.143212	-0.005297	0	-0.00629	-0.212787	0.039751	2.938614E+9
-6230.67	-4.4	0.07911	0.135165	-0.006854	0	-0.006822	-0.212787	0.039635	2.938615E+9
-6444.17	-4.6	0.074198	0.140694	-0.005948	0	-0.007265	-0.212787	0.039752	2.938616E+9
-6647.68	-4.8	0.064071	0.141597	-0.005944	0	-0.006423	-0.212787	0.039776	2.938617E+9
-6840.75	-5	0.07411	0.136253	-0.006245	0	-0.007076	-0.212787	0.039686	2.938618E+9
-7022.95	-5.2	0.059036	0.144541	-0.006701	0	-0.00627	-0.212787	0.039779	2.938619E+9
-7193.84	-5.4	0.064451	0.135779	-0.005742	0	-0.006404	-0.212787	0.039692	2.93862E+9
-7352.98	-5.6	0.051485	0.144424	-0.005896	0	-0.007113	-0.212787	0.039639	2.938621E+9
-7499.94	-5.8	0.039728	0.128745	-0.005846	0	-0.006561	-0.212787	0.039645	2.938622E+9
-7634.28	-6	0.038022	0.131909	-0.007695	0	-0.006171	-0.212787	0.039623	2.938623E+9
-7755.56	-6.2	0.019966	0.132748	-0.005859	0	-0.006409	-0.212787	0.03978	2.938624E+9
-7863.34	-6.4	0.013422	0.130971	-0.005949	0	-0.006242	-0.212787	0.039724	2.938625E+9
-7957.2	-6.6	0.003406	0.139651	-0.005686	0	-0.005749	-0.212787	0.039733	2.938626E+9
-8036.69	-6.8	0.009043	0.137501	-0.005451	0	-0.006796	-0.212787	0.039621	2.938627E+9
-8101.38	-7	0.0021	0.153595	-0.005661	0	-0.005963	-0.212787	0.039699	2.938628E+9
-8036.69	-6.8	0.010297	0.142637	-0.006246	0	-0.007109	-0.212787	0.039579	2.938629E+9
-7957.2	-6.6	0.014222	0.150061	-0.005328	0	-0.006079	-0.212787	0.039729	2.93863E+9
-7863.34	-6.4	0.018283	0.136597	-0.006294	0	-0.006232	-0.212787	0.039644	2.938631E+9
-7755.56	-6.2	0.027867	0.134067	-0.007128	0	-0.004436	-0.212787	0.039624	2.938632E+9
-7634.28	-6	0.033204	0.144365	-0.004984	0	-0.005194	-0.212787	0.039717	2.938633E+9
-7499.94	-5.8	0.0463	0.140155	-0.005894	0	-0.006016	-0.212787	0.039597	2.938634E+9
-7352.98	-5.6	0.041161	0.136162	-0.006044	0	-0.00604	-0.212787	0.039584	2.938635E+9
-7193.84	-5.4	0.043675	0.141841	-0.00592	0	-0.005074	-0.212787	0.039695	2.938636E+9
-7022.95	-5.2	0.074061	0.136809	-0.004939	0	-0.007256	-0.212787	0.039576	2.938637E+9
-6840.75	-5	0.046557	0.145373	-0.006233	0	-0.005721	-0.212787	0.03956	2.938638E+9
-6647.68	-4.8	0.07858	0.148056	-0.006255	0	-0.006101	-0.212787	0.039722	2.938639E+9
-6444.17	-4.6	0.078509	0.150626	-0.005455	0	-0.00608	-0.212787	0.039706	2.93864E+9
-6230.67	-4.4	0.088242	0.138651	-0.006214	0	-0.006255	-0.212787	0.039693	2.938641E+9
-6007.6	-4.2	0.093375	0.139694	-0.00567	0	-0.005168	-0.212787	0.039571	2.938642E+9
-5775.41	-4	0.110529	0.14638	-0.005373	0	-0.006605	-0.212787	0.039749	2.938643E+9
-5534.53	-3.8	0.120558	0.152188	-0.006897	0	-0.006795	-0.212787	0.039602	2.938644E+9
-5285.39	-3.6	0.144375	0.147985	-0.006319	0	-0.005438	-0.212787	0.03973	2.938645E+9
-5028.44	-3.4	0.143407	0.146302	-0.004863	0	-0.006247	-0.212787	0.03969	2.938646E+9
-4764.12	-3.2	0.164586	0.141055	-0.004986	0	-0.007027	-0.212787	0.039622	2.938647E+9
-4492.85	-3	0.199605	0.137527	-0.006073	0	-0.005137	-0.212787	0.03965	2.938648E+9
-4215.08	-2.8	0.203347	0.149265	-0.004594	0	-0.005019	-0.212787	0.039788	2.938649E+9
-3931.24	-2.6	0.22273	0.139125	-0.00424	0	-0.005958	-0.212787	0.039701	2.93865E+9
-3641.77	-2.4	0.247564	0.14702	-0.005914	0	-0.006017	-0.212787	0.039617	2.938651E+9
-3347.11	-2.2	0.268229	0.141409	-0.005391	0	-0.005616	-0.212787	0.039595	2.938652E+9
-3047.69	-2	0.294073	0.141341	-0.00483	0	-0.005906	-0.212787	0.039766	2.938653E+9
-2743.95	-1.8	0.309999	0.143956	-0.004293	0	-0.006107	-0.212787	0.039621	2.938654E+9
-2436.33	-1.6	0.322504	0.143446	-0.005612	0	-0.005546	-0.212787	0.03974	2.938655E+9
-2125.26	-1.4	0.345622	0.137686	-0.004981	0	-0.005204	-0.212787	0.039633	2.938656E+9
-1811.18	-1.2	0.368952	0.144668	-0.005053	0	-0.005499	-0.212787	0.03959	2.938657E+9
-1494.53	-1	0.38604	0.153004	-0.005861	0	-0.005398	-0.212787	0.039644	2.938658E+9
-1175.74	-0.8	0.419961	0.151341	-0.004957	0	-0.00423	-0.212787	0.039639	2.938659E+9
