05/05/2022	17:27

Co88Tb12_20210519_CVEJ4

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-3.319991	-0.873136	-0.002908	0	-0.005568	-0.212787	0.039271	1.748541E+9
8204.61	6.8	-3.309776	-0.851717	-0.003836	0	-0.005632	-0.212787	0.039516	1.748542E+9
8128.37	6.6	-3.301118	-0.854806	-0.005573	0	-0.006553	-0.212787	0.039416	1.748543E+9
8037.67	6.4	-3.276109	-0.849455	-0.004021	0	-0.005499	-0.212787	0.039461	1.748544E+9
7932.95	6.2	-3.261155	-0.839001	-0.004647	0	-0.003371	-0.212787	0.039351	1.748545E+9
7814.63	6	-3.262055	-0.8421	-0.004426	0	-0.005211	-0.212787	0.039368	1.748546E+9
7683.15	5.8	-3.262162	-0.849046	-0.004922	0	-0.006526	-0.212787	0.039163	1.748547E+9
7538.96	5.6	-3.278731	-0.848653	-0.00555	0	-0.005157	-0.212787	0.039227	1.748548E+9
7382.49	5.4	-3.285787	-0.846389	-0.00377	0	-0.004528	-0.212787	0.039304	1.748549E+9
7214.18	5.2	-3.275797	-0.843793	-0.003167	0	-0.004646	-0.212787	0.039378	1.74855E+9
7034.46	5	-3.264865	-0.839491	-0.006205	0	-0.004311	-0.212787	0.039196	1.748551E+9
6843.76	4.8	-3.24637	-0.853916	-0.004375	0	-0.005113	-0.212787	0.039219	1.748552E+9
6642.54	4.6	-3.228806	-0.846463	-0.004161	0	-0.004451	-0.212787	0.039345	1.748553E+9
6431.22	4.4	-3.229664	-0.845287	-0.002695	0	-0.005336	-0.212787	0.0394	1.748554E+9
6210.24	4.2	-3.227049	-0.838981	-0.004188	0	-0.004252	-0.212787	0.039142	1.748555E+9
5980.04	4	-3.223579	-0.845177	-0.004557	0	-0.004262	-0.212787	0.039251	1.748556E+9
5741.05	3.8	-3.228452	-0.842613	-0.003901	0	-0.003092	-0.212787	0.039413	1.748557E+9
5493.71	3.6	-3.213215	-0.851304	-0.003436	0	-0.004503	-0.212787	0.039469	1.748558E+9
5238.46	3.4	-3.185919	-0.840957	-0.004162	0	-0.004488	-0.212787	0.039448	1.748559E+9
4975.74	3.2	-3.16845	-0.836857	-0.005865	0	-0.005447	-0.212787	0.03943	1.74856E+9
4705.98	3	-3.147544	-0.838588	-0.005607	0	-0.003467	-0.212787	0.0392	1.748561E+9
4429.62	2.8	-3.120823	-0.836902	-0.004414	0	-0.004351	-0.212787	0.039569	1.748562E+9
4147.09	2.6	-3.104572	-0.82416	-0.005079	0	-0.003854	-0.212787	0.039263	1.748563E+9
3858.83	2.4	-3.085424	-0.81186	-0.005448	0	-0.002636	-0.212787	0.039508	1.748564E+9
3565.29	2.2	-3.060528	-0.80495	-0.004905	0	-0.003956	-0.212787	0.039508	1.748565E+9
3266.89	2	-3.028937	-0.805408	-0.002639	0	-0.004238	-0.212787	0.039234	1.748566E+9
2964.07	1.8	-2.986965	-0.797442	-0.004998	0	-0.004777	-0.212787	0.039164	1.748567E+9
2657.27	1.6	-2.971738	-0.791789	-0.004771	0	-0.002965	-0.212787	0.039245	1.748568E+9
2346.93	1.4	-2.931154	-0.786962	-0.003009	0	-0.003932	-0.212787	0.039444	1.748569E+9
2033.48	1.2	-2.894761	-0.776406	-0.003989	0	-0.005021	-0.212787	0.039462	1.74857E+9
1717.37	1	-2.873819	-0.765133	-0.00458	0	-0.004668	-0.212787	0.039404	1.748571E+9
1399.02	0.8	-2.823781	-0.764928	-0.006377	0	-0.002808	-0.212787	0.039439	1.748572E+9
1078.87	0.6	-2.772723	-0.756163	-0.002746	0	-0.002851	-0.212787	0.039344	1.748573E+9
757.37	0.4	-2.71405	-0.743551	-0.00305	0	-0.005396	-0.212787	0.039168	1.748574E+9
434.94	0.2	-2.660941	-0.734701	-0.004544	0	-0.003448	-0.212787	0.039174	1.748575E+9
112.03	0	-2.600046	-0.718119	-0.004433	0	-0.002929	-0.212787	0.039467	1.748576E+9
-210.93	-0.2	-2.523774	-0.704172	-0.004078	0	-0.003069	-0.212787	0.039529	1.748577E+9
-533.51	-0.4	-2.439626	-0.678754	-0.003198	0	-0.004927	-0.212787	0.039263	1.748578E+9
-855.25	-0.6	-2.321581	-0.656253	-0.003995	0	-0.003583	-0.212787	0.039417	1.748579E+9
-1175.74	-0.8	-2.215511	-0.633956	-0.004605	0	-0.003668	-0.212787	0.039332	1.74858E+9
-1494.53	-1	-2.154339	-0.621149	-0.003708	0	-0.00427	-0.212787	0.039207	1.748581E+9
-1811.18	-1.2	-2.128368	-0.614093	-0.003618	0	-0.003647	-0.212787	0.039303	1.748582E+9
-2125.26	-1.4	-2.080527	-0.605155	-0.004062	0	-0.004161	-0.212787	0.03917	1.748583E+9
