05/05/2022	17:55

Co88Tb12_20210531_CVMH1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-6.745807	-1.492809	0.022495	0	0.022312	-0.212787	0.067499	1.750221E+9
8204.61	6.8	-6.744485	-1.492347	0.021591	0	0.022145	-0.212787	0.067482	1.750222E+9
8128.37	6.6	-6.745752	-1.49495	0.021903	0	0.022476	-0.212787	0.067464	1.750223E+9
8037.67	6.4	-6.743556	-1.49315	0.021605	0	0.021428	-0.212787	0.067767	1.750224E+9
7932.95	6.2	-6.744443	-1.489748	0.022261	0	0.022495	-0.212787	0.067444	1.750225E+9
7814.63	6	-6.744751	-1.493199	0.022003	0	0.021125	-0.212787	0.06786	1.750226E+9
7683.15	5.8	-6.738884	-1.493186	0.021724	0	0.021639	-0.212787	0.067248	1.750227E+9
7538.96	5.6	-6.738494	-1.492218	0.021649	0	0.021428	-0.212787	0.067257	1.750228E+9
7382.49	5.4	-6.741769	-1.491974	0.021844	0	0.022033	-0.212787	0.067935	1.750229E+9
7214.18	5.2	-6.735996	-1.4897	0.022152	0	0.02124	-0.212787	0.067806	1.75023E+9
7034.46	5	-6.736736	-1.490674	0.021016	0	0.021846	-0.212787	0.06751	1.750231E+9
6843.76	4.8	-6.733088	-1.488234	0.021455	0	0.021803	-0.212787	0.067272	1.750232E+9
6642.54	4.6	-6.732555	-1.492149	0.022075	0	0.021645	-0.212787	0.067476	1.750233E+9
6431.22	4.4	-6.730846	-1.488715	0.022295	0	0.02139	-0.212787	0.06784	1.750234E+9
6210.24	4.2	-6.726808	-1.48995	0.022049	0	0.021305	-0.212787	0.067357	1.750235E+9
5980.04	4	-6.722149	-1.487426	0.020905	0	0.021385	-0.212787	0.067714	1.750236E+9
5741.05	3.8	-6.717796	-1.489258	0.020772	0	0.021505	-0.212787	0.067196	1.750237E+9
5493.71	3.6	-6.709765	-1.485772	0.02078	0	0.022065	-0.212787	0.067649	1.750238E+9
5238.46	3.4	-6.696685	-1.483319	0.020806	0	0.020933	-0.212787	0.06739	1.750239E+9
4975.74	3.2	-6.669729	-1.478599	0.020163	0	0.020473	-0.212787	0.06745	1.75024E+9
4705.98	3	-6.609379	-1.462205	0.02059	0	0.019818	-0.212787	0.067558	1.750241E+9
4429.62	2.8	-6.469715	-1.432254	0.02006	0	0.020378	-0.212787	0.067141	1.750242E+9
4147.09	2.6	-6.203223	-1.375959	0.018923	0	0.019077	-0.212787	0.066984	1.750243E+9
3858.83	2.4	-5.843449	-1.296987	0.01851	0	0.019022	-0.212787	0.067125	1.750244E+9
3565.29	2.2	-5.447437	-1.211209	0.017935	0	0.018074	-0.212787	0.067072	1.750245E+9
3266.89	2	-5.041006	-1.11907	0.017126	0	0.01773	-0.212787	0.066957	1.750246E+9
2964.07	1.8	-4.619921	-1.030193	0.016357	0	0.016587	-0.212787	0.067417	1.750247E+9
2657.27	1.6	-4.208913	-0.939652	0.016214	0	0.016354	-0.212787	0.067239	1.750248E+9
2346.93	1.4	-3.797822	-0.854078	0.016362	0	0.014741	-0.212787	0.067002	1.750249E+9
2033.48	1.2	-3.394691	-0.763041	0.01452	0	0.014224	-0.212787	0.067154	1.75025E+9
1717.37	1	-2.993554	-0.672903	0.014139	0	0.013606	-0.212787	0.066916	1.750251E+9
1399.02	0.8	-2.594321	-0.587921	0.013817	0	0.013838	-0.212787	0.067481	1.750252E+9
1078.87	0.6	-2.201207	-0.502003	0.013293	0	0.013736	-0.212787	0.067257	1.750253E+9
757.37	0.4	-1.81213	-0.417138	0.012386	0	0.013417	-0.212787	0.066891	1.750254E+9
434.94	0.2	-1.425351	-0.32982	0.011688	0	0.012184	-0.212787	0.06725	1.750255E+9
112.03	0	-1.03735	-0.246105	0.011855	0	0.012184	-0.212787	0.066876	1.750256E+9
-210.93	-0.2	-0.655596	-0.16378	0.011883	0	0.011993	-0.212787	0.067113	1.750257E+9
-533.51	-0.4	-0.273602	-0.07975	0.01169	0	0.011661	-0.212787	0.067326	1.750258E+9
-855.25	-0.6	0.108037	0.004414	0.011369	0	0.010933	-0.212787	0.06742	1.750259E+9
-1175.74	-0.8	0.48828	0.08845	0.009934	0	0.010078	-0.212787	0.06696	1.75026E+9
-1494.53	-1	0.8666	0.172035	0.009447	0	0.00966	-0.212787	0.06698	1.750261E+9
-1811.18	-1.2	1.250741	0.257982	0.00982	0	0.009297	-0.212787	0.067436	1.750262E+9
-2125.26	-1.4	1.625241	0.344219	0.008878	0	0.009976	-0.212787	0.067112	1.750263E+9
-2436.33	-1.6	2.012599	0.42269	0.009548	0	0.008325	-0.212787	0.066905	1.750264E+9
-2743.95	-1.8	2.395552	0.507256	0.007836	0	0.008433	-0.212787	0.067228	1.750265E+9
-3047.69	-2	2.77806	0.592135	0.008128	0	0.00848	-0.212787	0.066948	1.750266E+9
-3347.11	-2.2	3.165877	0.675288	0.00766	0	0.007677	-0.212787	0.067334	1.750267E+9
-3641.77	-2.4	3.552041	0.758785	0.00759	0	0.007674	-0.212787	0.067191	1.750268E+9
-3931.24	-2.6	3.93901	0.844596	0.008009	0	0.006823	-0.212787	0.067518	1.750269E+9
-4215.08	-2.8	4.322735	0.931956	0.00567	0	0.0063	-0.212787	0.066968	1.75027E+9
-4492.85	-3	4.707687	1.01326	0.00615	0	0.006811	-0.212787	0.066932	1.750271E+9
-4764.12	-3.2	5.088999	1.097801	0.005742	0	0.006254	-0.212787	0.067295	1.750272E+9
-5028.44	-3.4	5.46557	1.177975	0.0059	0	0.006284	-0.212787	0.067001	1.750273E+9
-5285.39	-3.6	5.831113	1.257908	0.005558	0	0.005408	-0.212787	0.06766	1.750274E+9
-5534.53	-3.8	6.181357	1.335285	0.005366	0	0.005703	-0.212787	0.067018	1.750275E+9
-5775.41	-4	6.496498	1.403068	0.005448	0	0.004716	-0.212787	0.067693	1.750276E+9
