05/05/2022	13:48

Co88Tb12_20210514_CVMH1

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
5980.04	4	-0.036216	0.027285	0.026616	0	0.026499	-0.212787	0.093504	1.735193E+9
5679.98	3.75	-0.038919	0.028321	0.026353	0	0.026722	-0.212787	0.093552	1.735194E+9
5367.05	3.5	-0.043906	0.03083	0.026437	0	0.026759	-0.212787	0.093524	1.735195E+9
5042.1	3.25	-0.045803	0.032171	0.027263	0	0.026613	-0.212787	0.093512	1.735196E+9
4705.98	3	-0.049802	0.027834	0.02725	0	0.027093	-0.212787	0.093531	1.735197E+9
4359.54	2.75	-0.046076	0.026899	0.027247	0	0.027372	-0.212787	0.093418	1.735198E+9
4003.65	2.5	-0.050293	0.02814	0.027977	0	0.027535	-0.212787	0.093571	1.735199E+9
3639.15	2.25	-0.055069	0.027798	0.027888	0	0.027276	-0.212787	0.093334	1.7352E+9
3266.89	2	-0.054627	0.025605	0.027501	0	0.028489	-0.212787	0.093658	1.735201E+9
2887.73	1.75	-0.054724	0.026177	0.028101	0	0.028039	-0.212787	0.093359	1.735202E+9
2502.52	1.5	-0.057785	0.025034	0.027675	0	0.028031	-0.212787	0.093369	1.735203E+9
2471.46	1.48	-0.055978	0.022285	0.027503	0	0.028245	-0.212787	0.093623	1.735204E+9
2440.38	1.46	-0.056833	0.029744	0.027832	0	0.028522	-0.212787	0.093757	1.735205E+9
2409.26	1.44	-0.0568	0.028588	0.027577	0	0.028345	-0.212787	0.093609	1.735206E+9
2378.11	1.42	-0.05555	0.027249	0.027239	0	0.027375	-0.212787	0.093673	1.735207E+9
2346.93	1.4	-0.0563	0.025391	0.02733	0	0.027417	-0.212787	0.093579	1.735208E+9
2315.72	1.38	-0.051895	0.028529	0.027683	0	0.027523	-0.212787	0.093358	1.735209E+9
2284.48	1.36	-0.056105	0.026759	0.02847	0	0.027491	-0.212787	0.093513	1.73521E+9
2253.2	1.34	-0.055137	0.026736	0.027911	0	0.027203	-0.212787	0.093497	1.735211E+9
2221.9	1.32	-0.055215	0.025748	0.027735	0	0.02691	-0.212787	0.093424	1.735212E+9
2190.57	1.3	-0.055611	0.027223	0.027733	0	0.027619	-0.212787	0.093462	1.735213E+9
2159.21	1.28	-0.054292	0.030229	0.028065	0	0.027232	-0.212787	0.093466	1.735214E+9
2127.82	1.26	-0.05476	0.024875	0.027782	0	0.028055	-0.212787	0.093639	1.735215E+9
2096.4	1.24	-0.055228	0.022688	0.027493	0	0.028048	-0.212787	0.093797	1.735216E+9
2064.96	1.22	-0.055202	0.026652	0.02838	0	0.028306	-0.212787	0.093758	1.735217E+9
2033.48	1.2	-0.051476	0.02439	0.027569	0	0.027452	-0.212787	0.093784	1.735218E+9
2001.99	1.18	-0.05705	0.025336	0.027764	0	0.027712	-0.212787	0.09369	1.735219E+9
1970.46	1.16	-0.054321	0.030625	0.027408	0	0.027931	-0.212787	0.093456	1.73522E+9
1938.91	1.14	-0.056164	0.029049	0.028081	0	0.027359	-0.212787	0.093372	1.735221E+9
1907.33	1.12	-0.053639	0.026294	0.027781	0	0.028338	-0.212787	0.093606	1.735222E+9
1875.73	1.1	-0.058051	0.03044	0.027734	0	0.02747	-0.212787	0.093688	1.735223E+9
1844.11	1.08	-0.054906	0.031421	0.028479	0	0.028399	-0.212787	0.093552	1.735224E+9
1812.46	1.06	-0.056969	0.030618	0.027972	0	0.027313	-0.212787	0.093684	1.735225E+9
1780.78	1.04	-0.055881	0.02979	0.02848	0	0.028825	-0.212787	0.093596	1.735226E+9
1749.09	1.02	-0.052908	0.028484	0.028463	0	0.028285	-0.212787	0.09359	1.735227E+9
1717.37	1	-0.055442	0.026606	0.02868	0	0.028756	-0.212787	0.093502	1.735228E+9
1685.63	0.98	-0.058668	0.025323	0.028912	0	0.027827	-0.212787	0.093859	1.735229E+9
1653.86	0.96	-0.057694	0.027415	0.028748	0	0.027951	-0.212787	0.093576	1.73523E+9
1622.08	0.94	-0.054867	0.027464	0.028724	0	0.028795	-0.212787	0.093639	1.735231E+9
1590.27	0.92	-0.06218	0.02965	0.02896	0	0.028718	-0.212787	0.093534	1.735232E+9
1558.44	0.9	-0.054594	0.029478	0.029307	0	0.030041	-0.212787	0.093699	1.735233E+9
1526.6	0.88	-0.059926	0.028936	0.029031	0	0.028563	-0.212787	0.093806	1.735234E+9
1494.73	0.86	-0.058175	0.029247	0.028447	0	0.028419	-0.212787	0.093678	1.735235E+9
1462.84	0.84	-0.057349	0.027935	0.02851	0	0.028619	-0.212787	0.093343	1.735236E+9
1430.94	0.82	-0.054776	0.03094	0.028999	0	0.028231	-0.212787	0.093556	1.735237E+9
1399.02	0.8	-0.061238	0.029182	0.029748	0	0.029264	-0.212787	0.093543	1.735238E+9
1367.08	0.78	-0.060436	0.030427	0.028979	0	0.028712	-0.212787	0.093591	1.735239E+9
1335.12	0.76	-0.064048	0.02785	0.028259	0	0.028864	-0.212787	0.093716	1.73524E+9
1303.14	0.74	-0.061443	0.02735	0.028565	0	0.028714	-0.212787	0.093464	1.735241E+9
1271.15	0.72	-0.059653	0.026899	0.028058	0	0.028973	-0.212787	0.093328	1.735242E+9
1239.14	0.7	-0.059234	0.029205	0.029351	0	0.029231	-0.212787	0.09339	1.735243E+9
1207.12	0.68	-0.058821	0.030404	0.029163	0	0.028779	-0.212787	0.09332	1.735244E+9
1175.08	0.66	-0.063574	0.028978	0.028506	0	0.028424	-0.212787	0.093315	1.735245E+9
1143.02	0.64	-0.056648	0.02865	0.028809	0	0.028875	-0.212787	0.093618	1.735246E+9
1110.95	0.62	-0.057963	0.030427	0.02826	0	0.028652	-0.212787	0.09336	1.735247E+9
1078.87	0.6	-0.059701	0.026613	0.029094	0	0.029214	-0.212787	0.093609	1.735248E+9
