05/05/2022	18:14

Co88Tb12_20210531_CVEJ6

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-5.920826	-1.295054	0.008937	0	0.008735	-0.212787	0.059054	1.75135E+9
8204.61	6.8	-5.921719	-1.298401	0.009401	0	0.009159	-0.212787	0.059263	1.751351E+9
8128.37	6.6	-5.921713	-1.298878	0.009186	0	0.009348	-0.212787	0.058773	1.751352E+9
8037.67	6.4	-5.923717	-1.297982	0.008556	0	0.008698	-0.212787	0.059148	1.751353E+9
7932.95	6.2	-5.924172	-1.297738	0.009001	0	0.008319	-0.212787	0.058973	1.751354E+9
7814.63	6	-5.926248	-1.298141	0.008947	0	0.008969	-0.212787	0.058649	1.751355E+9
7683.15	5.8	-5.924572	-1.298147	0.009203	0	0.008824	-0.212787	0.059293	1.751356E+9
7538.96	5.6	-5.926147	-1.298635	0.008955	0	0.008809	-0.212787	0.059231	1.751357E+9
7382.49	5.4	-5.926589	-1.299378	0.009022	0	0.008813	-0.212787	0.058951	1.751358E+9
7214.18	5.2	-5.928295	-1.299856	0.0097	0	0.009111	-0.212787	0.058774	1.751359E+9
7034.46	5	-5.930601	-1.299801	0.009556	0	0.009143	-0.212787	0.059114	1.75136E+9
6843.76	4.8	-5.929614	-1.298992	0.009784	0	0.009164	-0.212787	0.058976	1.751361E+9
6642.54	4.6	-5.930858	-1.301581	0.009542	0	0.008967	-0.212787	0.058664	1.751362E+9
6431.22	4.4	-5.932041	-1.299859	0.009902	0	0.008958	-0.212787	0.058678	1.751363E+9
6210.24	4.2	-5.931008	-1.299817	0.009684	0	0.009575	-0.212787	0.059366	1.751364E+9
5980.04	4	-5.931456	-1.30033	0.009019	0	0.009328	-0.212787	0.059015	1.751365E+9
5741.05	3.8	-5.931397	-1.300782	0.009397	0	0.008772	-0.212787	0.058625	1.751366E+9
5493.71	3.6	-5.932548	-1.297618	0.00923	0	0.008724	-0.212787	0.059313	1.751367E+9
5238.46	3.4	-5.933756	-1.29944	0.009151	0	0.008524	-0.212787	0.058943	1.751368E+9
4975.74	3.2	-5.938109	-1.299788	0.008981	0	0.008882	-0.212787	0.058995	1.751369E+9
4705.98	3	-5.942093	-1.30289	0.009129	0	0.009038	-0.212787	0.058948	1.75137E+9
4429.62	2.8	-5.940903	-1.302094	0.00848	0	0.008745	-0.212787	0.059272	1.751371E+9
4147.09	2.6	-5.942807	-1.302004	0.008882	0	0.009258	-0.212787	0.059292	1.751372E+9
3858.83	2.4	-5.904643	-1.291432	0.008657	0	0.008471	-0.212787	0.0593	1.751373E+9
3565.29	2.2	-5.756344	-1.263499	0.007787	0	0.008842	-0.212787	0.058861	1.751374E+9
3266.89	2	-5.505366	-1.206086	0.008189	0	0.008644	-0.212787	0.058546	1.751375E+9
2964.07	1.8	-5.208837	-1.139944	0.008094	0	0.008274	-0.212787	0.059238	1.751376E+9
2657.27	1.6	-4.882717	-1.069659	0.007715	0	0.007482	-0.212787	0.059214	1.751377E+9
2346.93	1.4	-4.543405	-0.996035	0.007072	0	0.007109	-0.212787	0.058845	1.751378E+9
2033.48	1.2	-4.202546	-0.919971	0.006567	0	0.007078	-0.212787	0.05924	1.751379E+9
1717.37	1	-3.851973	-0.845619	0.006787	0	0.006297	-0.212787	0.059226	1.75138E+9
1399.02	0.8	-3.501479	-0.766673	0.005951	0	0.006136	-0.212787	0.059192	1.751381E+9
1078.87	0.6	-3.143853	-0.686918	0.00518	0	0.005459	-0.212787	0.059206	1.751382E+9
757.37	0.4	-2.784055	-0.60971	0.005025	0	0.005636	-0.212787	0.058902	1.751383E+9
434.94	0.2	-2.423977	-0.528679	0.00437	0	0.004764	-0.212787	0.058836	1.751384E+9
112.03	0	-2.065563	-0.45037	0.003665	0	0.004304	-0.212787	0.0587	1.751385E+9
-210.93	-0.2	-1.700573	-0.370534	0.003558	0	0.003936	-0.212787	0.059093	1.751386E+9
-533.51	-0.4	-1.333793	-0.290902	0.003304	0	0.003634	-0.212787	0.059175	1.751387E+9
-855.25	-0.6	-0.96738	-0.210283	0.002694	0	0.003624	-0.212787	0.059155	1.751388E+9
-1175.74	-0.8	-0.598482	-0.12893	0.00264	0	0.002153	-0.212787	0.058828	1.751389E+9
-1494.53	-1	-0.23115	-0.049348	0.001622	0	0.002428	-0.212787	0.059138	1.75139E+9
-1811.18	-1.2	0.139489	0.035332	0.001694	0	0.001775	-0.212787	0.059266	1.751391E+9
-2125.26	-1.4	0.510986	0.117228	0.001884	0	0.001328	-0.212787	0.059092	1.751392E+9
-2436.33	-1.6	0.878383	0.196937	0.000998	0	0.00106	-0.212787	0.058602	1.751393E+9
-2743.95	-1.8	1.251989	0.281	0.000306	0	0.000875	-0.212787	0.058648	1.751394E+9
-3047.69	-2	1.622859	0.361496	0.000431	0	0.000239	-0.212787	0.058864	1.751395E+9
-3347.11	-2.2	1.996397	0.442381	-1E-6	0	-0.00034	-0.212787	0.058975	1.751396E+9
-3641.77	-2.4	2.369753	0.522454	-0.000497	0	-0.000887	-0.212787	0.059364	1.751397E+9
-3931.24	-2.6	2.738935	0.60614	-0.001541	0	-0.001602	-0.212787	0.058849	1.751398E+9
-4215.08	-2.8	3.110192	0.686811	-0.00155	0	-0.001493	-0.212787	0.059388	1.751399E+9
-4492.85	-3	3.475693	0.767631	-0.002005	0	-0.002192	-0.212787	0.059341	1.7514E+9
-4764.12	-3.2	3.842342	0.848156	-0.002699	0	-0.002625	-0.212787	0.058928	1.751401E+9
-5028.44	-3.4	4.202255	0.925468	-0.003084	0	-0.003103	-0.212787	0.059132	1.751402E+9
-5285.39	-3.6	4.551828	1.002078	-0.003123	0	-0.003373	-0.212787	0.059431	1.751403E+9
-5534.53	-3.8	4.887526	1.076024	-0.003155	0	-0.003651	-0.212787	0.059041	1.751404E+9
-5775.41	-4	5.199832	1.147917	-0.004966	0	-0.004002	-0.212787	0.05871	1.751405E+9
-6007.6	-4.2	5.47842	1.205323	-0.003833	0	-0.004169	-0.212787	0.059532	1.751406E+9
-6230.67	-4.4	5.716569	1.258652	-0.004179	0	-0.004583	-0.212787	0.059045	1.751407E+9
-6444.17	-4.6	5.916983	1.301624	-0.004214	0	-0.004796	-0.212787	0.059436	1.751408E+9
-6647.68	-4.8	6.082479	1.338946	-0.004452	0	-0.005263	-0.212787	0.058764	1.751409E+9
