05/05/2022	14:30

Co88Tb12_20210514_CVMH2

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-0.06731	0.402284	0.004001	0	0.003735	-0.212787	0.019327	1.737935E+9
8204.61	6.8	-0.070364	0.407892	0.003991	0	0.003804	-0.212787	0.019243	1.737935E+9
8128.37	6.6	-0.073639	0.417232	0.003694	0	0.003548	-0.212787	0.019174	1.737936E+9
8037.67	6.4	-0.070059	0.421023	0.003593	0	0.003846	-0.212787	0.019282	1.737937E+9
7932.95	6.2	-0.048961	0.421108	0.00378	0	0.003633	-0.212787	0.019331	1.737938E+9
7814.63	6	-0.039803	0.432219	0.003418	0	0.00367	-0.212787	0.019322	1.737939E+9
7683.15	5.8	-0.046479	0.438573	0.003624	0	0.003495	-0.212787	0.019295	1.73794E+9
7538.96	5.6	-0.047483	0.443378	0.003202	0	0.003733	-0.212787	0.019502	1.737941E+9
7382.49	5.4	-0.029341	0.462225	0.004369	0	0.003425	-0.212787	0.01932	1.737942E+9
7214.18	5.2	-0.055231	0.462764	0.003554	0	0.003412	-0.212787	0.019295	1.737943E+9
7034.46	5	-0.052132	0.446	0.003954	0	0.003707	-0.212787	0.019384	1.737944E+9
6843.76	4.8	-0.031089	0.469541	0.003968	0	0.003733	-0.212787	0.019359	1.737945E+9
6642.54	4.6	-0.050293	0.462533	0.00338	0	0.003452	-0.212787	0.019222	1.737946E+9
6431.22	4.4	-0.045751	0.486555	0.003431	0	0.003817	-0.212787	0.019256	1.737947E+9
6210.24	4.2	-0.034351	0.461393	0.003496	0	0.003671	-0.212787	0.019387	1.737948E+9
5980.04	4	-0.04951	0.448313	0.003702	0	0.003601	-0.212787	0.019272	1.737949E+9
5741.05	3.8	-0.056495	0.447079	0.00324	0	0.003364	-0.212787	0.019247	1.73795E+9
5493.71	3.6	-0.07168	0.441387	0.003626	0	0.003481	-0.212787	0.019352	1.737951E+9
5238.46	3.4	-0.041671	0.433047	0.003655	0	0.003389	-0.212787	0.019416	1.737952E+9
4975.74	3.2	-0.04847	0.452677	0.003555	0	0.003558	-0.212787	0.019213	1.737953E+9
4705.98	3	-0.067593	0.456945	0.002986	0	0.003477	-0.212787	0.019245	1.737954E+9
4429.62	2.8	-0.053971	0.446887	0.00333	0	0.003644	-0.212787	0.019446	1.737955E+9
4147.09	2.6	-0.05618	0.45678	0.003668	0	0.003398	-0.212787	0.019348	1.737956E+9
3858.83	2.4	-0.040475	0.462004	0.002886	0	0.003465	-0.212787	0.019265	1.737957E+9
3565.29	2.2	-0.032876	0.427547	0.00324	0	0.003689	-0.212787	0.019244	1.737958E+9
3266.89	2	-0.046235	0.455428	0.003291	0	0.003738	-0.212787	0.019415	1.737959E+9
2964.07	1.8	-0.034725	0.446241	0.004031	0	0.003378	-0.212787	0.01933	1.73796E+9
2657.27	1.6	-0.046258	0.442206	0.003211	0	0.003561	-0.212787	0.019223	1.737961E+9
2346.93	1.4	-0.021184	0.440162	0.003906	0	0.003398	-0.212787	0.019239	1.737962E+9
2033.48	1.2	-0.015609	0.468573	0.004201	0	0.003512	-0.212787	0.019167	1.737963E+9
1717.37	1	-0.011704	0.46945	0.004088	0	0.003339	-0.212787	0.019245	1.737964E+9
1399.02	0.8	0.011243	0.473917	0.003441	0	0.003542	-0.212787	0.019283	1.737965E+9
1078.87	0.6	0.006324	0.460087	0.004087	0	0.003735	-0.212787	0.01913	1.737966E+9
