06/05/2022	10:23

Co88Tb12_35_20210602_CVMH3

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	1.966485	4.340662	0.004568	0	0.005586	-0.212787	0.03443	1.809503E+9
8204.61	6.8	1.963867	4.312069	0.004509	0	0.004113	-0.212787	0.034288	1.809503E+9
8128.37	6.6	1.9727	4.331035	0.004008	0	0.004339	-0.212787	0.034271	1.809504E+9
8037.67	6.4	1.953279	4.30702	0.004549	0	0.004811	-0.212787	0.034309	1.809505E+9
7932.95	6.2	1.921655	4.298973	0.004033	0	0.005067	-0.212787	0.034336	1.809506E+9
7814.63	6	1.968256	4.298164	0.004248	0	0.004048	-0.212787	0.034293	1.809507E+9
7683.15	5.8	1.955127	4.297205	0.004424	0	0.004953	-0.212787	0.034285	1.809508E+9
7538.96	5.6	1.967814	4.301874	0.004192	0	0.00418	-0.212787	0.034268	1.809509E+9
7382.49	5.4	1.946869	4.301231	0.003753	0	0.004644	-0.212787	0.034342	1.80951E+9
7214.18	5.2	1.962262	4.287137	0.004833	0	0.00429	-0.212787	0.034453	1.809511E+9
7034.46	5	1.960546	4.29202	0.003793	0	0.004356	-0.212787	0.034285	1.809512E+9
6843.76	4.8	1.96324	4.273564	0.005328	0	0.004568	-0.212787	0.034386	1.809513E+9
6642.54	4.6	1.967707	4.269035	0.005066	0	0.004652	-0.212787	0.034371	1.809514E+9
6431.22	4.4	1.971904	4.296182	0.004992	0	0.004147	-0.212787	0.034353	1.809515E+9
6210.24	4.2	1.992661	4.265922	0.004196	0	0.004069	-0.212787	0.03436	1.809516E+9
5980.04	4	1.985085	4.256933	0.004576	0	0.004461	-0.212787	0.034387	1.809517E+9
5741.05	3.8	1.957496	4.22772	0.005093	0	0.004629	-0.212787	0.034453	1.809518E+9
5493.71	3.6	1.98424	4.242164	0.004321	0	0.004384	-0.212787	0.034522	1.809519E+9
5238.46	3.4	1.975679	4.222632	0.003902	0	0.003724	-0.212787	0.034338	1.80952E+9
4975.74	3.2	1.950803	4.241829	0.003502	0	0.003862	-0.212787	0.03439	1.809521E+9
4705.98	3	1.934741	4.227486	0.004344	0	0.004569	-0.212787	0.034416	1.809522E+9
4429.62	2.8	1.932256	4.224763	0.004533	0	0.00445	-0.212787	0.034404	1.809523E+9
4147.09	2.6	1.927376	4.227161	0.004572	0	0.004254	-0.212787	0.034395	1.809524E+9
3858.83	2.4	1.95232	4.231722	0.004293	0	0.004219	-0.212787	0.034384	1.809525E+9
