06/05/2022	11:16

Co88Tb12_35_20210602_CVMH5

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	3.02122	3.320459	0.001482	0	0.001675	-0.212787	0.040389	1.812707E+9
8204.61	6.8	2.985656	3.316079	0.002031	0	0.00213	-0.212787	0.040371	1.812707E+9
8128.37	6.6	2.972079	3.341134	0.001788	0	0.002101	-0.212787	0.040281	1.812708E+9
8037.67	6.4	2.964707	3.34937	0.001812	0	0.001545	-0.212787	0.040266	1.812709E+9
7932.95	6.2	2.960705	3.341582	0.000936	0	0.002101	-0.212787	0.040381	1.81271E+9
7814.63	6	2.983768	3.365367	0.001606	0	0.00175	-0.212787	0.040427	1.812711E+9
7683.15	5.8	2.953025	3.386335	0.00147	0	0.001489	-0.212787	0.040429	1.812712E+9
7538.96	5.6	2.973232	3.368031	0.000627	0	0.001921	-0.212787	0.040377	1.812713E+9
7382.49	5.4	2.97974	3.360104	0.001602	0	0.001714	-0.212787	0.040439	1.812714E+9
7214.18	5.2	3.021841	3.36178	0.00169	0	0.001888	-0.212787	0.040317	1.812715E+9
7034.46	5	3.003167	3.377569	0.002355	0	0.001381	-0.212787	0.04048	1.812716E+9
6843.76	4.8	3.053835	3.385181	0.002812	0	0.001471	-0.212787	0.040426	1.812717E+9
6642.54	4.6	3.036347	3.3636	0.002003	0	0.002154	-0.212787	0.040496	1.812718E+9
6431.22	4.4	3.065927	3.258949	0.001133	0	0.001945	-0.212787	0.040412	1.812719E+9
6210.24	4.2	3.030736	3.433735	0.002415	0	0.001318	-0.212787	0.040417	1.81272E+9
5980.04	4	3.03262	3.351241	0.001539	0	0.001475	-0.212787	0.040459	1.812721E+9
5741.05	3.8	3.063055	3.373216	0.001873	0	0.001378	-0.212787	0.040452	1.812722E+9
5493.71	3.6	3.079238	3.380165	0.001984	0	0.002165	-0.212787	0.040508	1.812723E+9
5238.46	3.4	3.065131	3.392472	0.002163	0	0.001154	-0.212787	0.040408	1.812724E+9
4975.74	3.2	3.103724	3.394996	0.001564	0	0.001512	-0.212787	0.040481	1.812725E+9
4705.98	3	3.12462	3.420317	0.001223	0	0.001306	-0.212787	0.040411	1.812726E+9
4429.62	2.8	3.1167	3.418306	0.001531	0	0.001635	-0.212787	0.040457	1.812727E+9
4147.09	2.6	3.090579	3.381127	0.001743	0	0.001296	-0.212787	0.040524	1.812728E+9
3858.83	2.4	3.098916	3.423199	0.001768	0	0.000534	-0.212787	0.040495	1.812729E+9
3565.29	2.2	3.084904	3.403765	0.001311	0	0.001136	-0.212787	0.040503	1.81273E+9
3266.89	2	3.144357	3.449787	0.000999	0	0.001021	-0.212787	0.040584	1.812731E+9
