06/05/2022	11:31

Co88Tb12_35_20210602_CVMH5

Field	Kepco	Channel A	Channel B	Agilent	0	RF out	Monitor+	Monitor-	Time
8265.94	7	-7.740387	-1.477257	0.013264	0	0.012732	-0.212787	0.067901	1.813572E+9
8204.61	6.8	-7.736579	-1.480083	0.012828	0	0.013007	-0.212787	0.068207	1.813573E+9
8128.37	6.6	-7.736417	-1.479349	0.013332	0	0.012292	-0.212787	0.068103	1.813574E+9
8037.67	6.4	-7.740341	-1.480843	0.013711	0	0.012627	-0.212787	0.068033	1.813575E+9
7932.95	6.2	-7.742213	-1.484021	0.012942	0	0.012499	-0.212787	0.068185	1.813576E+9
7814.63	6	-7.741797	-1.495271	0.013391	0	0.012751	-0.212787	0.068194	1.813577E+9
7683.15	5.8	-7.745212	-1.485255	0.013442	0	0.013062	-0.212787	0.067859	1.813578E+9
7538.96	5.6	-7.747492	-1.467676	0.013211	0	0.012708	-0.212787	0.068106	1.813579E+9
7382.49	5.4	-7.748317	-1.478897	0.013686	0	0.013098	-0.212787	0.068269	1.81358E+9
7214.18	5.2	-7.744896	-1.480506	0.013764	0	0.012961	-0.212787	0.068116	1.813581E+9
7034.46	5	-7.750004	-1.483774	0.013305	0	0.012682	-0.212787	0.068178	1.813582E+9
6843.76	4.8	-7.75003	-1.481367	0.013364	0	0.01269	-0.212787	0.0679	1.813583E+9
6642.54	4.6	-7.7549	-1.471646	0.013172	0	0.0126	-0.212787	0.068241	1.813584E+9
6431.22	4.4	-7.755592	-1.46943	0.013273	0	0.012742	-0.212787	0.067934	1.813585E+9
6210.24	4.2	-7.756969	-1.476968	0.012947	0	0.012679	-0.212787	0.068206	1.813586E+9
5980.04	4	-7.757817	-1.481981	0.013265	0	0.0126	-0.212787	0.068227	1.813587E+9
5741.05	3.8	-7.755683	-1.4825	0.013347	0	0.012875	-0.212787	0.068266	1.813588E+9
5493.71	3.6	-7.759503	-1.487754	0.012998	0	0.013136	-0.212787	0.067989	1.813589E+9
5238.46	3.4	-7.762258	-1.485252	0.013238	0	0.01267	-0.212787	0.068195	1.81359E+9
4975.74	3.2	-7.763503	-1.485317	0.012879	0	0.012908	-0.212787	0.068184	1.813591E+9
4705.98	3	-7.763158	-1.482929	0.013366	0	0.013149	-0.212787	0.068205	1.813592E+9
4429.62	2.8	-7.760816	-1.485376	0.013203	0	0.012461	-0.212787	0.067952	1.813593E+9
